46001, 100 EAST GOODWYN, MEMPHIS, TN, 
46476, 1200 CORTONA, MEMPHIS, TN, 
46477, 1200 CULLY, MEMPHIS, TN, 
46478, 1200 DATEL, MEMPHIS, TN, 
46479, 1200 DELWOOD, MEMPHIS, TN, 
46480, 1200 DOVE HOLLOW CIR E, MEMPHIS, TN, 
46481, 1200 DYER ST, MEMPHIS, TN, 
46482, 1200 E CRESTWOOD, MEMPHIS, TN, 
46483, 1200 E RAINES RD, MEMPHIS, TN, 
46484, 1200 E TRIGG ST, MEMPHIS, TN, 
46485, 1200 EAST DEMPSTER RD, MEMPHIS, TN, 
46486, 1200 EAST GETWELL LOOP, MEMPHIS, TN, 
46487, 1200 EAST HOLMES, MEMPHIS, TN, 
46488, 1200 EAST MCLEMORE, MEMPHIS, TN, 
46489, 1200 EAST TRIGG AVE, MEMPHIS, TN, 
46490, 1200 ENCANTO, MEMPHIS, TN, 
46491, 1200 FAIR MEADOW, MEMPHIS, TN, 
46492, 1200 FINCH CV, MEMPHIS, TN, 
46493, 1200 FIRESTONE AVE, MEMPHIS, TN, 
46494, 1200 FLORDIA, MEMPHIS, TN, 
46495, 1200 FRAYSER BOULEVARD, MEMPHIS, TN, 
46496, 1200 GERMANTOWN RD, MEMPHIS, TN, 
46497, 1200 GIBBONS AVE, MEMPHIS, TN, 
46498, 1200 GORDAN, MEMPHIS, TN, 
46499, 1200 GORDON AVE, MEMPHIS, TN, 
46500, 1200 GOWAN, MEMPHIS, TN, 
46501, 1200 GRANT PL, MEMPHIS, TN, 
46502, 1200 HARBOR, MEMPHIS, TN, 
46503, 1200 HAVEN CIR, MEMPHIS, TN, 
46504, 1200 HEATHCLIFF, MEMPHIS, TN, 
46505, 1200 INMAN RD, MEMPHIS, TN, 
46506, 1200 ISLAND PL EAST, MEMPHIS, TN, 
46507, 1200 ISLAND PLACE, MEMPHIS, TN, 
46508, 1200 JAMERSON RD, MEMPHIS, TN, 
46509, 1200 JUDITH, MEMPHIS, TN, 
46510, 1200 KINGS PARK DR, MEMPHIS, TN, 
46511, 1200 LAWRENCE, MEMPHIS, TN, 
46512, 1200 LEXINGTON CIR W, MEMPHIS, TN, 
46513, 1200 LEXINGTON CIRCLE WEST, MEMPHIS, TN, 
46514, 1200 LONGREEN, MEMPHIS, TN, 
46515, 1200 LOUISVILLE ST, MEMPHIS, TN, 
46516, 1200 LYNNFIELD, MEMPHIS, TN, 
46517, 1200 MAIN ST, MEMPHIS, TN, 
46518, 1200 MAPLE BROOK LN, MEMPHIS, TN, 
46519, 1200 MARCHALNEIL, MEMPHIS, TN, 
46520, 1200 MARLIN RD, MEMPHIS, TN, 
46521, 1200 MCEVERS RD, MEMPHIS, TN, 
46522, 1200 MCKELLAR, MEMPHIS, TN, 
46523, 1200 MEADOW LARK, MEMPHIS, TN, 
46524, 1200 MILLBRIDGE, MEMPHIS, TN, 
46525, 1200 MONROE, MEMPHIS, TN, 
46526, 1200 MT VERNON RD, MEMPHIS, TN, 
46527, 1200 N GERMANTOWN PARKWAY, MEMPHIS, TN, 
46528, 1200 N GERMANTOWN PKY, MEMPHIS, TN, 
46529, 1200 N HAVEN CIRCLE, MEMPHIS, TN, 
46530, 1200 NICHOLAS, MEMPHIS, TN, 
46531, 1200 NORTH MANASSAS ST, MEMPHIS, TN, 
46532, 1200 OAK RIDGE, MEMPHIS, TN, 
46533, 1200 PALMETTO ST, MEMPHIS, TN, 
46534, 1200 PARKROSE AVE, MEMPHIS, TN, 
46535, 1200 PEARCE ST, MEMPHIS, TN, 
46536, 1200 PERA DR, MEMPHIS, TN, 
46537, 1200 PERKINS RD, MEMPHIS, TN, 
46538, 1200 POND ST, MEMPHIS, TN, 
46539, 1200 PRESCOTT RD, MEMPHIS, TN, 
46540, 1200 PRESCOTT ST, MEMPHIS, TN, 
46541, 1200 QUAIL RUN, MEMPHIS, TN, 
46542, 1200 RAILTON AVE, MEMPHIS, TN, 
46543, 1200 REBAH CV, MEMPHIS, TN, 
46544, 1200 REBEH, MEMPHIS, TN, 
46545, 1200 ROSEWOOD, MEMPHIS, TN, 
46546, 1200 RYDER ST, MEMPHIS, TN, 
46547, 1200 S COOPER AVE, MEMPHIS, TN, 
46548, 1200 S FLORIDA, MEMPHIS, TN, 
46549, 1200 S HIGHLAND, MEMPHIS, TN, 
46550, 1200 S PARKWAY EAST AVE, MEMPHIS, TN, 
46551, 1200 S PARKWAY EAST BLVD, MEMPHIS, TN, 
46552, 1200 S WHITE STA RD, MEMPHIS, TN, 
46553, 1200 SANDRA, MEMPHIS, TN, 
46554, 1200 SANDY STONE LN, MEMPHIS, TN, 
46555, 1200 SARAH CV, MEMPHIS, TN, 
46556, 1200 SAUNDERS ST, MEMPHIS, TN, 
46557, 1200 SO FLORIDA, MEMPHIS, TN, 
46558, 1200 SO MAIN, MEMPHIS, TN, 
46559, 1200 SO ORLEANS, MEMPHIS, TN, 
46560, 1200 SO THIRD, MEMPHIS, TN, 
46561, 1200 SO WELLINGTON, MEMPHIS, TN, 
46562, 1200 SOMMERVILLE, MEMPHIS, TN, 
46563, 1200 SOUTH BARKSDALE ST, MEMPHIS, TN, 
46564, 1200 SOUTH MAIN ST, MEMPHIS, TN, 
46565, 1200 SOUTH PERKINS RD, MEMPHIS, TN, 
46566, 1200 SOUTH PKWY E, MEMPHIS, TN, 
46567, 1200 STAR LINE, MEMPHIS, TN, 
46568, 1200 STARLINE RD, MEMPHIS, TN, 
46569, 1200 STEPHENS DR, MEMPHIS, TN, 
46570, 1200 STEPHENS, MEMPHIS, TN, 
46571, 1200 TUNICA AVE, MEMPHIS, TN, 
46572, 1200 TUNICA ST., MEMPHIS, TN, 
46573, 1200 TUNSTALL RD, MEMPHIS, TN, 
46574, 1200 VANCE 1, MEMPHIS, TN, 
46575, 1200 VAUGHN ST, MEMPHIS, TN, 
46576, 1200 VERSILIA, MEMPHIS, TN, 
46577, 1200 VERSILLA CV, MEMPHIS, TN, 
46578, 1200 WEAKLEY, MEMPHIS, TN, 
46579, 1200 WEST LEXINGTON CIR, MEMPHIS, TN, 
46580, 1200 WHEATON RD, MEMPHIS, TN, 
46581, 1200 WHITAKER CV, MEMPHIS, TN, 
46582, 1200 WILDLEAF CV, MEMPHIS, TN, 
46583, 1200 WINFIELD AVE, MEMPHIS, TN, 
46584, 1200 WRIGHT ST, MEMPHIS, TN, 
46585, 1240 AND AIRWAYS, MEMPHIS, TN, 
46586, 1300 ADELAIDE, MEMPHIS, TN, 
46587, 1300 ALLENTOWN, MEMPHIS, TN, 
46588, 1300 ANGES PLACE, MEMPHIS, TN, 
46589, 1300 ARGYLE AVE, MEMPHIS, TN, 
46590, 1300 BAMELL, MEMPHIS, TN, 
46591, 1300 BAMMEL ST, MEMPHIS, TN, 
46592, 1300 BOCAGE CV, MEMPHIS, TN, 
46593, 1300 BROADMORE, MEMPHIS, TN, 
46594, 1300 CALAIS RD, MEMPHIS, TN, 
46595, 1300 CAPITAL ST, MEMPHIS, TN, 
46596, 1300 CHICAGO ST, MEMPHIS, TN, 
46597, 1300 CHICAMAGUA, MEMPHIS, TN, 
46598, 1300 CHICKAMAUGA ST, MEMPHIS, TN, 
46599, 1300 DECATUR, MEMPHIS, TN, 
46600, 1300 E BARRON CIR, MEMPHIS, TN, 
46601, 1300 E CRESTWOOD DR, MEMPHIS, TN, 
46602, 1300 E GOODMAN, MEMPHIS, TN, 
46603, 1300 E LAUDEEN DR, MEMPHIS, TN, 
46604, 1300 E.SHELBY DR, MEMPHIS, TN, 
46605, 1300 EAST ALCY, MEMPHIS, TN, 
46606, 1300 EAST DEMPSTER, MEMPHIS, TN, 
46607, 1300 EAST PKWY S, MEMPHIS, TN, 
46608, 1300 EASTON, MEMPHIS, TN, 
46609, 1300 EFFIE ST, MEMPHIS, TN, 
46610, 1300 ELDRIDGE, MEMPHIS, TN, 
46611, 1300 ESSEX RD, MEMPHIS, TN, 
46612, 1300 ETHEL ST, MEMPHIS, TN, 
46613, 1300 FARMVILLE DR, MEMPHIS, TN, 
46614, 1300 FAXON ST, MEMPHIS, TN, 
46615, 1300 FIELDS, MEMPHIS, TN, 
46616, 1300 FIRENZA, MEMPHIS, TN, 
46617, 1300 FIRENZE, MEMPHIS, TN, 
46618, 1300 FLEETS HARBOR, MEMPHIS, TN, 
46619, 1300 FOREST, MEMPHIS, TN, 
46620, 1300 GAUSCO ST, MEMPHIS, TN, 
46621, 1300 GERMANTOWN RD, MEMPHIS, TN, 
46622, 1300 GOODMAN RD, MEMPHIS, TN, 
46623, 1300 GRAHAM ST, MEMPHIS, TN, 
46624, 1300 HOLLYWOOD ST, MEMPHIS, TN, 
46625, 1300 INMAN RD, MEMPHIS, TN, 
46626, 1300 ISLAND PL EAST, MEMPHIS, TN, 
46627, 1300 KETCHUM PL, MEMPHIS, TN, 
46628, 1300 LARKIN, MEMPHIS, TN, 
46629, 1300 LAUDEEN ST, MEMPHIS, TN, 
46630, 1300 LEAWOOD AVE, MEMPHIS, TN, 
46631, 1300 LYNFIELD, MEMPHIS, TN, 
46632, 1300 MARBLE ST, MEMPHIS, TN, 
46633, 1300 MARCHANEIL, MEMPHIS, TN, 
46634, 1300 MARECHANEIL, MEMPHIS, TN, 
46635, 1300 MARGARET ST, MEMPHIS, TN, 
46636, 1300 MAYHILL DR, MEMPHIS, TN, 
46637, 1300 MICHIGAN, MEMPHIS, TN, 
46638, 1300 MILLCREEK CV, MEMPHIS, TN, 
46639, 1300 MISSISSIPPI APARTMENT, MEMPHIS, TN, 
46640, 1300 MISTY ISLE, MEMPHIS, TN, 
46641, 1300 MULLIN STATION, MEMPHIS, TN, 
46642, 1300 N 2ND ST, MEMPHIS, TN, 
46643, 1300 N DANNY THOMAS, MEMPHIS, TN, 
46644, 1300 N HOLLYWOOD BLVD, MEMPHIS, TN, 
46645, 1300 N MCNEIL ST, MEMPHIS, TN, 
46646, 1300 N THOMAS ST, MEMPHIS, TN, 
46647, 1300 NGRAHAM RD, MEMPHIS, TN, 
46648, 1300 NIESE ST, MEMPHIS, TN, 
46649, 1300 NORTH EVERGREEN, MEMPHIS, TN, 
46650, 1300 NORTH GERMANTOWN RD, MEMPHIS, TN, 
46651, 1300 NORTH HAVEN CR, MEMPHIS, TN, 
46652, 1300 OAK RIDGE DR, MEMPHIS, TN, 
46653, 1300 ORLEANS ST, MEMPHIS, TN, 
46654, 1300 PERKINS TERRANCE, MEMPHIS, TN, 
46655, 1300 PRESCOTT RD, MEMPHIS, TN, 
46656, 1300 PRIMACY PARKWY, MEMPHIS, TN, 
46657, 1300 PRIMARY PKWY, MEMPHIS, TN, 
46658, 1300 QUEENSBURY CIR, MEMPHIS, TN, 
46659, 1300 QUEENSBURY CIRCLE, MEMPHIS, TN, 
46660, 1300 RAILTON ST, MEMPHIS, TN, 
46661, 1300 RHODES AVE, MEMPHIS, TN, 
46662, 1300 ROSECLIFF AVE, MEMPHIS, TN, 
46663, 1300 ROSECREST DR, MEMPHIS, TN, 
46664, 1300 ROYAL OAK, MEMPHIS, TN, 
46665, 1300 RUSSWOOD AVE, MEMPHIS, TN, 
46666, 1300 RUTLAND RD, MEMPHIS, TN, 
46667, 1300 S BARKSDALE ST, MEMPHIS, TN, 
46668, 1300 S LAUDERDALE ST, MEMPHIS, TN, 
46669, 1300 S LIONS GATE, MEMPHIS, TN, 
46670, 1300 S WHITE STA, MEMPHIS, TN, 
46671, 1300 S WHITESTATION RD, MEMPHIS, TN, 
46672, 1300 SAFFRANS, MEMPHIS, TN, 
46673, 1300 SHEBLY DR, MEMPHIS, TN, 
46674, 1300 SHIRLEY CV, MEMPHIS, TN, 
46675, 1300 SINGING TREES RD, MEMPHIS, TN, 
46676, 1300 SLEDGE ST, MEMPHIS, TN, 
46677, 1300 SOUTH BROOK MALL, MEMPHIS, TN, 
46678, 1300 SOUTH HIGHLAND, MEMPHIS, TN, 
46679, 1300 SOUTH LAUDERDALE, MEMPHIS, TN, 
46680, 1300 SOUTH THIRD, MEMPHIS, TN, 
46681, 1300 SPRINGDALE APT 1, MEMPHIS, TN, 
46682, 1300 SPRINGDALE RUN, MEMPHIS, TN, 
46683, 1300 TANGLEWOOD ST, MEMPHIS, TN, 
46684, 1300 THOMAS RD, MEMPHIS, TN, 
46685, 1300 TUTWILLER, MEMPHIS, TN, 
46686, 1300 UNION AVENUE, MEMPHIS, TN, 
46687, 1300 VANCE, MEMPHIS, TN, 
46688, 1300 VAUGHN ST, MEMPHIS, TN, 
46689, 1300 VERNON, MEMPHIS, TN, 
46690, 1300 VICOSCIA AVE, MEMPHIS, TN, 
46691, 1300 VOLLITINE, MEMPHIS, TN, 
46692, 1300 W GOODMAN CIRCLE, MEMPHIS, TN, 
46693, 1300 W KAMALI CV, MEMPHIS, TN, 
46694, 1300 WEINER ST, MEMPHIS, TN, 
46695, 1300 WEST BARRON CIRCLE, MEMPHIS, TN, 
46696, 1300 WEST CRESTWOOD, MEMPHIS, TN, 
46697, 1300 WEST GOODMAN, MEMPHIS, TN, 
46698, 1300 WHIPPORWILL, MEMPHIS, TN, 
46699, 1300 WHITEWATER RD, MEMPHIS, TN, 
46700, 1300 WHITMORE AVE, MEMPHIS, TN, 
46701, 1300 WHITMORE RD, MEMPHIS, TN, 
46702, 1300 WILMORE RD, MEMPHIS, TN, 
46703, 1300 WINFIELD RD, MEMPHIS, TN, 
46704, 1300 WRIGHT, MEMPHIS, TN, 
46705, 1300 YORKSHIRE RD, MEMPHIS, TN, 
46706, 1400 1 AND 2 BREEDLOVE, MEMPHIS, TN, 
46707, 1400 ALCY RD, MEMPHIS, TN, 
46708, 1400 ASHLEY HURST LN, MEMPHIS, TN, 
46709, 1400 ASHLEY HURST, MEMPHIS, TN, 
46710, 1400 ASHVILLE DR, MEMPHIS, TN, 
46711, 1400 AZALIA, MEMPHIS, TN, 
46712, 1400 BANKSTON CV, MEMPHIS, TN, 
46713, 1400 BASKIN, MEMPHIS, TN, 
46714, 1400 BEAVER TRAIL DR, MEMPHIS, TN, 
46715, 1400 BELLEVUE ST, MEMPHIS, TN, 
46716, 1400 BLOCK OF POPE ST, MEMPHIS, TN, 
46717, 1400 BRIAR WOOD, MEMPHIS, TN, 
46718, 1400 BRIDGEWATER, MEMPHIS, TN, 
46719, 1400 BRITTON, MEMPHIS, TN, 
46720, 1400 CAMERON ST, MEMPHIS, TN, 
46721, 1400 CEDAR HOLLOW DR, MEMPHIS, TN, 
46722, 1400 CELLA ST, MEMPHIS, TN, 
46723, 1400 CEMENTINE, MEMPHIS, TN, 
46724, 1400 CHADWYCK, MEMPHIS, TN, 
46725, 1400 CLEMENTINE 102, MEMPHIS, TN, 
46726, 1400 CLEMENTINE 201, MEMPHIS, TN, 
46727, 1400 CLEMENTINE 7, MEMPHIS, TN, 
46728, 1400 COKER, MEMPHIS, TN, 
46729, 1400 COOPER ST, MEMPHIS, TN, 
46730, 1400 CORPORATE, MEMPHIS, TN, 
46731, 1400 COURT ST, MEMPHIS, TN, 
46732, 1400 CRABAPPLE LN, MEMPHIS, TN, 
46733, 1400 CUMMING, MEMPHIS, TN, 
46734, 1400 DAVIDSON, MEMPHIS, TN, 
46735, 1400 DOLAN DR, MEMPHIS, TN, 
46736, 1400 DOVECREST RD, MEMPHIS, TN, 
46737, 1400 E BROOKS, MEMPHIS, TN, 
46738, 1400 E DEMPSTER AVE, MEMPHIS, TN, 
46739, 1400 E ISLAND PL, MEMPHIS, TN, 
46740, 1400 E MALLORY AVE, MEMPHIS, TN, 
46741, 1400 E SHELBY DRIVE, MEMPHIS, TN, 
46742, 1400 E WINCHESTER, MEMPHIS, TN, 
46743, 1400 EAST ALCY RD, MEMPHIS, TN, 
46744, 1400 EAST MCLEMORE AVE, MEMPHIS, TN, 
46745, 1400 EAST MCLEMORE, MEMPHIS, TN, 
46746, 1400 EAST TRIGG AVE, MEMPHIS, TN, 
46747, 1400 FARMVILLE ST, MEMPHIS, TN, 
46748, 1400 FINELY RD, MEMPHIS, TN, 
46749, 1400 FINLEY ST, MEMPHIS, TN, 
46750, 1400 FLORDIA, MEMPHIS, TN, 
46751, 1400 FOX ST, MEMPHIS, TN, 
46752, 1400 GERALD RD, MEMPHIS, TN, 
46753, 1400 GLEESON, MEMPHIS, TN, 
46754, 1400 GRAND ST, MEMPHIS, TN, 
46755, 1400 GREENDALE ST, MEMPHIS, TN, 
46756, 1400 GREENTREE VLY, MEMPHIS, TN, 
46757, 1400 GREENWOOD AVE, MEMPHIS, TN, 
46758, 1400 HAMILTON AVE, MEMPHIS, TN, 
46759, 1400 HAMILTON ST, MEMPHIS, TN, 
46760, 1400 HARPETH, MEMPHIS, TN, 
46761, 1400 HESTER, MEMPHIS, TN, 
46762, 1400 HICKORY VALLEY CV, MEMPHIS, TN, 
46763, 1400 HOLCOMB, MEMPHIS, TN, 
46764, 1400 HOLLIDAY ST, MEMPHIS, TN, 
46765, 1400 INMAN RD, MEMPHIS, TN, 
46766, 1400 ISABELL, MEMPHIS, TN, 
46767, 1400 ISLAND PLACE E, MEMPHIS, TN, 
46768, 1400 ISLAND RIDGE DR, MEMPHIS, TN, 
46769, 1400 JEANINE ST, MEMPHIS, TN, 
46770, 1400 JEANNIE, MEMPHIS, TN, 
46771, 1400 KEATING AVE, MEMPHIS, TN, 
46772, 1400 KENTUCKY AVE, MEMPHIS, TN, 
46773, 1400 LADBROOK, MEMPHIS, TN, 
46774, 1400 LARKIN ST, MEMPHIS, TN, 
46775, 1400 LEXINGTON CIR S, MEMPHIS, TN, 
46776, 1400 LEXINGTON CIRCLE SOUTH, MEMPHIS, TN, 
46777, 1400 LOUISANA, MEMPHIS, TN, 
46778, 1400 LYNFIELD, MEMPHIS, TN, 
46779, 1400 MACMILLAN, MEMPHIS, TN, 
46780, 1400 MALLORY AVE, MEMPHIS, TN, 
46781, 1400 MARECHANEIL, MEMPHIS, TN, 
46782, 1400 MARIA RD, MEMPHIS, TN, 
46783, 1400 MCNEAL, MEMPHIS, TN, 
46784, 1400 MELROSE, MEMPHIS, TN, 
46785, 1400 MENEGAR, MEMPHIS, TN, 
46786, 1400 MERRYCREST ST, MEMPHIS, TN, 
46787, 1400 MICHAGAN, MEMPHIS, TN, 
46788, 1400 MISSISSIPPI BOULEVARD, MEMPHIS, TN, 
46789, 1400 MISSISSIPPI ST, MEMPHIS, TN, 
46790, 1400 MT MORIAH RD, MEMPHIS, TN, 
46791, 1400 N BELLEVUE ST, MEMPHIS, TN, 
46792, 1400 N GERMANTOWN PKY, MEMPHIS, TN, 
46793, 1400 N HOLLYWOOD BLVD, MEMPHIS, TN, 
46794, 1400 NIECE, MEMPHIS, TN, 
46795, 1400 NOBLE ST, MEMPHIS, TN, 
46796, 1400 NORTH MCNEIL, MEMPHIS, TN, 
46797, 1400 OAK MANOR CT, MEMPHIS, TN, 
46798, 1400 OAK RIDGE DR, MEMPHIS, TN, 
46799, 1400 PALLWOOD, MEMPHIS, TN, 
46800, 1400 PIDGEON, MEMPHIS, TN, 
46801, 1400 PINE BARK CV, MEMPHIS, TN, 
46802, 1400 POPLAR RIDGE DR, MEMPHIS, TN, 
46803, 1400 QUAILBROOK LN, MEMPHIS, TN, 
46804, 1400 QUIMBY RD, MEMPHIS, TN, 
46805, 1400 QUINBY ST, MEMPHIS, TN, 
46806, 1400 RIVER BOAT CIRCLE, MEMPHIS, TN, 
46807, 1400 ROBERTS RD, MEMPHIS, TN, 
46808, 1400 ROSECREST RD, MEMPHIS, TN, 
46809, 1400 S SESSION CT, MEMPHIS, TN, 
46810, 1400 S WHITE STATION RD, MEMPHIS, TN, 
46811, 1400 S WILLIE B MITCHELL, MEMPHIS, TN, 
46812, 1400 SECOND, MEMPHIS, TN, 
46813, 1400 SO MAIN, MEMPHIS, TN, 
46814, 1400 SO WELLINGTON, MEMPHIS, TN, 
46815, 1400 SOUTH BARKSDALE, MEMPHIS, TN, 
46816, 1400 SOUTH FARONIA SQ, MEMPHIS, TN, 
46817, 1400 SOUTH GREER, MEMPHIS, TN, 
46818, 1400 SOUTH HIGHLAND ST, MEMPHIS, TN, 
46819, 1400 SOUTH SESSION CT, MEMPHIS, TN, 
46820, 1400 SOUTH ST, MEMPHIS, TN, 
46821, 1400 SOUTH WELLINGTON, MEMPHIS, TN, 
46822, 1400 SOUTH WILLET, MEMPHIS, TN, 
46823, 1400 SPRING BROOK AVE, MEMPHIS, TN, 
46824, 1400 SPRINGBROOKR RD, MEMPHIS, TN, 
46825, 1400 SPRINGDALE AVE, MEMPHIS, TN, 
46826, 1400 SWALLOW, MEMPHIS, TN, 
46827, 1400 VERA CRUZ ST, MEMPHIS, TN, 
46828, 1400 VICOSCIA AVE, MEMPHIS, TN, 
46829, 1400 VOLINTINE, MEMPHIS, TN, 
46830, 1400 VOLLENTINE AVE, MEMPHIS, TN, 
46831, 1400 VOLLEY BALL LN, MEMPHIS, TN, 
46832, 1400 W CRESTWOOD DR, MEMPHIS, TN, 
46833, 1400 W RAINES RD, MEMPHIS, TN, 
46834, 1400 W SHELBY, MEMPHIS, TN, 
46835, 1400 WEST SHELBY DR, MEMPHIS, TN, 
46836, 1400 WEST WINCHESTER PLACE, MEMPHIS, TN, 
46837, 1400 WHITNEY AVE, MEMPHIS, TN, 
46838, 1400 WHITTEN RD, MEMPHIS, TN, 
46839, 1400 WILLIAM FIELDS AVE, MEMPHIS, TN, 
46840, 1400 WOODARD, MEMPHIS, TN, 
46841, 1400 WORTHINGTON CIR, MEMPHIS, TN, 
46842, 1400 YORKSHIRE RD, MEMPHIS, TN, 
46843, 1461PENDLETON ST, MEMPHIS, TN, 
46844, 1500 ADELAIDE ST, MEMPHIS, TN, 
46845, 1500 AIRWAY, MEMPHIS, TN, 
46846, 1500 ALTA VISTA DR, MEMPHIS, TN, 
46847, 1500 AMARILLO ST, MEMPHIS, TN, 
46848, 1500 AZAILA, MEMPHIS, TN, 
46849, 1500 BRIAR CREST, MEMPHIS, TN, 
46850, 1500 BRIARCREST APT 3, MEMPHIS, TN, 
46851, 1500 BRIARCREST LANE, MEMPHIS, TN, 
46852, 1500 BRIARCREST LN 1, MEMPHIS, TN, 
46853, 1500 BRIARCREST LN 3, MEMPHIS, TN, 
46854, 1500 BRIERCREST AVE, MEMPHIS, TN, 
46855, 1500 BROWNWOOD AVE, MEMPHIS, TN, 
46856, 1500 BUTTERWORTH, MEMPHIS, TN, 
46857, 1500 CANFIELD DR, MEMPHIS, TN, 
46858, 1500 CARLTON RD, MEMPHIS, TN, 
46859, 1500 CARNEIGE, MEMPHIS, TN, 
46860, 1500 CASTALIA ST, MEMPHIS, TN, 
46861, 1500 CELLA, MEMPHIS, TN, 
46862, 1500 CHADWICK CIR, MEMPHIS, TN, 
46863, 1500 CHERRY AVE, MEMPHIS, TN, 
46864, 1500 CRANFORD RD, MEMPHIS, TN, 
46865, 1500 CRANFORD, MEMPHIS, TN, 
46866, 1500 CT 3, MEMPHIS, TN, 
46867, 1500 DAVID ST, MEMPHIS, TN, 
46868, 1500 DELLWOOD ST, MEMPHIS, TN, 
46869, 1500 DELMONT, MEMPHIS, TN, 
46870, 1500 DEMPSTER, MEMPHIS, TN, 
46871, 1500 DEWEES RD, MEMPHIS, TN, 
46872, 1500 DOWN RIVER DR, MEMPHIS, TN, 
46873, 1500 DRIVER, MEMPHIS, TN, 
46874, 1500 DUNMOOR RD, MEMPHIS, TN, 
46875, 1500 E BROOKS AVE, MEMPHIS, TN, 
46876, 1500 E CRESTWOOD, MEMPHIS, TN, 
46877, 1500 E DEMPSTER AVE, MEMPHIS, TN, 
46878, 1500 E SHELBY DR SUITE 5, MEMPHIS, TN, 
46879, 1500 EAST MCLEMORE AVE, MEMPHIS, TN, 
46880, 1500 EASTWIND, MEMPHIS, TN, 
46881, 1500 ECHLES RD, MEMPHIS, TN, 
46882, 1500 ELOISE AVE, MEMPHIS, TN, 
46883, 1500 ELVIS PRESLEY AND KERR, MEMPHIS, TN, 
46884, 1500 ELVISPRESLEY, MEMPHIS, TN, 
46885, 1500 EMERSON, MEMPHIS, TN, 
46886, 1500 ESTILL ST, MEMPHIS, TN, 
46887, 1500 ETHLYN ST, MEMPHIS, TN, 
46888, 1500 EYRIE CREST CV, MEMPHIS, TN, 
46889, 1500 FAIRVIEW ST, MEMPHIS, TN, 
46890, 1500 FIELDS RD, MEMPHIS, TN, 
46891, 1500 FIRST NORTHSIDE DR, MEMPHIS, TN, 
46892, 1500 GENESIS CL, MEMPHIS, TN, 
46893, 1500 GENISIS CIRCLE, MEMPHIS, TN, 
46894, 1500 GHERALD ST, MEMPHIS, TN, 
46895, 1500 GILL RD, MEMPHIS, TN, 
46896, 1500 GOWAN, MEMPHIS, TN, 
46897, 1500 GRACELAND PINE, MEMPHIS, TN, 
46898, 1500 GRAND ST, MEMPHIS, TN, 
46899, 1500 HARBOR, MEMPHIS, TN, 
46900, 1500 HAYWOOD DR, MEMPHIS, TN, 
46901, 1500 HINDMAN ST, MEMPHIS, TN, 
46902, 1500 HUGENOT ST, MEMPHIS, TN, 
46903, 1500 ISLAND TOWN, MEMPHIS, TN, 
46904, 1500 JEANINE ST, MEMPHIS, TN, 
46905, 1500 KANSAS AVE, MEMPHIS, TN, 
46906, 1500 LAKE GROVE ST, MEMPHIS, TN, 
46907, 1500 LAMAR CIR, MEMPHIS, TN, 
46908, 1500 LAMBERT AVE, MEMPHIS, TN, 
46909, 1500 LAUDERDALE ST, MEMPHIS, TN, 
46910, 1500 LEXINGTON CIRCLE NORTH, MEMPHIS, TN, 
46911, 1500 LYCEUM ST, MEMPHIS, TN, 
46912, 1500 MARCHANEIL, MEMPHIS, TN, 
46913, 1500 MARECHANEIL, MEMPHIS, TN, 
46914, 1500 MC MILLAN, MEMPHIS, TN, 
46915, 1500 MOOREHEAD, MEMPHIS, TN, 
46916, 1500 MULLINS STA, MEMPHIS, TN, 
46917, 1500 N BELLEVUE ST, MEMPHIS, TN, 
46918, 1500 N DECATUR, MEMPHIS, TN, 
46919, 1500 N SECOND ST, MEMPHIS, TN, 
46920, 1500 N THOMAS, MEMPHIS, TN, 
46921, 1500 NORRIS AVE, MEMPHIS, TN, 
46922, 1500 NORTH BELLEVUE, MEMPHIS, TN, 
46923, 1500 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
46924, 1500 NORTH GERMANTOWN, MEMPHIS, TN, 
46925, 1500 NORTH SIDE DR, MEMPHIS, TN, 
46926, 1500 NORTH TREZEVANT, MEMPHIS, TN, 
46927, 1500 NORTHSIDE MANOR, MEMPHIS, TN, 
46928, 1500 OAK RIDGE, MEMPHIS, TN, 
46929, 1500 OAKLAND, MEMPHIS, TN, 
46930, 1500 OBERLE RD, MEMPHIS, TN, 
46931, 1500 PALLUS, MEMPHIS, TN, 
46932, 1500 PARKWAY VIEW, MEMPHIS, TN, 
46933, 1500 PENDLETON RD, MEMPHIS, TN, 
46934, 1500 PERKINS RD, MEMPHIS, TN, 
46935, 1500 PINE SHADOWS, MEMPHIS, TN, 
46936, 1500 PKWY COMMONS, MEMPHIS, TN, 
46937, 1500 POPLAR RIDGE, MEMPHIS, TN, 
46938, 1500 PRESCOTT ST, MEMPHIS, TN, 
46939, 1500 PRESTON AVE, MEMPHIS, TN, 
46940, 1500 RANDALL ST, MEMPHIS, TN, 
46941, 1500 RIENEL RD, MEMPHIS, TN, 
46942, 1500 RIVER BOAT CIRCLE, MEMPHIS, TN, 
46943, 1500 RIVER ESTATES DR, MEMPHIS, TN, 
46944, 1500 RIVER ROCK, MEMPHIS, TN, 
46945, 1500 RIVERSIDE, MEMPHIS, TN, 
46946, 1500 ROCKY MEADOWS TRAIL, MEMPHIS, TN, 
46947, 1500 ROLLING HL, MEMPHIS, TN, 
