24001, 4300 WATTS AVE, MEMPHIS, TN, 
24483, 900 MT MORIAH RD, MEMPHIS, TN, 
24484, 900 N BALL RD, MEMPHIS, TN, 
24485, 900 N DUNLAP ST, MEMPHIS, TN, 
24486, 900 N MAIN, MEMPHIS, TN, 
24487, 900 N TREZEVANT ST, MEMPHIS, TN, 
24488, 900 N WHITE STATION, MEMPHIS, TN, 
24489, 900 NONCONNAH, MEMPHIS, TN, 
24490, 900 RICHMOND, MEMPHIS, TN, 
24491, 900 ROSEBANK, MEMPHIS, TN, 
24492, 900 RUBY CREEK, MEMPHIS, TN, 
24493, 900 RUSSELL CIRCLE, MEMPHIS, TN, 
24494, 900 RUTGERS, MEMPHIS, TN, 
24495, 900 S PARKWAY E, MEMPHIS, TN, 
24496, 900 S WELLINGTON, MEMPHIS, TN, 
24497, 900 THIRD, MEMPHIS, TN, 
24498, 900 UNION AVE, MEMPHIS, TN, 
24499, 9000 COUNTRY PECAN CV, MEMPHIS, TN, 
24500, 9000 FULTON LN, MEMPHIS, TN, 
24501, 9000 GRACIE CV, MEMPHIS, TN, 
24502, 9000 GUASCO CV, MEMPHIS, TN, 
24503, 9000 LINDSTROM DR, MEMPHIS, TN, 
24504, 9200 CINDERHILL CV, MEMPHIS, TN, 
24505, 9400 GROVE RD, MEMPHIS, TN, 
24506, 9900 BARGE DR, MEMPHIS, TN, 
24507, ADAMS AND ORLEANS, MEMPHIS, TN, 
24508, AIRWAYS AND DIRECTORS ROW, MEMPHIS, TN, 
24509, AIRWAYS BLVD AND DEMOCRAT RD, MEMPHIS, TN, 
24510, ALABAMA AND MOSBY, MEMPHIS, TN, 
24511, ALLEN AND BUTLER, MEMPHIS, TN, 
24512, AMERICAN WAY AND CHERRY RD, MEMPHIS, TN, 
24513, AMERICAN WAY, MEMPHIS, TN, 
24514, BARRON AND POPPEN, MEMPHIS, TN, 
24515, BARTON AND ESSEX, MEMPHIS, TN, 
24516, BEALE ST AND SECOND, MEMPHIS, TN, 
24517, BELLEVUE AND PARKWAY, MEMPHIS, TN, 
24518, BELLEVUE AND PEACH, MEMPHIS, TN, 
24519, BELLEVUE AND VOLLINTINE, MEMPHIS, TN, 
24520, BELLEVUE AND WALKER, MEMPHIS, TN, 
24521, BENDER AND MILLBRANCH, MEMPHIS, TN, 
24522, BRITTON AND CHELSEA, MEMPHIS, TN, 
24523, BROAD AND HOLLYWOOD, MEMPHIS, TN, 
24524, BROOKS AND FONTAINE, MEMPHIS, TN, 
24525, BROOKS AND HORN LAKE, MEMPHIS, TN, 
24526, BURBANK AND OUTLAND, MEMPHIS, TN, 
24527, CARNES AND GRAND, MEMPHIS, TN, 
24528, CENTRAL AND GOODLETT, MEMPHIS, TN, 
24529, CHELSEA AND FAIRFAX, MEMPHIS, TN, 
24530, CHELSEA AND UNIVERSITY, MEMPHIS, TN, 
24531, CLEVELAND AND OVERTON PARK, MEMPHIS, TN, 
24532, COLLEGE AND SOUTH PKWY, MEMPHIS, TN, 
24533, COMANCHE AND GETWELL, MEMPHIS, TN, 
24534, COTTONWOOD AND GOODLETT, MEMPHIS, TN, 
24535, COURT AND CLARK, MEMPHIS, TN, 
24536, COVINGTON PIKE, MEMPHIS, TN, 
24537, CRAFT AND ELVIS PRESLEY, MEMPHIS, TN, 
24538, CRUMP AND POLK, MEMPHIS, TN, 
24539, DANNY THOMAS AND CRUMP, MEMPHIS, TN, 
24540, DANNY THOMAS, MEMPHIS, TN, 
24541, DAWN AND FRAYSER, MEMPHIS, TN, 
24542, DEADRICK AND GRAND, MEMPHIS, TN, 
24543, DEADRICK AND HUGENOT, MEMPHIS, TN, 
24544, DECATUR AND DELMAR, MEMPHIS, TN, 
24545, DELLWOOD AND BASKIN, MEMPHIS, TN, 
24546, DELLWOOD AND SIGNAL, MEMPHIS, TN, 
24547, DEMOCRAT AND TCHULAHOMA, MEMPHIS, TN, 
24548, DORIS AND GAITHER, MEMPHIS, TN, 
24549, DUNLAP AND KEEL, MEMPHIS, TN, 
24550, DUNLAP AND SAFFARANS, MEMPHIS, TN, 
24551, DUNN AND CASTALIA, MEMPHIS, TN, 
24552, DUNN AND GETWELL, MEMPHIS, TN, 
24553, E ALCY AND W HILLVIEW, MEMPHIS, TN, 
24554, EARLY MAXWELL AND CENTRAL, MEMPHIS, TN, 
24555, ECHLES AND ELLISTON, MEMPHIS, TN, 
24556, EDITH AND LAUDERDALE, MEMPHIS, TN, 
24557, ELVIS PRESLEY AND CHAMBLISS, MEMPHIS, TN, 
24558, ELVIS PRESLEY AND MALLORY, MEMPHIS, TN, 
24559, ELVIS PRESLEY AND MOSBY, MEMPHIS, TN, 
24560, ELVIS PRESLEY BLVD AND RAINES RD, MEMPHIS, TN, 
24561, EVERGREEN AND ELDRIDGE, MEMPHIS, TN, 
24562, FARONIA AND SHELBY DR, MEMPHIS, TN, 
24563, FARRINGTON AND SILVERAGE, MEMPHIS, TN, 
24564, FARRIS CIRCLE AND TULANE, MEMPHIS, TN, 
24565, FERNWOOD AND SHELBY, MEMPHIS, TN, 
24566, FINLEY AND GRACELAND, MEMPHIS, TN, 
24567, FIRESTONE AND DECATUR, MEMPHIS, TN, 
24568, FIZER AND GETWELL, MEMPHIS, TN, 
24569, FRAYSER AND SCHOOLFIELD, MEMPHIS, TN, 
24570, FRAYSER SCHOOL AND FRAYSER, MEMPHIS, TN, 
24571, FRONT AND HULING, MEMPHIS, TN, 
24572, FRONT AND MADISON, MEMPHIS, TN, 
24573, GAITHER AND DORIS, MEMPHIS, TN, 
24574, GAITHER AND NEFLER, MEMPHIS, TN, 
24575, GASTON AND LATHAM, MEMPHIS, TN, 
24576, GERMANTOWN AND CORDOVA, MEMPHIS, TN, 
24577, GIVEN AND HIGHLAND, MEMPHIS, TN, 
24578, GOODLETT AND MIDDLESEX, MEMPHIS, TN, 
24579, GOODLETT AND WINGOOD, MEMPHIS, TN, 
24580, GRACELAND AND TIMOTHY, MEMPHIS, TN, 
24581, GREY AND WELLS STATION, MEMPHIS, TN, 
24582, HAYNES AND BARRON, MEMPHIS, TN, 
24583, HAYNES AND DEADRICK, MEMPHIS, TN, 
24584, HAYNES AND KIMBALL, MEMPHIS, TN, 
24585, HICKORY HILL AND WINCHESTER RD, MEMPHIS, TN, 
24586, HIGHLAND AND MACON, MEMPHIS, TN, 
24587, HODGE AND SHELBY, MEMPHIS, TN, 
24588, HOLLYWOOD AND I40, MEMPHIS, TN, 
24589, HOLMES AND MACON, MEMPHIS, TN, 
24590, HOLMES AND SUMMER, MEMPHIS, TN, 
24591, I 240 AND POPLAR, MEMPHIS, TN, 
24592, I 40 AND SYCAMORE VIEW, MEMPHIS, TN, 
24593, I-55 AND BROOKS RD, MEMPHIS, TN, 
24594, I-55 AND ELVIS PRESLEY, MEMPHIS, TN, 
24595, I-55 AND RAINES, MEMPHIS, TN, 
24596, I-55 AND THIRD, MEMPHIS, TN, 
24597, I240 AND 385, MEMPHIS, TN, 
24598, I40 AND AUSTIN PEAY, MEMPHIS, TN, 
24599, I40 AND CHELSEA, MEMPHIS, TN, 
24600, I40 AND JACKSON AVE, MEMPHIS, TN, 
24601, I55 AND BROOKS, MEMPHIS, TN, 
24602, I55 AND I240, MEMPHIS, TN, 
24603, I55 AND MALLORY, MEMPHIS, TN, 
24604, ISLAND DR AND ISLAND PLACE, MEMPHIS, TN, 
24605, JACKSON AND MAMIE, MEMPHIS, TN, 
24606, JACKSON AND MERTON, MEMPHIS, TN, 
24607, JACKSON AND STONEWALL, MEMPHIS, TN, 
24608, JACKSON AND TOWNES, MEMPHIS, TN, 
24609, JACKSON AND VERNON, MEMPHIS, TN, 
24610, JACKSON AVE AND ORCHI, MEMPHIS, TN, 
24611, JONES AND RALEIGH MILLINGTON, MEMPHIS, TN, 
24612, JOSEPHINE AND SOUTHERN, MEMPHIS, TN, 
24613, KANSAS AND PERSON, MEMPHIS, TN, 
24614, KANSAS AND PRETORIA, MEMPHIS, TN, 
24615, KANSAS AND YAZOO, MEMPHIS, TN, 
24616, KENDRICK AND NATIONAL, MEMPHIS, TN, 
24617, KERR AND S PKWY, MEMPHIS, TN, 
24618, KERWIN AND EGYPT CENTRAL, MEMPHIS, TN, 
24619, KERWIN AND VOLTAIRE, MEMPHIS, TN, 
24620, KIMBALL AND HUGENOT, MEMPHIS, TN, 
24621, KNIGHT ARNOLD RD AND GETWELL RD, MEMPHIS, TN, 
24622, LABELLE AND DUNN, MEMPHIS, TN, 
24623, LAMAR AND CLEVELAND, MEMPHIS, TN, 
24624, LAMAR AND EMMIE, MEMPHIS, TN, 
24625, LAMAR AVE AND SEMMES ST, MEMPHIS, TN, 
24626, LAMBERT AND CHELSEA, MEMPHIS, TN, 
24627, LATHAM AND GASTON, MEMPHIS, TN, 
24628, LAUDERDALE AND MCLEMORE, MEMPHIS, TN, 
24629, LAUDERDALE AND POPLAR, MEMPHIS, TN, 
24630, LAUDERDALE AND WALKER, MEMPHIS, TN, 
24631, LEVI AND NEELY, MEMPHIS, TN, 
24632, MACON AND JAMERSON, MEMPHIS, TN, 
24633, MACON RD AND MULLINS STATION, MEMPHIS, TN, 
24634, MAIN AND EXCHANGE, MEMPHIS, TN, 
24635, MAIN AND MONROE, MEMPHIS, TN, 
24636, MAPLEWOOD AND SANDERS, MEMPHIS, TN, 
24637, MCCRORY AND STRATFORD, MEMPHIS, TN, 
24638, MCLEAN AND CHELSEA, MEMPHIS, TN, 
24639, MILLBRANCH AND BENDER, MEMPHIS, TN, 
24640, MILLBRANCH AND CRIMSON, MEMPHIS, TN, 
24641, MILLBRANCH AND WILSON, MEMPHIS, TN, 
24642, MILTON AND BOSTON, MEMPHIS, TN, 
24643, MISSISSIPPI AND RACE, MEMPHIS, TN, 
24644, MITCHELL AND DAGGETT, MEMPHIS, TN, 
24645, MITCHELL AND WEAVER, MEMPHIS, TN, 
24646, MOHAWK AND DEERLAND, MEMPHIS, TN, 
24647, MONROE AND CLEVELAND, MEMPHIS, TN, 
24648, MONROE AND WILLETT, MEMPHIS, TN, 
24649, MONTGOMERY AND JACKSON, MEMPHIS, TN, 
24650, MORNINGVIEW AND APPLEWOOD, MEMPHIS, TN, 
24651, MORRISON AND COURT, MEMPHIS, TN, 
24652, MT MORIAH AND CLARK, MEMPHIS, TN, 
24653, MULBERRY AND LINDEN, MEMPHIS, TN, 
24654, NATIONAL AND KENDRICK, MEMPHIS, TN, 
24655, NEELY AND SHELBY, MEMPHIS, TN, 
24656, NORRIS AND HERNANDO, MEMPHIS, TN, 
24657, OLD GETWELL AND LAMAR, MEMPHIS, TN, 
24658, OLIVER AND COOPER, MEMPHIS, TN, 
24659, OVERTON CROSSING AND WOODLAWN, MEMPHIS, TN, 
24660, PARK AND BALTIMORE, MEMPHIS, TN, 
24661, PARK AND LYNNFIELD, MEMPHIS, TN, 
24662, PAULINE AND POPLAR, MEMPHIS, TN, 
24663, PEABODY PLACE AND SECOND, MEMPHIS, TN, 
24664, PEARCE AND LOONEY, MEMPHIS, TN, 
24665, PENDLETON AND BURNS, MEMPHIS, TN, 
24666, PENDLETON AND DUNN, MEMPHIS, TN, 
24667, PENDLETON AND FIZER, MEMPHIS, TN, 
24668, PENDLETON AND SELECT, MEMPHIS, TN, 
24669, PENDLETON AND SUPREME, MEMPHIS, TN, 
24670, PENNSYLVANIA AND PERSON, MEMPHIS, TN, 
24671, PERKINS AND I-240, MEMPHIS, TN, 
24672, PERKINS AND PARK, MEMPHIS, TN, 
24673, PERKINS AND SHOWCASE, MEMPHIS, TN, 
24674, PERSON AND GAITHER, MEMPHIS, TN, 
24675, PERSON AND MARJORIE, MEMPHIS, TN, 
24676, PONTOTOC AND SECOND, MEMPHIS, TN, 
24677, POPE AND NATHAN, MEMPHIS, TN, 
24678, POPLAR AVE AND HIGHLAND ST, MEMPHIS, TN, 
24679, POPLAR AVE AND HIGHLAND, MEMPHIS, TN, 
24680, POPLAR AVE, MEMPHIS, TN, 
24681, PORTER AND PROVINE, MEMPHIS, TN, 
24682, POWERS AND COLEMAN, MEMPHIS, TN, 
24683, PRESCOTT AND RAINES, MEMPHIS, TN, 
24684, PRESCOTT AND VANUYS, MEMPHIS, TN, 
24685, PROSPECT AND ALICE, MEMPHIS, TN, 
24686, QUINCE AND FIVE COLONIES, MEMPHIS, TN, 
24687, RAINES AND GETWELL, MEMPHIS, TN, 
24688, RALEIGH LAGRANGE RD AND CREEKWOOD DR, MEMPHIS, TN, 
24689, RALEIGH MILLINGTON AND EGYPT CENTRAL, MEMPHIS, TN, 
24690, RAMILL AND MONESSEN, MEMPHIS, TN, 
24691, RANGE LINE AND ST ELMO, MEMPHIS, TN, 
24692, RANGELINE AND FRAYSER BLVD, MEMPHIS, TN, 
24693, RANGELINE AND ORMAN, MEMPHIS, TN, 
24694, RED OAK AND MIMOSA, MEMPHIS, TN, 
24695, RICHMOND AND MISSISSIPPI, MEMPHIS, TN, 
24696, RIDGEMONT AVE AND NEW ALLEN RD, MEMPHIS, TN, 
24697, RIDGEWAY AND POPLAR, MEMPHIS, TN, 
24698, RIDGEWAY, MEMPHIS, TN, 
24699, RIVERDALE AND SHELBY, MEMPHIS, TN, 
24700, RIVERDALE RD AND SHELBY DR, MEMPHIS, TN, 
24701, RIVERSIDE AND GEORGIA, MEMPHIS, TN, 
24702, RUFUS THOMAS AND PEABODY, MEMPHIS, TN, 
24703, S HIGHLAND AND HADLEY, MEMPHIS, TN, 
24704, S MENDENHALL AND KNIGHT ARNOLD, MEMPHIS, TN, 
24705, S PKWY AND S BELLEVUE, MEMPHIS, TN, 
24706, S THIRD AND HORN LAKE, MEMPHIS, TN, 
24707, S THIRD AND S PKWY, MEMPHIS, TN, 
24708, SAFFARANS AND DUNLAP, MEMPHIS, TN, 
24709, SANDERS AND TREZEVANT, MEMPHIS, TN, 
24710, SCHOOLFIELD AND GRUBER, MEMPHIS, TN, 
24711, SCOTT AND HALE, MEMPHIS, TN, 
24712, SCOTT AND YALE, MEMPHIS, TN, 
24713, SECOND AND MARKET, MEMPHIS, TN, 
24714, SECOND AND WEBSTER, MEMPHIS, TN, 
24715, SHARPE AND CHEROKEE, MEMPHIS, TN, 
24716, SHELBY DR AND BERTA, MEMPHIS, TN, 
24717, SHELBY OAKS AND SUMMER, MEMPHIS, TN, 
24718, SOUTH PKWY AND ELVIS PRESLEY, MEMPHIS, TN, 
24719, SOUTH PKWY AND WILSON, MEMPHIS, TN, 
24720, SOUTH THIRD AND BELZ, MEMPHIS, TN, 
24721, SOUTHERN AND COOPER, MEMPHIS, TN, 
24722, SOUTHERN AND MCLEAN, MEMPHIS, TN, 
24723, SPOTTSWOOD AND BUNTYN, MEMPHIS, TN, 
24724, SPRINGDALE AND MATTHEWS, MEMPHIS, TN, 
24725, STEELE AND BRIARCREST, MEMPHIS, TN, 
24726, STEELE AND ROLLING HILLS, MEMPHIS, TN, 
24727, SUMMER AND MERTON, MEMPHIS, TN, 
24728, SUMMER AND N GRAHAM, MEMPHIS, TN, 
24729, SUMMER AND VANDALIA, MEMPHIS, TN, 
24730, SUMMER AVE AND SYCAMORE VIEW, MEMPHIS, TN, 
24731, SUMMER AVE AND WHITE STATION, MEMPHIS, TN, 
24732, SYCAMORE VIEW AND RALIEGH LAGRANGE, MEMPHIS, TN, 
24733, SYCAMORE VIEW RD AND SHELBY OAKS DR, MEMPHIS, TN, 
24734, TCHULAHOMA AND ARNOLD, MEMPHIS, TN, 
24735, THIRD AND DAVANT, MEMPHIS, TN, 
24736, THIRD AND MILL, MEMPHIS, TN, 
24737, THIRD AND SOUTH PKWY, MEMPHIS, TN, 
24738, THIRD AND VANCE, MEMPHIS, TN, 
24739, THIRD ST AND BELZ, MEMPHIS, TN, 
24740, TILLMAN AND POPLAR, MEMPHIS, TN, 
24741, TILLMAN ST AND MIMOSA AVE, MEMPHIS, TN, 
24742, TREZEVANT AND HARGROVE, MEMPHIS, TN, 
24743, TRIGG AND WELLINGTON, MEMPHIS, TN, 
24744, TULANE AND WHITEHAVEN LN, MEMPHIS, TN, 
24745, TUTWILER AND GRAHAM, MEMPHIS, TN, 
24746, UNION AND REMBERT, MEMPHIS, TN, 
24747, VANCE AND THIRD, MEMPHIS, TN, 
24748, VOLLINTINE AND DECATUR, MEMPHIS, TN, 
24749, VOLLINTINE AND EVERGREEN, MEMPHIS, TN, 
24750, WALKER AND PATTON, MEMPHIS, TN, 
24751, WALNUT GROVE AND FARM, MEMPHIS, TN, 
24752, WALNUT GROVE AND GERMANTOWN PKWY, MEMPHIS, TN, 
24753, WALNUT GROVE AND PERKINS, MEMPHIS, TN, 
24754, WATKINS AND HENRY, MEMPHIS, TN, 
24755, WATKINS AND I-240, MEMPHIS, TN, 
24756, WATKINS AND ST ELMO, MEMPHIS, TN, 
24757, WATSON AND KNIGHT ARNOLD, MEMPHIS, TN, 
24758, WEAVER AND RAINES, MEMPHIS, TN, 
24759, WESTMONT AND RAINES, MEMPHIS, TN, 
24760, WHITEHAVEN LN AND ELVIS PRESLEY, MEMPHIS, TN, 
24761, WHITNEY AND BENJESTOWN, MEMPHIS, TN, 
24762, WILLOW AND MT MORIAH, MEMPHIS, TN, 
24763, WILLOWVIEW AND GETWELL, MEMPHIS, TN, 
24764, WINCHESTER AND LAKE PARK, MEMPHIS, TN, 
24765, WINCHESTER AND PLOUGH, MEMPHIS, TN, 
24766, WINCHESTER AND RIDGE MEADOW PKWY, MEMPHIS, TN, 
24767, WINCHESTER RD AND HICKORY HILL RD, MEMPHIS, TN, 
24768, WINCHESTER RD AND KNIGHT RD, MEMPHIS, TN, 
24769, WINNONA AND HOLLYWOOD, MEMPHIS, TN, 
24770, WOODWARD AND KERR, MEMPHIS, TN, 
24771, YOUNG AND COOPER, MEMPHIS, TN, 
24772, 100 BELLEAIR DR, MEMPHIS, TN, 
24773, 100 CHERRY LN, MEMPHIS, TN, 
24774, 100 CHERRY RD, MEMPHIS, TN, 
24775, 100 CT, MEMPHIS, TN, 
24776, 100 E BELLEHAVEN, MEMPHIS, TN, 
24777, 100 E DEMPSTER ST, MEMPHIS, TN, 
24778, 100 E SHELBY, MEMPHIS, TN, 
24779, 100 EAST BROOKS, MEMPHIS, TN, 
24780, 100 FAY, MEMPHIS, TN, 
24781, 100 FERNWOOD AVE, MEMPHIS, TN, 
24782, 100 FLORIDA PARK CR, MEMPHIS, TN, 
24783, 100 FRONT, MEMPHIS, TN, 
24784, 100 GEETER, MEMPHIS, TN, 
24785, 100 HUMPHREY, MEMPHIS, TN, 
24786, 100 MAIN, MEMPHIS, TN, 
24787, 100 MODDER, MEMPHIS, TN, 
24788, 100 N ANGELUS, MEMPHIS, TN, 
24789, 100 N ARCADIAN CIR, MEMPHIS, TN, 
24790, 100 N COX, MEMPHIS, TN, 
24791, 100 N FERNWAY, MEMPHIS, TN, 
24792, 100 N MONTGOMERY, MEMPHIS, TN, 
24793, 100 N PRESCOTT, MEMPHIS, TN, 
24794, 100 PINEHURST, MEMPHIS, TN, 
24795, 100 RIVERVIEW DR W, MEMPHIS, TN, 
24796, 100 S AUBURNDALE ST, MEMPHIS, TN, 
24797, 100 S CLEVELAND ST, MEMPHIS, TN, 
24798, 100 S EDGEWOOD, MEMPHIS, TN, 
24799, 100 SHOEMAKER CT, MEMPHIS, TN, 
24800, 100 SOUTH CAMILLA ST, MEMPHIS, TN, 
24801, 100 SOUTH FENWICK, MEMPHIS, TN, 
24802, 100 ST ALBANS FAIRWAY, MEMPHIS, TN, 
24803, 100 TILLMAN ST, MEMPHIS, TN, 
24804, 100 W E H CRUMP BLVD, MEMPHIS, TN, 
24805, 100 W FAIRWAY, MEMPHIS, TN, 
24806, 100 W MCLEMORE, MEMPHIS, TN, 
24807, 100 W OLIVE ST, MEMPHIS, TN, 
24808, 100 W PEEBLES RD, MEMPHIS, TN, 
24809, 100 WEST ROLLINS, MEMPHIS, TN, 
24810, 100 WEST TRIGG, MEMPHIS, TN, 
24811, 1000 BARTON ST, MEMPHIS, TN, 
24812, 1000 BLANCHARD RD, MEMPHIS, TN, 
24813, 1000 BLYTHE ST, MEMPHIS, TN, 
24814, 1000 BRAD DR, MEMPHIS, TN, 
24815, 1000 DR HOLLIS F PRICE ST, MEMPHIS, TN, 
24816, 1000 E PERSON AVE, MEMPHIS, TN, 
24817, 1000 GILLILAND, MEMPHIS, TN, 
24818, 1000 HAYNES ST, MEMPHIS, TN, 
24819, 1000 JEHL PLACE, MEMPHIS, TN, 
24820, 1000 KELLY, MEMPHIS, TN, 
24821, 1000 KENSINGTON, MEMPHIS, TN, 
24822, 1000 KIPPLEY ST, MEMPHIS, TN, 
24823, 1000 LEACREST RD, MEMPHIS, TN, 
24824, 1000 LEE AVE, MEMPHIS, TN, 
24825, 1000 LEWIS ST, MEMPHIS, TN, 
24826, 1000 MAXEY ST, MEMPHIS, TN, 
24827, 1000 MISTY BIRCH LN, MEMPHIS, TN, 
24828, 1000 NEFLER AVE, MEMPHIS, TN, 
24829, 1000 NEWELL ST, MEMPHIS, TN, 
24830, 1000 NORTH AVALON, MEMPHIS, TN, 
24831, 1000 RICHLAND DR, MEMPHIS, TN, 
24832, 1000 ROBINHOOD, MEMPHIS, TN, 
24833, 1000 S LAUDERDALE ST, MEMPHIS, TN, 
24834, 1000 S WILLET, MEMPHIS, TN, 
24835, 1000 SAXON AVE, MEMPHIS, TN, 
24836, 1000 SOUTH ORLEANS, MEMPHIS, TN, 
24837, 1000 TAMSWAY CIRCLE, MEMPHIS, TN, 
24838, 1000 THIRD, MEMPHIS, TN, 
24839, 1000 TWINKLETOWN, MEMPHIS, TN, 
24840, 1000 WALKER AVE, MEMPHIS, TN, 
24841, 10000 HOUSTON BIRCH, MEMPHIS, TN, 
24842, 10000 SPILLWAY, MEMPHIS, TN, 
24843, 10300 EVENING HILL, MEMPHIS, TN, 
24844, 10400 COTTAGE OAKS, MEMPHIS, TN, 
24845, 1100 ANNESDALE AVE, MEMPHIS, TN, 
24846, 1100 ARNOLD PLACE, MEMPHIS, TN, 
24847, 1100 BAMMEL AVE, MEMPHIS, TN, 
24848, 1100 BLYTHE ST, MEMPHIS, TN, 
24849, 1100 CARROLTON AVE, MEMPHIS, TN, 
24850, 1100 COLONIAL RD, MEMPHIS, TN, 
24851, 1100 DECATUR ST, MEMPHIS, TN, 
24852, 1100 DOVE HOLLOW DR, MEMPHIS, TN, 
24853, 1100 E CABANA ST, MEMPHIS, TN, 
24854, 1100 E CRUMP, MEMPHIS, TN, 
24855, 1100 E TRIGG AVE, MEMPHIS, TN, 
24856, 1100 E WALTHAL CIR, MEMPHIS, TN, 
24857, 1100 E WALTHAL CIRCLE, MEMPHIS, TN, 
24858, 1100 E WALTHAL, MEMPHIS, TN, 
24859, 1100 EAST CABANA CIR, MEMPHIS, TN, 
24860, 1100 EAST PKWY SOUTH, MEMPHIS, TN, 
24861, 1100 EASTMORELAND, MEMPHIS, TN, 
24862, 1100 ELIZABETH LN, MEMPHIS, TN, 
24863, 1100 GOODMAN ST, MEMPHIS, TN, 
24864, 1100 HUNTERS POINT, MEMPHIS, TN, 
24865, 1100 KINGS PARK, MEMPHIS, TN, 
24866, 1100 MINOR RD, MEMPHIS, TN, 
24867, 1100 N BALL, MEMPHIS, TN, 
24868, 1100 N MCNEIL ST, MEMPHIS, TN, 
24869, 1100 N SECOND ST, MEMPHIS, TN, 
24870, 1100 NORTH SECOND, MEMPHIS, TN, 
24871, 1100 PARK CT DR, MEMPHIS, TN, 
24872, 1100 RAY BLANTON, MEMPHIS, TN, 
24873, 1100 ROBINHOOD, MEMPHIS, TN, 
24874, 1100 S 3RD ST, MEMPHIS, TN, 
24875, 1100 S PKWY EAST, MEMPHIS, TN, 
24876, 1100 SEYMOUR, MEMPHIS, TN, 
24877, 1100 SOUTH BELLEVUE, MEMPHIS, TN, 
24878, 1100 SOUTH PKWY, MEMPHIS, TN, 
24879, 1100 SOUTH WELLINGTON, MEMPHIS, TN, 
24880, 1100 SPRINGDALE AVE, MEMPHIS, TN, 
24881, 1100 W LEXINGTON CIR, MEMPHIS, TN, 
24882, 1100 WATKINS ST, MEMPHIS, TN, 
24883, 1100 WEST WALTHAL CIRCLE, MEMPHIS, TN, 
24884, 1100 WICHITA, MEMPHIS, TN, 
24885, 1100 WILMORE, MEMPHIS, TN, 
24886, 1200 AUDUBON DR, MEMPHIS, TN, 
24887, 1200 BARRON AVE, MEMPHIS, TN, 
24888, 1200 BRADBURY CV, MEMPHIS, TN, 
24889, 1200 CHAMBLISS RD, MEMPHIS, TN, 
24890, 1200 CONNEMARA AVE, MEMPHIS, TN, 
24891, 1200 CRAFT RD, MEMPHIS, TN, 
24892, 1200 DOROTHY PL, MEMPHIS, TN, 
24893, 1200 EAST BROOKS RD, MEMPHIS, TN, 
24894, 1200 ECHLES ST, MEMPHIS, TN, 
24895, 1200 ENGLEWOOD ST, MEMPHIS, TN, 
24896, 1200 GERARD PLACE, MEMPHIS, TN, 
24897, 1200 GRANT, MEMPHIS, TN, 
24898, 1200 HARPETH, MEMPHIS, TN, 
24899, 1200 ISLAND PLACE EAST, MEMPHIS, TN, 
24900, 1200 MARBRO DR, MEMPHIS, TN, 
24901, 1200 MARECHALNEIL ST, MEMPHIS, TN, 
24902, 1200 MOOREHEAD, MEMPHIS, TN, 
24903, 1200 N BELLEVUE BLVD, MEMPHIS, TN, 
24904, 1200 N BELVEDERE BLVD, MEMPHIS, TN, 
24905, 1200 NORTH EVERGREEN, MEMPHIS, TN, 
24906, 1200 NORTH HIGHLAND, MEMPHIS, TN, 
24907, 1200 NORTH HOLMES, MEMPHIS, TN, 
24908, 1200 RIVERSIDE, MEMPHIS, TN, 
24909, 1200 SAXON AVE, MEMPHIS, TN, 
24910, 1200 SOUTH PKWY EAST, MEMPHIS, TN, 
24911, 1200 TUTWILER AVE, MEMPHIS, TN, 
24912, 1200 VICTOR, MEMPHIS, TN, 
24913, 1200 WILLIE B MITCHELL, MEMPHIS, TN, 
24914, 1300 APPLE BROOK LN, MEMPHIS, TN, 
24915, 1300 BAUMAN DR, MEMPHIS, TN, 
24916, 1300 BROOKFIELD RD, MEMPHIS, TN, 
24917, 1300 BROOKS, MEMPHIS, TN, 
24918, 1300 BROWER, MEMPHIS, TN, 
24919, 1300 CANFIELD ST, MEMPHIS, TN, 
24920, 1300 CAROLYN DR, MEMPHIS, TN, 
24921, 1300 CARROLTON AVE, MEMPHIS, TN, 
24922, 1300 CHERRY RD, MEMPHIS, TN, 
24923, 1300 CHERRY, MEMPHIS, TN, 
24924, 1300 CONNEMARA, MEMPHIS, TN, 
24925, 1300 CORPORATE AVE, MEMPHIS, TN, 
24926, 1300 DEARING RD, MEMPHIS, TN, 
24927, 1300 DEMPSTER, MEMPHIS, TN, 
24928, 1300 DOGWOOD RD, MEMPHIS, TN, 
24929, 1300 EAST MALLORY, MEMPHIS, TN, 
24930, 1300 EMPIRE ST, MEMPHIS, TN, 
24931, 1300 ESTATE, MEMPHIS, TN, 
24932, 1300 GARFIELD, MEMPHIS, TN, 
24933, 1300 GRAND ST, MEMPHIS, TN, 
24934, 1300 HARBOR RIVER DR, MEMPHIS, TN, 
24935, 1300 MAPLE BROOK LN, MEMPHIS, TN, 
24936, 1300 MERRYCREST DR, MEMPHIS, TN, 
24937, 1300 MINOR RD, MEMPHIS, TN, 
24938, 1300 MINOR, MEMPHIS, TN, 
24939, 1300 MOSSBROOK, MEMPHIS, TN, 
24940, 1300 OAK RIDGE, MEMPHIS, TN, 
24941, 1300 PALLWOOD RD, MEMPHIS, TN, 
24942, 1300 PARKLAND, MEMPHIS, TN, 
24943, 1300 PERKINS, MEMPHIS, TN, 
24944, 1300 QUAIL RIDGE, MEMPHIS, TN, 
24945, 1300 SAXON AVE, MEMPHIS, TN, 
