143001, AIRWAYS BLV AND LAMAR AVE, MEMPHIS, TN, 
143418, APPLING FARMS AND APPLING, MEMPHIS, TN, 
143419, APPLING FARMS AND HILLSHIRE, MEMPHIS, TN, 
143420, APPLING FARMS PARKWAY AND APPLING RD, MEMPHIS, TN, 
143421, APPLING FARMS PARKWAY AND WHITTEN RD, MEMPHIS, TN, 
143422, APPLING FARMS PKWY AND HILLSHIRE DR, MEMPHIS, TN, 
143423, APPLING FARMS PKWY AND HILLSHIRE, MEMPHIS, TN, 
143424, APPLING FARMS PKWY, MEMPHIS, TN, 
143425, APPLING FARMS PKY AND APPLING, MEMPHIS, TN, 
143426, APPLING FRAMS PKWY EAST OF 6850, MEMPHIS, TN, 
143427, APPLING N AND B AND I40, MEMPHIS, TN, 
143428, APPLING RD AND APPLING FARMS PKWY, MEMPHIS, TN, 
143429, APPLING RD AND BELLVUE, MEMPHIS, TN, 
143430, APPLING RD AND CORDOVA, MEMPHIS, TN, 
143431, APPLING RD AND DEXTER, MEMPHIS, TN, 
143432, APPLING RD AND GOODLETT FARMS, MEMPHIS, TN, 
143433, APPLING RD AND HWY 64, MEMPHIS, TN, 
143434, APPLING RD AND I40, MEMPHIS, TN, 
143435, APPLING RD AND STAGE RD, MEMPHIS, TN, 
143436, APPLING RD NORTH OF I-40, MEMPHIS, TN, 
143437, APPLING RD SOUTH OF APPLING FARMS PKWY, MEMPHIS, TN, 
143438, APPLING RD SOUTH OF DEXTER, MEMPHIS, TN, 
143439, APPLING S AND O I-40, MEMPHIS, TN, 
143440, APPLING-I-40, MEMPHIS, TN, 
143441, APPLYING AND HIGHWAY 64, MEMPHIS, TN, 
143442, APPLYING AND REESE, MEMPHIS, TN, 
143443, APRICOT AND FLOWERING PEACH, MEMPHIS, TN, 
143444, APT 4 3439 BRIARPARK DR, MEMPHIS, TN, 
143445, APTS ON SHELBY DR, MEMPHIS, TN, 
143446, AQUARIUS AND SPUNTIK, MEMPHIS, TN, 
143447, AQUARIUS AND SPUTNICK, MEMPHIS, TN, 
143448, AQUARIUS AND ZODIAC, MEMPHIS, TN, 
143449, ARBOR LAKE AND LAKE VIEW TRAIL, MEMPHIS, TN, 
143450, ARBOR LAKE AND RIDGEWAY, MEMPHIS, TN, 
143451, ARBOR LAKE DR AND LAKE ARBOR PL, MEMPHIS, TN, 
143452, ARBOR LAKE DR AND RIDGEWAY, MEMPHIS, TN, 
143453, ARBOR LAKE DR, MEMPHIS, TN, 
143454, ARBOR LAKE PL AND LAKE ARBOR DR, MEMPHIS, TN, 
143455, ARBOR LAKE PL AND PECAN LAKE DR, MEMPHIS, TN, 
143456, ARBOR LAKE PLACE AND RIDGEWAY RD, MEMPHIS, TN, 
143457, ARBOR LANE, MEMPHIS, TN, 
143458, ARBOR PLACE N 201 BLDG 365, MEMPHIS, TN, 
143459, ARBOR VIEW AND CENTURY ARBOR, MEMPHIS, TN, 
143460, ARBOR VIEW CT & CENTURY CENTER PKWY, MEMPHIS, TN, 
143461, ARBORS APTS, MEMPHIS, TN, 
143462, ARBORWOOD AND KNIGHT ARNOLD RD, MEMPHIS, TN, 
143463, ARBORWOOD DR, MEMPHIS, TN, 
143464, ARBURN AND CRAFT, MEMPHIS, TN, 
143465, ARBURN RD AND WHITEHAVEN LN, MEMPHIS, TN, 
143466, ARCHER CV AND W RAINES RD, MEMPHIS, TN, 
143467, ARDENT RD AND HONOR PARK LOOP, MEMPHIS, TN, 
143468, ARDMORE AND ARDMORE CV, MEMPHIS, TN, 
143469, ARDMORE AND FRAYSER BLVD, MEMPHIS, TN, 
143470, ARDMORE AND TIM-TAM, MEMPHIS, TN, 
143471, ARDMORE AND WINNIE, MEMPHIS, TN, 
143472, ARDWICK AND LYNNFIELD, MEMPHIS, TN, 
143473, AREA OF 1003 GOODMAN, MEMPHIS, TN, 
143474, AREA OF 1363 PERSON, MEMPHIS, TN, 
143475, AREA OF 1571 RAILTON, MEMPHIS, TN, 
143476, AREA OF 1975 WALL ST, MEMPHIS, TN, 
143477, AREA OF 2160 E PERSON, MEMPHIS, TN, 
143478, AREA OF 2469 CABLE, MEMPHIS, TN, 
143479, AREA OF 2768 PARK, MEMPHIS, TN, 
143480, AREA OF 3295 VALLEY STREAM CV, MEMPHIS, TN, 
143481, AREA OF 335 RED OAK, MEMPHIS, TN, 
143482, AREA OF 4200 WILLOWVIEW, MEMPHIS, TN, 
143483, AREA OF AIRWAYS AND KETCHUM, MEMPHIS, TN, 
143484, AREA OF BALTIMORE, MEMPHIS, TN, 
143485, AREA OF BERRYHILL RD AND HWY 64, MEMPHIS, TN, 
143486, AREA OF CEDAR MILLS CV, MEMPHIS, TN, 
143487, AREA OF GILL AND HOLMES, MEMPHIS, TN, 
143488, AREA OF HOLLYWOOD AND CHELSEA, MEMPHIS, TN, 
143489, AREA OF HOLMES AND COLEMAN, MEMPHIS, TN, 
143490, AREA OF JACKSON AVE AND RA-LAGRANGE, MEMPHIS, TN, 
143491, AREA OF KALLAHER AND JACKSON, MEMPHIS, TN, 
143492, AREA OF KIMBALL AND ECHLES, MEMPHIS, TN, 
143493, AREA OF KURT AND KANSAS, MEMPHIS, TN, 
143494, AREA OF MT MORIAH AND RIDGEWAY, MEMPHIS, TN, 
143495, AREA OF NEW ALLEN AND RIDGEMONT, MEMPHIS, TN, 
143496, AREA OF NORTH HIGHLAND, MEMPHIS, TN, 
143497, AREA OF PARK AND HIGHLAND, MEMPHIS, TN, 
143498, AREA OF PARK AND PENDLETON, MEMPHIS, TN, 
143499, AREA OF POPE AND CHELSEA, MEMPHIS, TN, 
143500, AREA OF RIDGEMONT AND NEW ALLEN, MEMPHIS, TN, 
143501, AREA OF RIVERSIDE DR AND BEALE, MEMPHIS, TN, 
143502, AREA OF S PKWY AND PRESTON, MEMPHIS, TN, 
143503, AREA OF ST ELMO AND RALEIGH MILLINGTON, MEMPHIS, TN, 
143504, AREA OF SUMMER AND BALTIC, MEMPHIS, TN, 
143505, AREA OF US HIGHWAY 51, MEMPHIS, TN, 
143506, AREA OF WHITE STATION AND WALNUT GROVE, MEMPHIS, TN, 
143507, AREA ON 777 POPLAR, MEMPHIS, TN, 
143508, ARGO AND YOKELY, MEMPHIS, TN, 
143509, ARGO AND YOKLEY, MEMPHIS, TN, 
143510, ARGONE AND ST ELMO, MEMPHIS, TN, 
143511, ARGONNE AND BERHAM, MEMPHIS, TN, 
143512, ARGONNE AND BURHAM, MEMPHIS, TN, 
143513, ARGONNE AND MCCAYLLAY, MEMPHIS, TN, 
143514, ARGONNE AND MCCULLY, MEMPHIS, TN, 
143515, ARGONNE AND OVERTONCROSSING, MEMPHIS, TN, 
143516, ARGONNE AND STELMO, MEMPHIS, TN, 
143517, ARGONNE AND WATKINS, MEMPHIS, TN, 
143518, ARGONNE AND WELLONS, MEMPHIS, TN, 
143519, ARGONNE, MEMPHIS, TN, 
143520, ARGONNEST AND MACAULAY, MEMPHIS, TN, 
143521, ARGYLE AND COKER, MEMPHIS, TN, 
143522, ARIUM AND SHELBY FARMS, MEMPHIS, TN, 
143523, ARKANASAS AND PERSON AVE, MEMPHIS, TN, 
143524, ARKANSAS AND BEAR BRYANT, MEMPHIS, TN, 
143525, ARKANSAS AND BURDOCK, MEMPHIS, TN, 
143526, ARKANSAS AND EARLY MAXWELL, MEMPHIS, TN, 
143527, ARKANSAS AND FAY, MEMPHIS, TN, 
143528, ARKANSAS AND FIELDS, MEMPHIS, TN, 
143529, ARKANSAS AND S PKWY, MEMPHIS, TN, 
143530, ARKANSAS ST AND PERSON ST, MEMPHIS, TN, 
143531, ARKANSASS AND BURDOCK, MEMPHIS, TN, 
143532, ARLENE AND ARDMORE, MEMPHIS, TN, 
143533, ARLINGTON AND KEATING, MEMPHIS, TN, 
143534, ARLINGTON AND KEATON, MEMPHIS, TN, 
143535, ARLINGTON AND LABELLE, MEMPHIS, TN, 
143536, ARLINGTON AND PENDELTON, MEMPHIS, TN, 
143537, ARLINGTON AND TREZEVANT, MEMPHIS, TN, 
143538, ARLINGTON AVE AND HAMILTON ST, MEMPHIS, TN, 
143539, ARLINGTON AVE AND PENDLETON ST, MEMPHIS, TN, 
143540, ARLINGTON STREET AND BETHEL GROVE, MEMPHIS, TN, 
143541, ARLINGTON, MEMPHIS, TN, 
143542, ARMISTEAD AND SOUTHWALL, MEMPHIS, TN, 
143543, ARMISTEAD AND WILDROSE, MEMPHIS, TN, 
143544, ARMORE AND TIM TAM, MEMPHIS, TN, 
143545, ARMSTEAD AND LOUNETTE, MEMPHIS, TN, 
143546, ARMSTRONG AND HORNLAKE, MEMPHIS, TN, 
143547, ARNETT AND ASH, MEMPHIS, TN, 
143548, ARNETT AND BROOKINS, MEMPHIS, TN, 
143549, ARNETTE AND ASH, MEMPHIS, TN, 
143550, ARNOLD AND EDITH, MEMPHIS, TN, 
143551, ARNOLD AND JEANETTE, MEMPHIS, TN, 
143552, ARNOLD AND JENNETTE PL, MEMPHIS, TN, 
143553, ARNOLD AND LACLEDE, MEMPHIS, TN, 
143554, ARNOLD AND MEDLEY LN, MEMPHIS, TN, 
143555, ARNOLD AND SUMNERS WELL, MEMPHIS, TN, 
143556, ARNOLD AND SUMNERS WELLS, MEMPHIS, TN, 
143557, ARNOLD AND TCHLUAHOMA, MEMPHIS, TN, 
143558, ARNOLD AND TCHUHLAOMA, MEMPHIS, TN, 
143559, ARNOLD AND WHITE SANDS, MEMPHIS, TN, 
143560, ARNOLD CV AND ARNOLD, MEMPHIS, TN, 
143561, ARNOLD CV AND SUMNERS WELLS, MEMPHIS, TN, 
143562, ARNOLD DR AND SUMNERS WELLS, MEMPHIS, TN, 
143563, ARNOLD PLACE AND LACLEDE AVE, MEMPHIS, TN, 
143564, ARNOLD PLACE AND WALKER, MEMPHIS, TN, 
143565, ARNOLD RD AND MEDLEY, MEMPHIS, TN, 
143566, ARNOLD RD AND PRESCOTT RD, MEMPHIS, TN, 
143567, ARNOLD RD AND SUMNERSWELL, MEMPHIS, TN, 
143568, ARNOLD RD, TCHULAHOMA RD, MEMPHIS, TN, 
143569, ARNOLD WATSON AND KNIGHT ARNOLD, MEMPHIS, TN, 
143570, AROUND 513 FOOTE PARK CV, MEMPHIS, TN, 
143571, ARROW AND FALCON, MEMPHIS, TN, 
143572, ARROW AND WESTERN PARK, MEMPHIS, TN, 
143573, ARROW CV AND WESTERN PARK, MEMPHIS, TN, 
143574, ARROW RD AND MOHAWK AVE, MEMPHIS, TN, 
143575, ARROWHEAD AND CHERRY, MEMPHIS, TN, 
143576, ARROWHEAD AND KNIGHT ARNOLD, MEMPHIS, TN, 
143577, ARROWHEAD RD AND S GOODLETT ST, MEMPHIS, TN, 
143578, ARROWOOD AND GOODLETT, MEMPHIS, TN, 
143579, ARROWOOD AND MENDENHALL, MEMPHIS, TN, 
143580, ARROWOOD, MEMPHIS, TN, 
143581, ARROWWOOD AND CLAUDETTE, MEMPHIS, TN, 
143582, ARROWWOOD AND GOODLETT, MEMPHIS, TN, 
143583, ARSENAL AND ASPEN, MEMPHIS, TN, 
143584, ARSENAL AND YALE, MEMPHIS, TN, 
143585, ASH AND DOUGLAS, MEMPHIS, TN, 
143586, ASH AND HOLMES, MEMPHIS, TN, 
143587, ASH RIDGE AND KIRBY RD, MEMPHIS, TN, 
143588, ASH RIDGE AND SUNNYMORING, MEMPHIS, TN, 
143589, ASH ST AND CHELSEA AVE, MEMPHIS, TN, 
143590, ASH ST AND MT OLIVE ST, MEMPHIS, TN, 
143591, ASH ST AND OMAR ROBINSON ST, MEMPHIS, TN, 
143592, ASH WOOD AND CAMELOT, MEMPHIS, TN, 
143593, ASHBURN COPPOCK PARK, MEMPHIS, TN, 
143594, ASHBY AND FLORIDA, MEMPHIS, TN, 
143595, ASHBY AVE AND TEXAS ST, MEMPHIS, TN, 
143596, ASHLAND AND PEACH, MEMPHIS, TN, 
143597, ASHLAND HILLS APARTMENTS, MEMPHIS, TN, 
143598, ASHLAWN AND ASHLAWN CV, MEMPHIS, TN, 
143599, ASHLEY SQUARE AND BERKELEY SQUARE, MEMPHIS, TN, 
143600, ASHLEY SQUARE S AND JASON DR, MEMPHIS, TN, 
143601, ASHLEY SQUARE SOUTH AND YATES, MEMPHIS, TN, 
143602, ASHRIDGE AND FORREST VALLEY DR, MEMPHIS, TN, 
143603, ASHRIDGE AND FORREST VALLEY, MEMPHIS, TN, 
143604, ASHRIDGE AND HICKORY SHADOW, MEMPHIS, TN, 
143605, ASHRIDGE AND MISTY MORNING, MEMPHIS, TN, 
143606, ASHRIDGE AND SHADOWCREEK, MEMPHIS, TN, 
143607, ASHRIDGE DR AND HICKORYHILL RD, MEMPHIS, TN, 
143608, ASHRIDGE E AND O SHADOW CREEK, MEMPHIS, TN, 
143609, ASHRIDGE PL AND VALLEY TRACE CV, MEMPHIS, TN, 
143610, ASHRIDGE PLACE AND BURNETTE PLACE, MEMPHIS, TN, 
143611, ASHTON AND TRAFALGAR, MEMPHIS, TN, 
143612, ASHTON HILLS APARTMENTS, MEMPHIS, TN, 
143613, ASHTON, MEMPHIS, TN, 
143614, ASHVIEW AND CAMELOT, MEMPHIS, TN, 
143615, ASHVIEW AND KNIGHT ARNOLD, MEMPHIS, TN, 
143616, ASHVIEW COVE AND ASHWOOD ST, MEMPHIS, TN, 
143617, ASHVIEW CV AND ASHWOOD, MEMPHIS, TN, 
143618, ASHVIEW CV, MEMPHIS, TN, 
143619, ASHWOOD AND ASHVIEW COVE, MEMPHIS, TN, 
143620, ASHWOOD AND ASHWORTH, MEMPHIS, TN, 
143621, ASHWOOD AND ASHWOTH, MEMPHIS, TN, 
143622, ASHWOOD AND BERRYWOOD, MEMPHIS, TN, 
143623, ASHWOOD AND CAMELOT ST, MEMPHIS, TN, 
143624, ASHWOOD AND FOREST VIEW, MEMPHIS, TN, 
143625, ASHWOOD AND FORESTBROOK, MEMPHIS, TN, 
143626, ASHWOOD AND FORREST, MEMPHIS, TN, 
143627, ASHWOOD AND FORRESTVIEW, MEMPHIS, TN, 
143628, ASHWOOD AND NORTH BRIDGE, MEMPHIS, TN, 
143629, ASHWOOD AND PARKCHESTER ST, MEMPHIS, TN, 
143630, ASHWOOD DR AND KNIGHT ARNOLD, MEMPHIS, TN, 
143631, ASHWOOD RD AND CAMELOT AVE, MEMPHIS, TN, 
143632, ASHWOOD ST AND CAMELOT LN, MEMPHIS, TN, 
143633, ASHWOOD ST AND CAMELOT RD, MEMPHIS, TN, 
143634, ASHWOOD ST AND WATSON, MEMPHIS, TN, 
143635, ASHWOOD ST, MEMPHIS, TN, 
143636, ASHWOOD STREET AND CAMELOT AVE, MEMPHIS, TN, 
143637, ASHWOOD/KNIGHT ARNOLD, MEMPHIS, TN, 
143638, ASPEN WOOD APRTMENTS, MEMPHIS, TN, 
143639, ASPENBROOK LN AND LONGBROOK LN, MEMPHIS, TN, 
143640, ASPIRE AND SIMMS, MEMPHIS, TN, 
143641, ASTE AND PARKWAY, MEMPHIS, TN, 
143642, ASTE AND SOUTH PKWY, MEMPHIS, TN, 
143643, ASTE AND SOUTHPARKWAY, MEMPHIS, TN, 
143644, ASTE ST AND E OLIVE AVE, MEMPHIS, TN, 
143645, ASTERIOD AND WINCHESTER, MEMPHIS, TN, 
143646, ASTEROID AND WINCHESTER, MEMPHIS, TN, 
143647, ATKINS AND HOLMES, MEMPHIS, TN, 
143648, ATKINS AND WASHBURN, MEMPHIS, TN, 
143649, ATLANTA , GEORGIA, MEMPHIS, TN, 
143650, ATLANTA AND POWERS, MEMPHIS, TN, 
143651, ATLANTIC AND HARDEN, MEMPHIS, TN, 
143652, ATLANTIC AND SUMMER, MEMPHIS, TN, 
143653, ATLANTIC AND TUTWILER, MEMPHIS, TN, 
143654, ATLANTIC CR AND HOLMES, MEMPHIS, TN, 
143655, ATLANTIC ST AND HENRY AVE, MEMPHIS, TN, 
143656, ATLANTIC ST AND MATHATTEN, MEMPHIS, TN, 
143657, ATLANTIC/MANHATTEN, MEMPHIS, TN, 
143658, ATMORE AND ALOHA, MEMPHIS, TN, 
143659, ATMORE AND AND ALMO, MEMPHIS, TN, 
143660, ATMORE ST AND ARRENDALE ST, MEMPHIS, TN, 
143661, AUBORN AND CRAFT, MEMPHIS, TN, 
143662, AUBRA AND AND PRESCOTT, MEMPHIS, TN, 
143663, AUBRA AND KIMBALL, MEMPHIS, TN, 
143664, AUBRA AND RADFORD, MEMPHIS, TN, 
143665, AUBRA RD AND BARRON AVE, MEMPHIS, TN, 
143666, AUBRA RD AND RADFORD RD, MEMPHIS, TN, 
143667, AUBRA ROAD AND STANDARD ST, MEMPHIS, TN, 
143668, AUBRON, MEMPHIS, TN, 
143669, AUBUN AND HALES RD, MEMPHIS, TN, 
143670, AUBURN AND AUBURN OAKS, MEMPHIS, TN, 
143671, AUBURN AND CHAMBLISS RD, MEMPHIS, TN, 
143672, AUBURN AND E SHELBY, MEMPHIS, TN, 
143673, AUBURN AND ENFIELD, MEMPHIS, TN, 
143674, AUBURN AND KRAFT, MEMPHIS, TN, 
143675, AUBURN AND LYDGATE RD, MEMPHIS, TN, 
143676, AUBURN AND LYNWOOD, MEMPHIS, TN, 
143677, AUBURN AND MCCLURE, MEMPHIS, TN, 
143678, AUBURN AND PACE, MEMPHIS, TN, 
143679, AUBURN AND SHELBY, MEMPHIS, TN, 
143680, AUBURN AND WHITAKER, MEMPHIS, TN, 
143681, AUBURN AND WHITEHAVEN, MEMPHIS, TN, 
143682, AUBURN DR AND LYDGATE DR, MEMPHIS, TN, 
143683, AUBURN OAK APARTMENTS, MEMPHIS, TN, 
143684, AUBURN RD AND BROWNLEE RD, MEMPHIS, TN, 
143685, AUBURN RD AND BROWNLEE, MEMPHIS, TN, 
143686, AUBURN RD AND CHAMBLISS, MEMPHIS, TN, 
143687, AUBURN RD AND CRAFT, MEMPHIS, TN, 
143688, AUBURN RD AND HALE ST, MEMPHIS, TN, 
143689, AUBURN RD AND RAINES RD, MEMPHIS, TN, 
143690, AUBURN RD AND ROSEBANK RD, MEMPHIS, TN, 
143691, AUBURN ROAD AND CRAFT ROAD, MEMPHIS, TN, 
143692, AUBURNDALE AND MADISON AVE, MEMPHIS, TN, 
143693, AUBURNDALE AND MADISON, MEMPHIS, TN, 
143694, AUBURNDALE AND MCLEAN, MEMPHIS, TN, 
143695, AUBURNDALE AND VARSITY, MEMPHIS, TN, 
143696, AUCTION AND FORTH, MEMPHIS, TN, 
143697, AUCTION AND FRONT ST, MEMPHIS, TN, 
143698, AUCTION AND LSLAND DR, MEMPHIS, TN, 
143699, AUCTION AND SEVENTH, MEMPHIS, TN, 
143700, AUCTION AND THIRD, MEMPHIS, TN, 
143701, AUCTION AVE AND ISLAND DR, MEMPHIS, TN, 
143702, AUCTION AVE AND N 4TH ST, MEMPHIS, TN, 
143703, AUCTIONS AVE AND ISLAND DR, MEMPHIS, TN, 
143704, AUDUBON PARK AND GOODLETT AND PARK, MEMPHIS, TN, 
143705, AUDUBON SQUARE APARTMENTS, MEMPHIS, TN, 
143706, AUDURBON PARK GOODLETT, MEMPHIS, TN, 
143707, AURBURDALE AND MADISON, MEMPHIS, TN, 
143708, AURBURN AND CRAFT, MEMPHIS, TN, 
143709, AURBURNDALE ST AND MADISON AVE, MEMPHIS, TN, 
143710, AURENE AND HOLMES, MEMPHIS, TN, 
143711, AURORA CIRCLE AND MIMOSA, MEMPHIS, TN, 
143712, AUSTIN AND CRUMP, MEMPHIS, TN, 
143713, AUSTIN AND LATHAM, MEMPHIS, TN, 
143714, AUSTIN AND LAUDERDALE, MEMPHIS, TN, 
143715, AUSTIN AND YALE, MEMPHIS, TN, 
143716, AUSTIN GREEN BAY, MEMPHIS, TN, 
143717, AUSTIN PAY AND YALE, MEMPHIS, TN, 
143718, AUSTIN PEA AND COVINGTON PIKE, MEMPHIS, TN, 
143719, AUSTIN PEA AND YALE, MEMPHIS, TN, 
143720, AUSTIN PEAY & STAGE, MEMPHIS, TN, 
143721, AUSTIN PEAY AND 40 HWY, MEMPHIS, TN, 
143722, AUSTIN PEAY AND COLEMAN RD, MEMPHIS, TN, 
143723, AUSTIN PEAY AND COVINTON PIKE, MEMPHIS, TN, 
143724, AUSTIN PEAY AND FAYETTE, MEMPHIS, TN, 
143725, AUSTIN PEAY AND I 40 W AND B, MEMPHIS, TN, 
143726, AUSTIN PEAY AND JACKSON AVE, MEMPHIS, TN, 
143727, AUSTIN PEAY AND JACKSON, MEMPHIS, TN, 
143728, AUSTIN PEAY AND JONES RD, MEMPHIS, TN, 
143729, AUSTIN PEAY AND NEW COVINGPIKE, MEMPHIS, TN, 
143730, AUSTIN PEAY AND OLD BROWNSVILLE, MEMPHIS, TN, 
143731, AUSTIN PEAY AND PALM AVE, MEMPHIS, TN, 
143732, AUSTIN PEAY AND RALEIGH MILLINGTON RD, MEMPHIS, TN, 
143733, AUSTIN PEAY AND RALEIGH MILLINGTON, MEMPHIS, TN, 
143734, AUSTIN PEAY AND RALEIGH-LAGRANGE, MEMPHIS, TN, 
143735, AUSTIN PEAY AND RALIEGH MILLINGTON, MEMPHIS, TN, 
143736, AUSTIN PEAY AND RAMILL, MEMPHIS, TN, 
143737, AUSTIN PEAY AND SINGLETON PWY, MEMPHIS, TN, 
143738, AUSTIN PEAY AND SINGLETON, MEMPHIS, TN, 
143739, AUSTIN PEAY AND STAGE ROAD, MEMPHIS, TN, 
143740, AUSTIN PEAY AND STAGE-JAMES-EXIT, MEMPHIS, TN, 
143741, AUSTIN PEAY COLEMAN, MEMPHIS, TN, 
143742, AUSTIN PEAY COVINGTON PIKE, MEMPHIS, TN, 
143743, AUSTIN PEAY HIGHWAY AND I-40, MEMPHIS, TN, 
143744, AUSTIN PEAY HIGHWAY AND JONES RD, MEMPHIS, TN, 
143745, AUSTIN PEAY HW AND JONES RD, MEMPHIS, TN, 
143746, AUSTIN PEAY HW AND YALE RD, MEMPHIS, TN, 
143747, AUSTIN PEAY HWY AND COVINGTON PIKE, MEMPHIS, TN, 
143748, AUSTIN PEAY HWY AND EGYPT CENTRAL RD, MEMPHIS, TN, 
143749, AUSTIN PEAY HWY AND FAIRHAVEN LN, MEMPHIS, TN, 
143750, AUSTIN PEAY HWY AND I-40, MEMPHIS, TN, 
143751, AUSTIN PEAY HWY AND I240, MEMPHIS, TN, 
143752, AUSTIN PEAY HWY AND JAMES RD, MEMPHIS, TN, 
143753, AUSTIN PEAY HWY AND JONE RD, MEMPHIS, TN, 
143754, AUSTIN PEAY HWY AND JONES, MEMPHIS, TN, 
143755, AUSTIN PEAY HWY AND RALIEGH MILLINGTON, MEMPHIS, TN, 
143756, AUSTIN PEAY HWY AND RAMILL RD, MEMPHIS, TN, 
143757, AUSTIN PEAY HWY AND YALE, MEMPHIS, TN, 
143758, AUSTIN PEAY HWY AND YALES RD, MEMPHIS, TN, 
143759, AUSTIN PEAY HWY S AND B AND I 40, MEMPHIS, TN, 
143760, AUSTIN PEAY OLD AUSTIN PEAY, MEMPHIS, TN, 
143761, AUSTIN PEAY RAMP AND I-240, MEMPHIS, TN, 
143762, AUSTIN PEAY RD AND COLEMAN RD, MEMPHIS, TN, 
143763, AUSTIN PEAY RD AND JONES RD, MEMPHIS, TN, 
143764, AUSTIN PEAYYALE, MEMPHIS, TN, 
143765, AUSTINPEA AND COVINGTONPIKE, MEMPHIS, TN, 
143766, AUSTINPEAY AND COLEMAN, MEMPHIS, TN, 
143767, AUSTINPEAY AND COLMAN, MEMPHIS, TN, 
143768, AUSTINPEAY AND COVINGTONPIKE, MEMPHIS, TN, 
143769, AUSTINPEAY AND LAKEHURST, MEMPHIS, TN, 
143770, AUSTINPEAY NORTH OF YALE, MEMPHIS, TN, 
143771, AUSTINPEAY-I40, MEMPHIS, TN, 
143772, AUSTINPEAY, MEMPHIS, TN, 
143773, AUSTINWOOD AND WOODHOLLOW, MEMPHIS, TN, 
143774, AUSTUN PEAY AND STAGE, MEMPHIS, TN, 
143775, AUTION, MEMPHIS, TN, 
143776, AUTMUN LEAF CT, MEMPHIS, TN, 
143777, AUTUM AND CLEVELAND, MEMPHIS, TN, 
143778, AUTUM GOLD LN AND SHADY ROSE CV, MEMPHIS, TN, 
143779, AUTUM LEAF AND CHERRY VALLEY LN, MEMPHIS, TN, 
143780, AUTUM WOOD APTS, MEMPHIS, TN, 
143781, AUTUMN AND BELLEVUE, MEMPHIS, TN, 
143782, AUTUMN AND E PKWY, MEMPHIS, TN, 
143783, AUTUMN AND EAST PKWY, MEMPHIS, TN, 
143784, AUTUMN AND HIGH POINT, MEMPHIS, TN, 
143785, AUTUMN AND MONTGOMERY, MEMPHIS, TN, 
143786, AUTUMN AND OVERTON PARK, MEMPHIS, TN, 
143787, AUTUMN CREEK AND CORDOVA RD, MEMPHIS, TN, 
143788, AUTUMN CREEK AND CORDOVA, MEMPHIS, TN, 
143789, AUTUMN CREEK DR AND N GERMANTOWN PKWY, MEMPHIS, TN, 
143790, AUTUMN CREEK DR, MEMPHIS, TN, 
143791, AUTUMN HOLLOW AND AUTUMN GLADE, MEMPHIS, TN, 
143792, AUTUMN LEAF AND WILSON, MEMPHIS, TN, 
143793, AUTUMN LEAF DR, MEMPHIS, TN, 
143794, AUTUMN PARK, MEMPHIS, TN, 
143795, AUTUMN RIDGE APARTMENTS, MEMPHIS, TN, 
143796, AUTUMN RIDGE CT AND RIDGEWAY BLVD, MEMPHIS, TN, 
143797, AUTUMN WOOD AVE AND REDWOOD CT, MEMPHIS, TN, 
143798, AUTUMNCREEK AND NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
143799, AUTUMNWOOD AND GREENWOOD, MEMPHIS, TN, 
143800, AUTUMNWOOD APARTMENTS, MEMPHIS, TN, 
143801, AUTUMNWOODS APARTMENTS, MEMPHIS, TN, 
143802, AUX ARMS AND LAFARGE, MEMPHIS, TN, 
143803, AUX ARMS AND RALEIGH LAGRANGE, MEMPHIS, TN, 
143804, AUX ARMS AND RAMILL RD, MEMPHIS, TN, 
143805, AUX ARMS DIVE AND RAMILL, MEMPHIS, TN, 
143806, AVALON AND FORREST, MEMPHIS, TN, 
143807, AVALON AND JACKSON, MEMPHIS, TN, 
143808, AVALON AND N WILLETT, MEMPHIS, TN, 
143809, AVALON AND NORTH MICHELLE CIRCLE, MEMPHIS, TN, 
143810, AVALON AND TERRY, MEMPHIS, TN, 
143811, AVALON AND VOLINTINE, MEMPHIS, TN, 
143812, AVALON MADISON, MEMPHIS, TN, 
143813, AVALON N MICHELLE CV, MEMPHIS, TN, 
143814, AVALON SOUTH OF POPLAR, MEMPHIS, TN, 
143815, AVANT AND NEELY, MEMPHIS, TN, 
143816, AVERY AND FLICKER ST, MEMPHIS, TN, 
143817, AVERY AND FLICKER, MEMPHIS, TN, 
143818, AVERY AND ROBERTA, MEMPHIS, TN, 
143819, AVERY AVE AND FINLAY, MEMPHIS, TN, 
143820, AVERY AVE, MEMPHIS, TN, 
143821, AVERY PARK, MEMPHIS, TN, 
143822, AVON AND CECILIA, MEMPHIS, TN, 
143823, AVON AND GIVEN, MEMPHIS, TN, 
143824, AVON AND LYNN, MEMPHIS, TN, 
143825, AVON AND PRINCETON, MEMPHIS, TN, 
143826, AVON AND SUMMER, MEMPHIS, TN, 
143827, AVON AND TUTWILER, MEMPHIS, TN, 
143828, AVON AND WHITE STATION, MEMPHIS, TN, 
143829, AVON AVE AND BOWEN AVE, MEMPHIS, TN, 
143830, AVON RD AND BOWEN, MEMPHIS, TN, 
143831, AVON RD AND SUMMER AVE, MEMPHIS, TN, 
143832, AVONDALE AND BARSANTI, MEMPHIS, TN, 
143833, AW WILLIS AND 5TH, MEMPHIS, TN, 
143834, AW WILLIS AND AUCTION, MEMPHIS, TN, 
