56001, WINCHESTER AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
56456, 100 WEST DUNBAR RD, MEMPHIS, TN, 
56457, 100 WEST E H CRUMP, MEMPHIS, TN, 
56458, 100 WEST EDSEL, MEMPHIS, TN, 
56459, 100 WEST G E PATTERSON AVE, MEMPHIS, TN, 
56460, 100 WEST GALLOWAY, MEMPHIS, TN, 
56461, 100 WEST MCKELLAR AVE, MEMPHIS, TN, 
56462, 100 WEST MITCHELL RD, MEMPHIS, TN, 
56463, 100 WEST NORWOOD ST, MEMPHIS, TN, 
56464, 100 WEST OSTEGO, MEMPHIS, TN, 
56465, 100 WEST RAINES, MEMPHIS, TN, 
56466, 100 WEST TRIGG AVE, MEMPHIS, TN, 
56467, 100 WEST WINDSOR, MEMPHIS, TN, 
56468, 100 WYCHWOOD, MEMPHIS, TN, 
56469, 1000 ALCY RD, MEMPHIS, TN, 
56470, 1000 ALICE RD, MEMPHIS, TN, 
56471, 1000 ALICE ST, MEMPHIS, TN, 
56472, 1000 ANNESDALE ST, MEMPHIS, TN, 
56473, 1000 AVALON ST, MEMPHIS, TN, 
56474, 1000 BALTIC AVE, MEMPHIS, TN, 
56475, 1000 BEATRICE AVE, MEMPHIS, TN, 
56476, 1000 BELLEVUE AVE, MEMPHIS, TN, 
56477, 1000 BELLEVUE RD, MEMPHIS, TN, 
56478, 1000 BELLVUE, MEMPHIS, TN, 
56479, 1000 BERCLAIR #5, MEMPHIS, TN, 
56480, 1000 BERCLAIR AVE, MEMPHIS, TN, 
56481, 1000 BIRCH AVE, MEMPHIS, TN, 
56482, 1000 BLOCK CHELSEA AND BREEDLOVE ST, MEMPHIS, TN, 
56483, 1000 BLOCK OF TEXAS, MEMPHIS, TN, 
56484, 1000 BLOCK OFAYERS AND CHELSEA AVE, MEMPHIS, TN, 
56485, 1000 BLUE BIRD, MEMPHIS, TN, 
56486, 1000 BLUEBELL, MEMPHIS, TN, 
56487, 1000 BULLINGTON, MEMPHIS, TN, 
56488, 1000 CABANA CIR EAST #5, MEMPHIS, TN, 
56489, 1000 CALVIN ST, MEMPHIS, TN, 
56490, 1000 CANARY, MEMPHIS, TN, 
56491, 1000 CAREY, MEMPHIS, TN, 
56492, 1000 CARROLTON RD, MEMPHIS, TN, 
56493, 1000 CASTLEWOOD AVE, MEMPHIS, TN, 
56494, 1000 CENTER, MEMPHIS, TN, 
56495, 1000 CHAMBISS, MEMPHIS, TN, 
56496, 1000 CHANEL AVE, MEMPHIS, TN, 
56497, 1000 CHELSEA ST, MEMPHIS, TN, 
56498, 1000 CLARK ALLEY, MEMPHIS, TN, 
56499, 1000 COLLEGE PARK ST, MEMPHIS, TN, 
56500, 1000 COOPER AND SOUTHERN AVE, MEMPHIS, TN, 
56501, 1000 COURT AVENUE, MEMPHIS, TN, 
56502, 1000 CT ST, MEMPHIS, TN, 
56503, 1000 CULLEY, MEMPHIS, TN, 
56504, 1000 DEBB DR, MEMPHIS, TN, 
56505, 1000 DECATER ST, MEMPHIS, TN, 
56506, 1000 DELMAR ST, MEMPHIS, TN, 
56507, 1000 DEMPSTER, MEMPHIS, TN, 
56508, 1000 DOCTOR HOLLIS F PRICE, MEMPHIS, TN, 
56509, 1000 DORRIS AVE, MEMPHIS, TN, 
56510, 1000 DR HOLLISTER PRICE, MEMPHIS, TN, 
56511, 1000 DR MARTIN LUTHER KING BLVD, MEMPHIS, TN, 
56512, 1000 DR MARTIN LUTHER KING, MEMPHIS, TN, 
56513, 1000 DRR ST, MEMPHIS, TN, 
56514, 1000 DUSTY CV, MEMPHIS, TN, 
56515, 1000 E CABANA ST, MEMPHIS, TN, 
56516, 1000 E EH CRUMP, MEMPHIS, TN, 
56517, 1000 E HARBOR CLUB CIRCLE, MEMPHIS, TN, 
56518, 1000 E MC LEMORE ST, MEMPHIS, TN, 
56519, 1000 E MCLEMORE C, D, E, MEMPHIS, TN, 
56520, 1000 E PARK LOOP, MEMPHIS, TN, 
56521, 1000 E PARKWAY, MEMPHIS, TN, 
56522, 1000 E RIVERWALK, MEMPHIS, TN, 
56523, 1000 EAST CABANA, MEMPHIS, TN, 
56524, 1000 EAST HOLMES, MEMPHIS, TN, 
56525, 1000 EAST PARKWAY S, MEMPHIS, TN, 
56526, 1000 EAST PARKWAY SOUTH AVE, MEMPHIS, TN, 
56527, 1000 EAST PARKWAY SOUTH ST, MEMPHIS, TN, 
56528, 1000 EAST SOUTH PARKWAY, MEMPHIS, TN, 
56529, 1000 EBROOKS, MEMPHIS, TN, 
56530, 1000 ECHOLS, MEMPHIS, TN, 
56531, 1000 EH CRUMP BOULEVARD, MEMPHIS, TN, 
56532, 1000 EH CRUMP ST, MEMPHIS, TN, 
56533, 1000 ELDRIGDE, MEMPHIS, TN, 
56534, 1000 ENFIELD ROAD, MEMPHIS, TN, 
56535, 1000 ESTATE RD, MEMPHIS, TN, 
56536, 1000 EXOCET, MEMPHIS, TN, 
56537, 1000 EYERS RD, MEMPHIS, TN, 
56538, 1000 FAIR MEADOWS RD, MEMPHIS, TN, 
56539, 1000 FAIRMEADOW, MEMPHIS, TN, 
56540, 1000 FIG LEAF CV, MEMPHIS, TN, 
56541, 1000 FRANKFORT RD, MEMPHIS, TN, 
56542, 1000 FRAYSER CL, MEMPHIS, TN, 
56543, 1000 FRAYSER CR DR, MEMPHIS, TN, 
56544, 1000 GARDEM ROW, MEMPHIS, TN, 
56545, 1000 GET WELL RD, MEMPHIS, TN, 
56546, 1000 GET WELL, MEMPHIS, TN, 
56547, 1000 GIAROLI, MEMPHIS, TN, 
56548, 1000 GILLIAN, MEMPHIS, TN, 
56549, 1000 GILLILAND DR, MEMPHIS, TN, 
56550, 1000 GOODMAN RD, MEMPHIS, TN, 
56551, 1000 GORDAN, MEMPHIS, TN, 
56552, 1000 GOWER, MEMPHIS, TN, 
56553, 1000 GRAHAM RD, MEMPHIS, TN, 
56554, 1000 GRAND ST, MEMPHIS, TN, 
56555, 1000 GREEN OAK DR, MEMPHIS, TN, 
56556, 1000 GREEN OAKS, MEMPHIS, TN, 
56557, 1000 GROUSE MEADOWS DR, MEMPHIS, TN, 
56558, 1000 HACKBERRY, MEMPHIS, TN, 
56559, 1000 HARBOR CLUB CIR W, MEMPHIS, TN, 
56560, 1000 HARBOR CLUB CIRCLE W, MEMPHIS, TN, 
56561, 1000 HARBOR CLUB CIRCLE, MEMPHIS, TN, 
56562, 1000 HOLLIS PRICE 102, MEMPHIS, TN, 
56563, 1000 HOMER AND WAYNE ST, MEMPHIS, TN, 
56564, 1000 HOMER ST, MEMPHIS, TN, 
56565, 1000 HUNTERS POINTS DR, MEMPHIS, TN, 
56566, 1000 INFIELD, MEMPHIS, TN, 
56567, 1000 ISABELL, MEMPHIS, TN, 
56568, 1000 ISLAND DR, MEMPHIS, TN, 
56569, 1000 J W WILLIAMS ST, MEMPHIS, TN, 
56570, 1000 JACKON, MEMPHIS, TN, 
56571, 1000 JEFFERSON AVE, MEMPHIS, TN, 
56572, 1000 JW WILLAMS, MEMPHIS, TN, 
56573, 1000 KEATING ST, MEMPHIS, TN, 
56574, 1000 KEEL ST, MEMPHIS, TN, 
56575, 1000 KELLY CIR E, MEMPHIS, TN, 
56576, 1000 KELLY CIRCLE EAST, MEMPHIS, TN, 
56577, 1000 KENSINGTON PLACE, MEMPHIS, TN, 
56578, 1000 KENSINGTON ST, MEMPHIS, TN, 
56579, 1000 KINSINGTON PLACE, MEMPHIS, TN, 
56580, 1000 KIRKLAND ST, MEMPHIS, TN, 
56581, 1000 LANE, MEMPHIS, TN, 
56582, 1000 LAUDERDALE ST, MEMPHIS, TN, 
56583, 1000 LEACREAST, MEMPHIS, TN, 
56584, 1000 LEACREST ST, MEMPHIS, TN, 
56585, 1000 LEALTH, MEMPHIS, TN, 
56586, 1000 LEDBETTER RD, MEMPHIS, TN, 
56587, 1000 LENO PARK DR, MEMPHIS, TN, 
56588, 1000 LENO PARK, MEMPHIS, TN, 
56589, 1000 LENOW PARK 101, MEMPHIS, TN, 
56590, 1000 LENOW PARK PLACE, MEMPHIS, TN, 
56591, 1000 LINNWOOD, MEMPHIS, TN, 
56592, 1000 LINWOOD DR, MEMPHIS, TN, 
56593, 1000 MADISON AVE SUITE 807, MEMPHIS, TN, 
56594, 1000 MAIN, MEMPHIS, TN, 
56595, 1000 MARBLE ST, MEMPHIS, TN, 
56596, 1000 MARECHALNEIL ST, MEMPHIS, TN, 
56597, 1000 MARSH AVE, MEMPHIS, TN, 
56598, 1000 MARTIN LUTHER KING JR, MEMPHIS, TN, 
56599, 1000 MASON AVE, MEMPHIS, TN, 
56600, 1000 MCCLEAN, MEMPHIS, TN, 
56601, 1000 MCLURE, MEMPHIS, TN, 
56602, 1000 MEAHGER, MEMPHIS, TN, 
56603, 1000 MEDA AVE, MEMPHIS, TN, 
56604, 1000 MENDANHALL RD, MEMPHIS, TN, 
56605, 1000 MERCHANEIL, MEMPHIS, TN, 
56606, 1000 MISTY BIRCH, MEMPHIS, TN, 
56607, 1000 MOUNT PISGAH RD, MEMPHIS, TN, 
56608, 1000 MOUNT PISGAH, MEMPHIS, TN, 
56609, 1000 MOUNT VERNON, MEMPHIS, TN, 
56610, 1000 MT VERNON ST, MEMPHIS, TN, 
56611, 1000 N 6TH, MEMPHIS, TN, 
56612, 1000 N BELLEVUE ST, MEMPHIS, TN, 
56613, 1000 N FOURTH 6, MEMPHIS, TN, 
56614, 1000 N MANASSA, MEMPHIS, TN, 
56615, 1000 N MANASSASS, MEMPHIS, TN, 
56616, 1000 N MC LEAN BLVD, MEMPHIS, TN, 
56617, 1000 N MCLEAN AVE, MEMPHIS, TN, 
56618, 1000 N MCLEAN BLVD, MEMPHIS, TN, 
56619, 1000 N MCLEAN ST, MEMPHIS, TN, 
56620, 1000 N MENDENHAL RD, MEMPHIS, TN, 
56621, 1000 N MENDENHALL ST, MEMPHIS, TN, 
56622, 1000 N STONEWALL ST, MEMPHIS, TN, 
56623, 1000 N THOMAS, MEMPHIS, TN, 
56624, 1000 N TREZVANT, MEMPHIS, TN, 
56625, 1000 N WHITESTATION, MEMPHIS, TN, 
56626, 1000 N WILETT ST, MEMPHIS, TN, 
56627, 1000 N2ND, MEMPHIS, TN, 
56628, 1000 NABORS ST, MEMPHIS, TN, 
56629, 1000 NABORS WAY AVE, MEMPHIS, TN, 
56630, 1000 NABORS, MEMPHIS, TN, 
56631, 1000 NEFFLER AVE, MEMPHIS, TN, 
56632, 1000 NEFFLER, MEMPHIS, TN, 
56633, 1000 NESTING WOOD CIR W, MEMPHIS, TN, 
56634, 1000 NESTING WOOD, MEMPHIS, TN, 
56635, 1000 NESTINGWOOD CIR E, MEMPHIS, TN, 
56636, 1000 NESTINGWOOD, MEMPHIS, TN, 
56637, 1000 NEW YORK STREET, MEMPHIS, TN, 
56638, 1000 NORFLEET ST, MEMPHIS, TN, 
56639, 1000 NORTH 2ND, MEMPHIS, TN, 
56640, 1000 NORTH BELLEVUE, MEMPHIS, TN, 
56641, 1000 NORTH DUNLAP ST, MEMPHIS, TN, 
56642, 1000 NORTH FRAYSER CIRCLE, MEMPHIS, TN, 
56643, 1000 NORTH GRAHAM, MEMPHIS, TN, 
56644, 1000 NORTH HIGHLAND STREET, MEMPHIS, TN, 
56645, 1000 NORTH MONTGOMERY ST, MEMPHIS, TN, 
56646, 1000 NORTH PERKINS, MEMPHIS, TN, 
56647, 1000 NORTH SECOND ST, MEMPHIS, TN, 
56648, 1000 NORTH WATKINS #2, MEMPHIS, TN, 
56649, 1000 NORTHFLEET, MEMPHIS, TN, 
56650, 1000 NOVAREESE, MEMPHIS, TN, 
56651, 1000 OAKMONT 7, MEMPHIS, TN, 
56652, 1000 OAKMONT APARTMENT, MEMPHIS, TN, 
56653, 1000 OAKMONT APT, MEMPHIS, TN, 
56654, 1000 OAKMONT PLC, MEMPHIS, TN, 
56655, 1000 OAKMONT ST, MEMPHIS, TN, 
56656, 1000 PALERMO AVE, MEMPHIS, TN, 
56657, 1000 PARKHAVEN AVE, MEMPHIS, TN, 
56658, 1000 PARKHAVEN RD, MEMPHIS, TN, 
56659, 1000 PARKHAVEN ST, MEMPHIS, TN, 
56660, 1000 PATTON, MEMPHIS, TN, 
56661, 1000 PEABODY #4, MEMPHIS, TN, 
56662, 1000 PEABODY AVE #1, MEMPHIS, TN, 
56663, 1000 PEARCE ST, MEMPHIS, TN, 
56664, 1000 PEGGY JO CT APT 5, MEMPHIS, TN, 
56665, 1000 PERKINS RD, MEMPHIS, TN, 
56666, 1000 POPLER, MEMPHIS, TN, 
56667, 1000 PORTER AVE, MEMPHIS, TN, 
56668, 1000 RAILTON ST, MEMPHIS, TN, 
56669, 1000 RAINER, MEMPHIS, TN, 
56670, 1000 RAINES RD, MEMPHIS, TN, 
56671, 1000 RAMON, MEMPHIS, TN, 
56672, 1000 RAYMOND ST, MEMPHIS, TN, 
56673, 1000 REST BROOK AVE, MEMPHIS, TN, 
56674, 1000 RESTBROOK RD, MEMPHIS, TN, 
56675, 1000 RIDGE LAKE BLV, MEMPHIS, TN, 
56676, 1000 RIDGELAKE DR, MEMPHIS, TN, 
56677, 1000 RIDGELAKE RD, MEMPHIS, TN, 
56678, 1000 RIDGEWAY LAKE BLVD, MEMPHIS, TN, 
56679, 1000 RIDGEWAY RD, MEMPHIS, TN, 
56680, 1000 RIVER BREEZE, MEMPHIS, TN, 
56681, 1000 ROCK POINTE, MEMPHIS, TN, 
56682, 1000 ROCKING POINT, MEMPHIS, TN, 
56683, 1000 ROLAND AVE, MEMPHIS, TN, 
56684, 1000 ROMONA, MEMPHIS, TN, 
56685, 1000 RUBY CREEK PL, MEMPHIS, TN, 
56686, 1000 RUDGERS, MEMPHIS, TN, 
56687, 1000 RUSTLING OAKS CIR, MEMPHIS, TN, 
56688, 1000 RUSTLING OAKS CIRCLE, MEMPHIS, TN, 
56689, 1000 RUTGERS ST, MEMPHIS, TN, 
56690, 1000 S 3RD ST, MEMPHIS, TN, 
56691, 1000 S 4TH ST, MEMPHIS, TN, 
56692, 1000 S BARKSDALE, MEMPHIS, TN, 
56693, 1000 S BLYTHE ST, MEMPHIS, TN, 
56694, 1000 S COPPER, MEMPHIS, TN, 
56695, 1000 S HIGHLAND RD, MEMPHIS, TN, 
56696, 1000 S LAUDERDALE AVE, MEMPHIS, TN, 
56697, 1000 S MENDENHALL, MEMPHIS, TN, 
56698, 1000 S PARKWAY EAST BLVD, MEMPHIS, TN, 
56699, 1000 S PARKWAY EAST STREET, MEMPHIS, TN, 
56700, 1000 S PRESCOTT ST, MEMPHIS, TN, 
56701, 1000 S THIRD AVE, MEMPHIS, TN, 
56702, 1000 SHADOWLINE CV, MEMPHIS, TN, 
56703, 1000 SHAWDOLINE, MEMPHIS, TN, 
56704, 1000 SHELBY DR, MEMPHIS, TN, 
56705, 1000 SIXTH ST, MEMPHIS, TN, 
56706, 1000 SIXTH, MEMPHIS, TN, 
56707, 1000 SO LAUDERDALE, MEMPHIS, TN, 
56708, 1000 SO ORLEANS, MEMPHIS, TN, 
56709, 1000 SO PKWY E, MEMPHIS, TN, 
56710, 1000 SO PKWY, MEMPHIS, TN, 
56711, 1000 SO THIRD, MEMPHIS, TN, 
56712, 1000 SOUTH FOURTH AVE, MEMPHIS, TN, 
56713, 1000 SOUTH HIGHLAND AVE, MEMPHIS, TN, 
56714, 1000 SOUTH LAUDERDALE ST, MEMPHIS, TN, 
56715, 1000 SOUTH PARKWAY EAST RD, MEMPHIS, TN, 
56716, 1000 SOUTH PARKWAY EAST ST, MEMPHIS, TN, 
56717, 1000 SOUTH PERKINS, MEMPHIS, TN, 
56718, 1000 SOUTH THIRD ST, MEMPHIS, TN, 
56719, 1000 SOUTH WHITE STATION, MEMPHIS, TN, 
56720, 1000 SOUTHPARKWAY, MEMPHIS, TN, 
56721, 1000 SOUTHWYCK, MEMPHIS, TN, 
56722, 1000 SPEED AVE, MEMPHIS, TN, 
56723, 1000 STHIRD, MEMPHIS, TN, 
56724, 1000 STONEWALL AVE, MEMPHIS, TN, 
56725, 1000 TAMMYWOOD, MEMPHIS, TN, 
56726, 1000 TERRY CR, MEMPHIS, TN, 
56727, 1000 TOSCANA PARK CT, MEMPHIS, TN, 
56728, 1000 TREADWELL ST, MEMPHIS, TN, 
56729, 1000 TREZVANT ST, MEMPHIS, TN, 
56730, 1000 TRIGG AVE, MEMPHIS, TN, 
56731, 1000 TUNSTALL ST, MEMPHIS, TN, 
56732, 1000 UNIVERSITY AVE, MEMPHIS, TN, 
56733, 1000 UNIVESITY, MEMPHIS, TN, 
56734, 1000 VOLUNTINE, MEMPHIS, TN, 
56735, 1000 W GLORIA, MEMPHIS, TN, 
56736, 1000 W WALTHAL CIR, MEMPHIS, TN, 
56737, 1000 WALTHAL, MEMPHIS, TN, 
56738, 1000 WATER LILLY LN, MEMPHIS, TN, 
56739, 1000 WATER LILY TRIAL, MEMPHIS, TN, 
56740, 1000 WATERLILLY TRAILS, MEMPHIS, TN, 
56741, 1000 WELLINGTON 3, MEMPHIS, TN, 
56742, 1000 WELLSVILLE, MEMPHIS, TN, 
56743, 1000 WEST GLORIA RD, MEMPHIS, TN, 
56744, 1000 WEST PARK LOOP, MEMPHIS, TN, 
56745, 1000 WEST RIVERWALK DR, MEMPHIS, TN, 
56746, 1000 WEST WALTHAL, MEMPHIS, TN, 
56747, 1000 WEST WATHAL CIRCLE, MEMPHIS, TN, 
56748, 1000 WEYMOUTH, MEMPHIS, TN, 
56749, 1000 WHITE STATION RD, MEMPHIS, TN, 
56750, 1000 WHITTAKER, MEMPHIS, TN, 
56751, 1000 WHITTEN RD, MEMPHIS, TN, 
56752, 1000 WILBEC RD, MEMPHIS, TN, 
56753, 1000 WINDY LOU CV, MEMPHIS, TN, 
56754, 1000 WINGFIELD DR, MEMPHIS, TN, 
56755, 1000 WOODBURY RD, MEMPHIS, TN, 
56756, 1000 WOODBURY ST, MEMPHIS, TN, 
56757, 1000 WRENS ROOST DR, MEMPHIS, TN, 
56758, 10000 CAMERON RIDGE TRAIL, MEMPHIS, TN, 
56759, 10000 GOSLING CIR N, MEMPHIS, TN, 
56760, 10000 GOSLING CIR S, MEMPHIS, TN, 
56761, 10000 HOUSTON BIRCH DR, MEMPHIS, TN, 
56762, 10000 HWY-64, MEMPHIS, TN, 
56763, 10000 PADDLEWHEEL, MEMPHIS, TN, 
56764, 10000 SPILLWAY CV, MEMPHIS, TN, 
56765, 10000 US 64, MEMPHIS, TN, 
56766, 10000 WATERSTONE PL, MEMPHIS, TN, 
56767, 101 AND THOMAS, MEMPHIS, TN, 
56768, 10100 BERNESE CV, MEMPHIS, TN, 
56769, 10100 BLOOMSBURY, MEMPHIS, TN, 
56770, 10100 BLUE RAPID LN, MEMPHIS, TN, 
56771, 10100 CAMERON RIDGE TRL, MEMPHIS, TN, 
56772, 10100 CAMRON RIDGE TRAIL, MEMPHIS, TN, 
56773, 10100 GOSLING CIR N, MEMPHIS, TN, 
56774, 10100 GOSLING CIRCLE N, MEMPHIS, TN, 
56775, 10100 GOSLING CIRCLE NORTH DR, MEMPHIS, TN, 
56776, 10100 GOSLING CIRCLE, MEMPHIS, TN, 
56777, 10100 HATCHE CV#201, MEMPHIS, TN, 
56778, 10100 HATCHIE DR, MEMPHIS, TN, 
56779, 10100 HIGHWAY 64, MEMPHIS, TN, 
56780, 10100 NOTTINGHILL, MEMPHIS, TN, 
56781, 10100 TAIL WATER, MEMPHIS, TN, 
56782, 10100 TAILWATER LN, MEMPHIS, TN, 
56783, 10200 BRUSSELS LN, MEMPHIS, TN, 
56784, 10200 CAMERON RIDGE TRL, MEMPHIS, TN, 
56785, 10200 CRESTLANE, MEMPHIS, TN, 
56786, 10200 EVENING HILL DR, MEMPHIS, TN, 
56787, 10200 MORNING HILL DR, MEMPHIS, TN, 
56788, 10200 MORNING HILL, MEMPHIS, TN, 
56789, 10200 OLD WELL TER, MEMPHIS, TN, 
56790, 10300 EVENINGHILL DR, MEMPHIS, TN, 
56791, 10300 EVENINGHILL, MEMPHIS, TN, 
56792, 10300 TALL HICKORY, MEMPHIS, TN, 
56793, 1031N WATKINS ST, MEMPHIS, TN, 
56794, 10400 HIGHWAY 64, MEMPHIS, TN, 
56795, 10500 KENSINGTON CIRCLE, MEMPHIS, TN, 
56796, 10700 HWY 64, MEMPHIS, TN, 
56797, 109KEEL AVE, MEMPHIS, TN, 
56798, 1100 3RD ST, MEMPHIS, TN, 
56799, 1100 AIRWAYS BLVD, MEMPHIS, TN, 
56800, 1100 AL, MEMPHIS, TN, 
56801, 1100 ALICE ST, MEMPHIS, TN, 
56802, 1100 AUDABON, MEMPHIS, TN, 
56803, 1100 AUDOBON, MEMPHIS, TN, 
56804, 1100 AYRES, MEMPHIS, TN, 
56805, 1100 BARTON, MEMPHIS, TN, 
56806, 1100 BELLEVUE AVE, MEMPHIS, TN, 
56807, 1100 BELVEDERE BLVD, MEMPHIS, TN, 
56808, 1100 BEVERLY RD, MEMPHIS, TN, 
56809, 1100 BIRCHLEAF, MEMPHIS, TN, 
56810, 1100 BLOCK MADISON AVE, MEMPHIS, TN, 
56811, 1100 BLOCK OF SEMMES ST, MEMPHIS, TN, 
56812, 1100 BLYTH, MEMPHIS, TN, 
56813, 1100 BOONES HOLLOW CV, MEMPHIS, TN, 
56814, 1100 BREEDLOVE AVE, MEMPHIS, TN, 
56815, 1100 BRUCE AVE, MEMPHIS, TN, 
56816, 1100 BUFORD ELLINGTON W, MEMPHIS, TN, 
56817, 1100 CABANA CIR EAST, MEMPHIS, TN, 
56818, 1100 CAMBRAIN CV, MEMPHIS, TN, 
56819, 1100 CANARG, MEMPHIS, TN, 
56820, 1100 CANARY RD, MEMPHIS, TN, 
56821, 1100 CASENTINO ST, MEMPHIS, TN, 
56822, 1100 CHAT WOOD ST, MEMPHIS, TN, 
56823, 1100 CHATWOOD RD, MEMPHIS, TN, 
56824, 1100 CHELMSFORD CV, MEMPHIS, TN, 
56825, 1100 CHELMSFORD, MEMPHIS, TN, 
56826, 1100 CHICAGO AVE, MEMPHIS, TN, 
56827, 1100 CLAYBROOK CV, MEMPHIS, TN, 
56828, 1100 COLLEGE 5, MEMPHIS, TN, 
56829, 1100 CORDOVA STATION, MEMPHIS, TN, 
56830, 1100 CREST HAVEN RD, MEMPHIS, TN, 
56831, 1100 CRUMP AVE, MEMPHIS, TN, 
56832, 1100 CULLENWOOD RD, MEMPHIS, TN, 
56833, 1100 CUMMING, MEMPHIS, TN, 
56834, 1100 DAN KUYKENDALL COVE, MEMPHIS, TN, 
56835, 1100 DANKIRKENDALL, MEMPHIS, TN, 
56836, 1100 DAWS, MEMPHIS, TN, 
56837, 1100 DELLWOOD, MEMPHIS, TN, 
56838, 1100 DELMAR ST, MEMPHIS, TN, 
56839, 1100 DR HOLLIS F PRICE, MEMPHIS, TN, 
56840, 1100 DUOMO, MEMPHIS, TN, 
56841, 1100 E ALCY RD, MEMPHIS, TN, 
56842, 1100 E CABANA #8, MEMPHIS, TN, 
56843, 1100 E CABANA CIR E, MEMPHIS, TN, 
56844, 1100 E CABANA CIRCLE 1, MEMPHIS, TN, 
56845, 1100 E CABNA CIR, MEMPHIS, TN, 
56846, 1100 E CANANA, MEMPHIS, TN, 
56847, 1100 E HOLMES ROAD, MEMPHIS, TN, 
56848, 1100 E MC LEMORE AVE, MEMPHIS, TN, 
56849, 1100 E MICHELLE CR, MEMPHIS, TN, 
56850, 1100 E PKWY SOUTH, MEMPHIS, TN, 
56851, 1100 E ROSSILAND CR, MEMPHIS, TN, 
56852, 1100 E ROSSILAND, MEMPHIS, TN, 
56853, 1100 E SHANKMAN CIR, MEMPHIS, TN, 
56854, 1100 E WALTHAL RD, MEMPHIS, TN, 
56855, 1100 E WALTHAM CIRCLE, MEMPHIS, TN, 
56856, 1100 E WATHAL, MEMPHIS, TN, 
56857, 1100 EAST MCLEMORE AVE, MEMPHIS, TN, 
56858, 1100 EAST MICHELLE CIRCLE, MEMPHIS, TN, 
56859, 1100 EAST ROSSILAND CIRCLE, MEMPHIS, TN, 
56860, 1100 EASTMORELAND ST, MEMPHIS, TN, 
56861, 1100 ECHLES AVE, MEMPHIS, TN, 
56862, 1100 EH CRUMP AVE, MEMPHIS, TN, 
56863, 1100 ELVIS PRESLEY, MEMPHIS, TN, 
56864, 1100 ENFIELD, MEMPHIS, TN, 
56865, 1100 ESPLANDE, MEMPHIS, TN, 
56866, 1100 ETHLYN ST, MEMPHIS, TN, 
56867, 1100 FAIR MEADOWS, MEMPHIS, TN, 
56868, 1100 FAXON STREET, MEMPHIS, TN, 
56869, 1100 FIELDS RD AND HICKY ST, MEMPHIS, TN, 
56870, 1100 FIRESTONE BLVD, MEMPHIS, TN, 
56871, 1100 FLAUT, MEMPHIS, TN, 
56872, 1100 FOURTH ST, MEMPHIS, TN, 
56873, 1100 GALAHAD CV, MEMPHIS, TN, 
56874, 1100 GARLAND AVE, MEMPHIS, TN, 
56875, 1100 GARY RD, MEMPHIS, TN, 
56876, 1100 GERMANTOWN PKWY NORTH, MEMPHIS, TN, 
56877, 1100 GLORIA, MEMPHIS, TN, 
56878, 1100 GORDAN, MEMPHIS, TN, 
56879, 1100 GREEN LAW, MEMPHIS, TN, 
56880, 1100 HALE DALE, MEMPHIS, TN, 
56881, 1100 HALE ST, MEMPHIS, TN, 
56882, 1100 HARPETH RD, MEMPHIS, TN, 
56883, 1100 HARRISON ST, MEMPHIS, TN, 
56884, 1100 HAYNE, MEMPHIS, TN, 
56885, 1100 HOLLYWOOD AVE AND 2400 DEXTER RD, MEMPHIS, TN, 
56886, 1100 HOLLYWOOD ST, MEMPHIS, TN, 
56887, 1100 HOSKINS, MEMPHIS, TN, 
56888, 1100 HOTCHKISS, MEMPHIS, TN, 
56889, 1100 ISLAND PL E, MEMPHIS, TN, 
56890, 1100 ISLAND PL EAST, MEMPHIS, TN, 
56891, 1100 ISLAND PLACE E, MEMPHIS, TN, 
56892, 1100 JAMES RD, MEMPHIS, TN, 
56893, 1100 JEFFERSON ST, MEMPHIS, TN, 
56894, 1100 JOHN A DENIE DR, MEMPHIS, TN, 
56895, 1100 JOHN A DENIE RD, MEMPHIS, TN, 
56896, 1100 JOHN A DENIE, MEMPHIS, TN, 
56897, 1100 KNEY; 1034 KNEY; 1032 KNEY; 1030 KNEY, MEMPHIS, TN, 
56898, 1100 LANGSTON ST, MEMPHIS, TN, 
56899, 1100 LARUE PLACE, MEMPHIS, TN, 
56900, 1100 LAUDERDALE RD, MEMPHIS, TN, 
56901, 1100 LEACREAST, MEMPHIS, TN, 
56902, 1100 LEACREST DR, MEMPHIS, TN, 
56903, 1100 LEACREST ST, MEMPHIS, TN, 
56904, 1100 LENOW, MEMPHIS, TN, 
56905, 1100 LEXINGTON CIRCLE WEST, MEMPHIS, TN, 
56906, 1100 LEXINGTON CIRCLE, MEMPHIS, TN, 
56907, 1100 LOONEY AVE, MEMPHIS, TN, 
56908, 1100 LORAINE, MEMPHIS, TN, 
56909, 1100 LORRAINE RD, MEMPHIS, TN, 
56910, 1100 LYDGATE RD, MEMPHIS, TN, 
56911, 1100 MANASSAS ST, MEMPHIS, TN, 
56912, 1100 MARCHALNEIL, MEMPHIS, TN, 
56913, 1100 MARCHANEIL, MEMPHIS, TN, 
56914, 1100 MARCHENIEL ST, MEMPHIS, TN, 
56915, 1100 MARIA RD, MEMPHIS, TN, 
56916, 1100 MAYBELLE PL, MEMPHIS, TN, 
56917, 1100 MC EVERS, MEMPHIS, TN, 
56918, 1100 MCEVERS CV, MEMPHIS, TN, 
56919, 1100 MCEVERS ST, MEMPHIS, TN, 
56920, 1100 MERRIWEATHER DR, MEMPHIS, TN, 
