105001, 3100 MANDAL AVE, MEMPHIS, TN, 
105462, 3100 WOODSTONE, MEMPHIS, TN, 
105463, 3100 WOODWILLS DR, MEMPHIS, TN, 
105464, 3100 WORTHINTON CIR, MEMPHIS, TN, 
105465, 3100 YALE #18, MEMPHIS, TN, 
105466, 3100 YALE #2, MEMPHIS, TN, 
105467, 3100 YALE APT 5, MEMPHIS, TN, 
105468, 3100 YALE CV, MEMPHIS, TN, 
105469, 3100 YALE RD APT 26, MEMPHIS, TN, 
105470, 3100 YALE ST, MEMPHIS, TN, 
105471, 3100 YALE22, MEMPHIS, TN, 
105472, 3100 ZOYSIA, MEMPHIS, TN, 
105473, 3100-A FONTAINE, MEMPHIS, TN, 
105474, 3100NEW FRAYSER BLVD, MEMPHIS, TN, 
105475, 3101DIRECTORS ROW, MEMPHIS, TN, 
105476, 3106 AND 3132 KETTLE CREEK, MEMPHIS, TN, 
105477, 3107 AND 3109 BENJESTOWN, MEMPHIS, TN, 
105478, 3110KNIGHT LN, MEMPHIS, TN, 
105479, 3111BEAUMONT, MEMPHIS, TN, 
105480, 3112--3116 S MENDENHALL, MEMPHIS, TN, 
105481, 3112BAY LEAF DRDR, MEMPHIS, TN, 
105482, 3112MADEWELL, MEMPHIS, TN, 
105483, 3117AUTUMNWOOD DR, MEMPHIS, TN, 
105484, 3117BOXDALE, MEMPHIS, TN, 
105485, 3118 AND 3120 MT OLIVE, MEMPHIS, TN, 
105486, 3120# KIRBY PKWY, MEMPHIS, TN, 
105487, 3125# LADBROOK RD, MEMPHIS, TN, 
105488, 3125LADBROOK, MEMPHIS, TN, 
105489, 3125SHARPE, MEMPHIS, TN, 
105490, 3126STEELE, MEMPHIS, TN, 
105491, 31300 THOMAS, MEMPHIS, TN, 
105492, 3131STEEL MANOR, MEMPHIS, TN, 
105493, 3136; KINGS HORN DR, MEMPHIS, TN, 
105494, 3136KINGS HORN, MEMPHIS, TN, 
105495, 3137OLD HORNLAKE, MEMPHIS, TN, 
105496, 3139WOODROW, MEMPHIS, TN, 
105497, 3141CORNER, MEMPHIS, TN, 
105498, 314400 AMERICAN WAY, MEMPHIS, TN, 
105499, 3146SOUTHBRIDGE, MEMPHIS, TN, 
105500, 3146WRITE PL, MEMPHIS, TN, 
105501, 3147COSMOS, MEMPHIS, TN, 
105502, 3149ESTES, MEMPHIS, TN, 
105503, 3149SPERKINS RD, MEMPHIS, TN, 
105504, 3150-A2, MEMPHIS, TN, 
105505, 3151S MENDENHALL, MEMPHIS, TN, 
105506, 3151WHISPERING LN, MEMPHIS, TN, 
105507, 3156-THOMAS, MEMPHIS, TN, 
105508, 3156THOMAS, MEMPHIS, TN, 
105509, 315N DUNLAP, MEMPHIS, TN, 
105510, 3161SOUTH 3RD ST, MEMPHIS, TN, 
105511, 3162HIG LAND PARK PL, MEMPHIS, TN, 
105512, 3164ESTES, MEMPHIS, TN, 
105513, 316N SUSSEX LN, MEMPHIS, TN, 
105514, 3170-3171 HENDRICKS AVE, MEMPHIS, TN, 
105515, 3173TULIP POPLAR DR, MEMPHIS, TN, 
105516, 3177JACKSON, MEMPHIS, TN, 
105517, 317CARPENTER ST, MEMPHIS, TN, 
105518, 3181MADEWELL, MEMPHIS, TN, 
105519, 3182PARHAM, MEMPHIS, TN, 
105520, 3183FLOWERING CHERRY LN, MEMPHIS, TN, 
105521, 3194THOMAS, MEMPHIS, TN, 
105522, 31N EVERGREEN, MEMPHIS, TN, 
105523, 31NORTH EVERGREEN ST, MEMPHIS, TN, 
105524, 31NORTH EVERGREEN, MEMPHIS, TN, 
105525, 31W MCKELLAR, MEMPHIS, TN, 
105526, 3200 0LD GETWELL RD, MEMPHIS, TN, 
105527, 3200 3RD ST, MEMPHIS, TN, 
105528, 3200 AARBOR PL, MEMPHIS, TN, 
105529, 3200 ABERDEEN, MEMPHIS, TN, 
105530, 3200 ABOR GROVE, MEMPHIS, TN, 
105531, 3200 ABOR PLACE SOUTH, MEMPHIS, TN, 
105532, 3200 ADEN AVE, MEMPHIS, TN, 
105533, 3200 AIRWAYS BLVD, MEMPHIS, TN, 
105534, 3200 ALISON AVE, MEMPHIS, TN, 
105535, 3200 ALISON, MEMPHIS, TN, 
105536, 3200 ALLIS ON, MEMPHIS, TN, 
105537, 3200 ALMOND AVE, MEMPHIS, TN, 
105538, 3200 ALMOND, MEMPHIS, TN, 
105539, 3200 ALTA BLVD, MEMPHIS, TN, 
105540, 3200 ALUMNI DR, MEMPHIS, TN, 
105541, 3200 AMBER LEAF 206, MEMPHIS, TN, 
105542, 3200 AMBER LEAF 259, MEMPHIS, TN, 
105543, 3200 AMBER LEAF APT, MEMPHIS, TN, 
105544, 3200 AMBER LEAF LANE, MEMPHIS, TN, 
105545, 3200 AMBER LEAF LNE, MEMPHIS, TN, 
105546, 3200 AMBER LEFT LN, MEMPHIS, TN, 
105547, 3200 AMBERLY, MEMPHIS, TN, 
105548, 3200 APPLE WOOD CV, MEMPHIS, TN, 
105549, 3200 APPLEWOOD CL, MEMPHIS, TN, 
105550, 3200 APPLEWOOD DR, MEMPHIS, TN, 
105551, 3200 APPLING RD, MEMPHIS, TN, 
105552, 3200 AQUARIUS DRIVE, MEMPHIS, TN, 
105553, 3200 AQUARIUS RD, MEMPHIS, TN, 
105554, 3200 ARBOR CROVE WAY, MEMPHIS, TN, 
105555, 3200 ARBOR GROVE LN, MEMPHIS, TN, 
105556, 3200 ARBOR GROVE WY LN, MEMPHIS, TN, 
105557, 3200 ARBOR GROVEWAY, MEMPHIS, TN, 
105558, 3200 ARBOR LN, MEMPHIS, TN, 
105559, 3200 ARBOR PL LN, MEMPHIS, TN, 
105560, 3200 ARBOR PLACE DR, MEMPHIS, TN, 
105561, 3200 ARBOR PLACE N, MEMPHIS, TN, 
105562, 3200 ARBOR PLACE NORTH, MEMPHIS, TN, 
105563, 3200 ARBOR PLACE RD, MEMPHIS, TN, 
105564, 3200 ARBOR PLACE S BLDG 39, MEMPHIS, TN, 
105565, 3200 ARBOR PLACE SO, MEMPHIS, TN, 
105566, 3200 ARBOR PLACE SOUTH APARTMENT 102, MEMPHIS, TN, 
105567, 3200 ARBOR PLACE SOUTH APT #108, MEMPHIS, TN, 
105568, 3200 ARBOR PLC S, MEMPHIS, TN, 
105569, 3200 ARBOR VALLEY DR, MEMPHIS, TN, 
105570, 3200 ARBOR WAY GROVE, MEMPHIS, TN, 
105571, 3200 ARBOR, MEMPHIS, TN, 
105572, 3200 ARBORS, MEMPHIS, TN, 
105573, 3200 ARREDALE, MEMPHIS, TN, 
105574, 3200 ARREMDALE ST, MEMPHIS, TN, 
105575, 3200 ARRENDALE AVE, MEMPHIS, TN, 
105576, 3200 ASH WOOD ST, MEMPHIS, TN, 
105577, 3200 ASH, MEMPHIS, TN, 
105578, 3200 ASHWOOD #3, MEMPHIS, TN, 
105579, 3200 ASHWOOD AT, MEMPHIS, TN, 
105580, 3200 ASHWOOD AVE, MEMPHIS, TN, 
105581, 3200 ASHWWOOD RD, MEMPHIS, TN, 
105582, 3200 ATLANTIC, MEMPHIS, TN, 
105583, 3200 ATUMNWOOD, MEMPHIS, TN, 
105584, 3200 ATWOOD, MEMPHIS, TN, 
105585, 3200 AUSIN PEAY, MEMPHIS, TN, 
105586, 3200 AUSTIN PAY HWY, MEMPHIS, TN, 
105587, 3200 AUSTIN PEA, MEMPHIS, TN, 
105588, 3200 AUSTIN PEAY HW RD, MEMPHIS, TN, 
105589, 3200 AUSTIN, MEMPHIS, TN, 
105590, 3200 AUSTINPEA, MEMPHIS, TN, 
105591, 3200 AUTMNWOOD CIRCLE, MEMPHIS, TN, 
105592, 3200 AUTUMN AVE, MEMPHIS, TN, 
105593, 3200 AUTUMN GOLD LN, MEMPHIS, TN, 
105594, 3200 AUTUMN LEAF, MEMPHIS, TN, 
105595, 3200 AUTUMN RIDGE CT, MEMPHIS, TN, 
105596, 3200 AUTUMN WOODS CIR, MEMPHIS, TN, 
105597, 3200 AUTUMNCIRCLE, MEMPHIS, TN, 
105598, 3200 AUTUMNRIDGE, MEMPHIS, TN, 
105599, 3200 AUTUMNWOOD 149, MEMPHIS, TN, 
105600, 3200 AUTUMNWOOD AV, APT 98, MEMPHIS, TN, 
105601, 3200 AUTUMNWOOD AVERD, MEMPHIS, TN, 
105602, 3200 AUTUMNWOOD CIRCLE, MEMPHIS, TN, 
105603, 3200 AUTUMNWOOD CR, MEMPHIS, TN, 
105604, 3200 AUTUMNWOOD CV, MEMPHIS, TN, 
105605, 3200 AUTUMNWOODS, MEMPHIS, TN, 
105606, 3200 AUX ARMS, MEMPHIS, TN, 
105607, 3200 BALSAM DR, MEMPHIS, TN, 
105608, 3200 BALSAM RD, MEMPHIS, TN, 
105609, 3200 BALSAM ST, MEMPHIS, TN, 
105610, 3200 BANNOCKBURN, MEMPHIS, TN, 
105611, 3200 BANUVE, MEMPHIS, TN, 
105612, 3200 BASKIN RD, MEMPHIS, TN, 
105613, 3200 BASSWOOD DR, MEMPHIS, TN, 
105614, 3200 BATTLING ST, MEMPHIS, TN, 
105615, 3200 BAUCHAMP, MEMPHIS, TN, 
105616, 3200 BAYLEAF, MEMPHIS, TN, 
105617, 3200 BAYVIEW ST, MEMPHIS, TN, 
105618, 3200 BEACH RUN, MEMPHIS, TN, 
105619, 3200 BEAGLE, MEMPHIS, TN, 
105620, 3200 BEAR DR, MEMPHIS, TN, 
105621, 3200 BEAUCHAMP AVE, MEMPHIS, TN, 
105622, 3200 BEAUCHAMP DR., MEMPHIS, TN, 
105623, 3200 BEAUCHAMP DRIVE, MEMPHIS, TN, 
105624, 3200 BEAUCHAMP ST, MEMPHIS, TN, 
105625, 3200 BEAUHCHAMP DR, MEMPHIS, TN, 
105626, 3200 BEAUHCHAMP, MEMPHIS, TN, 
105627, 3200 BEDFORD, MEMPHIS, TN, 
105628, 3200 BEECHMONT AVE, MEMPHIS, TN, 
105629, 3200 BEECHMONT ST, MEMPHIS, TN, 
105630, 3200 BEECHRUN DR, MEMPHIS, TN, 
105631, 3200 BEJESTOWN RD, MEMPHIS, TN, 
105632, 3200 BELGRAVE RD, MEMPHIS, TN, 
105633, 3200 BELL OAK DR, MEMPHIS, TN, 
105634, 3200 BELLA GROVE, MEMPHIS, TN, 
105635, 3200 BELLBOOK CENTER DR, MEMPHIS, TN, 
105636, 3200 BELLBROOK CENTER DRIVE, MEMPHIS, TN, 
105637, 3200 BELLBROOK CTR DR, MEMPHIS, TN, 
105638, 3200 BELLBROOK RD, MEMPHIS, TN, 
105639, 3200 BELLE TOWER ROAD, MEMPHIS, TN, 
105640, 3200 BELLE TURNER, MEMPHIS, TN, 
105641, 3200 BELLEGROVE RD, MEMPHIS, TN, 
105642, 3200 BELLETOWER, MEMPHIS, TN, 
105643, 3200 BELLGRAVE, MEMPHIS, TN, 
105644, 3200 BELLS FIELD CV, MEMPHIS, TN, 
105645, 3200 BELLTOWER RD, MEMPHIS, TN, 
105646, 3200 BELLTOWER, MEMPHIS, TN, 
105647, 3200 BELSFIELD, MEMPHIS, TN, 
105648, 3200 BELSFIELDS CV, MEMPHIS, TN, 
105649, 3200 BENJENSTOWN, MEMPHIS, TN, 
105650, 3200 BENJESTOWN AVE, MEMPHIS, TN, 
105651, 3200 BENJIESTOWN, MEMPHIS, TN, 
105652, 3200 BENJISTOWN ST, MEMPHIS, TN, 
105653, 3200 BERNMAUDA, MEMPHIS, TN, 
105654, 3200 BEUAMONT, MEMPHIS, TN, 
105655, 3200 BEUMONT, MEMPHIS, TN, 
105656, 3200 BIRCHFEILD DR, MEMPHIS, TN, 
105657, 3200 BIRCHFILD DR, MEMPHIS, TN, 
105658, 3200 BIRCHFUELD, MEMPHIS, TN, 
105659, 3200 BISHOPS BRIDGE RD, MEMPHIS, TN, 
105660, 3200 BLACKFORREST, MEMPHIS, TN, 
105661, 3200 BLK CARNES, MEMPHIS, TN, 
105662, 3200 BLK COLEMAN RD, MEMPHIS, TN, 
105663, 3200 BLK MILLBRANCH RD AND SEPTEMBER RD, MEMPHIS, TN, 
105664, 3200 BLK PERSHING AVE, MEMPHIS, TN, 
105665, 3200 BLOCK COLEMAN, MEMPHIS, TN, 
105666, 3200 BLOCK DAWN DR, MEMPHIS, TN, 
105667, 3200 BLOCK I-55 S ST, MEMPHIS, TN, 
105668, 3200 BLOCK KEYSTONE, MEMPHIS, TN, 
105669, 3200 BLOCK OF ADAIR, MEMPHIS, TN, 
105670, 3200 BLOCK OF AUSTIN PEAY HWY, MEMPHIS, TN, 
105671, 3200 BLOCK OF CHISCA, MEMPHIS, TN, 
105672, 3200 BLOCK OF COMMERCIAL PKWY, MEMPHIS, TN, 
105673, 3200 BLOCK OF ELVIS PRESLEY, MEMPHIS, TN, 
105674, 3200 BLOCK OF I-55 NORTH HWY, MEMPHIS, TN, 
105675, 3200 BLOCK OF LAKEVIEW RD, MEMPHIS, TN, 
105676, 3200 BLOCK OF LYNDALE, MEMPHIS, TN, 
105677, 3200 BLOCK OF POWELL AVE, MEMPHIS, TN, 
105678, 3200 BLOCK OF ROSAMOND, MEMPHIS, TN, 
105679, 3200 BLOCK OF SANDRAY, MEMPHIS, TN, 
105680, 3200 BLOCK OF SHARPE, MEMPHIS, TN, 
105681, 3200 BLOCK OF STEELE ST AND GREENDALE AVE, MEMPHIS, TN, 
105682, 3200 BLOCK OF TUTWILER AVE, MEMPHIS, TN, 
105683, 3200 BLOCK OLD BROMPTOM RD, MEMPHIS, TN, 
105684, 3200 BLOCK THOMAS, MEMPHIS, TN, 
105685, 3200 BLOCK W ROSITA CIR, MEMPHIS, TN, 
105686, 3200 BLUE FIELD, MEMPHIS, TN, 
105687, 3200 BLUFF DALE ST, MEMPHIS, TN, 
105688, 3200 BONNE, MEMPHIS, TN, 
105689, 3200 BOONE DR, MEMPHIS, TN, 
105690, 3200 BOX DALE, MEMPHIS, TN, 
105691, 3200 BOXDALE AVE, MEMPHIS, TN, 
105692, 3200 BOXDALE DR, MEMPHIS, TN, 
105693, 3200 BRENDMARDA LN, MEMPHIS, TN, 
105694, 3200 BRENNARDA, MEMPHIS, TN, 
105695, 3200 BRIAR PARK DR, MEMPHIS, TN, 
105696, 3200 BROOK VALLEY, MEMPHIS, TN, 
105697, 3200 BROOKDALE AVE, MEMPHIS, TN, 
105698, 3200 BROOKDALE DR, MEMPHIS, TN, 
105699, 3200 BROOKEMEADE ST, MEMPHIS, TN, 
105700, 3200 BROOKINS ST AND CHELSEA AVE, MEMPHIS, TN, 
105701, 3200 BROOKMEAD ST, MEMPHIS, TN, 
105702, 3200 BROOKMEADE AVE, MEMPHIS, TN, 
105703, 3200 BROOKS, MEMPHIS, TN, 
105704, 3200 BROOKSVALLEY CIR, MEMPHIS, TN, 
105705, 3200 BROOKSVALLEY DRIVE, MEMPHIS, TN, 
105706, 3200 BRYSON CV, MEMPHIS, TN, 
105707, 3200 BUR OAK LN, MEMPHIS, TN, 
105708, 3200 C0LEMAN, MEMPHIS, TN, 
105709, 3200 CALEDONIAN DR, MEMPHIS, TN, 
105710, 3200 CAMELOT RD, MEMPHIS, TN, 
105711, 3200 CANFIELD RD, MEMPHIS, TN, 
105712, 3200 CANISBAY RD, MEMPHIS, TN, 
105713, 3200 CANVIS BAY DR, MEMPHIS, TN, 
105714, 3200 CARADINA, MEMPHIS, TN, 
105715, 3200 CARNES AVE., MEMPHIS, TN, 
105716, 3200 CARNES AVENUE, MEMPHIS, TN, 
105717, 3200 CARNES ST, MEMPHIS, TN, 
105718, 3200 CARRADINE ST, MEMPHIS, TN, 
105719, 3200 CARRIDINE, MEMPHIS, TN, 
105720, 3200 CARRIER AVE, MEMPHIS, TN, 
105721, 3200 CARRINGTON AVE, MEMPHIS, TN, 
105722, 3200 CASAAN CV, MEMPHIS, TN, 
105723, 3200 CASANN AVE, MEMPHIS, TN, 
105724, 3200 CASSANN CV, MEMPHIS, TN, 
105725, 3200 CASTKEMAN, MEMPHIS, TN, 
105726, 3200 CASTLE MAN ST, MEMPHIS, TN, 
105727, 3200 CAZASSA RD, MEMPHIS, TN, 
105728, 3200 CELP CV, MEMPHIS, TN, 
105729, 3200 CELT COVE, MEMPHIS, TN, 
105730, 3200 CHAIRMAN DR, MEMPHIS, TN, 
105731, 3200 CHARWELLL, MEMPHIS, TN, 
105732, 3200 CHAUCER LN, MEMPHIS, TN, 
105733, 3200 CHAUCER, MEMPHIS, TN, 
105734, 3200 CHEALSEA AVE, MEMPHIS, TN, 
105735, 3200 CHELSA, MEMPHIS, TN, 
105736, 3200 CHELSEA HILL, MEMPHIS, TN, 
105737, 3200 CHELSEA RD, MEMPHIS, TN, 
105738, 3200 CHELSEA RF, MEMPHIS, TN, 
105739, 3200 CHEROKEE, MEMPHIS, TN, 
105740, 3200 CHESLEA AVE, MEMPHIS, TN, 
105741, 3200 CHICA ST, MEMPHIS, TN, 
105742, 3200 CHOCTAW RD, MEMPHIS, TN, 
105743, 3200 CHOCTAW ST, MEMPHIS, TN, 
105744, 3200 CHOCTOW, MEMPHIS, TN, 
105745, 3200 CHRISTINA RD, MEMPHIS, TN, 
105746, 3200 CHRISTINE ST, MEMPHIS, TN, 
105747, 3200 CLAREDON, MEMPHIS, TN, 
105748, 3200 CLARK RD, MEMPHIS, TN, 
105749, 3200 CLARK ST, MEMPHIS, TN, 
105750, 3200 CLARK, MEMPHIS, TN, 
105751, 3200 CLARKE AVE, MEMPHIS, TN, 
105752, 3200 CLEARBOOK, MEMPHIS, TN, 
105753, 3200 CLEARBROOK AT, MEMPHIS, TN, 
105754, 3200 CLUB WALK DR, MEMPHIS, TN, 
105755, 3200 COFFEE, MEMPHIS, TN, 
105756, 3200 COLEMAN AVENUE, MEMPHIS, TN, 
105757, 3200 COLEMAN ROAD, MEMPHIS, TN, 
105758, 3200 COLEMEN RD, MEMPHIS, TN, 
105759, 3200 COLIER, MEMPHIS, TN, 
105760, 3200 COLMAN, MEMPHIS, TN, 
105761, 3200 CONNABROOK DR, MEMPHIS, TN, 
105762, 3200 COPIAH CV, MEMPHIS, TN, 
105763, 3200 CORNING, MEMPHIS, TN, 
105764, 3200 CORTINA CT, MEMPHIS, TN, 
105765, 3200 COSMOS CV, MEMPHIS, TN, 
105766, 3200 COTTONPLANT, MEMPHIS, TN, 
105767, 3200 COTTONWOOD RD, MEMPHIS, TN, 
105768, 3200 COUNTRY SQ, MEMPHIS, TN, 
105769, 3200 COUNTRYSQUIRE CV, MEMPHIS, TN, 
105770, 3200 COVINGTON PIKE BLVD, MEMPHIS, TN, 
105771, 3200 COWDEN AVE AND MARNE ST, MEMPHIS, TN, 
105772, 3200 COWDEN ST, MEMPHIS, TN, 
105773, 3200 CREIGHTON AVE, MEMPHIS, TN, 
105774, 3200 CRIAG, MEMPHIS, TN, 
105775, 3200 CROW, MEMPHIS, TN, 
105776, 3200 CROWELL, MEMPHIS, TN, 
105777, 3200 CRUMP #1, MEMPHIS, TN, 
105778, 3200 CRUZON AVENUE, MEMPHIS, TN, 
105779, 3200 CRUZON, MEMPHIS, TN, 
105780, 3200 CRYPRESS LAKE DR, MEMPHIS, TN, 
105781, 3200 CRYSTAL LAKE DR, MEMPHIS, TN, 
105782, 3200 CUMP, MEMPHIS, TN, 
105783, 3200 CURZON ST, MEMPHIS, TN, 
105784, 3200 CYPREE LAKE DR, MEMPHIS, TN, 
105785, 3200 CYPRESE LAKE DR, MEMPHIS, TN, 
105786, 3200 CYPRESS LAKE DRE, MEMPHIS, TN, 
105787, 3200 CYPRESS LAKE DRIVE AND WATERGROVE PARKWAY, MEMPHIS, TN, 
105788, 3200 CYPRESS LAKE RD, MEMPHIS, TN, 
105789, 3200 CYPRESS LAKES DRIVE, MEMPHIS, TN, 
105790, 3200 CYPRUS LAKES DR, MEMPHIS, TN, 
105791, 3200 DAGAN, MEMPHIS, TN, 
105792, 3200 DAHIA, MEMPHIS, TN, 
105793, 3200 DAHLIA RD, MEMPHIS, TN, 
105794, 3200 DAMVILLE CIR, MEMPHIS, TN, 
105795, 3200 DANBUE LN, MEMPHIS, TN, 
105796, 3200 DANNVILLE, MEMPHIS, TN, 
105797, 3200 DANUBE ST, MEMPHIS, TN, 
105798, 3200 DANUBER, MEMPHIS, TN, 
105799, 3200 DANUEE, MEMPHIS, TN, 
105800, 3200 DANVILLE CIRCLE W, MEMPHIS, TN, 
105801, 3200 DANVILLE CR, MEMPHIS, TN, 
105802, 3200 DANVILLE CV, MEMPHIS, TN, 
105803, 3200 DANVILLE E, MEMPHIS, TN, 
105804, 3200 DAPHNE, MEMPHIS, TN, 
105805, 3200 DEANN DR, MEMPHIS, TN, 
105806, 3200 DEBBY CV, MEMPHIS, TN, 
105807, 3200 DEBBY DR, MEMPHIS, TN, 
105808, 3200 DEEANN, MEMPHIS, TN, 
105809, 3200 DEEVEIL DR, MEMPHIS, TN, 
105810, 3200 DELLBROOK, MEMPHIS, TN, 
105811, 3200 DELLWOOD ST, MEMPHIS, TN, 
105812, 3200 DELP, MEMPHIS, TN, 
105813, 3200 DELWOOD, MEMPHIS, TN, 
105814, 3200 DEMOCRAT ROAD, MEMPHIS, TN, 
105815, 3200 DEMOCRAT ST, MEMPHIS, TN, 
105816, 3200 DEMOCRATIC, MEMPHIS, TN, 
105817, 3200 DEMOCRATS ST, MEMPHIS, TN, 
105818, 3200 DENUBE, MEMPHIS, TN, 
105819, 3200 DENVER, MEMPHIS, TN, 
105820, 3200 DESERT ROSE, MEMPHIS, TN, 
105821, 3200 DEVEL, MEMPHIS, TN, 
105822, 3200 DICKAMANN AVE, MEMPHIS, TN, 
105823, 3200 DICKMAN AVE, MEMPHIS, TN, 
105824, 3200 DICKMANN AVE, MEMPHIS, TN, 
105825, 3200 DICKMANN, MEMPHIS, TN, 
105826, 3200 DIRECTORS ROW RD, MEMPHIS, TN, 
105827, 3200 DO THAN ST, MEMPHIS, TN, 
105828, 3200 DOKKUM DR, MEMPHIS, TN, 
105829, 3200 DOMAR AVE, MEMPHIS, TN, 
105830, 3200 DORCHESTER, MEMPHIS, TN, 
105831, 3200 DOTHAN AVE, MEMPHIS, TN, 
105832, 3200 DOUGLASSS, MEMPHIS, TN, 
105833, 3200 DUKE ELLIGTON AVE, MEMPHIS, TN, 
105834, 3200 DUKE ELLINGTON APT 91, MEMPHIS, TN, 
105835, 3200 DUKE ELLINGTON APT#95, MEMPHIS, TN, 
105836, 3200 DUKE ELLINGTON DR, MEMPHIS, TN, 
105837, 3200 DUKE ELLINGTON3121, MEMPHIS, TN, 
105838, 3200 DUMBARTON DR, MEMPHIS, TN, 
105839, 3200 DUMBEATH RD, MEMPHIS, TN, 
105840, 3200 DUMBEATH ST, MEMPHIS, TN, 
105841, 3200 DUMDARTON RD, MEMPHIS, TN, 
105842, 3200 DUNCAN WILLIAMS ROAD, MEMPHIS, TN, 
105843, 3200 E BARRON, MEMPHIS, TN, 
105844, 3200 E BROOKS RD, MEMPHIS, TN, 
105845, 3200 E DANIVILLE, MEMPHIS, TN, 
105846, 3200 E DANSVILLE, MEMPHIS, TN, 
105847, 3200 E DANVILE CIR, MEMPHIS, TN, 
105848, 3200 E DANVILLE CR ST, MEMPHIS, TN, 
105849, 3200 E DANVILLE SQ, MEMPHIS, TN, 
105850, 3200 E DAVILLE CIR, MEMPHIS, TN, 
105851, 3200 E EDGEWARE RD, MEMPHIS, TN, 
105852, 3200 E GLENGARRY CV, MEMPHIS, TN, 
105853, 3200 E GLENGARRY RD, MEMPHIS, TN, 
105854, 3200 E GLENGARRY ST, MEMPHIS, TN, 
105855, 3200 E HARVESTER, MEMPHIS, TN, 
105856, 3200 E PERKINS RD, MEMPHIS, TN, 
105857, 3200 E SHARPE, MEMPHIS, TN, 
105858, 3200 E SHIRLEY, MEMPHIS, TN, 
105859, 3200 E WINCHESTER, MEMPHIS, TN, 
105860, 3200 EAGLE, MEMPHIS, TN, 
105861, 3200 EARLS CT, MEMPHIS, TN, 
105862, 3200 EARNETT DR, MEMPHIS, TN, 
105863, 3200 EARNETT ST, MEMPHIS, TN, 
105864, 3200 EARNETTE, MEMPHIS, TN, 
105865, 3200 EAST DANVILLE CIR 5, MEMPHIS, TN, 
105866, 3200 EAST DANVILLE CIR, MEMPHIS, TN, 
105867, 3200 EAST GLENGARRY, MEMPHIS, TN, 
105868, 3200 EAST HARVESTER, MEMPHIS, TN, 
105869, 3200 EAST RAINES RD, MEMPHIS, TN, 
105870, 3200 EAST RAINES, MEMPHIS, TN, 
105871, 3200 EAST SHIRLEY CIR, MEMPHIS, TN, 
105872, 3200 EAST WALNUT CREEK, MEMPHIS, TN, 
105873, 3200 EASTLINE DR, MEMPHIS, TN, 
105874, 3200 EDEN POINT, MEMPHIS, TN, 
105875, 3200 EDGEWARD, MEMPHIS, TN, 
105876, 3200 EDGEWARE DR S, MEMPHIS, TN, 
105877, 3200 EDGEWARE RD SOUTH, MEMPHIS, TN, 
105878, 3200 EDGEWHERE, MEMPHIS, TN, 
105879, 3200 EGYPT-CENTRAL, MEMPHIS, TN, 
105880, 3200 ELLSWORTH, MEMPHIS, TN, 
105881, 3200 ELVIS PRESELY, MEMPHIS, TN, 
105882, 3200 ELVIS PRESLEY 105, MEMPHIS, TN, 
105883, 3200 ELVIS PRESLEY AND BROOKS RD, MEMPHIS, TN, 
105884, 3200 ELVIS PRESLEY RD, MEMPHIS, TN, 
105885, 3200 EMERALD RD, MEMPHIS, TN, 
105886, 3200 ESTES RD, MEMPHIS, TN, 
105887, 3200 EUPORA CV, MEMPHIS, TN, 
105888, 3200 FAIR BORN AVE, MEMPHIS, TN, 
105889, 3200 FAIRBORN DR, MEMPHIS, TN, 
105890, 3200 FARMER, MEMPHIS, TN, 
105891, 3200 FARRIS VIEW RD, MEMPHIS, TN, 
105892, 3200 FARRISVIEW BL, MEMPHIS, TN, 
105893, 3200 FARRISVIEW ST, MEMPHIS, TN, 
105894, 3200 FAXON ST, MEMPHIS, TN, 
105895, 3200 FERN RIDGE, MEMPHIS, TN, 
105896, 3200 FERRISVIEW, MEMPHIS, TN, 
105897, 3200 FESCUE LN, MEMPHIS, TN, 
105898, 3200 FIELD STONE WAY, MEMPHIS, TN, 
105899, 3200 FIELDSTONE DR, MEMPHIS, TN, 
105900, 3200 FIRST NORTHSIDE, MEMPHIS, TN, 
105901, 3200 FLAIRWOOD CIRCLE, MEMPHIS, TN, 
105902, 3200 FLAIRWOOD COVE, MEMPHIS, TN, 
105903, 3200 FLAIRWOOD DR, MEMPHIS, TN, 
105904, 3200 FLAIRWOOD LN, MEMPHIS, TN, 
105905, 3200 FLANDERS AVE, MEMPHIS, TN, 
105906, 3200 FLAREWOOD CV, MEMPHIS, TN, 
105907, 3200 FLEET BROOK DR, MEMPHIS, TN, 
105908, 3200 FLEETBROOK BLDG 1, MEMPHIS, TN, 
105909, 3200 FLEETBROOK BROOK, MEMPHIS, TN, 
105910, 3200 FLEETBROOK ST, MEMPHIS, TN, 
105911, 3200 FLEETBROOKS DR, MEMPHIS, TN, 
105912, 3200 FLEETWOOD, MEMPHIS, TN, 
105913, 3200 FLINT AVE, MEMPHIS, TN, 
105914, 3200 FLOWER CHERRY, MEMPHIS, TN, 
105915, 3200 FLOWER VALLEY, MEMPHIS, TN, 
105916, 3200 FLOWERING CHERRY AVE, MEMPHIS, TN, 
105917, 3200 FLOWERING PEACH DR, MEMPHIS, TN, 
105918, 3200 FONTAINE ST, MEMPHIS, TN, 
105919, 3200 FONTAINE STREET, MEMPHIS, TN, 
105920, 3200 FONTANE, MEMPHIS, TN, 
105921, 3200 FOREST BRK, MEMPHIS, TN, 
105922, 3200 FOREST BROOKS, MEMPHIS, TN, 
105923, 3200 FOREST GLEN CV, MEMPHIS, TN, 
105924, 3200 FOREST GLN, MEMPHIS, TN, 
