154001, HUMPHERY AND WALNUT GROVE, MEMPHIS, TN, 
154425, I-240 AND I40 EASTBOUND, MEMPHIS, TN, 
154426, I-240 AND JACKSON AND WARFORD, MEMPHIS, TN, 
154427, I-240 AND JACKSON AVE., MEMPHIS, TN, 
154428, I-240 AND LAMAR E AND B, MEMPHIS, TN, 
154429, I-240 AND LAMAR RAMP, MEMPHIS, TN, 
154430, I-240 AND LAMAR ST, MEMPHIS, TN, 
154431, I-240 AND MADISON NORTH OF, MEMPHIS, TN, 
154432, I-240 AND MCCLEMORE, MEMPHIS, TN, 
154433, I-240 AND MCLEMORE AVE, MEMPHIS, TN, 
154434, I-240 AND MILBRANCH RD, MEMPHIS, TN, 
154435, I-240 AND MILL BRANCH, MEMPHIS, TN, 
154436, I-240 AND MILLBRACH RD, MEMPHIS, TN, 
154437, I-240 AND MILLBRANCH AND NONCONNAH ST, MEMPHIS, TN, 
154438, I-240 AND MILLINGTON EXIT, MEMPHIS, TN, 
154439, I-240 AND MT MORIAH E AND B, MEMPHIS, TN, 
154440, I-240 AND NONCANNAH WEST BOUND, MEMPHIS, TN, 
154441, I-240 AND NONCONNAH PKWY, MEMPHIS, TN, 
154442, I-240 AND NONCONNAH, MEMPHIS, TN, 
154443, I-240 AND PARK AVE, MEMPHIS, TN, 
154444, I-240 AND PARK, MEMPHIS, TN, 
154445, I-240 AND PEABODY, MEMPHIS, TN, 
154446, I-240 AND PEARSON, MEMPHIS, TN, 
154447, I-240 AND PERKINS EXTD, MEMPHIS, TN, 
154448, I-240 AND PERSON, MEMPHIS, TN, 
154449, I-240 AND POPLAR (W AND B), MEMPHIS, TN, 
154450, I-240 AND POPLAR AVE EXIT RAMP, MEMPHIS, TN, 
154451, I-240 AND POPLAR EB, MEMPHIS, TN, 
154452, I-240 AND QUINCE (W AND B), MEMPHIS, TN, 
154453, I-240 AND QUINCE, MEMPHIS, TN, 
154454, I-240 AND RIDGEWAY, MEMPHIS, TN, 
154455, I-240 AND S NORRIS, MEMPHIS, TN, 
154456, I-240 AND S PARKWAY BLVD, MEMPHIS, TN, 
154457, I-240 AND S PARKWAY, MEMPHIS, TN, 
154458, I-240 AND S PERKINS, MEMPHIS, TN, 
154459, I-240 AND S THIRD, MEMPHIS, TN, 
154460, I-240 AND S. PERKINS, MEMPHIS, TN, 
154461, I-240 AND SAM COOPER BLVD, MEMPHIS, TN, 
154462, I-240 AND SAM COOPER BVD, MEMPHIS, TN, 
154463, I-240 AND SAM COOPER, MEMPHIS, TN, 
154464, I-240 AND SMITH RD, MEMPHIS, TN, 
154465, I-240 AND SOUTHBOUND NORRIS, MEMPHIS, TN, 
154466, I-240 AND SPERKINS RD, MEMPHIS, TN, 
154467, I-240 AND TRIGG AVE, MEMPHIS, TN, 
154468, I-240 AND TRIGGS, MEMPHIS, TN, 
154469, I-240 AND W AND B AND AIRWAYS, MEMPHIS, TN, 
154470, I-240 AND WALNUT GROVE EXIT, MEMPHIS, TN, 
154471, I-240 AND WALNUT GROVW, MEMPHIS, TN, 
154472, I-240 AND WARFORD EXIT RAMP NORTHBOUND, MEMPHIS, TN, 
154473, I-240 AND WARFORD EXIT, MEMPHIS, TN, 
154474, I-240 AND WARFORD RD, MEMPHIS, TN, 
154475, I-240 AND WATKINS AVE, MEMPHIS, TN, 
154476, I-240 AND WATKINS EXIT, MEMPHIS, TN, 
154477, I-240 AND WATKINS ST, MEMPHIS, TN, 
154478, I-240 AREA OF JACKSON AND MADISON, MEMPHIS, TN, 
154479, I-240 BETWEEN AUSTIN PEAY AND COVINGTON PIKE, MEMPHIS, TN, 
154480, I-240 BETWEEN LAMAR AND SOUTH PKWY, MEMPHIS, TN, 
154481, I-240 E AND AIRWAYS BLVD, MEMPHIS, TN, 
154482, I-240 E AND B AIRWAYS, MEMPHIS, TN, 
154483, I-240 E AND B AND COVINGTON PIKE, MEMPHIS, TN, 
154484, I-240 E AND B AND GETWELL EXIT 20B, MEMPHIS, TN, 
154485, I-240 E AND B AND GETWELL RD, MEMPHIS, TN, 
154486, I-240 E AND B AND MILLBRANCH, MEMPHIS, TN, 
154487, I-240 E AND B AND MT MORIAH RD, MEMPHIS, TN, 
154488, I-240 E AND B AND MT MORIAH, MEMPHIS, TN, 
154489, I-240 E AND B AND PERKINS RD, MEMPHIS, TN, 
154490, I-240 E AND B AND WHITTEN EXIT, MEMPHIS, TN, 
154491, I-240 E AND B EAST OF S PERKINS, MEMPHIS, TN, 
154492, I-240 E AND B MT MORIAH RD, MEMPHIS, TN, 
154493, I-240 E AND B MT MORIAH, MEMPHIS, TN, 
154494, I-240 E AND B NORTH OF WALNUT GROVE, MEMPHIS, TN, 
154495, I-240 E AND B W AND OF S PERKINS RD, MEMPHIS, TN, 
154496, I-240 E AND B WEST OF I-385, MEMPHIS, TN, 
154497, I-240 E AND B, AND WALNUT GROVE, MEMPHIS, TN, 
154498, I-240 E AND LAMAR, MEMPHIS, TN, 
154499, I-240 E AND MILBRANCH, MEMPHIS, TN, 
154500, I-240 E AND POPLAR AVE, MEMPHIS, TN, 
154501, I-240 E AND WALNUT GROVE, MEMPHIS, TN, 
154502, I-240 E BOUND AND LAMAR AVE, MEMPHIS, TN, 
154503, I-240 E RAMP AND MT MORIAH, MEMPHIS, TN, 
154504, I-240 E\B AND LAMAR, MEMPHIS, TN, 
154505, I-240 EAST AND I-40, MEMPHIS, TN, 
154506, I-240 EAST AND I-55 SOUTH INTERSTATE, MEMPHIS, TN, 
154507, I-240 EAST AND JACKSON EXIT, MEMPHIS, TN, 
154508, I-240 EAST AND MILLBRANCH, MEMPHIS, TN, 
154509, I-240 EAST AND MTMORIAH, MEMPHIS, TN, 
154510, I-240 EAST AND POPLAR, MEMPHIS, TN, 
154511, I-240 EAST BETWEEN AIRWAYS AND LAMAR EXITS, MEMPHIS, TN, 
154512, I-240 EAST BOUND WEST OF POPLAR AVE, MEMPHIS, TN, 
154513, I-240 EAST OF AIRWAYS, MEMPHIS, TN, 
154514, I-240 EAST OF LAMAR, MEMPHIS, TN, 
154515, I-240 EAST OF MILLBRANCH, MEMPHIS, TN, 
154516, I-240 EASTBOUND AND GETWELL, MEMPHIS, TN, 
154517, I-240 EASTBOUND AND MILLBRANCH, MEMPHIS, TN, 
154518, I-240 EASTBOUND AND MT MORIAH, MEMPHIS, TN, 
154519, I-240 EASTBOUND, EAST OF WALNUT GROVE, MEMPHIS, TN, 
154520, I-240 EASTBOUND, WEST OF POPLAR RD, MEMPHIS, TN, 
154521, I-240 EB AND AT S PERKINS RD, MEMPHIS, TN, 
154522, I-240 EB AND ELVIS PRESLEY, MEMPHIS, TN, 
154523, I-240 EB AND MILLBRANCH EXIT, MEMPHIS, TN, 
154524, I-240 EB AND PERKINS, MEMPHIS, TN, 
154525, I-240 EB AND POPLAR AVE, MEMPHIS, TN, 
154526, I-240 EXIT RAMP AND HERNANDO, MEMPHIS, TN, 
154527, I-240 EXIT RAMP AND MT MORIAH, MEMPHIS, TN, 
154528, I-240 EXIT RAMP AND S PERKINS RD, MEMPHIS, TN, 
154529, I-240 GETWELL, MEMPHIS, TN, 
154530, I-240 HWY AND 55, MEMPHIS, TN, 
154531, I-240 HWY AND GETWELL, MEMPHIS, TN, 
154532, I-240 HWY AND MADISON AVE, MEMPHIS, TN, 
154533, I-240 HWY AND NORRIS RD, MEMPHIS, TN, 
154534, I-240 INTERSTATE N AND B SOUTH OF LAMAR AVE, MEMPHIS, TN, 
154535, I-240 INTERSTATE, MEMPHIS, TN, 
154536, I-240 LAMAR, MEMPHIS, TN, 
154537, I-240 MILLBRANCH, MEMPHIS, TN, 
154538, I-240 N AND B AND AND JEFFERSON AVE, MEMPHIS, TN, 
154539, I-240 N AND B AND JACKSON AVE OVERPASS, MEMPHIS, TN, 
154540, I-240 N AND B AND MCLEMORE, MEMPHIS, TN, 
154541, I-240 N AND B AND NORRIS RD, MEMPHIS, TN, 
154542, I-240 N AND B AND NORTH OF NORRIS RD, MEMPHIS, TN, 
154543, I-240 N AND B, MEMPHIS, TN, 
154544, I-240 N AND CHELSEA, MEMPHIS, TN, 
154545, I-240 N AND I-55 HWY, MEMPHIS, TN, 
154546, I-240 N AND LAMAR AVE, MEMPHIS, TN, 
154547, I-240 N AND NORRIS RD, MEMPHIS, TN, 
154548, I-240 N AND NORRIS, MEMPHIS, TN, 
154549, I-240 N AND POPLAR AVE, MEMPHIS, TN, 
154550, I-240 N AND S PKWY, MEMPHIS, TN, 
154551, I-240 N AND SOUTH PKWY, MEMPHIS, TN, 
154552, I-240 N AND UNION AVE, MEMPHIS, TN, 
154553, I-240 N OF NORRIS, MEMPHIS, TN, 
154554, I-240 N ST AND NORRIS RD, MEMPHIS, TN, 
154555, I-240 NB AND 40, MEMPHIS, TN, 
154556, I-240 NB AND S PKWY E, MEMPHIS, TN, 
154557, I-240 NORTH AND NORRIS RD, MEMPHIS, TN, 
154558, I-240 NORTH AND NORRIS, MEMPHIS, TN, 
154559, I-240 NORTH BOUND AND LAMAR, MEMPHIS, TN, 
154560, I-240 NORTH BOUND AND NORRIS EXIT, MEMPHIS, TN, 
154561, I-240 NORTH BOUND AND SOUTH PKWY EAST, MEMPHIS, TN, 
154562, I-240 NORTH OF NORRIS, MEMPHIS, TN, 
154563, I-240 NORTH OF S PKWY, MEMPHIS, TN, 
154564, I-240 NORTH RD, MEMPHIS, TN, 
154565, I-240 NORTHBOUND AND NORRIS RD, MEMPHIS, TN, 
154566, I-240 NORTHBOUND AND RALEIGH LAGRANGE, MEMPHIS, TN, 
154567, I-240 RAMP AND GETWELL RD, MEMPHIS, TN, 
154568, I-240 RD, MEMPHIS, TN, 
154569, I-240 ROAD N AND B AND SAM COOPER BLVD, MEMPHIS, TN, 
154570, I-240 S AND B AND MADISON AVE, MEMPHIS, TN, 
154571, I-240 S AND B AND MADISON, MEMPHIS, TN, 
154572, I-240 S AND B AND MCLEMORE OVERPASS, MEMPHIS, TN, 
154573, I-240 S AND B AND MT MORIAH, MEMPHIS, TN, 
154574, I-240 S AND B AND S PKWY E, MEMPHIS, TN, 
154575, I-240 S AND B AND SOUTH PKWY, MEMPHIS, TN, 
154576, I-240 S AND B LNS AND CHELSEA ST OVERPASS, MEMPHIS, TN, 
154577, I-240 S AND B LNS AND UNION AVE O AND PASS, MEMPHIS, TN, 
154578, I-240 S AND B N AND O MADISON AVE, MEMPHIS, TN, 
154579, I-240 S AND LAMAR AVE, MEMPHIS, TN, 
154580, I-240 S AND S PARKWAY E, MEMPHIS, TN, 
154581, I-240 S AND S PKWY, MEMPHIS, TN, 
154582, I-240 SB AND JACKSON AVE, MEMPHIS, TN, 
154583, I-240 SB AND SOUTH PKWY, MEMPHIS, TN, 
154584, I-240 SOUTH AND CRUMP, MEMPHIS, TN, 
154585, I-240 SOUTH AND JACKSON AVE EXIT, MEMPHIS, TN, 
154586, I-240 SOUTH AND NORRIS RD, MEMPHIS, TN, 
154587, I-240 SOUTH AND NORRIS, MEMPHIS, TN, 
154588, I-240 SOUTH AND SOUTH PKWY EAST, MEMPHIS, TN, 
154589, I-240 SOUTH AND UNION AVE, MEMPHIS, TN, 
154590, I-240 SOUTH BOUND SOUTH OF POPLAR, MEMPHIS, TN, 
154591, I-240 SOUTH OF UNION AVE, MEMPHIS, TN, 
154592, I-240 SOUTH OF WALNUT GROVE, MEMPHIS, TN, 
154593, I-240 SOUTH W AND B AND ELVIS PRESLEY, MEMPHIS, TN, 
154594, I-240 SOUTH, MEMPHIS, TN, 
154595, I-240 SOUTHBOUND AND BROOKS RD, MEMPHIS, TN, 
154596, I-240 SOUTHBOUND AND LAMAR, MEMPHIS, TN, 
154597, I-240 SOUTHBOUND AND S PKWY, MEMPHIS, TN, 
154598, I-240 SOUTHBOUND, MEMPHIS, TN, 
154599, I-240 ST, MEMPHIS, TN, 
154600, I-240 W AND B AND AIRWAYS BLVD, MEMPHIS, TN, 
154601, I-240 W AND B AND AIRWAYS, MEMPHIS, TN, 
154602, I-240 W AND B AND GETWELL RD, MEMPHIS, TN, 
154603, I-240 W AND B AND HWY 385, MEMPHIS, TN, 
154604, I-240 W AND B AND I-240 N AND B, MEMPHIS, TN, 
154605, I-240 W AND B AND MILL BRANCH RD, MEMPHIS, TN, 
154606, I-240 W AND B AND MILLBRANCH RD, MEMPHIS, TN, 
154607, I-240 W AND B AND MILLBRANCH, MEMPHIS, TN, 
154608, I-240 W AND B AND MT MORIAH, MEMPHIS, TN, 
154609, I-240 W AND B AND QUINCE RD, MEMPHIS, TN, 
154610, I-240 W AND B AND SHADY GROVE, MEMPHIS, TN, 
154611, I-240 W AND B AND WALNUT GROVE RD, MEMPHIS, TN, 
154612, I-240 W AND B E AND O MILLBRANCH, MEMPHIS, TN, 
154613, I-240 W AND B EAST OF AIRWAYS, MEMPHIS, TN, 
154614, I-240 W AND B EAST OF LAMAR AVE, MEMPHIS, TN, 
154615, I-240 W AND B EAST OF MILLBRANCH RD, MEMPHIS, TN, 
154616, I-240 W AND B NORTH OF WALNUT GROVE, MEMPHIS, TN, 
154617, I-240 W AND B PERKINS, MEMPHIS, TN, 
154618, I-240 W AND OF GETWELL, MEMPHIS, TN, 
154619, I-240 W AND PERKINS, MEMPHIS, TN, 
154620, I-240 W AND WARFORD, MEMPHIS, TN, 
154621, I-240 W WEST OF GETWELL RD, MEMPHIS, TN, 
154622, I-240 W\B AND GETWELL, MEMPHIS, TN, 
154623, I-240 WATKINS ST, MEMPHIS, TN, 
154624, I-240 WB AND POPLAR, MEMPHIS, TN, 
154625, I-240 WEST AND AIRWAYS BLVD, MEMPHIS, TN, 
154626, I-240 WEST AND LAMAR AVE, MEMPHIS, TN, 
154627, I-240 WEST AND MADISON EXIT, MEMPHIS, TN, 
154628, I-240 WEST AND MILLBRACH RD, MEMPHIS, TN, 
154629, I-240 WEST AND MT MORIAH, MEMPHIS, TN, 
154630, I-240 WEST AND PERKINS, MEMPHIS, TN, 
154631, I-240 WEST BOUND BETWEEN LAMAR AVE AND ARIWAYS, MEMPHIS, TN, 
154632, I-240 WEST OF COVINGTON PIKE, MEMPHIS, TN, 
154633, I-240 WEST OF MILLBRANCH, MEMPHIS, TN, 
154634, I-240 WEST OF MT MORIAH RD, MEMPHIS, TN, 
154635, I-240 WESTBOUND AND AIRWAYS, MEMPHIS, TN, 
154636, I-240 WESTBOUND AND ELVIS PRESLEY, MEMPHIS, TN, 
154637, I-240 WESTBOUND AND I-55, MEMPHIS, TN, 
154638, I-240 WESTBOUND AND MILE MARKER 24, MEMPHIS, TN, 
154639, I-240 WESTBOUND AND POPLAR, MEMPHIS, TN, 
154640, I-240 WESTBOUND AND WALNUT GROVE, MEMPHIS, TN, 
154641, I-240 WESTBOUND FROM LAMAR, MEMPHIS, TN, 
154642, I-240 WESTBOUND NORTH OF QUINCE RD, MEMPHIS, TN, 
154643, I-240 WESTBOUND, MEMPHIS, TN, 
154644, I-240 WESTBOUND, WEST OF GETWELL, MEMPHIS, TN, 
154645, I-240-S. PARKWAY, MEMPHIS, TN, 
154646, I-240-WATKINS, MEMPHIS, TN, 
154647, I-240, GETWELL ST, MEMPHIS, TN, 
154648, I-240, LAMAR, MEMPHIS, TN, 
154649, I-240/AIRWAYS, MEMPHIS, TN, 
154650, I-240/COVINGTON PIKE, MEMPHIS, TN, 
154651, I-240/GETWELL RD, MEMPHIS, TN, 
154652, I-240/MT. MORIAH, MEMPHIS, TN, 
154653, I-240/POPLAR, MEMPHIS, TN, 
154654, I-240/SOUTH PARKWAY, MEMPHIS, TN, 
154655, I-240E ANB PERKINS, MEMPHIS, TN, 
154656, I-240E AND 385, MEMPHIS, TN, 
154657, I-240E AND B AND MILLBRANCH, MEMPHIS, TN, 
154658, I-240E AND LAMAR AVE, MEMPHIS, TN, 
154659, I-240E AND MILLBRANCH RD, MEMPHIS, TN, 
154660, I-240E AND MILLBRANCH, MEMPHIS, TN, 
154661, I-240E AND MT MORIAH, MEMPHIS, TN, 
154662, I-240E AND WALNUT GROVE RD, MEMPHIS, TN, 
154663, I-240E BETWEEN JACKSON AND COVINGTON PK, MEMPHIS, TN, 
154664, I-240E EAST OF MILL BRANCH RD, MEMPHIS, TN, 
154665, I-240EB AND AIRWAYS RD, MEMPHIS, TN, 
154666, I-240N AND LAMAR AVE, MEMPHIS, TN, 
154667, I-240N AND NORRIS, MEMPHIS, TN, 
154668, I-240N AND S PKWY E, MEMPHIS, TN, 
154669, I-240S AND B AND CENTRAL AVE, MEMPHIS, TN, 
154670, I-240S AND B AND S PKWY, MEMPHIS, TN, 
154671, I-240S AND B AND SOUTH PKWY, MEMPHIS, TN, 
154672, I-240S AND NORTH PKWY, MEMPHIS, TN, 
154673, I-240S AND POPLAR AVE, MEMPHIS, TN, 
154674, I-240S AND SPARKWAY, MEMPHIS, TN, 
154675, I-240SB AND MADISON AVE, MEMPHIS, TN, 
154676, I-240SB AND NORRIS RD, MEMPHIS, TN, 
154677, I-240W AND B AND MILLBRANCH, MEMPHIS, TN, 
154678, I-240W AND B AND PERKINS, MEMPHIS, TN, 
154679, I-240W AND B WEST OF AIRWAYS, MEMPHIS, TN, 
154680, I-240W AND LAMAR, MEMPHIS, TN, 
154681, I-240W AND MILLBRANCH, MEMPHIS, TN, 
154682, I-240W AND PERKINS, MEMPHIS, TN, 
154683, I-240W AND POPLAR AVE, MEMPHIS, TN, 
154684, I-240WB AND I-55NB, MEMPHIS, TN, 
154685, I-240WESTBOUND/AIRWAYS, MEMPHIS, TN, 
154686, I-385 AND HICKORY HILL, MEMPHIS, TN, 
154687, I-385 AND RIDGEWAY EXIT, MEMPHIS, TN, 
154688, I-385 AND RIDGEWAY RD, MEMPHIS, TN, 
154689, I-385 AND RIVERDALE RD, MEMPHIS, TN, 
154690, I-385 E AND B AND WINCHESTER RD, MEMPHIS, TN, 
154691, I-385 E AND WINCHESTER RD, MEMPHIS, TN, 
154692, I-385 EASTBOUND AND WINCHESTER, MEMPHIS, TN, 
154693, I-385 EXIT RAMP AND KIRBY PKWY, MEMPHIS, TN, 
154694, I-385 NONCONNAH AND I-240, MEMPHIS, TN, 
154695, I-385 W AND B AND KIRBY RD, MEMPHIS, TN, 
154696, I-385/I-240, MEMPHIS, TN, 
154697, I-385E AND KIRBY PKWY, MEMPHIS, TN, 
154698, I-40 , HWY 64, MEMPHIS, TN, 
154699, I-40 / AIRLINE, MEMPHIS, TN, 
154700, I-40 & AUSTIN PEAY, MEMPHIS, TN, 
154701, I-40 101 CONNECTOR, MEMPHIS, TN, 
154702, I-40 AND 101 CONNECTOR, MEMPHIS, TN, 
154703, I-40 AND 240, MEMPHIS, TN, 
154704, I-40 AND 28 MILE MARKER, MEMPHIS, TN, 
154705, I-40 AND AIRLINE RD, MEMPHIS, TN, 
154706, I-40 AND APPLING FARM, MEMPHIS, TN, 
154707, I-40 AND APPLYING RD, MEMPHIS, TN, 
154708, I-40 AND AUSTIN PEAY EXIT, MEMPHIS, TN, 
154709, I-40 AND AUSTIN PEAY HWY, MEMPHIS, TN, 
154710, I-40 AND AUSTINPEAY, MEMPHIS, TN, 
154711, I-40 AND AYERS, MEMPHIS, TN, 
154712, I-40 AND COVINGTON PIKE WESTBOUND, MEMPHIS, TN, 
154713, I-40 AND COVINGTON PK, MEMPHIS, TN, 
154714, I-40 AND COVINGTON, MEMPHIS, TN, 
154715, I-40 AND DANNY THOMAS RD, MEMPHIS, TN, 
154716, I-40 AND FRONT ST, MEMPHIS, TN, 
154717, I-40 AND GERMANTOWN RD, MEMPHIS, TN, 
154718, I-40 AND GETWELL, MEMPHIS, TN, 
154719, I-40 AND HIGHWAY 64, MEMPHIS, TN, 
154720, I-40 AND HOLLYWOOD EXIT, MEMPHIS, TN, 
154721, I-40 AND HOLLYWOOD RD, MEMPHIS, TN, 
154722, I-40 AND HOUSTON LEVEE, MEMPHIS, TN, 
154723, I-40 AND HWY 51, MEMPHIS, TN, 
154724, I-40 AND HWY#64, MEMPHIS, TN, 
154725, I-40 AND I-240 EAST, MEMPHIS, TN, 
154726, I-40 AND I-240 FLYOVER, MEMPHIS, TN, 
154727, I-40 AND I-240, DOWNTOWN, MEMPHIS, TN, 
154728, I-40 AND JACKSON (WESTBOUND), MEMPHIS, TN, 
154729, I-40 AND JACKSON EXIT 8, MEMPHIS, TN, 
154730, I-40 AND JEFFERSON, MEMPHIS, TN, 
154731, I-40 AND MCLEAN, MEMPHIS, TN, 
154732, I-40 AND MILE MARKER #1 (PEACH AND DECATUR), MEMPHIS, TN, 
154733, I-40 AND MILE MARKER 27, MEMPHIS, TN, 
154734, I-40 AND MM 23 EASTBOUND, MEMPHIS, TN, 
154735, I-40 AND MM 26 1 AND 2 E AND B, MEMPHIS, TN, 
154736, I-40 AND MM 26 E AND B, MEMPHIS, TN, 
154737, I-40 AND N GERMANTOWN PWY, MEMPHIS, TN, 
154738, I-40 AND N HIGHLAND ST, MEMPHIS, TN, 
154739, I-40 AND NONCONNAH, MEMPHIS, TN, 
154740, I-40 AND NORTH GERMANTOWN, MEMPHIS, TN, 
154741, I-40 AND NORTH WATKINS, MEMPHIS, TN, 
154742, I-40 AND PERKINS, MEMPHIS, TN, 
154743, I-40 AND SAM COOPER BLVD, MEMPHIS, TN, 
154744, I-40 AND SAM COOPER RD, MEMPHIS, TN, 
154745, I-40 AND STAGE, MEMPHIS, TN, 
154746, I-40 AND SYCAMORE VIEE, MEMPHIS, TN, 
154747, I-40 AND SYCAMORE VIEW EXIT, MEMPHIS, TN, 
154748, I-40 AND SYCAMOREVIEW, MEMPHIS, TN, 
154749, I-40 AND THIRD ST, MEMPHIS, TN, 
154750, I-40 AND THOMAS ST, MEMPHIS, TN, 
154751, I-40 AND WARFORD W AND B, MEMPHIS, TN, 
154752, I-40 AND WATFORD ST, MEMPHIS, TN, 
154753, I-40 AND WATKINS AVE, MEMPHIS, TN, 
154754, I-40 AND WATKINS RD, MEMPHIS, TN, 
154755, I-40 AND WEST OF SYCAMORE VIEW, MEMPHIS, TN, 
154756, I-40 AND WEST OF WARFORD, MEMPHIS, TN, 
154757, I-40 AND WEST OF WHITTEN, MEMPHIS, TN, 
154758, I-40 AND WEST WHITTEN, MEMPHIS, TN, 
154759, I-40 AND WHITE STATION, MEMPHIS, TN, 
154760, I-40 AUSTIN PEAY, MEMPHIS, TN, 
154761, I-40 BETWEEN AUSTIN PEAY HWY AND COVINGTON PIKE, MEMPHIS, TN, 
154762, I-40 BETWEEN JACKON AND MADISON EXITS, MEMPHIS, TN, 
154763, I-40 BETWEEN WARFORD AND HOLLYWOOD, MEMPHIS, TN, 
154764, I-40 BRIDGE, MEMPHIS, TN, 
154765, I-40 COVINGTON PIKE, MEMPHIS, TN, 
154766, I-40 E AND B AND APPLING RD, MEMPHIS, TN, 
154767, I-40 E AND B AND APPLING, MEMPHIS, TN, 
154768, I-40 E AND B AND DANNY THOMAS, MEMPHIS, TN, 
154769, I-40 E AND B AND EXIT 16, MEMPHIS, TN, 
154770, I-40 E AND B AND HOLLOYWOOD, MEMPHIS, TN, 
154771, I-40 E AND B AND HOLLYWOOD ST, MEMPHIS, TN, 
154772, I-40 E AND B AND HOLLYWOOD, MEMPHIS, TN, 
154773, I-40 E AND B AND JACKSON AVE, MEMPHIS, TN, 
154774, I-40 E AND B AND JACKSON, MEMPHIS, TN, 
154775, I-40 E AND B AND MCLEAN OVERPASS, MEMPHIS, TN, 
154776, I-40 E AND B AND RIVERSIDE, MEMPHIS, TN, 
154777, I-40 E AND B AND SYCAMORE VIEW, MEMPHIS, TN, 
154778, I-40 E AND B AND WARFORD ST, MEMPHIS, TN, 
154779, I-40 E AND B AND WARFORD, MEMPHIS, TN, 
154780, I-40 E AND B E OF WARFORD, MEMPHIS, TN, 
154781, I-40 E AND B EAST OF DANNY THOMAS, MEMPHIS, TN, 
154782, I-40 E AND B FROM WHITTEN RD, MEMPHIS, TN, 
154783, I-40 E AND B-SYCAMORE VIEW, MEMPHIS, TN, 
154784, I-40 E AND HOLLYWOOD AVE, MEMPHIS, TN, 
154785, I-40 E AND HOLLYWOOD, MEMPHIS, TN, 
154786, I-40 E AND N DANNY THOMAS BLVD, MEMPHIS, TN, 
154787, I-40 E AND WARFORD RD, MEMPHIS, TN, 
154788, I-40 E AND WATKINS ST, MEMPHIS, TN, 
154789, I-40 E BOUND AND N WATKINS, MEMPHIS, TN, 
154790, I-40 E INTERSTATE, MEMPHIS, TN, 
154791, I-40 E ON RAMP FROM SMITH ST, MEMPHIS, TN, 
154792, I-40 EAST AND DANNY THOMAS, MEMPHIS, TN, 
154793, I-40 EAST AND EAST OF COVINGTON PIKE, MEMPHIS, TN, 
154794, I-40 EAST AND I-240 NORTH, MEMPHIS, TN, 
154795, I-40 EAST AND I-240 SOUTH, MEMPHIS, TN, 
154796, I-40 EAST AND SUMMER AVE, MEMPHIS, TN, 
154797, I-40 EAST AND WATKINS, MEMPHIS, TN, 
154798, I-40 EAST BOUND AND COVINGTON PIKE, MEMPHIS, TN, 
154799, I-40 EAST BOUND AND MM 27, MEMPHIS, TN, 
154800, I-40 EAST OF JACKSON AVE, MEMPHIS, TN, 
154801, I-40 EAST OF THIRD, MEMPHIS, TN, 
154802, I-40 EAST, MEMPHIS, TN, 
154803, I-40 EASTBOUND AND APPLING RD, MEMPHIS, TN, 
154804, I-40 EASTBOUND AND HOLLYWOOD ST, MEMPHIS, TN, 
154805, I-40 EASTBOUND MILE MARKER 29, MEMPHIS, TN, 
154806, I-40 EASTBOUND, EAST OF SYCAMORE VIEW, MEMPHIS, TN, 
154807, I-40 EASTSBOUND AND WHITTEN, MEMPHIS, TN, 
154808, I-40 EB AND SYCAMORE VIEW RD, MEMPHIS, TN, 
154809, I-40 EB AND SYCAMORE VIEW, MEMPHIS, TN, 
154810, I-40 EB AND WHITTEN RD, MEMPHIS, TN, 
154811, I-40 EXIT RAMP AND FRONT ST, MEMPHIS, TN, 
154812, I-40 EXIT RAMP AND FRONT, MEMPHIS, TN, 
154813, I-40 EXIT RAMP FOR HWY 64, MEMPHIS, TN, 
154814, I-40 HERNANDO DESOTO BRIDGE, MEMPHIS, TN, 
154815, I-40 HWY AND 64-HWY, MEMPHIS, TN, 
154816, I-40 HWY AND COVINGTON PIKE, MEMPHIS, TN, 
154817, I-40 HWY AND SYCAMORE VIEW RD, MEMPHIS, TN, 
154818, I-40 HWY N HOLLYWOOD ST, MEMPHIS, TN, 
154819, I-40 MLK JR EXPY, MEMPHIS, TN, 
154820, I-40 MM26, MEMPHIS, TN, 
154821, I-40 N AND WATKINS EXIT, MEMPHIS, TN, 
154822, I-40 N WATKINS RD, MEMPHIS, TN, 
154823, I-40 NORTH WATKINS, MEMPHIS, TN, 
154824, I-40 ON RAMP AND CHELSEA, MEMPHIS, TN, 
154825, I-40 SAM COOPER, MEMPHIS, TN, 
154826, I-40 ST, MEMPHIS, TN, 
154827, I-40 W AND AUSTIN PEAY HIGHWAY, MEMPHIS, TN, 
154828, I-40 W AND B AND AIRLINE, MEMPHIS, TN, 
154829, I-40 W AND B AND GERMANTOWN PKWAY, MEMPHIS, TN, 
154830, I-40 W AND B AND I-40 S AND B, MEMPHIS, TN, 
154831, I-40 W AND B AND JACKSON, MEMPHIS, TN, 
154832, I-40 W AND B AND MILLINGTON, MEMPHIS, TN, 
154833, I-40 W AND B AND N MCLEAN BLVD, MEMPHIS, TN, 
154834, I-40 W AND B AND N WATKINS, MEMPHIS, TN, 
154835, I-40 W AND B AND RIVERSIDE DR, MEMPHIS, TN, 
154836, I-40 W AND B AND SMITH EXIT, MEMPHIS, TN, 
154837, I-40 W AND B AND SMITH, MEMPHIS, TN, 
154838, I-40 W AND B AND SYCAMORE VIEW RD, MEMPHIS, TN, 
154839, I-40 W AND B AND WHITTEN, MEMPHIS, TN, 
