5001, CANE RUN RD / KRAMERS LN, LOUISVILLE, KY, 40216
5416, E CHESTNUT ST / S FLOYD ST, LOUISVILLE, KY, 40202
5417, EXTREME PARK, LOUISVILLE, KY, 40202
5418, GRINSTEAD DR, LOUISVILLE, KY, 40206
5419, INVERNESS AVE / NEW CUT RD, LOUISVILLE, KY, 40214
5420, LINCOLN AVE / POPLAR LEVEL RD, LOUISVILLE, KY, 40213
5421, N 22ND ST / ST XAVIER ST, LOUISVILLE, KY, 40212
5422, N 24TH ST / ROWAN ST, LOUISVILLE, KY, 40212
5423, N 27TH ST / PORTLAND AVE, LOUISVILLE, KY, 40212
5424, N 29TH ST / W MAIN ST, LOUISVILLE, KY, 40212
5425, N FLOYD ST / E WASHINGTON ST, LOUISVILLE, KY, 40202
5426, PINECROFT DR / PRESTON HWY, LOUISVILLE, KY, 40219
5427, S 10TH ST / CEDAR CT, LOUISVILLE, KY, 40203
5428, S 26TH ST / GRAND AVE, LOUISVILLE, KY, 40210
5429, S 27TH ST / CEDAR ST, LOUISVILLE, KY, 40212
5430, S 37TH ST / W MARKET ST, LOUISVILLE, KY, 40212
5431, S 3RD ST / W KENTON ST, LOUISVILLE, KY, 40214
5432, S 6TH ST / CEDAR ST, LOUISVILLE, KY, 40202
5433, S BROOK ST / E KENTUCKY ST, LOUISVILLE, KY, 40203
5434, S JACKSON ST / E JACOB ST, LOUISVILLE, KY, 40203
5435, SOUTHERN PKY / TAYLOR BLVD, LOUISVILLE, KY, 40214
5436, TAYLOR BLVD / THORNBERRY AVE, LOUISVILLE, KY, 40215
5437, UPPER HUNTERS TRCE / WELLSWORTH AVE, LOUISVILLE, KY, 40216
5438, 100 E GARRETT ST, LOUISVILLE, KY, 40214
5439, 1000 ANDLE CT, LOUISVILLE, KY, 40214
5440, 10000 LANCEWOOD RD, LOUISVILLE, KY, 40229
5441, 10000 STONESTREET RD, LOUISVILLE, KY, 40272
5442, 10500 CHARLENE DR, LOUISVILLE, KY, 40118
5443, 10900 LANETTE CT, LOUISVILLE, KY, 40229
5444, 1100 LAVISTA WAY, LOUISVILLE, KY, 40219
5445, 11300 TOP WALNUT LOOP, LOUISVILLE, KY, 40229
5446, 11600 APEX VIEW DR, LOUISVILLE, KY, 40229
5447, 11600 DIXIE HWY, LOUISVILLE, KY, 40272
5448, 1200 CROWN AVE, LOUISVILLE, KY, 40204
5449, 12500 DIXIE HWY, LOUISVILLE, KY, 40272
5450, 1300 BATES AVE, LOUISVILLE, KY, 40219
5451, 1300 S BECKLEY STATION RD, LOUISVILLE, KY, 40245
5452, 13400 BLAKELY LN, LOUISVILLE, KY, 40272
5453, 13400 LIDCOMB AVE, LOUISVILLE, KY, 40272
5454, 1400 DELMAR LN, LOUISVILLE, KY, 40216
5455, 1400 MOUNT HOLLY RD, LOUISVILLE, KY, 40118
5456, 14000 TAYLORSVILLE RD, LOUISVILLE, KY, 40299
5457, 1500 BAXTER AVE, LOUISVILLE, KY, 40205
5458, 1500 SHARON DR, LOUISVILLE, KY, 40216
5459, 1600 W ST CATHERINE ST, LOUISVILLE, KY, 40210
5460, 1700 PAYNE ST, LOUISVILLE, KY, 40206
5461, 1800 HALE AVE, LOUISVILLE, KY, 40210
5462, 1800 W CHESTNUT ST, LOUISVILLE, KY, 40203
5463, 1800 W MADISON ST, LOUISVILLE, KY, 40203
5464, 1900 S 30TH ST, LOUISVILLE, KY, 40210
5465, 200 E JACOB ST, LOUISVILLE, KY, 40203
5466, 200 INVERNESS AVE, LOUISVILLE, KY, 40214
5467, 200 MIDDLETOWN SQ, LOUISVILLE, KY, 40243
5468, 200 N 23RD ST, LOUISVILLE, KY, 40212
5469, 200 S 18TH ST, LOUISVILLE, KY, 40203
5470, 200 S HANCOCK ST, LOUISVILLE, KY, 40202
5471, 200 W AMHERST AVE, LOUISVILLE, KY, 40214
5472, 2000 BUECHEL BANK RD, LOUISVILLE, KY, 40218
5473, 2100 DOGOON DR, LOUISVILLE, KY, 40223
5474, 2100 FORT ST, LOUISVILLE, KY, 40217
5475, 2100 RUNDILL RD, LOUISVILLE, KY, 40214
5476, 2100 VILLAGE DR, LOUISVILLE, KY, 40205
5477, 2300 RIVER RD, LOUISVILLE, KY, 40206
5478, 2300 SYCAMORE AVE, LOUISVILLE, KY, 40206
5479, 2400 DONNA RD, LOUISVILLE, KY, 40216
5480, 2500 ALEXANDER RD, LOUISVILLE, KY, 40204
5481, 2500 CORONET DR, LOUISVILLE, KY, 40216
5482, 2600 MASEMURE CT, LOUISVILLE, KY, 40220
5483, 2900 LAKEHEATH DR, LOUISVILLE, KY, 40213
5484, 2900 S HURSTBOURNE PKY, LOUISVILLE, KY, 40220
5485, 2900 YORKSHIRE BLVD, LOUISVILLE, KY, 40220
5486, 300 ERIC CT, LOUISVILLE, KY, 40219
5487, 300 M ST, LOUISVILLE, KY, 40208
5488, 300 N BIRCHWOOD AVE, LOUISVILLE, KY, 40206
5489, 300 N HURSTBOURNE PKY, LOUISVILLE, KY, 40222
5490, 300 REDDING RD, LOUISVILLE, KY, 40218
5491, 300 SHELBY STATION DR, LOUISVILLE, KY, 40245
5492, 3000 AUBERT AVE, LOUISVILLE, KY, 40206
5493, 3000 JESSIE RD, LOUISVILLE, KY, 40216
5494, 3000 LOUISA AVE, LOUISVILLE, KY, 40217
5495, 3100 POND STATION RD, LOUISVILLE, KY, 40272
5496, 3100 REDBUD LN, LOUISVILLE, KY, 40220
5497, 3200 COMMANDER DR, LOUISVILLE, KY, 40220
5498, 3200 DUPIN DR, LOUISVILLE, KY, 40219
5499, 3200 RENWOOD BLVD, LOUISVILLE, KY, 40214
5500, 3400 GARLAND AVE, LOUISVILLE, KY, 40211
5501, 3400 WINNLAND DR, LOUISVILLE, KY, 40219
5502, 3500 CRAIG AVE, LOUISVILLE, KY, 40215
5503, 3700 CHATHAM RD, LOUISVILLE, KY, 40218
5504, 3700 GREENWOOD AVE, LOUISVILLE, KY, 40211
5505, 3800 W KENTUCKY ST, LOUISVILLE, KY, 40211
5506, 400 E ST CATHERINE ST, LOUISVILLE, KY, 40203
5507, 400 GLENGARRY DR, LOUISVILLE, KY, 40118
5508, 400 N 34TH ST, LOUISVILLE, KY, 40212
5509, 400 STEEPLECREST CT, LOUISVILLE, KY, 40222
5510, 400 W BRECKINRIDGE ST, LOUISVILLE, KY, 40203
5511, 4000 SEA WAVE CT, LOUISVILLE, KY, 40229
5512, 4000 SIRATE LN, LOUISVILLE, KY, 40229
5513, 4200 PARK BLVD, LOUISVILLE, KY, 40209
5514, 4200 S BROOK ST, LOUISVILLE, KY, 40214
5515, 4200 SHELBYVILLE RD, LOUISVILLE, KY, 40207
5516, 4400 LEES LN, LOUISVILLE, KY, 40216
5517, 4400 NOLTEMEYER WYNDE, LOUISVILLE, KY, 40219
5518, 4500 SHASTA TRL, LOUISVILLE, KY, 40213
5519, 4700 ALEDO CT, LOUISVILLE, KY, 40229
5520, 4700 IDLE HOUR DR, LOUISVILLE, KY, 40216
5521, 4700 ROXANN BLVD, LOUISVILLE, KY, 40218
5522, 4800 RANCHLAND DR, LOUISVILLE, KY, 40216
5523, 4900 SWAPS LN, LOUISVILLE, KY, 40216
5524, 5000 TERRY RD, LOUISVILLE, KY, 40216
5525, 5100 GRASTON CT, LOUISVILLE, KY, 40216
5526, 5100 JOHNSONTOWN RD, LOUISVILLE, KY, 40272
5527, 5200 YEW LN, LOUISVILLE, KY, 40213
5528, 5300 NALL AVE, LOUISVILLE, KY, 40216
5529, 5300 RIATA DR, LOUISVILLE, KY, 40218
5530, 5300 WARWICKSHIRE DR, LOUISVILLE, KY, 40213
5531, 5400 CAROL WAY, LOUISVILLE, KY, 40214
5532, 5400 CEDARWOOD DR, LOUISVILLE, KY, 40272
5533, 5400 WESTHALL AVE, LOUISVILLE, KY, 40214
5534, 5400 ZEV WAY, LOUISVILLE, KY, 40272
5535, 5500 EUCLID AVE, LOUISVILLE, KY, 40272
5536, 5500 MCDEANE RD, LOUISVILLE, KY, 40216
5537, 5500 POPLAR PARK BLVD, LOUISVILLE, KY, 40228
5538, 5800 BENNY RD, LOUISVILLE, KY, 40258
5539, 600 S 5TH ST, LOUISVILLE, KY, 40202
5540, 6000 ACTION AVE, LOUISVILLE, KY, 40218
5541, 6400 LABOR LN, LOUISVILLE, KY, 40291
5542, 6600 AUDRY WAY, LOUISVILLE, KY, 40219
5543, 6800 GREEN MEADOW CIR, LOUISVILLE, KY, 40207
5544, 6800 JOHN ADAMS WAY, LOUISVILLE, KY, 40272
5545, 700 SHELBY PKY, LOUISVILLE, KY, 40203
5546, 7000 BEECHLAND AVE, LOUISVILLE, KY, 40258
5547, 7000 MANSLICK RD, LOUISVILLE, KY, 40214
5548, 7200 CORRELL PLACE DR, LOUISVILLE, KY, 40228
5549, 7200 GLOBAL DR, LOUISVILLE, KY, 40258
5550, 7500 PATRICK HENRY RD, LOUISVILLE, KY, 40214
5551, 800 HONEYSUCKLE WAY, LOUISVILLE, KY, 40213
5552, 800 S 7TH ST, LOUISVILLE, KY, 40203
5553, 800 SYLVIA ST, LOUISVILLE, KY, 40217
5554, 800 ULRICH AVE, LOUISVILLE, KY, 40219
5555, 8300 VAUGHN MILL RD, LOUISVILLE, KY, 40228
5556, 8600 BLUE LICK RD, LOUISVILLE, KY, 40219
5557, 8800 BOST LN, LOUISVILLE, KY, 40219
5558, 8900 OLD SOUTH PARK RD, LOUISVILLE, KY, 40219
5559, 900 LONGFIELD AVE, LOUISVILLE, KY, 40215
5560, 900 S 47TH ST, LOUISVILLE, KY, 40211
5561, 900 SOUTHWESTERN PKY, LOUISVILLE, KY, 40211
5562, 9000 ADMIRAL DR, LOUISVILLE, KY, 40229
5563, 9400 CAVALCADE AVE, LOUISVILLE, KY, 40272
5564, 9800 BENTFORD DR, LOUISVILLE, KY, 40272
5565, 9800 LA GRANGE RD, LOUISVILLE, KY, 40223
5566, 9900 PONDER LN, LOUISVILLE, KY, 40272
5567, BEECH ST / SOUTHERN AVE, LOUISVILLE, KY, 40211
5568, BLUE LICK RD / WHISPERING BROOK DR, LOUISVILLE, KY, 40229
5569, BROOKLINE AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
5570, BROWNSBORO RD / KENILWORTH RD, LOUISVILLE, KY, 40206
5571, BURWELL AVE / CYPRESS ST, LOUISVILLE, KY, 40210
5572, CYPRESS ST / W HILL ST, LOUISVILLE, KY, 40210
5573, FEGENBUSH LN / S HURSTBOURNE PKY, LOUISVILLE, KY, 40225
5574, FERN VALLEY RD / I 65 RAMP, LOUISVILLE, KY, 40213
5575, FERN VALLEY RD / POPLAR LEVEL RD, LOUISVILLE, KY, 40228
5576, HUNTOON AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
5577, LIPPS LN / PRESTON HWY, LOUISVILLE, KY, 40219
5578, N 18TH ST / DUNCAN ST, LOUISVILLE, KY, 40203
5579, N 26TH ST / ALFORD AVE, LOUISVILLE, KY, 40212
5580, N 26TH ST / GRIFFITHS AVE, LOUISVILLE, KY, 40212
5581, N 33RD ST / BANK ST, LOUISVILLE, KY, 40212
5582, NEW CUT RD / PARK RD, LOUISVILLE, KY, 40214
5583, ROCKFORD LN / SADDLEBROOK LN, LOUISVILLE, KY, 40216
5584, S 15TH ST / GARLAND AVE, LOUISVILLE, KY, 40210
5585, S 19TH ST / MAGAZINE ST, LOUISVILLE, KY, 40203
5586, S 1ST ST / E KENTUCKY ST, LOUISVILLE, KY, 40203
5587, S 1ST ST / E MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202
5588, S 26TH ST / HALE AVE, LOUISVILLE, KY, 40210
5589, S 2ND ST / W BURNETT AVE, LOUISVILLE, KY, 40208
5590, S 3RD ST / W ORMSBY AVE, LOUISVILLE, KY, 40203
5591, S 4TH ST / W LEE ST, LOUISVILLE, KY, 40208
5592, S 5TH ST / WINKLER AVE, LOUISVILLE, KY, 40208
5593, S 9TH ST / W HILL ST, LOUISVILLE, KY, 40208
5594, VIRGINIA AVE / I264, LOUISVILLE, KY, 40211
5595, 1 HALLSDALE DR, LOUISVILLE, KY, 40220
5596, 100 FAIRFAX AVE, LOUISVILLE, KY, 40207
5597, 100 W WITHERSPOON ST, LOUISVILLE, KY, 40202
5598, 1000 MORGAN ST, LOUISVILLE, KY, 40217
5599, 1000 W ASHLAND AVE, LOUISVILLE, KY, 40215
5600, 10100 CLOSTERWOOD DR, LOUISVILLE, KY, 40229
5601, 10200 WINDING RIVER WAY, LOUISVILLE, KY, 40229
5602, 10300 ARBOR OAK DR, LOUISVILLE, KY, 40229
5603, 10400 PEBBLESTONE CIR, LOUISVILLE, KY, 40229
5604, 10400 VILLA DR, LOUISVILLE, KY, 40272
5605, 10500 WESTPORT RD, LOUISVILLE, KY, 40241
5606, 10700 ENCLAVE CT, LOUISVILLE, KY, 40229
5607, 10700 FIR TREE LN, LOUISVILLE, KY, 40272
5608, 11700 NANSEMOND CT, LOUISVILLE, KY, 40245
5609, 1200 TILE FACTORY LN, LOUISVILLE, KY, 40213
5610, 1300 ELDERBERRY RIDGE LN, LOUISVILLE, KY, 40272
5611, 1300 S 15TH ST, LOUISVILLE, KY, 40210
5612, 1300 S 23RD ST, LOUISVILLE, KY, 40210
5613, 13300 VENDETTA WAY, LOUISVILLE, KY, 40245
5614, 13500 GREYSTONE AVE, LOUISVILLE, KY, 40272
5615, 1400 ALLIANT AVE, LOUISVILLE, KY, 40299
5616, 1400 CUNNINGHAM CT, LOUISVILLE, KY, 40211
5617, 1400 ROSEWOOD AVE, LOUISVILLE, KY, 40204
5618, 1500 LOU GENE AVE, LOUISVILLE, KY, 40216
5619, 1500 PRENTICE ST, LOUISVILLE, KY, 40210
5620, 1500 S 36TH ST, LOUISVILLE, KY, 40211
5621, 15300 DIXIE HWY, LOUISVILLE, KY, 40272
5622, 1700 ODANIEL AVE, LOUISVILLE, KY, 40213
5623, 1700 S 23RD ST, LOUISVILLE, KY, 40210
5624, 1800 FUST AVE, LOUISVILLE, KY, 40216
5625, 1900 DONALD DR, LOUISVILLE, KY, 40216
5626, 1900 HAZELWOOD CT, LOUISVILLE, KY, 40214
5627, 1900 MELLWOOD AVE, LOUISVILLE, KY, 40206
5628, 1900 WINSTON AVE, LOUISVILLE, KY, 40205
5629, 200 COUNTRY ACRES, LOUISVILLE, KY, 40218
5630, 200 S BIRCHWOOD AVE, LOUISVILLE, KY, 40206
5631, 2000 HIGHLAND AVE, LOUISVILLE, KY, 40204
5632, 2100 BROWNSBORO RD, LOUISVILLE, KY, 40206
5633, 2100 ST XAVIER ST, LOUISVILLE, KY, 40212
5634, 2200 FRANKLIN AVE, LOUISVILLE, KY, 40216
5635, 2300 NICHOLS VIEW CT, LOUISVILLE, KY, 40215
5636, 2300 PEE WEE REESE RD, LOUISVILLE, KY, 40205
5637, 2400 MAGAZINE ST, LOUISVILLE, KY, 40211
5638, 2400 MEADOW DR, LOUISVILLE, KY, 40218
5639, 2500 AUTUMN LAKE DR, LOUISVILLE, KY, 40272
5640, 2500 GRINSTEAD DR, LOUISVILLE, KY, 40206
5641, 2700 ST XAVIER ST, LOUISVILLE, KY, 40212
5642, 2800 DESHLER DR, LOUISVILLE, KY, 40213
5643, 300 COUNTRY ACRES, LOUISVILLE, KY, 40218
5644, 300 N 44TH ST, LOUISVILLE, KY, 40212
5645, 3100 OAKDALE AVE, LOUISVILLE, KY, 40214
5646, 3200 CAWEIN WAY, LOUISVILLE, KY, 40220
5647, 3200 ELANE DR, LOUISVILLE, KY, 40216
5648, 3200 GRANT AVE, LOUISVILLE, KY, 40214
5649, 3300 BENT CREEK CT, LOUISVILLE, KY, 40218
5650, 3300 TEAKWOOD CIR, LOUISVILLE, KY, 40216
5651, 3400 BELLISSIMA PL, LOUISVILLE, KY, 40245
5652, 3500 GLADDEN DR, LOUISVILLE, KY, 40218
5653, 3600 CHATEAU LN, LOUISVILLE, KY, 40219
5654, 3700 BANK ST, LOUISVILLE, KY, 40212
5655, 3800 HALE AVE, LOUISVILLE, KY, 40211
5656, 3800 JUPITER RD, LOUISVILLE, KY, 40218
5657, 3900 GARLAND AVE, LOUISVILLE, KY, 40211
5658, 3900 PEACHTREE AVE, LOUISVILLE, KY, 40215
5659, 400 COUNTRY ACRES, LOUISVILLE, KY, 40218
5660, 400 E GRAY ST, LOUISVILLE, KY, 40202
5661, 400 S CAMPBELL ST, LOUISVILLE, KY, 40204
5662, 4000 TOWER RD, LOUISVILLE, KY, 40219
5663, 4000 WINTER LAKE DR, LOUISVILLE, KY, 40272
5664, 4200 BISHOP LN, LOUISVILLE, KY, 40218
5665, 4300 LEAF DR, LOUISVILLE, KY, 40216
5666, 4400 BELLEVUE AVE, LOUISVILLE, KY, 40215
5667, 4400 EXLEY CT, LOUISVILLE, KY, 40211
5668, 4400 MANN AVE, LOUISVILLE, KY, 40215
5669, 4600 E INDIAN TRL, LOUISVILLE, KY, 40213
5670, 4600 SAMARA DR, LOUISVILLE, KY, 40219
5671, 4700 ARROYO TRL, LOUISVILLE, KY, 40229
5672, 4700 COMMERCE CROSSINGS DR, LOUISVILLE, KY, 40229
5673, 4800 HANEY WAY, LOUISVILLE, KY, 40272
5674, 4800 IMPERIAL TER, LOUISVILLE, KY, 40216
5675, 4800 PARAMOUNT DR, LOUISVILLE, KY, 40258
5676, 5000 BARDSTOWN RD, LOUISVILLE, KY, 40291
5677, 5000 NEW CUT RD, LOUISVILLE, KY, 40214
5678, 5200 WINDY WILLOW DR, LOUISVILLE, KY, 40241
5679, 5400 RIPPLE LN, LOUISVILLE, KY, 40218
5680, 5600 AILANTHUS TRL, LOUISVILLE, KY, 40219
5681, 5600 JOHNSONTOWN RD, LOUISVILLE, KY, 40272
5682, 5900 BAY PINE DR, LOUISVILLE, KY, 40219
5683, 5900 EMMALEE DR, LOUISVILLE, KY, 40219
5684, 6100 MORNING GLORY LN, LOUISVILLE, KY, 40258
5685, 6400 VENANGO DR, LOUISVILLE, KY, 40258
5686, 6500 MARAVIAN DR, LOUISVILLE, KY, 40258
5687, 6600 DIXIE HWY, LOUISVILLE, KY, 40216
5688, 6600 STANA DR, LOUISVILLE, KY, 40258
5689, 6700 MARIAN DR, LOUISVILLE, KY, 40216
5690, 6800 SCENIC TRL, LOUISVILLE, KY, 40272
5691, 6900 BOWEN AVE, LOUISVILLE, KY, 40272
5692, 6900 CONNECTICUT DR, LOUISVILLE, KY, 40219
5693, 6900 ENTERPRISE DR, LOUISVILLE, KY, 40214
5694, 6900 NORLYNN DR, LOUISVILLE, KY, 40228
5695, 6900 RUTLEDGE RD, LOUISVILLE, KY, 40258
5696, 6900 STARDUST DR, LOUISVILLE, KY, 40272
5697, 700 FINZER ST, LOUISVILLE, KY, 40203
5698, 700 LAMPTON ST, LOUISVILLE, KY, 40203
5699, 700 SHAFFER RD, LOUISVILLE, KY, 40118
5700, 700 TRAFALGAR SQ, LOUISVILLE, KY, 40218
5701, 700 W CHESTNUT ST, LOUISVILLE, KY, 40203
5702, 7100 LEISURE CT, LOUISVILLE, KY, 40229
5703, 7300 GLOBAL DR, LOUISVILLE, KY, 40258
5704, 7900 DIXIE HWY, LOUISVILLE, KY, 40258
5705, 7TH STREET RD / CENTRAL AVE, LOUISVILLE, KY, NA
5706, 7TH STREET RD / NOBEL PL, LOUISVILLE, KY, 40216
5707, 7TH STREET RD / OLEANDA AVE, LOUISVILLE, KY, 40216
5708, 800 FOUNTAIN AVE, LOUISVILLE, KY, 40222
5709, 800 MARENGO DR, LOUISVILLE, KY, 40243
5710, 800 S 1ST ST, LOUISVILLE, KY, 40203
5711, 8000 BROWNSBORO RD, LOUISVILLE, KY, 40241
5712, 8000 CANDLEGLOW LN, LOUISVILLE, KY, 40214
5713, 8000 EDSEL LN, LOUISVILLE, KY, 40291
5714, 8300 TALLOW CT, LOUISVILLE, KY, 40214
5715, 8500 JAN WAY, LOUISVILLE, KY, 40219
5716, 8500 SALLY DR, LOUISVILLE, KY, 40258
5717, 8500 SHEPHERDSVILLE RD, LOUISVILLE, KY, 40219
5718, 8600 FERNDALE RD, LOUISVILLE, KY, 40291
5719, 8700 PRESTON HWY, LOUISVILLE, KY, 40219
5720, 8700 REDCOAT CT, LOUISVILLE, KY, 40291
5721, 8700 ROSSHIRE DR, LOUISVILLE, KY, 40118
5722, 900 BLACKBERRY DR, LOUISVILLE, KY, 40272
5723, 9000 WILLOWCREEK DR, LOUISVILLE, KY, 40219
5724, 9500 MAPLE RD, LOUISVILLE, KY, 40229
5725, 9500 WOOD HOLLOW RD, LOUISVILLE, KY, 40229
5726, 9700 WHIPPS MILL RD, LOUISVILLE, KY, 40223
5727, 9800 BROOKS BEND RD, LOUISVILLE, KY, 40258
5728, 9800 EAST AVE, LOUISVILLE, KY, 40272
5729, 9800 WEST AVE, LOUISVILLE, KY, 40272
5730, ANNA LN / MANSLICK RD, LOUISVILLE, KY, 40216
5731, ARTHUR ST / E GAULBERT AVE, LOUISVILLE, KY, 40208
5732, BARDSTOWN RD / I265, LOUISVILLE, KY, 40291
5733, BERNHEIM LN / DIXIE HWY, LOUISVILLE, KY, 40210
5734, BERRY BLVD, LOUISVILLE, KY, 40215
5735, BROWNSBORO RD / CHAMBERLAIN LN, LOUISVILLE, KY, 40059
5736, BUNSEN PKY / S HURSTBOURNE PKY, LOUISVILLE, KY, 40220
5737, CALDWELL ST / S JACKSON ST, LOUISVILLE, KY, 40203
5738, CLAY AVE / PRESTON HWY, LOUISVILLE, KY, 40219
5739, COLORADO AVE / TENNESSEE AVE, LOUISVILLE, KY, 40208
5740, CYPRESS ST / DUMESNIL ST, LOUISVILLE, KY, 40211
5741, DR W J HODGE ST, LOUISVILLE, KY, 40203
5742, E JACOB ST / S PRESTON ST, LOUISVILLE, KY, 40203
5743, FRANKFORT AVE / RIVER RD, LOUISVILLE, KY, 40206
5744, GOSS AVE / TEXAS AVE, LOUISVILLE, KY, 40217
5745, GREENBELT HWY / RAGGARD RD, LOUISVILLE, KY, 40216
5746, LONE OAK AVE / OUTER LOOP, LOUISVILLE, KY, 40219
5747, LOUIS COLEMAN JR DR / SOUTHERN AVE, LOUISVILLE, KY, 40211
5748, N 27TH ST / BANK ST, LOUISVILLE, KY, 40212
5749, RIVERSIDE GARDENS PARK, LOUISVILLE, KY, 40216
5750, RIVERVIEW PARK, LOUISVILLE, KY, 40258
5751, S 13TH ST / W MARKET ST, LOUISVILLE, KY, 40203
5752, S 15TH ST / MAPLE ST, LOUISVILLE, KY, 40210
5753, S 25TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40212
5754, S 26TH ST / PIRTLE ST, LOUISVILLE, KY, 40212
5755, S 34TH ST / RIVER PARK DR, LOUISVILLE, KY, 40211
5756, S 3RD ST / W CARDINAL BLVD, LOUISVILLE, KY, 40208
5757, S 3RD ST / W TENNY AVE, LOUISVILLE, KY, 40214
5758, S 40TH ST / GRAND AVE, LOUISVILLE, KY, 40211
5759, S 40TH ST / W MARKET ST, LOUISVILLE, KY, 40212
5760, S 7TH ST, LOUISVILLE, KY, 40202
5761, S 8TH ST / W LIBERTY ST, LOUISVILLE, KY, 40203
5762, S HURSTBOURNE PKY / SIX MILE LN, LOUISVILLE, KY, 40220
5763, SOUTHERN PKY / W WOODLAWN AVE, LOUISVILLE, KY, 40214
5764, W HILL ST / WILSON AVE, LOUISVILLE, KY, 40211
5765, W LEE ST / MCCLOSKEY AVE, LOUISVILLE, KY, 40210
5766, 1 LAKE AVE, LOUISVILLE, KY, 40206
5767, 1 THEATRE SQ, LOUISVILLE, KY, 40202
5768, 100 CANNONS LN, LOUISVILLE, KY, 40206
5769, 100 CHARLESTOWN CT, LOUISVILLE, KY, 40243
5770, 100 CLAREMONT AVE, LOUISVILLE, KY, 40206
5771, 100 DARYL CT, LOUISVILLE, KY, 40214
5772, 100 STEEDLY DR, LOUISVILLE, KY, 40214
5773, 1000 LAMPTON ST, LOUISVILLE, KY, 40204
5774, 1000 MANOR PARK DR, LOUISVILLE, KY, 40208
5775, 1000 SOUTHACRES DR, LOUISVILLE, KY, 40219
5776, 1000 THRUSTON AVE, LOUISVILLE, KY, 40217
5777, 10000 BUCKINGHAM DR, LOUISVILLE, KY, 40219
5778, 10000 EAST AVE, LOUISVILLE, KY, 40272
5779, 10100 ROLLING STONE DR, LOUISVILLE, KY, 40229
5780, 10200 ALLENTREE PL, LOUISVILLE, KY, 40229
5781, 10600 GRAFTON HALL RD, LOUISVILLE, KY, 40272
5782, 10600 HUME CT, LOUISVILLE, KY, 40272
5783, 10600 SHELBYVILLE RD, LOUISVILLE, KY, 40223
5784, 10700 GRAFTON HALL RD, LOUISVILLE, KY, 40272
5785, 11000 CHAPEL HILL RD, LOUISVILLE, KY, 40229
5786, 11300 OLDE SAGE CT, LOUISVILLE, KY, 40223
5787, 1200 CATALPA CT, LOUISVILLE, KY, 40211
5788, 1200 S 15TH ST, LOUISVILLE, KY, 40210
5789, 1200 S 17TH ST, LOUISVILLE, KY, 40210
5790, 1200 W OAK ST, LOUISVILLE, KY, 40210
5791, 1200 WALTER AVE, LOUISVILLE, KY, 40215
5792, 12000 ANCIENT SPRING DR, LOUISVILLE, KY, 40245
5793, 12500 E ORELL RD, LOUISVILLE, KY, 40272
5794, 12900 DIXIE HWY, LOUISVILLE, KY, 40272
5795, 1400 DEBARR ST, LOUISVILLE, KY, 40204
5796, 1400 W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203
5797, 14000 SHELBYVILLE RD, LOUISVILLE, KY, 40245
5798, 14600 DIXIE HWY, LOUISVILLE, KY, 40272
5799, 1500 E WASHINGTON ST, LOUISVILLE, KY, 40206
5800, 1500 QUARRY ST, LOUISVILLE, KY, 40206
5801, 1500 ROSEWOOD AVE, LOUISVILLE, KY, 40204
5802, 1500 RUSSELL LEE DR, LOUISVILLE, KY, 40211
5803, 1500 TEXAS AVE, LOUISVILLE, KY, 40217
5804, 1600 ALMARA CIR, LOUISVILLE, KY, 40205
5805, 1600 RICHMOND DR, LOUISVILLE, KY, 40205
5806, 1700 EDENSIDE AVE, LOUISVILLE, KY, 40204
5807, 1800 BONNYCASTLE AVE, LOUISVILLE, KY, 40205
5808, 1800 CUMMINGS RD, LOUISVILLE, KY, 40272
5809, 1800 MILLGATE RD, LOUISVILLE, KY, 40223
5810, 200 BURNSDALE RD, LOUISVILLE, KY, 40243
5811, 200 EL CONQUISTADOR PL, LOUISVILLE, KY, 40220
5812, 200 N 18TH ST, LOUISVILLE, KY, 40203
5813, 200 NOB HILL LN, LOUISVILLE, KY, 40206
5814, 200 S 38TH ST, LOUISVILLE, KY, 40212
5815, 200 SNOW GOOSE CT, LOUISVILLE, KY, 40118
5816, 200 W MARKET ST, LOUISVILLE, KY, 40202
5817, 2000 COLUMBIA ST, LOUISVILLE, KY, 40203
5818, 2000 MAGAZINE ST, LOUISVILLE, KY, 40203
5819, 2000 PIRTLE ST, LOUISVILLE, KY, 40203
5820, 2200 DEERCROSS DR, LOUISVILLE, KY, 40220
5821, 2400 FRANKFORT AVE, LOUISVILLE, KY, 40206
5822, 2500 RIVER OAKS DR, LOUISVILLE, KY, 40206
5823, 2700 SHANNON DR, LOUISVILLE, KY, 40220
5824, 2900 SOUTHERN AVE, LOUISVILLE, KY, 40211
5825, 300 BLAIR CT, LOUISVILLE, KY, 40243
5826, 300 CANNONS LN, LOUISVILLE, KY, 40206
5827, 300 E BURNETT AVE, LOUISVILLE, KY, 40208
5828, 300 KENWOOD HILL RD, LOUISVILLE, KY, 40214
5829, 300 N 40TH ST, LOUISVILLE, KY, 40212
5830, 300 TEX AVE, LOUISVILLE, KY, 40118
5831, 3200 LAKEHEATH DR, LOUISVILLE, KY, 40213
5832, 3300 CARRIE DR, LOUISVILLE, KY, 40216
