21001, 7400 FIELDSTONE WAY, LOUISVILLE, KY, 40291
21399, BROWNSBORO RD / BROWNSBORO GLEN RD, LOUISVILLE, KY, 40241
21400, BROWNSBORO RD / CORAL AVE, LOUISVILLE, KY, 40206
21401, BROWNSBORO RD / KNIGHTSBRIDGE RD, LOUISVILLE, KY, 40206
21402, BROWNSBORO RD / NORTON COMMONS BLVD, LOUISVILLE, KY, 40059
21403, BROWNSBORO RD / PENNSYLVANIA AVE, LOUISVILLE, KY, 40206
21404, BROWNSBORO RD / SIMCOE LN, LOUISVILLE, KY, 40241
21405, BROWNSBORO RD / STONE SCHOOL RD, LOUISVILLE, KY, 40059
21406, BROWNSBORO RD / SUMMIT PLAZA DR, LOUISVILLE, KY, 40241
21407, BRUCE AVE / BUECHEL BANK RD, LOUISVILLE, KY, 40218
21408, BUCHANAN ST / FRANKLIN ST, LOUISVILLE, KY, 40206
21409, BUCHARD AVE / CLEO AVE, LOUISVILLE, KY, 40213
21410, BUCKNER AVE / GHEENS AVE, LOUISVILLE, KY, 40214
21411, BUECHEL BANK RD / MISTY WOODS LN, LOUISVILLE, KY, 40218
21412, BUNGALOW DR / LOWER HUNTERS TRCE, LOUISVILLE, KY, 40216
21413, BURKLEY AVE / SOUTHERN PKY, LOUISVILLE, KY, 40214
21414, BUTTERNUT RD / TWIN OAK LN, LOUISVILLE, KY, 40219
21415, BYRNE AVE / S FLOYD ST, LOUISVILLE, KY, 40209
21416, CABEL ST / STORY AVE, LOUISVILLE, KY, 40206
21417, CADBURY CT / CEDAR ST, LOUISVILLE, KY, 40212
21418, CANDLEWORTH DR / FRUITFUL CT, LOUISVILLE, KY, 40214
21419, CANE RUN RD / EDNA M RD, LOUISVILLE, KY, 40258
21420, CANE RUN RD / I264E, LOUISVILLE, KY, NA
21421, CANE RUN RD / PORT RD, LOUISVILLE, KY, 40258
21422, CANE RUN RD / RIVERPORT DR, LOUISVILLE, KY, 40258
21423, CANE RUN RD / WILSON AVE, LOUISVILLE, KY, 40211
21424, CANE RUN RD / WINSTEAD DR, LOUISVILLE, KY, 40258
21425, CANNONS LN / ROCK CREEK DR, LOUISVILLE, KY, 40207
21426, CANNONS LN, LOUISVILLE, KY, 40207
21427, CANTERCHASE DR / NEW LA GRANGE RD, LOUISVILLE, KY, 40242
21428, CAPELLA LN / WOOD RD, LOUISVILLE, KY, 40258
21429, CAPLE AVE / MITCHELL HILL RD, LOUISVILLE, KY, 40118
21430, CARDINAL HILL RD / PALATKA RD, LOUISVILLE, KY, 40214
21431, CAREY AVE / DERBY AVE, LOUISVILLE, KY, 40218
21432, CARLISLE AVE / PARTHENIA AVE, LOUISVILLE, KY, 40215
21433, CAROLYN WAY / JEANINE DR, LOUISVILLE, KY, 40219
21434, CARRICO AVE / LENTZ AVE, LOUISVILLE, KY, 40215
21435, CAVALCADE AVE / COUNT FLEET DR, LOUISVILLE, KY, 40272
21436, CECIL AVE / LARKWOOD AVE, LOUISVILLE, KY, 40212
21437, CECIL AVE, LOUISVILLE, KY, 40211
21438, CEDAR CT / ROY WILKINS AVE, LOUISVILLE, KY, 40203
21439, CENTRAL AVE / LINDBERGH DR, LOUISVILLE, KY, 40208
21440, CHAMBERLAIN LN / WINDY OAKS RD, LOUISVILLE, KY, 40241
21441, CHANEL CT / HIKES LN, LOUISVILLE, KY, 40218
21442, CHARIOT CT / SHEPHERDSVILLE RD, LOUISVILLE, KY, 40219
21443, CHARLOTTE ANN DR / S CRUMS LN, LOUISVILLE, KY, 40216
21444, CHAUNCEY AVE / LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40211
21445, CHENOWETH LN / ORMOND RD, LOUISVILLE, KY, 40207
21446, CHEROKEE PKY / EVERETT AVE, LOUISVILLE, KY, 40204
21447, CHEROKEE RD / WILLOW AVE, LOUISVILLE, KY, 40204
21448, CHICOPEE AVE / CRITTENDEN DR, LOUISVILLE, KY, 40209
21449, CHIPPENHAM RD / WASHBURN AVE, LOUISVILLE, KY, 40222
21450, CHRISTMAN DR / LARKGROVE DR, LOUISVILLE, KY, 40229
21451, CIMMARON TRL / PHOENIX TRL, LOUISVILLE, KY, 40223
21452, CINDERELLA LN / E MANSLICK RD, LOUISVILLE, KY, 40219
21453, CIRCLE HILL RD / ROCK CREEK DR, LOUISVILLE, KY, 40207
21454, CLARKS LN / DIXIE ST, LOUISVILLE, KY, 40217
21455, CLAY AVE / GARROW AVE, LOUISVILLE, KY, 40219
21456, CLEVELAND BLVD / PRYOR AVE, LOUISVILLE, KY, 40206
21457, COLORADO AVE / PHYLLIS AVE, LOUISVILLE, KY, 40215
21458, COLUMBIA AVE / SKY BLUE AVE, LOUISVILLE, KY, 40258
21459, COMMANDER DR / RIO RITA AVE, LOUISVILLE, KY, 40220
21460, COOPER CHAPEL RD / PARK RD, LOUISVILLE, KY, 40229
21461, COOPER CHAPEL RD, LOUISVILLE, KY, 40229
21462, COOPER VILLAGE TER / PRESTON HWY, LOUISVILLE, KY, 40219
21463, COPPERCREEK CIR / COPPERCREEK DR, LOUISVILLE, KY, 40222
21464, CORNELL PL / WILMINGTON AVE, LOUISVILLE, KY, 40207
21465, CREEL AVE / RODMAN ST, LOUISVILLE, KY, 40208
21466, CRISTLAND RD / MANSLICK RD, LOUISVILLE, KY, 40214
21467, CRITTENDEN DR / I264E, LOUISVILLE, KY, 40209
21468, CRITTENDEN DR / MAYLAWN AVE, LOUISVILLE, KY, 40217
21469, CRITTENDEN DR N / I65S, LOUISVILLE, KY, 40209
21470, CRITTENDEN DR S / I65S, LOUISVILLE, KY, 40209
21471, CRITTENDEN DR/GRADE LN, LOUISVILLE, KY, NA
21472, CROSSRIDGE LN / ROYALTY AVE, LOUISVILLE, KY, 40222
21473, CROSSRIDGE LN / WESTPORT RD, LOUISVILLE, KY, 40222
21474, CROSSWINDS DR / TUCKER STATION RD, LOUISVILLE, KY, 40243
21475, CRUMS LN / FREEMAN AVE, LOUISVILLE, KY, 40216
21476, CRUMS LN / JANELL RD, LOUISVILLE, KY, 40216
21477, CUNNINGHAM CT / SOUTHERN AVE, LOUISVILLE, KY, 40211
21478, CYPRESS ST / BURWELL AVE, LOUISVILLE, KY, 40210
21479, DAFFODIL DR / MORNING GLORY LN, LOUISVILLE, KY, 40258
21480, DALE AVE / SOUTHERN PKY, LOUISVILLE, KY, 40214
21481, DALE RD / RUTLEDGE RD, LOUISVILLE, KY, 40258
21482, DALERAY DR / RANGELAND RD, LOUISVILLE, KY, 40219
21483, DARTMOUTH AVE / TAYLORSVILLE RD, LOUISVILLE, KY, 40205
21484, DAVIES AVE / MIX AVE, LOUISVILLE, KY, 40208
21485, DAYTONA AVE / LEES LN, LOUISVILLE, KY, 40216
21486, DEARBORN AVE / DOERHOEFER AVE, LOUISVILLE, KY, 40211
21487, DEARCY AVE / LONGFIELD AVE, LOUISVILLE, KY, 40215
21488, DEER PARK AVE / NEWBURG RD, LOUISVILLE, KY, 40205
21489, DELAWARE DR, LOUISVILLE, KY, 40218
21490, DEPOT LN / DIXIE HWY, LOUISVILLE, KY, 40272
21491, DERONIA AVE / WOOD RD, LOUISVILLE, KY, 40222
21492, DEVELOPMENT WAY / N ENGLISH STATION RD, LOUISVILLE, KY, 40223
21493, DEVEREAUX LN / GREENWOOD RD, LOUISVILLE, KY, 40258
21494, DEVONDALE DR / WESTPORT RD, LOUISVILLE, KY, NA
21495, DISTRIBUTION DR / GREENBELT HWY, LOUISVILLE, KY, 40258
21496, DIXIE HWY / BLANTON LN, LOUISVILLE, KY, 40216
21497, DIXIE HWY / FARNSLEY RD, LOUISVILLE, KY, 40216
21498, DIXIE HWY / GILLETTE AVE, LOUISVILLE, KY, NA
21499, DIXIE HWY / GREENBELT RAMP, LOUISVILLE, KY, 40272
21500, DIXIE HWY / KENDALL LN, LOUISVILLE, KY, NA
21501, DIXIE HWY / NOBEL PL, LOUISVILLE, KY, 40216
21502, DIXIE HWY / NOBEL PL, LOUISVILLE, KY, NA
21503, DIXIE HWY / WELBY RD, LOUISVILLE, KY, 40216
21504, DIXIE HWY N / I265N, LOUISVILLE, KY, 40272
21505, DIXIE HWY S / I265N, LOUISVILLE, KY, 40272
21506, DOERHOEFER AVE / SUTCLIFFE AVE, LOUISVILLE, KY, 40211
21507, DOGWOOD RD / SANDERS GATE RD, LOUISVILLE, KY, 40214
21508, DONEGAL DR / OUTER LOOP, LOUISVILLE, KY, 40219
21509, DONERAIL WAY / MIDDLEGROUND DR, LOUISVILLE, KY, 40272
21510, DONERAIL WAY / SIR BARTON RD, LOUISVILLE, KY, 40272
21511, DORIS DR / NATIONAL TPKE, LOUISVILLE, KY, 40118
21512, DOROTHY AVE / DOUGLASS BLVD, LOUISVILLE, KY, 40205
21513, DOROTHY AVE / WOODFORD PL, LOUISVILLE, KY, 40205
21514, DORRANCE DR / MOONGLOW AVE, LOUISVILLE, KY, 40258
21515, DORSEY LN / FOXBORO DR, LOUISVILLE, KY, 40223
21516, DOVER RD, LOUISVILLE, KY, 40216
21517, DUANE AVE / ROCKFORD LN, LOUISVILLE, KY, 40216
21518, DUMESNIL ST / HEMLOCK ST, LOUISVILLE, KY, 40211
21519, DUNDEE RD / TREVILIAN WAY, LOUISVILLE, KY, 40205
21520, DUTCHMANS LN / DUTCHMANS PKY, LOUISVILLE, KY, NA
21521, DUTCHMANS LN, LOUISVILLE, KY, 40205
21522, E AMHERST AVE / HOLLINS RD, LOUISVILLE, KY, 40214
21523, E BARBEE AVE / BRADLEY AVE, LOUISVILLE, KY, 40217
21524, E BRANDEIS AVE / S BROOK ST, LOUISVILLE, KY, 40208
21525, E BRECKINRIDGE ST / BAXTER AVE, LOUISVILLE, KY, 40204
21526, E BURNETT AVE / CLARKS LN, LOUISVILLE, KY, 40217
21527, E BURNETT AVE / E HILL ST, LOUISVILLE, KY, 40208
21528, E BURNETT AVE / HOERTZ AVE, LOUISVILLE, KY, 40217
21529, E BURNETT AVE / MINOMA AVE, LOUISVILLE, KY, 40217
21530, E CHESTNUT ST / E MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40204
21531, E ESPLANADE AVE / TECUMSEH AVE, LOUISVILLE, KY, 40214
21532, E JACOB ST / SPRADLING CT, LOUISVILLE, KY, 40203
21533, E LIBERTY ST / ST BONIFACE PL, LOUISVILLE, KY, 40202
21534, E MANSLICK RD / SOUTH PARK RD, LOUISVILLE, KY, 40219
21535, E MARKET ST / S BROOK ST, LOUISVILLE, KY, 40202
21536, E MUHAMMAD ALI BLVD / S SHELBY ST, LOUISVILLE, KY, 40202
21537, E OAK ST / E ST CATHERINE ST, LOUISVILLE, KY, 40204
21538, E OAK ST, LOUISVILLE, KY, 40204
21539, E ORMSBY AVE / S FLOYD ST, LOUISVILLE, KY, 40203
21540, E PAGES LN / VALLEY COLLEGE DR, LOUISVILLE, KY, 40272
21541, E WASHINGTON ST / N WENZEL ST, LOUISVILLE, KY, 40206
21542, E WITHERSPOON ST / RIVER RD, LOUISVILLE, KY, 40206
21543, EARL AVE / PHYLLIS AVE, LOUISVILLE, KY, 40215
21544, EARL JONES WAY / PLANTSIDE DR, LOUISVILLE, KY, 40299
21545, EAST AVE / SCRIM AVE, LOUISVILLE, KY, 40272
21546, EASTERN PKY / CRITTENDEN DR, LOUISVILLE, KY, 40217
21547, EASTERN PKY / I65, LOUISVILLE, KY, 40217
21548, EASTERN PKY / VALLEY RD, LOUISVILLE, KY, 40204
21549, EASTPOINT PKY / NELSON MILLER PKY, LOUISVILLE, KY, 40223
21550, EDENROC LN / RUTLEDGE RD, LOUISVILLE, KY, 40258
21551, EL PRADO ST / KENDALL RD, LOUISVILLE, KY, 40272
21552, EL RANCHO RD / SEATONVILLE RD, LOUISVILLE, KY, 40291
21553, ELEANOR AVE / GARDINER LN, LOUISVILLE, KY, 40205
21554, ELEANOR AVE / LANCASHIRE AVE, LOUISVILLE, KY, 40205
21555, ELNORA AVE / GREENWOOD RD, LOUISVILLE, KY, 40258
21556, EMMET AVE / LYNN ST, LOUISVILLE, KY, 40217
21557, ENTRANCE RD / RODGERS RD, LOUISVILLE, KY, 40258
21558, EVE ADAM DR / VALLEY STATION RD, LOUISVILLE, KY, 40272
21559, EVERETT AVE / HIGHLAND AVE, LOUISVILLE, KY, 40204
21560, EVERETT AVE / PATTERSON AVE, LOUISVILLE, KY, 40204
21561, EVERGREEN RD / OLD SHELBYVILLE RD, LOUISVILLE, KY, 40243
21562, EXETER AVE / SHASTA TRL, LOUISVILLE, KY, 40218
21563, FACTORY LN / TERRACE HILL DR, LOUISVILLE, KY, 40245
21564, FARMAN CT / SOUTH PARK RD, LOUISVILLE, KY, 40219
21565, FARMAN PARK, LOUISVILLE, KY, 40219
21566, FEGENBUSH LN / GLASER LN, LOUISVILLE, KY, 40228
21567, FERN CREEK RD / MOSSY OAKS DR, LOUISVILLE, KY, 40291
21568, FERN VALLEY RD E / I65S, LOUISVILLE, KY, 40213
21569, FERN VALLEY RD, LOUISVILLE, KY, 40213
21570, FERNWOOD AVE / MAPLEWOOD PL, LOUISVILLE, KY, 40205
21571, FETTER AVE / S PRESTON ST, LOUISVILLE, KY, 40217
21572, FILSON AVE / PARKWAY DR, LOUISVILLE, KY, 40217
21573, FILSON AVE / THRUSTON AVE, LOUISVILLE, KY, 40217
21574, FITZGERALD RD / MILLERS LN, LOUISVILLE, KY, 40216
21575, FLAT ROCK RD / POLO RUN LN, LOUISVILLE, KY, 40245
21576, FLIRTATION WALK / WHISPERING HILLS BLVD, LOUISVILLE, KY, 40219
21577, FLOWERVALE LN / LEWIS WAY, LOUISVILLE, KY, 40272
21578, FLOWERVALE LN, LOUISVILLE, KY, 40272
21579, FOREST DR / FOREST PARK DR, LOUISVILLE, KY, 40219
21580, FOREST DR / PERMERLAND DR, LOUISVILLE, KY, 40219
21581, FOREST LN, LOUISVILLE, KY, 40222
21582, FORREST ST / TEXAS AVE, LOUISVILLE, KY, 40217
21583, FRANKFORT AVE / STOLL AVE, LOUISVILLE, KY, 40206
21584, FREYS HILL RD / LAKELAND RD, LOUISVILLE, KY, 40223
21585, FRISBEE WAY / NEW CUT RD, LOUISVILLE, KY, 40214
21586, GAGEL AVE / SANDERS LN, LOUISVILLE, KY, 40216
21587, GALLANT FOX RUN RD / WHIPPS MILL RD, LOUISVILLE, KY, 40242
21588, GARDINER LN / SUNNY LN, LOUISVILLE, KY, 40205
21589, GARLAND AVE, LOUISVILLE, KY, 40211
21590, GARRISON RD / GARRISON CT, LOUISVILLE, KY, 40214
21591, GARRISON RD / REVOLUTIONARY RD, LOUISVILLE, KY, 40214
21592, GARRS LN / HALE AVE, LOUISVILLE, KY, 40211
21593, GARRS LN / SUNSET AVE, LOUISVILLE, KY, 40211
21594, GEMINI WAY / JUNEAU DR, LOUISVILLE, KY, 40243
21595, GEMINI WAY / KOHLER DR, LOUISVILLE, KY, 40243
21596, GENE PAULIN WAY / GLENGARRY DR, LOUISVILLE, KY, 40118
21597, GEORGE HAUCK WAY / GOSS AVE, LOUISVILLE, KY, 40217
21598, GHEENS AVE / MITSCHER AVE, LOUISVILLE, KY, 40214
21599, GHEENS AVE, LOUISVILLE, KY, 40214
21600, GILMORE LN / GILMORE INDUSTRIAL BLVD, LOUISVILLE, KY, 40213
21601, GIRARD DR / KING ARTHUR LN, LOUISVILLE, KY, 40222
21602, GLASER LN / OLD BOUNDARY RD, LOUISVILLE, KY, 40291
21603, GLENDORA AVE / W MARKET ST, LOUISVILLE, KY, 40212
21604, GLENGARRY DR / ROSSHIRE DR, LOUISVILLE, KY, 40118
21605, GLENGYLE AVE / SHEPHERDSVILLE RD, LOUISVILLE, KY, NA
21606, GLENSFORD DR / LAKE FOREST DR, LOUISVILLE, KY, 40245
21607, GORHAM WAY / SHADOW CREEK WAY, LOUISVILLE, KY, 40291
21608, GRAFTON HALL RD / HANEY WAY, LOUISVILLE, KY, 40272
21609, GRAND AVE / SOUTHWESTERN PKY, LOUISVILLE, KY, 40211
21610, GRANDFIELD RD / GRANDFIELD WAY, LOUISVILLE, KY, 40258
21611, GRAYMOOR PLACE DR / WESTPORT RD, LOUISVILLE, KY, NA
21612, GREENWOOD RD / HELEN AVE, LOUISVILLE, KY, 40258
21613, GRENADE AVE / POPLAR LEVEL RD, LOUISVILLE, KY, 40213
21614, GRINSTEAD CT / GRINSTEAD DR, LOUISVILLE, KY, 40204
21615, GRINSTEAD DR / I64W, LOUISVILLE, KY, 40206
21616, GRINSTEAD DR / STILZ AVE, LOUISVILLE, KY, 40206
21617, GRINSTEAD DR / UPLAND RD, LOUISVILLE, KY, 40206
21618, GRINSTEAD DR / WINTER AVE, LOUISVILLE, KY, 40204
21619, GUARDING CT / PRESTON, LOUISVILLE, KY, 40291
21620, HALE AVE / HOPEFUL WAY, LOUISVILLE, KY, 40210
21621, HALIFAX DR / MURPHY LN, LOUISVILLE, KY, 40241
21622, HALIFAX DR / SHENANDOAH DR, LOUISVILLE, KY, 40241
21623, HANSES DR / POPLAR LEVEL RD, LOUISVILLE, KY, 40219
21624, HARTWELL CT / TERESA PL, LOUISVILLE, KY, 40214
21625, HASBROOK DR / HOLGATE DR, LOUISVILLE, KY, 40229
21626, HASKIN AVE / LONSDALE AVE, LOUISVILLE, KY, 40215
21627, HAZEL ST/BROADWAY, LOUISVILLE, KY, NA
21628, HAZELWOOD AVE / LAWSON LN, LOUISVILLE, KY, 40214
21629, HEAFER RD / HERSFIELD RD, LOUISVILLE, KY, 40223
21630, HENDERSON AVE / MORGAN AVE, LOUISVILLE, KY, 40213
21631, HENDRIK DR / WATTERSON TRL, LOUISVILLE, KY, 40299
21632, HENRY AVE / MATHA AVE, LOUISVILLE, KY, 40215
21633, HENRY FIRPO ST / S SHELBY ST, LOUISVILLE, KY, 40203
21634, HERMITAGE WAY, LOUISVILLE, KY, 40242
21635, HERR LN / LYNDON LN, LOUISVILLE, KY, 40222
21636, HERR LN / WESBORO RD, LOUISVILLE, KY, 40222
21637, HERR LN / WESTLYNNE WAY, LOUISVILLE, KY, 40222
21638, HERR LN / WESTLYNNE WAY, LOUISVILLE, KY, NA
21639, HICKORY ST, LOUISVILLE, KY, 40217
21640, HIGHLAND AVE / BAXTER AVE, LOUISVILLE, KY, 40204
21641, HIGHLAND AVE / VINE ST, LOUISVILLE, KY, 40204
21642, HIKES LN / MELBOURNE AVE, LOUISVILLE, KY, 40220
21643, HIKES LN / SHEPHERDSVILLE RD, LOUISVILLE, KY, NA
21644, HIKES LN / WILLMAR AVE, LOUISVILLE, KY, 40218
21645, HILLVIEW AVE / WESSEL AVE, LOUISVILLE, KY, 40216
21646, HILLVIEW WOODS PKY / MUD LN, LOUISVILLE, KY, 40229
21647, HOERTZ AVE / SYLVIA ST, LOUISVILLE, KY, 40217
21648, HOGARTH DR / LINN STATION RD, LOUISVILLE, KY, 40222
21649, HOLIDAY PARK / MINOR LN, LOUISVILLE, KY, 40219
21650, HOMEVIEW DR / UTAH AVE, LOUISVILLE, KY, 40215
21651, HOSTA LN / MIMOSA DR, LOUISVILLE, KY, 40258
21652, HUNSINGER LN / SIX MILE LN, LOUISVILLE, KY, 40220
21653, HUNTER AVE / WALTER AVE, LOUISVILLE, KY, 40215
21654, I 0265, LOUISVILLE, KY, NA
21655, I 264 RAMP / TAYLORSVILLE RD, LOUISVILLE, KY, 40205
21656, I 265 RAMP / LA GRANGE RD, LOUISVILLE, KY, 40245
21657, I 64 RAMP / I 64 RAMP, LOUISVILLE, KY, 40205
21658, I 65 RAMP / E ST CATHERINE ST, LOUISVILLE, KY, 40203
21659, I 65 RAMP / GRADE LN, LOUISVILLE, KY, 40213
21660, I 65 RAMP / I 65 RAMP, LOUISVILLE, KY, 40208
21661, I 65 RAMP / KY 841, LOUISVILLE, KY, 40118
21662, I 71 RAMP / I 71 RAMP, LOUISVILLE, KY, 40206
21663, I 71 RAMP / I 71 SOUTH, LOUISVILLE, KY, 40241
21664, I264E / ALI, LOUISVILLE, KY, 40212
21665, I264E / I65S, LOUISVILLE, KY, 40213
21666, I264E / I71, LOUISVILLE, KY, 40222
21667, I264E / I71N, LOUISVILLE, KY, 40222
21668, I264E / RIVER PARK DR, LOUISVILLE, KY, 40212
21669, I264E / SHELBYVILLE RD, LOUISVILLE, KY, 40222
21670, I264E EXIT 2.4, LOUISVILLE, KY, 40211
21671, I264W / I64, LOUISVILLE, KY, 40220
21672, I264W / I64E WE, LOUISVILLE, KY, 40212
21673, I264W / I64W EE, LOUISVILLE, KY, NA
21674, I264W EXIT 11, LOUISVILLE, KY, 40209
21675, I264W EXIT 8, LOUISVILLE, KY, 40216
21676, I265N / LA GRANGE RD, LOUISVILLE, KY, 40245
21677, I265S / BILLTOWN RD, LOUISVILLE, KY, 40299
21678, I64 / I65N, LOUISVILLE, KY, 40202
21679, I64E / S HURSTBOURNE PKY WEST SIDE IN LMPD, LOUISVILLE, KY, 40220
21680, I64W / I265N, LOUISVILLE, KY, 40299
21681, I65N / FAIRGROUNDS, LOUISVILLE, KY, 40213
21682, I65N / HORSEBARNS, LOUISVILLE, KY, 40213
21683, I65N / I264E, LOUISVILLE, KY, 40213
21684, I65N / WARNOCK ST, LOUISVILLE, KY, 40217
21685, I65N EXIT 131, LOUISVILLE, KY, 40213
21686, I65S / I264W, LOUISVILLE, KY, 40209
21687, ILLINOIS AVE / POPLAR LEVEL RD, LOUISVILLE, KY, 40213
21688, INDIAN LAKE DR, LOUISVILLE, KY, 40241
21689, INDIANA AVE / RESERVOIR AVE, LOUISVILLE, KY, 40213
21690, JEFFERSON HILL RD / KEYS FERRY RD, LOUISVILLE, KY, 40118
21691, JENNY JUNE DR / NELLIE BLY DR, LOUISVILLE, KY, 40213
21692, JESSAMINE LN / JONQUIL DR, LOUISVILLE, KY, 40258
21693, JESSAMINE LN / MANGO DR, LOUISVILLE, KY, 40258
21694, JESSAMINE LN / TRILLIUM DR, LOUISVILLE, KY, 40258
21695, JOHNSONTOWN DR / JOHNSONTOWN RD, LOUISVILLE, KY, 40272
21696, JOYCE DR / OUTER LOOP, LOUISVILLE, KY, 40219
21697, JUNEAU DR / OLD SHELBYVILLE RD, LOUISVILLE, KY, 40243
21698, KAHLERT AVE / W SOUTHERN HEIGHTS AVE, LOUISVILLE, KY, 40215
21699, KENTUCKY AVE / NEW LA GRANGE RD, LOUISVILLE, KY, NA
21700, KERRY RD / W PAGES LN, LOUISVILLE, KY, 40258
21701, KLONDIKE LN / KOZY KREEK DR, LOUISVILLE, KY, 40218
21702, KRANET WAY / SEBREE LN, LOUISVILLE, KY, 40218
21703, KRUPP PARK DR / PRESTON HWY, LOUISVILLE, KY, 40213
21704, KY-841 RAMP / KY-841 RAMP, LOUISVILLE, KY, 40118
21705, KY-841 RAMP / NATIONAL TPKE, LOUISVILLE, KY, 40118
21706, KY-841 RAMP / STONESTREET RD, LOUISVILLE, KY, 40272
21707, LA GRANGE RD / MILITARY AVE, LOUISVILLE, KY, 40242
21708, LA GRANGE RD / SPRINGS STATION RD, LOUISVILLE, KY, 40245
21709, LA GRANGE RD / WITAWANGA AVE, LOUISVILLE, KY, 40222
21710, LAGOONA DR / SAMARA DR, LOUISVILLE, KY, 40219
21711, LAKE DREAMLAND RD / W OVERBROOK DR, LOUISVILLE, KY, 40216
21712, LAKE FOREST PKY / WOODSTREAM PL, LOUISVILLE, KY, 40245
21713, LAKEFRONT PL / TUCKER STATION RD, LOUISVILLE, KY, 40299
21714, LAMPTON ALY / SWAN ST, LOUISVILLE, KY, 40204
21715, LAMPTON ST / SWAN ST, LOUISVILLE, KY, 40204
21716, LANNAN PARK RD / I64, LOUISVILLE, KY, 40212
21717, LARKMOOR LN / NEWBURG RD, LOUISVILLE, KY, 40218
21718, LEES LN / ROCKFORD LN, LOUISVILLE, KY, 40216
21719, LEESBURG PL / SHENANDOAH DR, LOUISVILLE, KY, 40241
21720, LEXINGTON RD / ALTA VISTA RD, LOUISVILLE, KY, 40206
21721, LEXINGTON RD / MCCREADY AVE, LOUISVILLE, KY, 40206
21722, LEXINGTON RD / STILZ AVE, LOUISVILLE, KY, 40206
21723, LEXINGTON RD / TOP HILL RD, LOUISVILLE, KY, 40206
21724, LIBERTY ST / I65N, LOUISVILLE, KY, 40202
21725, LILLIAN AVE / LINDBERGH DR, LOUISVILLE, KY, 40208
21726, LINDA RD / ST RITA DR, LOUISVILLE, KY, 40219
21727, LOCUST RD / MAIN ST, LOUISVILLE, KY, 40243
21728, LONEY LN / NELSON AVE, LOUISVILLE, KY, 40216
21729, LOUDOUN TRCE / TAZWELL DR, LOUISVILLE, KY, 40241
21730, LOUIS COLEMAN JR DR / W BROADWAY, LOUISVILLE, KY, 40211
21731, LOWER HUNTERS TRCE / MURRAY LN, LOUISVILLE, KY, 40258
21732, LYTLE ST / N 20TH ST, LOUISVILLE, KY, 40203
21733, MANNING RD / MONARCH DR, LOUISVILLE, KY, 40213
21734, MANSFIELD LN / SHEPHERDSVILLE RD, LOUISVILLE, KY, 40228
21735, MANSLICK RD / MARCH BLVD, LOUISVILLE, KY, 40215
21736, MANSLICK RD / MELODY LN, LOUISVILLE, KY, 40214
21737, MANSLICK RD / ROSEWOOD WAY, LOUISVILLE, KY, 40214
21738, MAPLE FOREST DR / WESTPORT RD, LOUISVILLE, KY, 40245
21739, MAPLE RD / PRICE LANE RD, LOUISVILLE, KY, 40229
21740, MARENGO DR / RIDGE CREST DR, LOUISVILLE, KY, 40243
21741, MARINA DR / U S HIGHWAY 42, LOUISVILLE, KY, 40059
21742, MARSHALL WALK / MITSCHER AVE, LOUISVILLE, KY, 40214
21743, MEADOW DR / TERRIER LN, LOUISVILLE, KY, 40218
21744, MEADOW RD / WOODBOURNE AVE, LOUISVILLE, KY, 40205
21745, MEDORA RD / PENDLETON RD, LOUISVILLE, KY, 40272
21746, MERIDIAN AVE / WILLIS AVE, LOUISVILLE, KY, 40207
21747, MERRIBROOK LN / WOLFPEN SPRINGS DR, LOUISVILLE, KY, 40059
21748, MILL STREAM PL / WHIPPS MILL RD, LOUISVILLE, KY, 40222
21749, MOCKINGBIRD LN / E ORELL RD, LOUISVILLE, KY, 40272
21750, MOORFIELD CIR / SPRINGHURST BLVD, LOUISVILLE, KY, 40241
21751, MORNING GLORY LN / POINSETTIA DR, LOUISVILLE, KY, 40258
21752, MORRISON AVE / W SOUTHLAND BLVD, LOUISVILLE, KY, 40214
21753, MORTON AVE / EDWARD ST, LOUISVILLE, KY, 40204
21754, MOSSROSE AVE / ROSEWOOD AVE, LOUISVILLE, KY, 40204
21755, MOUNT HOLLY RD / FAIRDALE RD, LOUISVILLE, KY, 40118
21756, MOUNT WASHINGTON RD / WASHINGTON GREEN RD, LOUISVILLE, KY, 40229
21757, MUHAMMAD ALI / I264W, LOUISVILLE, KY, 40212
21758, MULBERRY ST / TEXAS AVE, LOUISVILLE, KY, 40217
21759, N 17TH ST / COLUMBIA ST, LOUISVILLE, KY, 40203
21760, N 17TH ST / NELLIGAN AVE, LOUISVILLE, KY, 40203
21761, N 18TH ST / COLUMBIA ST, LOUISVILLE, KY, 40203
21762, N 18TH ST / NORTHWESTERN PKY, LOUISVILLE, KY, 40203
21763, N 19TH ST / COLUMBIA ST, LOUISVILLE, KY, 40203
21764, N 21ST ST / N 22ND ST CONNECTOR, LOUISVILLE, KY, 40203
21765, N 24TH ST / CLEVELAND AVE, LOUISVILLE, KY, 40212
21766, N 24TH ST / CROP ST, LOUISVILLE, KY, 40212
21767, N 24TH ST / GARFIELD AVE, LOUISVILLE, KY, 40212
21768, N 26TH ST / CORNWALL ST, LOUISVILLE, KY, 40212
21769, N 27TH ST / SHIPPINGPORT DR, LOUISVILLE, KY, 40212
21770, N 28TH ST / GARFIELD AVE, LOUISVILLE, KY, 40212
