35001, PRESTON HWY S / I65N, LOUISVILLE, KY, 40213
35380, SHELBYVILLE RD / NEW LA GRANGE RD, LOUISVILLE, KY, 40222
35381, SHELBYVILLE RD / OLD HARRODS CREEK RD, LOUISVILLE, KY, 40243
35382, SHELBYVILLE RD / PARK PLACE DR, LOUISVILLE, KY, 40243
35383, SHELBYVILLE RD / PROMENADE CT, LOUISVILLE, KY, 40223
35384, SHELBYVILLE RD / S LYNDON LN, LOUISVILLE, KY, 40222
35385, SHELBYVILLE RD / SHAFTESBURY DR, LOUISVILLE, KY, 40222
35386, SHELBYVILLE RD / STONEHENGE DR, LOUISVILLE, KY, 40207
35387, SHELBYVILLE RD & DAISY LN, LOUISVILLE, KY, NA
35388, SHELBYVILLE RD & S HURSTBOURNE PKWY, LOUISVILLE, KY, NA
35389, SHELBYVILLE RD E / I265S, LOUISVILLE, KY, 40223
35390, SHELBYVILLE RD W / I264, LOUISVILLE, KY, 40222
35391, SHELBYVILLE RD/DORSEY LN, LOUISVILLE, KY, NA
35392, SHENANDOAH DR / CULPEPPER CIR, LOUISVILLE, KY, 40241
35393, SHEPHERDSVILLE RD / GEORGIA LN, LOUISVILLE, KY, 40219
35394, SHEPHERDSVILLE RD / YE OLD POST RD, LOUISVILLE, KY, 40228
35395, SHEPHERDSVILLE RD/POPLAR LVL @CIRCLE K, LOUISVILLE, KY, NA
35396, SHUMAKE CT / UNSELD BLVD, LOUISVILLE, KY, 40218
35397, SIGNATURE POINT DR / TULIP HILL WAY, LOUISVILLE, KY, 40299
35398, SILS AVE / WIBBEN AVE, LOUISVILLE, KY, 40205
35399, SILVER RIDGE LN / TAYLORSVILLE RD, LOUISVILLE, KY, 40299
35400, SILVER WING BLVD / BALLARDSVILLE RD, LOUISVILLE, KY, 40241
35401, SIMMONS CT / LIBERTY CT, LOUISVILLE, KY, 40203
35402, SINCLAIR ST / JAMES R RD, LOUISVILLE, KY, 40118
35403, SIX MILE LN / BARDSTOWN RD, LOUISVILLE, KY, 40218
35404, SIX MILE LN / BRECKENRIDGE LN, LOUISVILLE, KY, 40220
35405, SIX MILE LN / GALENE DR, LOUISVILLE, KY, 40220
35406, SIX MILE LN / WESTWOOD FARMS DR, LOUISVILLE, KY, 40220
35407, SKYNIGHT DR / PEACOCK DR, LOUISVILLE, KY, 40222
35408, SLEVIN ST / N 24TH ST, LOUISVILLE, KY, NA
35409, SLEVIN ST / N 30TH ST, LOUISVILLE, KY, 40212
35410, SLEVIN ST/29TH ST, LOUISVILLE, KY, NA
35411, SMITH LN / BARN RD, LOUISVILLE, KY, 40291
35412, SOUTH CENTRAL AVE / WASHBURN AVE, LOUISVILLE, KY, 40222
35413, SOUTH PARK RD / MINOR LN, LOUISVILLE, KY, 40219
35414, SOUTH PARK RD / OLD SOUTH PARK RD, LOUISVILLE, KY, 40219
35415, SOUTH PARK RD / STINNETT LN, LOUISVILLE, KY, 40219
35416, SOUTH RIDGE DR / TARRYTOWNE DR, LOUISVILLE, KY, 40272
35417, SOUTHERN AVE/ WEAVER CT, LOUISVILLE, KY, NA
35418, SOUTHERN HEIGHTS AVE E / I264E, LOUISVILLE, KY, 40214
35419, SOUTHERN PKWY//EVELYN, LOUISVILLE, KY, NA
35420, SOUTHERN PKY / NEW CUT RD, LOUISVILLE, KY, 40214
35421, SOUTHSIDE DR / ALVINA WAY, LOUISVILLE, KY, 40214
35422, SOUTHSIDE DR / ASHBURY RD, LOUISVILLE, KY, 40214
35423, SOUTHSIDE DR / CAMBRIDGE DR, LOUISVILLE, KY, 40214
35424, SOUTHSIDE DR / FREEMAN AVE, LOUISVILLE, KY, 40214
35425, SOUTHSIDE DR / ROCHESTER DR, LOUISVILLE, KY, 40214
35426, SOUTHSIDE DR / W AMHERST AVE, LOUISVILLE, KY, 40214
35427, SOUTHSIDE DR / W KINGSTON AVE, LOUISVILLE, KY, 40214
35428, SOUTHSIDE DR/NATIONAL TPKE, LOUISVILLE, KY, NA
35429, SOUTHWESTERN PKY / S SHAWNEE TER, LOUISVILLE, KY, 40212
35430, SOUTHWESTERN PKY / SHAWNEE PARK DR, LOUISVILLE, KY, 40212
35431, SOUTHWESTERN PKY / SHAWNEE PARK ENTRANCE RD, LOUISVILLE, KY, 40211
35432, SPEED AVE / BARDSTOWN RD, LOUISVILLE, KY, 40205
35433, SPICEWOOD LN / TARRAGON RD, LOUISVILLE, KY, 40219
35434, SPRADLING CT / ROSELANE ST, LOUISVILLE, KY, 40203
35435, SPRING VALLEY WAY / WHITE BLOSSOM BLVD, LOUISVILLE, KY, 40241
35436, SPRING VILLA CIR / SERVICE PL, LOUISVILLE, KY, 40245
35437, SPRINGMONT PL, LOUISVILLE, KY, NA
35438, SPRINGVIEW DR / FORREST VIEW DR, LOUISVILLE, KY, 40219
35439, SPRUCE TREE CT / WILLOW SPRINGS DR, LOUISVILLE, KY, 40242
35440, SQUIRES DR / CAYUGA ST, LOUISVILLE, KY, 40215
35441, SQUIRES DR / LENTZ AVE, LOUISVILLE, KY, 40215
35442, SQUIRES DR / ONEIDA CT, LOUISVILLE, KY, 40215
35443, ST ANDREWS CHURCH RD / ARNOLDTOWN RD, LOUISVILLE, KY, 40214
35444, ST ANDREWS CHURCH RD / MOUNT CALVARY DR, LOUISVILLE, KY, 40214
35445, ST ANDREWS CHURCH RD / PALATKA RD, LOUISVILLE, KY, 40214
35446, ST ANDREWS CHURCH RD / PENNACOOK RD, LOUISVILLE, KY, 40214
35447, ST BERNADETTE AVE / ST MARY LN, LOUISVILLE, KY, 40059
35448, ST CECILIA ST / N 25TH ST, LOUISVILLE, KY, 40212
35449, ST JAMES CT / W MAGNOLIA AVE, LOUISVILLE, KY, 40208
35450, ST JOSEPH ST / S BROOK ST, LOUISVILLE, KY, 40203
35451, ST LOUIS AVE / S 22ND ST, LOUISVILLE, KY, 40210
35452, ST MATTHEWS AVE / WESTPORT RD, LOUISVILLE, KY, NA
35453, ST REGIS LN / WOODMONT DR, LOUISVILLE, KY, 40220
35454, ST XAVIER ST / N 20TH ST, LOUISVILLE, KY, 40203
35455, ST XAVIER ST / N 21ST ST, LOUISVILLE, KY, 40203
35456, ST XAVIER ST / N 24TH ST, LOUISVILLE, KY, 40212
35457, STALLINGS AVE / WALNUT GROVE AVE, LOUISVILLE, KY, 40216
35458, STALWERT PL / HANEY WAY, LOUISVILLE, KY, 40272
35459, STANDING OAK DR / EDGE VALLEY LN, LOUISVILLE, KY, 40258
35460, STONEBREAKER CT / STONEBREAKER RD, LOUISVILLE, KY, 40291
35461, STONESTREET RD / MARSEILLE DR, LOUISVILLE, KY, 40272
35462, STONY BROOK DR / TAYLORSVILLE RD, LOUISVILLE, KY, NA
35463, STONY BROOK DR / WATTERSON TRL, LOUISVILLE, KY, 40299
35464, STORY AVE @ I64E OFF RAMP, LOUISVILLE, KY, NA
35465, STORY AVE / BICKEL AVE, LOUISVILLE, KY, 40206
35466, STORY AVE / CABEL ST, LOUISVILLE, KY, 40206
35467, STORY AVE / E MAIN ST, LOUISVILLE, KY, 40206
35468, STRADER AVE, LOUISVILLE, KY, NA
35469, STRATFORD AVE / TYLER LN, LOUISVILLE, KY, 40205
35470, STRATHMOOR BLVD / TAYLORSVILLE RD, LOUISVILLE, KY, 40205
35471, STRATTON AVE / WILLIAM E SUMMERS III AVE, LOUISVILLE, KY, 40211
35472, STRAWBERRY LN / ESTELE AVE, LOUISVILLE, KY, 40214
35473, STRAWBERRY LN / SOUTHSIDE DR, LOUISVILLE, KY, 40214
35474, SUMMER CREEK DR / WINTER VIEW DR, LOUISVILLE, KY, 40272
35475, SUMMIT AVE / BARRET AVE, LOUISVILLE, KY, 40204
35476, SUN RAY DR / TWILIGHT DR, LOUISVILLE, KY, 40272
35477, SUNBURY LN / WINTERHAVEN RD, LOUISVILLE, KY, 40220
35478, SUNNY CROSSING DR / WATTERSON TRL, LOUISVILLE, KY, 40299
35479, SWAN ST / E KENTUCKY ST, LOUISVILLE, KY, 40204
35480, SWAN ST / E OAK ST, LOUISVILLE, KY, 40204
35481, SWAN ST / MARY ST, LOUISVILLE, KY, 40204
35482, SYCAMORE CT / SYCAMORE TRL, LOUISVILLE, KY, 40223
35483, SYCAMORE DR / SYCAMORE GRN, LOUISVILLE, KY, 40223
35484, SYCAMORE STATION PL / TUCKER STATION RD, LOUISVILLE, KY, 40299
35485, SYLVANIA NO 6 RD / 7TH RD, LOUISVILLE, KY, 40258
35486, SYLVIA ST / TEXAS AVE, LOUISVILLE, KY, 40217
35487, TALBOTT AVE / WETSTEIN AVE, LOUISVILLE, KY, 40205
35488, TAMARISK PKY / WINGED FOOT DR, LOUISVILLE, KY, 40223
35489, TAMM CT / VALLEY STATION RD, LOUISVILLE, KY, 40272
35490, TANGLEY LN / TRENTHAM LN, LOUISVILLE, KY, 40242
35491, TAYLOR BLVD / BICKNELL AVE, LOUISVILLE, KY, 40215
35492, TAYLOR BLVD / BICKNELL AVE, LOUISVILLE, KY, NA
35493, TAYLOR BLVD / BLUEGRASS AVE, LOUISVILLE, KY, 40215
35494, TAYLOR BLVD / BROOKLINE AVE, LOUISVILLE, KY, 40215
35495, TAYLOR BLVD / BURTON AVE, LOUISVILLE, KY, 40208
35496, TAYLOR BLVD / CAMDEN AVE, LOUISVILLE, KY, 40215
35497, TAYLOR BLVD / CARRICO AVE, LOUISVILLE, KY, 40215
35498, TAYLOR BLVD / CENTRAL AVE, LOUISVILLE, KY, 40208
35499, TAYLOR BLVD / HASKIN AVE, LOUISVILLE, KY, 40215
35500, TAYLOR BLVD / HOMEVIEW DR, LOUISVILLE, KY, 40215
35501, TAYLOR BLVD / MARRET PL, LOUISVILLE, KY, 40214
35502, TAYLOR BLVD / NEW CUT RD, LOUISVILLE, KY, 40214
35503, TAYLOR BLVD / SHINGO AVE, LOUISVILLE, KY, 40215
35504, TAYLOR BLVD/BERRY BLVD, LOUISVILLE, KY, NA
35505, TAYLOR BLVD/HASKIN, LOUISVILLE, KY, NA
35506, TAYLOR BLVD/SEELBACH AVE, LOUISVILLE, KY, NA
35507, TAYLORSVILLE RD / BETTY LN, LOUISVILLE, KY, 40205
35508, TAYLORSVILLE RD / BON AIR AVE, LOUISVILLE, KY, 40205
35509, TAYLORSVILLE RD / BONAIR, LOUISVILLE, KY, NA
35510, TAYLORSVILLE RD / FARISH DR, LOUISVILLE, KY, 40299
35511, TAYLORSVILLE RD / FURMAN BLVD, LOUISVILLE, KY, 40220
35512, TAYLORSVILLE RD / GLEESON LN, LOUISVILLE, KY, 40299
35513, TAYLORSVILLE RD / GRAND AVE, LOUISVILLE, KY, 40299
35514, TAYLORSVILLE RD / PEE WEE REESE RD, LOUISVILLE, KY, 40205
35515, TAYLORSVILLE RD / S HURSTBOURNE PKY, LOUISVILLE, KY, 40220
35516, TAYLORSVILLE RD / TUCKER STATION RD, LOUISVILLE, KY, 40299
35517, TAYLORSVILLE RD / VALLETTA RD, LOUISVILLE, KY, 40205
35518, TAYLORSVILLE RD N / I264W, LOUISVILLE, KY, 40205
35519, TAYLORSVILLE RD, LOUISVILLE, KY, NA
35520, TAZWELL DR / HEATHMOORE CT, LOUISVILLE, KY, 40241
35521, TAZWELL DR / MURPHY LN, LOUISVILLE, KY, 40241
35522, TAZWELL DR / POWHATAN CT, LOUISVILLE, KY, 40241
35523, TEMPEST WAY / VALIANT DR, LOUISVILLE, KY, 40216
35524, TENNESSEE AVE / MONTANA AVE, LOUISVILLE, KY, 40208
35525, TENNIS BLVD / NATHAN HALE WAY, LOUISVILLE, KY, 40272
35526, TERRA CROSSING BLVD / OLD HENRY RD, LOUISVILLE, KY, 40245
35527, TERRY RD / CANE RUN RD, LOUISVILLE, KY, 40216
35528, TERRY RD / FRANK LEE AVE, LOUISVILLE, KY, 40216
35529, TERRY RD / JOHNSONTOWN RD, LOUISVILLE, KY, 40272
35530, TERRY RD / LIONS ARMS DR, LOUISVILLE, KY, 40216
35531, TERRY RD / LOWER HUNTERS TRCE, LOUISVILLE, KY, 40258
35532, TERRY RD / NOAH DR, LOUISVILLE, KY, 40258
35533, TERRY RD / TOMMY TUCKER WAY, LOUISVILLE, KY, 40216
35534, TERRY RD / WESTSHIRE DR, LOUISVILLE, KY, 40258
35535, TERRY RD//JULIE KAYS WAY, LOUISVILLE, KY, NA
35536, TERRY RD/GREENWOOD, LOUISVILLE, KY, NA
35537, TERUDON DR / VISTA JOHN DR, LOUISVILLE, KY, 40214
35538, TEXAS AVE / ASH ST, LOUISVILLE, KY, 40217
35539, TEXTILE AVE / ASH AVE, LOUISVILLE, KY, 40258
35540, THALIA AVE / E KENWOOD DR, LOUISVILLE, KY, NA
35541, THE MEADOW RD / CREEKWOOD RD, LOUISVILLE, KY, 40223
35542, THEATRE SQ / S 4TH ST, LOUISVILLE, KY, 40202
35543, THIXTON LN / TUNNEL WAY, LOUISVILLE, KY, 40291
35544, THOR AVE / TITAN DR, LOUISVILLE, KY, 40229
35545, THOR AVE / VANGUARD DR, LOUISVILLE, KY, 40229
35546, THORNBERRY AVE / MONTANA AVE, LOUISVILLE, KY, 40215
35547, THORNWOOD CT / THORNWOOD RD, LOUISVILLE, KY, 40220
35548, THRUSTON AVE / E BURNETT AVE, LOUISVILLE, KY, 40217
35549, THUNDER CT, LOUISVILLE, KY, 40272
35550, TIVERTON CT / TIVERTON WAY, LOUISVILLE, KY, 40242
35551, TIVERTON WAY, LOUISVILLE, KY, 40242
35552, TOLLS LN / NATIONAL TPKE, LOUISVILLE, KY, 40214
35553, TORRINGTON CT / TORRINGTON RD, LOUISVILLE, KY, 40272
35554, TOWNE CENTER DR, LOUISVILLE, KY, 40241
35555, TOWNE CENTER DR, LOUISVILLE, KY, NA
35556, TOWNE CREEK RD / TOWNEPARK WAY, LOUISVILLE, KY, 40243
35557, TOWNE CREEK RD / WOODED FALLS RD, LOUISVILLE, KY, 40243
35558, TOWNE WAY / WABASH PL, LOUISVILLE, KY, 40214
35559, TRAFALGAR SQ / GOLDSMITH LN, LOUISVILLE, KY, 40218
35560, TREMONT DR / TYLER LN, LOUISVILLE, KY, 40205
35561, TREVILIAN WAY / BARDSTOWN RD, LOUISVILLE, KY, 40205
35562, TREY CT / TREY PL, LOUISVILLE, KY, 40220
35563, TROUTWOOD CT, LOUISVILLE, KY, NA
35564, TUPELO PASS, LOUISVILLE, KY, NA
35565, TURNPIKE VIEW DR / VANGUARD DR, LOUISVILLE, KY, 40229
35566, TUSCANY VALLEY DR / WOODPOINTE BLVD, LOUISVILLE, KY, 40219
35567, U S HIGHWAY 42 / I265S, LOUISVILLE, KY, NA
35568, UNIVERSITY AVE / COUNTRY CLUB RD, LOUISVILLE, KY, 40206
35569, UNSELD BLVD / SHUMAKE CT, LOUISVILLE, KY, 40218
35570, UPPER HUNTERS TRCE / LOWER HUNTERS TRCE, LOUISVILLE, KY, 40216
35571, UPPER HUNTERS TRCE/ FLUHR LN, LOUISVILLE, KY, NA
35572, UPPER HUNTERS TRCE/WELLSWORTH AVE, LOUISVILLE, KY, NA
35573, UPPER RIVER RD / COUNTRY CLUB RD, LOUISVILLE, KY, 40207
35574, UPPILL RD / RUNDILL RD, LOUISVILLE, KY, 40214
35575, URANUS DR / VOLAR LN, LOUISVILLE, KY, 40258
35576, UTAH AVE / LINCOLN AVE, LOUISVILLE, KY, 40208
35577, UTAH AVE / OLEANDA AVE, LOUISVILLE, KY, 40215
35578, VALLEY COLLEGE DR / STONESTREET RD, LOUISVILLE, KY, 40272
35579, VALLEY FARMS BLVD / MID DR, LOUISVILLE, KY, 40272
35580, VALLEY STATION RD / DEERING RD, LOUISVILLE, KY, 40272
35581, VALLEY STATION RD / GRAFTON HALL RD, LOUISVILLE, KY, 40272
35582, VALLEY STATION RD / SCRIM AVE, LOUISVILLE, KY, 40272
35583, VALLEY STATION RD, LOUISVILLE, KY, NA
35584, VALLEY VISTA RD / SARATOGA DR, LOUISVILLE, KY, 40205
35585, VALLEYSIDE CT, LOUISVILLE, KY, NA
35586, VANDRE AVE / ROCHELLE RD, LOUISVILLE, KY, 40228
35587, VENETIAN CT / VENETIAN WAY, LOUISVILLE, KY, 40214
35588, VERMISSA CT / BRIXTON RD, LOUISVILLE, KY, 40222
35589, VERMONT AVE / S 36TH ST, LOUISVILLE, KY, 40211
35590, VIEUX CARRE / VIEUX CARRE CT, LOUISVILLE, KY, 40243
35591, VILLAGE LAKE DR / OLD STATION RD, LOUISVILLE, KY, 40245
35592, VILLAGE WEST DR / MAGAZINE ST, LOUISVILLE, KY, 40203
35593, VILLAGE WEST DR / PLACE ROUGE, LOUISVILLE, KY, 40203
35594, VINE ST / E BRECKINRIDGE ST, LOUISVILLE, KY, 40204
35595, VINEWOOD RD / PRESTON HWY, LOUISVILLE, KY, 40219
35596, VIRGINIA AVE / I264E, LOUISVILLE, KY, 40211
35597, VIRGINIA AVE, LOUISVILLE, KY, NA
35598, VIVIAN LN / WOODLUCK AVE, LOUISVILLE, KY, 40205
35599, W ASHLAND AVE / LENTZ AVE, LOUISVILLE, KY, 40215
35600, W ASHLAND AVE / WOODRUFF AVE, LOUISVILLE, KY, 40215
35601, W BRECKINRIDGE ST / CRYSTAL ALY, LOUISVILLE, KY, 40203
35602, W BRECKINRIDGE ST / S 3RD ST, LOUISVILLE, KY, 40203
35603, W BRECKINRIDGE ST, LOUISVILLE, KY, NA
35604, W BROADWAY / I264, LOUISVILLE, KY, 40211
35605, W BROADWAY / S 13TH ST, LOUISVILLE, KY, 40203
35606, W BROADWAY / S 23RD ST, LOUISVILLE, KY, 40211
35607, W BROADWAY / S 30TH ST, LOUISVILLE, KY, 40211
35608, W BROADWAY / S 3RD ST, LOUISVILLE, KY, 40202
35609, W BROADWAY / S 40TH ST, LOUISVILLE, KY, 40211
35610, W BROADWAY / S 45TH ST, LOUISVILLE, KY, 40211
35611, W BROADWAY / S 4TH ST, LOUISVILLE, KY, 40202
35612, W BROADWAY / S 8TH ST, LOUISVILLE, KY, 40202
35613, W BROADWAY /35TH, LOUISVILLE, KY, 40211
35614, W BROADWAY/ 41ST, LOUISVILLE, KY, NA
35615, W BROADWAY/26TH STREET, LOUISVILLE, KY, NA
35616, W BROADWAY/ROY WILKINS, LOUISVILLE, KY, NA
35617, W BURNETT AVE / 17TH, LOUISVILLE, KY, NA
35618, W BURNETT AVE / S 2ND ST, LOUISVILLE, KY, 40208
35619, W BURNETT AVE / S 3RD ST, LOUISVILLE, KY, 40208
35620, W BURNETT AVE / TIN PAN ALY, LOUISVILLE, KY, 40208
35621, W CHESTNUT ST / S 11TH ST, LOUISVILLE, KY, 40203
35622, W CHESTNUT ST / S 1ST ST, LOUISVILLE, KY, 40202
35623, W CHESTNUT ST / S 22ND ST, LOUISVILLE, KY, 40211
35624, W CHESTNUT ST / S 3RD ST, LOUISVILLE, KY, 40202
35625, W CHESTNUT ST / S 6TH ST, LOUISVILLE, KY, 40202
35626, W CHESTNUT ST / S 7TH ST, LOUISVILLE, KY, 40203
35627, W CHESTNUT ST, LOUISVILLE, KY, NA
35628, W COLLINS CT / GRANT AVE, LOUISVILLE, KY, 40214
35629, W EVELYN AVE / S 3RD ST, LOUISVILLE, KY, 40214
35630, W FAIRMONT AVE / S 2ND ST, LOUISVILLE, KY, 40214
35631, W FLORENCE AVE / GATEWOOD AVE, LOUISVILLE, KY, 40215
35632, W GARRETT ST / TULANE AVE, LOUISVILLE, KY, 40214
35633, W GAULBERT AVE / S 25TH ST, LOUISVILLE, KY, 40210
35634, W GAULBERT AVE / S 5TH ST, LOUISVILLE, KY, 40208
35635, W GAULBERT AVE, LOUISVILLE, KY, 40210
35636, W HILL ST / CATALPA ST, LOUISVILLE, KY, 40211
35637, W HILL ST / R CHIN ALY, LOUISVILLE, KY, 40208
35638, W HILL ST / S 2ND ST, LOUISVILLE, KY, 40208
35639, W HILL ST / S 4TH ST, LOUISVILLE, KY, 40208
35640, W HILL ST, LOUISVILLE, KY, NA
35641, W HILL ST/DIXIE HWY, LOUISVILLE, KY, NA
35642, W HILL ST/S 12TH ST, LOUISVILLE, KY, NA
35643, W HILL ST/S 9TH ST, LOUISVILLE, KY, NA
35644, W INDIAN TRL / KRASHEY WAY, LOUISVILLE, KY, 40213
35645, W JEFFERSON ST / S 12TH ST, LOUISVILLE, KY, 40203
35646, W JEFFERSON ST / S 13TH ST, LOUISVILLE, KY, 40203
35647, W JEFFERSON ST / S 20TH ST, LOUISVILLE, KY, 40203
35648, W JEFFERSON ST / S 22ND ST, LOUISVILLE, KY, 40212
35649, W JEFFERSON ST / S 24TH ST, LOUISVILLE, KY, 40212
35650, W JEFFERSON ST / S 28TH ST, LOUISVILLE, KY, 40212
35651, W JEFFERSON ST / S 34TH ST, LOUISVILLE, KY, 40212
35652, W JEFFERSON ST / S 3RD ST, LOUISVILLE, KY, 40202
35653, W JEFFERSON ST / S 7TH ST, LOUISVILLE, KY, 40202
35654, W JEFFERSON ST, LOUISVILLE, KY, 40202
35655, W JEFFERSON ST, LOUISVILLE, KY, NA
35656, W JEFFERSON ST/S 5TH ST, LOUISVILLE, KY, NA
35657, W KENTON ST / S 5TH ST, LOUISVILLE, KY, 40214
35658, W KENTON ST / TULANE AVE, LOUISVILLE, KY, 40214
35659, W KENTUCKY ST / RIVERVIEW AVE, LOUISVILLE, KY, 40211
35660, W KENTUCKY ST / S 26TH ST, LOUISVILLE, KY, 40210
35661, W KENTUCKY ST / S 28TH ST, LOUISVILLE, KY, 40211
35662, W KENTUCKY ST / S 29TH ST, LOUISVILLE, KY, 40211
35663, W KENTUCKY ST / S 2ND ST, LOUISVILLE, KY, 40203
35664, W KENTUCKY ST / S 3RD ST, LOUISVILLE, KY, 40203
35665, W KENWOOD WAY / SOUTHERN PKY, LOUISVILLE, KY, 40214
35666, W KINGSTON AVE / S 1ST ST, LOUISVILLE, KY, 40214
35667, W LANSING AVE/3RD ST, LOUISVILLE, KY, NA
35668, W LEE ST / S 3RD ST, LOUISVILLE, KY, 40208
35669, W LIBERTY ST / S 5TH ST, LOUISVILLE, KY, 40202
35670, W MADISON ST / S 26TH ST, LOUISVILLE, KY, 40211
35671, W MADISON ST / S 29TH ST, LOUISVILLE, KY, 40211
35672, W MAGNOLIA AVE / SOUTHERN AVE, LOUISVILLE, KY, 40211
35673, W MAIN ST / N 10TH ST, LOUISVILLE, KY, 40202
35674, W MAIN ST / N 1ST ST, LOUISVILLE, KY, 40202
35675, W MAIN ST / N 22ND ST, LOUISVILLE, KY, 40212
35676, W MAIN ST / N 26TH ST, LOUISVILLE, KY, 40212
35677, W MAIN ST / N 30TH ST, LOUISVILLE, KY, 40212
35678, W MAIN ST / N 7TH ST, LOUISVILLE, KY, 40202
35679, W MAIN ST / N 9TH ST, LOUISVILLE, KY, 40202
35680, W MAIN ST / S 12TH ST, LOUISVILLE, KY, 40203
35681, W MAIN ST / S 1ST ST, LOUISVILLE, KY, 40202
35682, W MAIN ST / S 5TH ST, LOUISVILLE, KY, 40202
35683, W MAIN ST / S 6TH ST, LOUISVILLE, KY, 40202
35684, W MAIN ST, LOUISVILLE, KY, NA
35685, W MANSLICK RD / 3RD STREET RD, LOUISVILLE, KY, 40214
35686, W MANSLICK RD / REGENCY PARK DR, LOUISVILLE, KY, 40272
35687, W MARKET ST / S 15TH ST, LOUISVILLE, KY, 40203
35688, W MARKET ST / S 26TH ST, LOUISVILLE, KY, 40212
35689, W MARKET ST / S 29TH ST, LOUISVILLE, KY, 40212
35690, W MARKET ST / S 33RD ST, LOUISVILLE, KY, 40212
35691, W MARKET ST / S 34TH ST, LOUISVILLE, KY, 40212
35692, W MARKET ST / S 35TH ST, LOUISVILLE, KY, 40212
35693, W MARKET ST / S 42ND ST, LOUISVILLE, KY, 40212
35694, W MARKET ST / S 5TH ST, LOUISVILLE, KY, 40202
35695, W MARKET ST / S 6TH ST, LOUISVILLE, KY, 40202
35696, W MARKET ST / S 8TH ST, LOUISVILLE, KY, 40202
35697, W MARKET ST//5TH ST, LOUISVILLE, KY, NA
35698, W MARKET ST/S 35TH ST, LOUISVILLE, KY, NA
35699, W MUHAMMAD ALI BLVD / DR W J HODGE ST, LOUISVILLE, KY, 40203
35700, W MUHAMMAD ALI BLVD / I264, LOUISVILLE, KY, 40212
35701, W MUHAMMAD ALI BLVD / I264W, LOUISVILLE, KY, 40212
35702, W MUHAMMAD ALI BLVD / S 11TH ST, LOUISVILLE, KY, 40203
35703, W MUHAMMAD ALI BLVD / S 22ND ST, LOUISVILLE, KY, 40212
35704, W MUHAMMAD ALI BLVD / S 24TH ST, LOUISVILLE, KY, 40212
35705, W MUHAMMAD ALI BLVD / S 3RD ST, LOUISVILLE, KY, 40202
35706, W OAK ST / GARVIN PL, LOUISVILLE, KY, 40203
35707, W OAK ST / S 10TH ST, LOUISVILLE, KY, 40210
35708, W OAK ST/6TH STREET, LOUISVILLE, KY, NA
35709, W OAK ST/DIXIE, LOUISVILLE, KY, NA
35710, W ORMSBY AVE / BALDWIN ST, LOUISVILLE, KY, 40210
35711, W ORMSBY AVE / S 22ND ST, LOUISVILLE, KY, 40210
35712, W ORMSBY AVE / S 6TH ST, LOUISVILLE, KY, 40203
35713, W ORMSBY AVE AND S 4TH ST, LOUISVILLE, KY, NA
35714, W PAGES LN / TALLAHATCHIE ST, LOUISVILLE, KY, 40258
35715, W PAGES LN / THOMPSON LN, LOUISVILLE, KY, 40258
35716, W PAGES LN / VICKI LN, LOUISVILLE, KY, 40258
35717, W RIVER RD / I 64 RAMP, LOUISVILLE, KY, 40202
35718, W SOUTHLAND BLVD / AUBURNDALE AVE, LOUISVILLE, KY, 40214
35719, W ST CATHERINE ST / S 3RD ST, LOUISVILLE, KY, 40203
35720, W WASHINGTON ST / N 7TH ST, LOUISVILLE, KY, 40202
35721, W WASHINGTON ST / N 8TH ST, LOUISVILLE, KY, 40202
35722, W WHITNEY AVE / CLIFF AVE, LOUISVILLE, KY, 40215
35723, W WHITNEY AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
35724, W WITHERSPOON ST / N 1ST ST, LOUISVILLE, KY, 40202
35725, WALHAMPTON DR / LANGDON DR, LOUISVILLE, KY, 40242
35726, WALLIE ANN CT / WATHEN LN, LOUISVILLE, KY, 40216
35727, WALLIE ANN CT, LOUISVILLE, KY, 40211
35728, WALNUT WAY / MAPLE WAY, LOUISVILLE, KY, 40229
35729, WALNUT WAY / WAYCROSS AVE, LOUISVILLE, KY, 40229
35730, WALNUT WAY, LOUISVILLE, KY, NA
35731, WALSER RD / WINGATE RD, LOUISVILLE, KY, 40207
35732, WALTERS LN / GRADE LN, LOUISVILLE, KY, 40219
35733, WARNOCK ST / ARTHUR ST, LOUISVILLE, KY, 40208
35734, WARNOCK ST / CRITTENDEN DR, LOUISVILLE, KY, 40217
35735, WARNOCK ST / FORT ST, LOUISVILLE, KY, 40217
35736, WARNOCK ST / S FLOYD ST, LOUISVILLE, KY, 40208
35737, WARREN AVE / BRENTWOOD AVE, LOUISVILLE, KY, 40215
35738, WARREN ST / TAYLOR AVE, LOUISVILLE, KY, 40213
35739, WASHINGTON BLVD / PROSPECT ST, LOUISVILLE, KY, 40242
35740, WATSON LN / DIXIE HWY, LOUISVILLE, KY, 40272
35741, WATTERSON TRL / WHITFIELD DR, LOUISVILLE, KY, 40299
35742, WAVERLY PARK RD / ARNOLDTOWN RD, LOUISVILLE, KY, 40214
35743, WELLER AVE / UTAH AVE, LOUISVILLE, KY, 40208
35744, WELLSWORTH AVE / HELEN ST, LOUISVILLE, KY, 40216
35745, WELLSWORTH AVE / THOMAS AVE, LOUISVILLE, KY, 40216
35746, WENDELL CIR / WENDELL WAY, LOUISVILLE, KY, 40299
35747, WESTDALE RD / LYNN WAY, LOUISVILLE, KY, 40222
