1, COMMUNITY / LARGE, LOUISVILLE, KY, 40056
438, 500 VILLAGE WEST DR, LOUISVILLE, KY, 40203
439, 5300 NEW CUT RD, LOUISVILLE, KY, 40214
440, 600 S 37TH ST, LOUISVILLE, KY, 40211
441, 7000 WILDWOOD CIR, LOUISVILLE, KY, 40291
442, 900 S SHELBY ST, LOUISVILLE, KY, 40203
443, S 18TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40203
444, 3000 S 4TH ST, LOUISVILLE, KY, 40208
445, 3900 TAYLOR BLVD, LOUISVILLE, KY, 40215
446, 5500 BARDSTOWN RD, LOUISVILLE, KY, 40291
447, 100 W MAIN ST, LOUISVILLE, KY, 40202
448, 1200 DIXIE HWY, LOUISVILLE, KY, 40210
449, 3600 PARTHENIA AVE, LOUISVILLE, KY, 40215
450, 100 BRECKENRIDGE LN, LOUISVILLE, KY, 40207
451, 100 CALDWELL ST, LOUISVILLE, KY, 40203
452, 1700 LAFAYETTE DR, LOUISVILLE, KY, 40215
453, 2700 W MARKET ST, LOUISVILLE, KY, 40212
454, 5200 GREENWOOD RD, LOUISVILLE, KY, 40258
455, 7900 FEGENBUSH LN, LOUISVILLE, KY, 40228
456, 1200 E BROADWAY, LOUISVILLE, KY, 40204
457, 1500 LONGFIELD AVE, LOUISVILLE, KY, 40215
458, 200 W JEFFERSON ST, LOUISVILLE, KY, 40202
459, 2700 W MAIN ST, LOUISVILLE, KY, 40212
460, GREENWOOD RD / TERRY RD, LOUISVILLE, KY, 40258
461, 1100 S 17TH ST, LOUISVILLE, KY, 40210
462, S 34TH ST / W MARKET ST, LOUISVILLE, KY, 40212
463, 10400 GREENTREE LN, LOUISVILLE, KY, 40272
464, 1200 GILMORE LN, LOUISVILLE, KY, 40213
465, 300 E ST CATHERINE ST, LOUISVILLE, KY, 40203
466, 4300 NEWPORT RD, LOUISVILLE, KY, 40218
467, 600 TERMINAL DR, LOUISVILLE, KY, 40209
468, 9300 BLUE LICK RD, LOUISVILLE, KY, 40229
469, 2100 BANK ST, LOUISVILLE, KY, 40212
470, 400 E MAIN ST, LOUISVILLE, KY, 40202
471, 400 WINKLER AVE, LOUISVILLE, KY, 40208
472, 4900 QUAIL CT, LOUISVILLE, KY, 40213
473, 7300 PRESTON HWY, LOUISVILLE, KY, 40219
474, 9400 SHELBYVILLE RD, LOUISVILLE, KY, 40222
475, 1000 EVERETT AVE, LOUISVILLE, KY, 40204
476, 7500 OUTER LOOP, LOUISVILLE, KY, 40228
477, 9200 DIXIE HWY, LOUISVILLE, KY, 40272
478, 1400 S SHELBY ST, LOUISVILLE, KY, 40217
479, 1600 W KENTUCKY ST, LOUISVILLE, KY, 40210
480, 2800 W MARKET ST, LOUISVILLE, KY, 40212
481, 4700 DIXIE HWY, LOUISVILLE, KY, 40216
482, 700 W OAK ST, LOUISVILLE, KY, 40203
483, 8100 WESTPORT RD, LOUISVILLE, KY, 40222
484, S 4TH ST / W BROADWAY, LOUISVILLE, KY, 40202
485, 1100 S BROOK ST, LOUISVILLE, KY, 40203
486, 2600 W MADISON ST, LOUISVILLE, KY, 40211
487, 3200 VIRGINIA AVE, LOUISVILLE, KY, 40211
488, 5000 S 3RD ST, LOUISVILLE, KY, 40214
489, 600 S 40TH ST, LOUISVILLE, KY, 40211
490, 6500 PRESTON HWY, LOUISVILLE, KY, 40219
491, BARDSTOWN RD / GRINSTEAD DR, LOUISVILLE, KY, 40204
492, 1000 MAGAZINE ST, LOUISVILLE, KY, 40203
493, 1000 ZORN AVE, LOUISVILLE, KY, 40207
494, 1200 CENTRAL AVE, LOUISVILLE, KY, 40208
495, 1200 W HILL ST, LOUISVILLE, KY, 40210
496, 1700 LIBERTY BELL WAY, LOUISVILLE, KY, 40215
497, 2900 7TH STREET RD, LOUISVILLE, KY, 40216
498, 10900 DIXIE HWY, LOUISVILLE, KY, 40272
499, 2800 S 4TH ST, LOUISVILLE, KY, 40208
500, 400 S 10TH ST, LOUISVILLE, KY, 40203
501, 7300 DIXIE HWY, LOUISVILLE, KY, 40258
502, 10000 DIXIE HWY, LOUISVILLE, KY, 40272
503, 1300 S 26TH ST, LOUISVILLE, KY, 40210
504, 3000 DUNDEE RD, LOUISVILLE, KY, 40205
505, 1300 CYPRESS ST, LOUISVILLE, KY, 40211
506, 5100 CRAFTY DR, LOUISVILLE, KY, 40213
507, 7100 BRONNER CIR, LOUISVILLE, KY, 40218
508, 3000 PORTLAND AVE, LOUISVILLE, KY, 40212
509, 4300 TAYLOR BLVD, LOUISVILLE, KY, 40215
510, 1000 S 4TH ST, LOUISVILLE, KY, 40203
511, 1100 S 32ND ST, LOUISVILLE, KY, 40211
512, 400 E LIBERTY ST, LOUISVILLE, KY, 40202
513, 4700 SOUTHERN PKY, LOUISVILLE, KY, 40214
514, 800 E CHESTNUT ST, LOUISVILLE, KY, 40204
515, S 13TH ST / W HILL ST, LOUISVILLE, KY, 40210
516, 1500 S SHELBY ST, LOUISVILLE, KY, 40217
517, 1700 HALE AVE, LOUISVILLE, KY, 40210
518, 3500 BARDSTOWN RD, LOUISVILLE, KY, 40218
519, 3600 LENTZ AVE, LOUISVILLE, KY, 40215
520, 400 SIMMONS CT, LOUISVILLE, KY, 40203
521, 5400 INDIAN OAKS CIR, LOUISVILLE, KY, 40213
522, 1100 S 2ND ST, LOUISVILLE, KY, 40203
523, 5500 HUNT CLUB LN, LOUISVILLE, KY, 40214
524, 900 S 4TH ST, LOUISVILLE, KY, 40203
525, 2900 WILSON AVE, LOUISVILLE, KY, 40211
526, 3200 SPRINGFIELD DR, LOUISVILLE, KY, 40214
527, 4100 CRAIG AVE, LOUISVILLE, KY, 40215
528, BLUE LICK RD / SOUTH PARK RD, LOUISVILLE, KY, 40219
529, 2500 ST XAVIER ST, LOUISVILLE, KY, 40212
530, 7400 TERRY RD, LOUISVILLE, KY, 40258
531, S 17TH ST / W BROADWAY, LOUISVILLE, KY, 40203
532, 1300 OLIVE ST, LOUISVILLE, KY, 40211
533, 200 E ORMSBY AVE, LOUISVILLE, KY, 40203
534, 400 E BRANDEIS AVE, LOUISVILLE, KY, 40217
535, 1000 W BROADWAY, LOUISVILLE, KY, 40203
536, 1700 DIXIE HWY, LOUISVILLE, KY, 40210
537, 2500 LINDSAY AVE, LOUISVILLE, KY, 40206
538, 3100 CHINQUAPIN LN, LOUISVILLE, KY, 40219
539, 3600 TAYLOR BLVD, LOUISVILLE, KY, 40215
540, E BROADWAY / S BROOK ST, LOUISVILLE, KY, 40202
541, 3600 CRAIG AVE, LOUISVILLE, KY, 40215
542, 4800 S 3RD ST, LOUISVILLE, KY, 40214
543, 6000 BROWNSBORO RD, LOUISVILLE, KY, 40222
544, 2500 W MAIN ST, LOUISVILLE, KY, 40212
545, 3700 LEXINGTON RD, LOUISVILLE, KY, 40207
546, 600 LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40211
547, 1400 S 1ST ST, LOUISVILLE, KY, 40208
548, 200 CECIL AVE, LOUISVILLE, KY, 40212
549, 2400 W MARKET ST, LOUISVILLE, KY, 40212
550, 300 W MAIN ST, LOUISVILLE, KY, 40202
551, 600 E ST CATHERINE ST, LOUISVILLE, KY, 40203
552, 700 S 41ST ST, LOUISVILLE, KY, 40211
553, 1000 S 2ND ST, LOUISVILLE, KY, 40203
554, 4900 EXETER AVE, LOUISVILLE, KY, 40218
555, 5200 S 3RD ST, LOUISVILLE, KY, 40214
556, 6700 STRAWBERRY LN, LOUISVILLE, KY, 40214
557, 1200 S FLOYD ST, LOUISVILLE, KY, 40203
558, 2300 BROWNSBORO RD, LOUISVILLE, KY, 40206
559, 3400 SHANKS LN, LOUISVILLE, KY, 40216
560, 5500 BAYSHORE CT, LOUISVILLE, KY, 40258
561, 700 E MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202
562, E OAK ST / S PRESTON ST, LOUISVILLE, KY, 40203
563, 10300 WESTPORT RD, LOUISVILLE, KY, 40241
564, 11500 MAPLE BROOK DR, LOUISVILLE, KY, 40241
565, 400 E MARKET ST, LOUISVILLE, KY, 40202
566, 6600 STRAWBERRY LN, LOUISVILLE, KY, 40214
567, 8500 STANDING OAK DR, LOUISVILLE, KY, 40258
568, S 26TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212
569, 1000 PLACE JAUNE, LOUISVILLE, KY, 40203
570, 2300 FRANKFORT AVE, LOUISVILLE, KY, 40206
571, 3100 TAYLOR BLVD, LOUISVILLE, KY, 40215
572, 5000 SHEPHERDSVILLE RD, LOUISVILLE, KY, 40228
573, 600 S 43RD ST, LOUISVILLE, KY, 40211
574, 8700 ZACHARY CIR, LOUISVILLE, KY, 40214
575, 1200 WELLER AVE, LOUISVILLE, KY, 40208
576, 1300 LEXINGTON RD, LOUISVILLE, KY, 40206
577, 200 N 26TH ST, LOUISVILLE, KY, 40212
578, 3800 W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212
579, 400 N 28TH ST, LOUISVILLE, KY, 40212
580, 900 S 6TH ST, LOUISVILLE, KY, 40203
581, 1400 S 7TH ST, LOUISVILLE, KY, 40208
582, 1900 BISHOP LN, LOUISVILLE, KY, 40218
583, 5600 FOX HORN CIR, LOUISVILLE, KY, 40216
584, 5900 NEW CUT RD, LOUISVILLE, KY, 40214
585, ALGONQUIN PKY / CANE RUN RD, LOUISVILLE, KY, 40211
586, 2300 W CHESTNUT ST, LOUISVILLE, KY, 40211
587, 2600 CLEVELAND BLVD, LOUISVILLE, KY, 40206
588, 3000 W BROADWAY, LOUISVILLE, KY, 40211
589, 3500 CANE RUN RD, LOUISVILLE, KY, 40211
590, 3700 KLONDIKE LN, LOUISVILLE, KY, 40218
591, S 11TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203
592, 1600 W MARKET ST, LOUISVILLE, KY, 40203
593, 3500 W BROADWAY, LOUISVILLE, KY, 40211
594, 9600 WHIPPS MILL RD, LOUISVILLE, KY, 40242
595, S 12TH ST / W HILL ST, LOUISVILLE, KY, 40210
596, S 4TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202
597, 10900 SOUTHGATE MANOR DR, LOUISVILLE, KY, 40229
598, 2600 W CHESTNUT ST, LOUISVILLE, KY, 40211
599, 3700 LENTZ AVE, LOUISVILLE, KY, 40215
600, 4700 BARDSTOWN RD, LOUISVILLE, KY, 40218
601, 500 BRENTWOOD AVE, LOUISVILLE, KY, 40215
602, 900 DIXIE HWY, LOUISVILLE, KY, 40210
603, 1 ARENA PLZ, LOUISVILLE, KY, 40202
604, 1 NICHOLS DR, LOUISVILLE, KY, 40215
605, 100 RIVER RD, LOUISVILLE, KY, 40202
606, 2200 BARDSTOWN RD, LOUISVILLE, KY, 40205
607, 300 S 1ST ST, LOUISVILLE, KY, 40202
608, 400 MARRET AVE, LOUISVILLE, KY, 40208
609, 4000 W MARKET ST, LOUISVILLE, KY, 40212
610, S 15TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40203
611, 1100 DIXIE HWY, LOUISVILLE, KY, 40210
612, 1100 EASTERN PKY, LOUISVILLE, KY, 40217
613, 1400 CLARA AVE, LOUISVILLE, KY, 40215
614, 1400 S 6TH ST, LOUISVILLE, KY, 40208
615, 2000 PORTLAND AVE, LOUISVILLE, KY, 40203
616, 3400 BARDSTOWN RD, LOUISVILLE, KY, 40218
617, 3600 MALL RD, LOUISVILLE, KY, 40218
618, 400 WEST CT, LOUISVILLE, KY, 40203
619, 7200 HILL PARK WAY, LOUISVILLE, KY, 40220
620, 1100 S 8TH ST, LOUISVILLE, KY, 40203
621, 1100 W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203
622, 1400 S 9TH ST, LOUISVILLE, KY, 40208
623, 2200 HOLIDAY MANOR CTR, LOUISVILLE, KY, 40222
624, 3300 NOE WAY, LOUISVILLE, KY, 40220
625, 400 E ORMSBY AVE, LOUISVILLE, KY, 40203
626, 1000 E ST CATHERINE ST, LOUISVILLE, KY, 40204
627, 1000 W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203
628, 1400 BERRY BLVD, LOUISVILLE, KY, 40215
629, 1500 W MARKET ST, LOUISVILLE, KY, 40203
630, 1700 DIXDALE AVE, LOUISVILLE, KY, 40210
631, 2500 W JEFFERSON ST, LOUISVILLE, KY, 40212
632, 4400 CHURCHMAN AVE, LOUISVILLE, KY, 40215
633, 9800 VIEUX CARRE DR, LOUISVILLE, KY, 40223
634, 1800 FRANKFORT AVE, LOUISVILLE, KY, 40206
635, 200 E MARKET ST, LOUISVILLE, KY, 40202
636, 3700 POWELL AVE, LOUISVILLE, KY, 40215
637, 3700 TAYLOR BLVD, LOUISVILLE, KY, 40215
638, 500 DR W J HODGE ST, LOUISVILLE, KY, 40203
639, 500 N 20TH ST, LOUISVILLE, KY, 40203
640, 12200 DIXIE HWY, LOUISVILLE, KY, 40272
641, 3100 PORTLAND AVE, LOUISVILLE, KY, 40212
642, 3600 WOODRUFF AVE, LOUISVILLE, KY, 40215
643, 3700 KAHLERT AVE, LOUISVILLE, KY, 40215
644, 3800 OBOE DR, LOUISVILLE, KY, 40216
645, 4300 LONSDALE AVE, LOUISVILLE, KY, 40215
646, BLUEGRASS AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
647, DIXIE HWY / GARLAND AVE, LOUISVILLE, KY, 40210
648, DIXIE HWY / GREENWOOD RD, LOUISVILLE, KY, 40258
649, S 24TH ST / W BROADWAY, LOUISVILLE, KY, 40211
650, S 5TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202
651, 1200 W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203
652, 2200 W JEFFERSON ST, LOUISVILLE, KY, 40212
653, 3300 BRECKENRIDGE LN, LOUISVILLE, KY, 40220
654, 3400 PRESTON HWY, LOUISVILLE, KY, 40213
655, 3600 KAHLERT AVE, LOUISVILLE, KY, 40215
656, 4600 PRESTON HWY, LOUISVILLE, KY, 40213
657, 600 S 27TH ST, LOUISVILLE, KY, 40211
658, 1100 CLAY AVE, LOUISVILLE, KY, 40219
659, 2100 PORTLAND AVE, LOUISVILLE, KY, 40212
660, 2500 S 4TH ST, LOUISVILLE, KY, 40208
661, 3400 POWELL AVE, LOUISVILLE, KY, 40215
662, 4200 FOREMAN LN, LOUISVILLE, KY, 40219
663, 500 WAINWRIGHT AVE, LOUISVILLE, KY, 40217
664, 5600 SHEPHERDSVILLE RD, LOUISVILLE, KY, 40228
665, 100 E WELLINGTON AVE, LOUISVILLE, KY, 40214
666, 1000 ROYAL GARDENS CT, LOUISVILLE, KY, 40214
667, 3400 BOHNE AVE, LOUISVILLE, KY, 40211
668, 3900 S 3RD ST, LOUISVILLE, KY, 40214
669, 7000 SHEPHERDSVILLE RD, LOUISVILLE, KY, 40219
670, 9100 BLUE LICK RD, LOUISVILLE, KY, 40219
671, E BROADWAY / S CLAY ST, LOUISVILLE, KY, 40202
672, 1600 HALE AVE, LOUISVILLE, KY, 40210
673, 3300 NEWBURG RD, LOUISVILLE, KY, 40218
674, 3400 NEWBURG RD, LOUISVILLE, KY, 40218
675, 3500 W MARKET ST, LOUISVILLE, KY, 40212
676, 4300 LYNNVIEW DR, LOUISVILLE, KY, 40216
677, 4300 SOUTHERN PKY, LOUISVILLE, KY, 40214
678, 8500 NATIONAL TPKE, LOUISVILLE, KY, 40118
679, BAXTER AVE / HIGHLAND AVE, LOUISVILLE, KY, 40204
680, 2000 BANK ST, LOUISVILLE, KY, 40203
681, 2300 DOUGLASS BLVD, LOUISVILLE, KY, 40205
682, 2500 ST CECILIA ST, LOUISVILLE, KY, 40212
683, 2700 W JEFFERSON ST, LOUISVILLE, KY, 40212
684, 300 N 27TH ST, LOUISVILLE, KY, 40212
685, 700 IOWA AVE, LOUISVILLE, KY, 40208
686, 9400 MILL BROOK RD, LOUISVILLE, KY, 40223
687, 1000 CECIL AVE, LOUISVILLE, KY, 40211
688, 1300 LILLIAN AVE, LOUISVILLE, KY, 40208
689, 1500 HEMLOCK ST, LOUISVILLE, KY, 40211
690, 300 MEADOWOOD CT, LOUISVILLE, KY, 40214
691, 3RD STREET RD / NEW CUT RD, LOUISVILLE, KY, 40214
692, 500 S 20TH ST, LOUISVILLE, KY, 40203
693, 500 S 3RD ST, LOUISVILLE, KY, 40202
694, 600 VILLAGE WEST DR, LOUISVILLE, KY, 40203
695, 900 BRENTWOOD AVE, LOUISVILLE, KY, 40215
696, 100 HARTWELL CT, LOUISVILLE, KY, 40214
697, 1400 ST JAMES CT, LOUISVILLE, KY, 40208
698, 1700 TEMPEST WAY, LOUISVILLE, KY, 40216
699, 1900 BROWNSBORO RD, LOUISVILLE, KY, 40206
700, 500 BEECHER ST, LOUISVILLE, KY, 40215
701, 6100 PRESTON HWY, LOUISVILLE, KY, 40219
702, S 15TH ST / W HILL ST, LOUISVILLE, KY, 40210
703, 2700 FRANKFORT AVE, LOUISVILLE, KY, 40206
704, 300 E MARKET ST, LOUISVILLE, KY, 40202
705, 3100 POPLAR LEVEL RD, LOUISVILLE, KY, 40217
706, 600 S 26TH ST, LOUISVILLE, KY, 40211
707, 9900 VIEUX CARRE DR, LOUISVILLE, KY, 40223
708, 1200 FISK CT, LOUISVILLE, KY, 40203
709, 2800 GARFIELD AVE, LOUISVILLE, KY, 40212
710, 300 N 23RD ST, LOUISVILLE, KY, 40212
711, 3400 KRAMERS LN, LOUISVILLE, KY, 40216
712, 3500 LODGE LN, LOUISVILLE, KY, 40218
713, 3600 POWELL AVE, LOUISVILLE, KY, 40215
714, 5500 LODEMA WAY, LOUISVILLE, KY, 40219
715, 400 N 26TH ST, LOUISVILLE, KY, 40212
716, 4100 S 5TH ST, LOUISVILLE, KY, 40214
717, 4900 MANSLICK RD, LOUISVILLE, KY, 40216
718, 1100 CEDAR CT, LOUISVILLE, KY, 40203
719, 1600 S 11TH ST, LOUISVILLE, KY, 40210
720, 2100 BASHFORD MANOR LN, LOUISVILLE, KY, 40218
721, 3700 RIVER RD, LOUISVILLE, KY, 40207
722, 400 N HITE AVE, LOUISVILLE, KY, 40206
723, 4300 BISHOP LN, LOUISVILLE, KY, 40218
724, 4700 TAYLOR BLVD, LOUISVILLE, KY, 40215
725, 5400 ANTLE DR, LOUISVILLE, KY, 40229
726, 1300 SALE AVE, LOUISVILLE, KY, 40215
727, 1600 BERRY BLVD, LOUISVILLE, KY, 40215
728, 200 WHISP BROOK CIR, LOUISVILLE, KY, 40229
729, 400 S 13TH ST, LOUISVILLE, KY, 40203
730, 900 DENMARK ST, LOUISVILLE, KY, 40215
731, 9200 WESTPORT RD, LOUISVILLE, KY, 40242
732, 300 W JEFFERSON ST, LOUISVILLE, KY, 40202
733, 500 QUEST DR, LOUISVILLE, KY, 40203
734, 700 ZORN AVE, LOUISVILLE, KY, 40206
735, 9700 STONESTREET RD, LOUISVILLE, KY, 40272
736, E BURNETT AVE / S SHELBY ST, LOUISVILLE, KY, 40217
737, 1300 CLEO AVE, LOUISVILLE, KY, 40213
738, 1500 W OAK ST, LOUISVILLE, KY, 40210
739, 2400 W BROADWAY, LOUISVILLE, KY, 40211
740, 2800 BRECKENRIDGE LN, LOUISVILLE, KY, 40220
741, 300 S 4TH ST, LOUISVILLE, KY, 40202
742, 3300 NORTHWESTERN PKY, LOUISVILLE, KY, 40212
743, 400 BAXTER AVE, LOUISVILLE, KY, 40204
744, W BROADWAY / DR W J HODGE ST, LOUISVILLE, KY, 40203
745, 10400 BROOKRIDGE VILLAGE BLVD, LOUISVILLE, KY, 40291
746, 1100 W CHESTNUT ST, LOUISVILLE, KY, 40203
747, 1500 S 4TH ST, LOUISVILLE, KY, 40208
748, 200 S 42ND ST, LOUISVILLE, KY, 40212
749, 3700 BARDSTOWN RD, LOUISVILLE, KY, 40218
750, 600 E ORMSBY AVE, LOUISVILLE, KY, 40203
751, 7000 RAGGARD RD, LOUISVILLE, KY, 40216
752, 1000 S 29TH ST, LOUISVILLE, KY, 40211
753, 1000 W MARKET ST, LOUISVILLE, KY, 40202
754, 11900 DIXIE HWY, LOUISVILLE, KY, 40272
755, 1400 POPLAR LEVEL RD, LOUISVILLE, KY, 40217
756, 2000 7TH STREET RD, LOUISVILLE, KY, 40208
757, 2100 W BROADWAY, LOUISVILLE, KY, 40211
758, 2100 W CHESTNUT ST, LOUISVILLE, KY, 40211
759, 3100 BRECKENRIDGE LN, LOUISVILLE, KY, 40220
760, 3500 S HURSTBOURNE PKY, LOUISVILLE, KY, 40299
761, 400 FARMINGTON AVE, LOUISVILLE, KY, 40209
762, 4000 PARTHENIA AVE, LOUISVILLE, KY, 40215
763, 500 E JEFFERSON ST, LOUISVILLE, KY, 40202
764, 600 S 24TH ST, LOUISVILLE, KY, 40211
765, S 13TH ST / W BROADWAY, LOUISVILLE, KY, 40203
766, 1300 LONGFIELD AVE, LOUISVILLE, KY, 40215
767, 200 YORK ST, LOUISVILLE, KY, 40203
768, 2700 PORTLAND AVE, LOUISVILLE, KY, 40212
769, 3900 W BROADWAY, LOUISVILLE, KY, 40211
770, 7800 PRESTON HWY, LOUISVILLE, KY, 40219
771, 8200 DIXIE HWY, LOUISVILLE, KY, 40258
772, 1500 DUMESNIL ST, LOUISVILLE, KY, 40210
773, 2200 ST XAVIER ST, LOUISVILLE, KY, 40212
774, 2500 ELLIOTT AVE, LOUISVILLE, KY, 40211
775, 4100 W MARKET ST, LOUISVILLE, KY, 40212
776, 5200 RUSSETT BLVD, LOUISVILLE, KY, 40218
777, 6600 SYLVANIA RD, LOUISVILLE, KY, 40258
778, 7400 STEEPLECREST CIR, LOUISVILLE, KY, 40222
779, BICKNELL AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
780, E INDIAN TRL / PRESTON HWY, LOUISVILLE, KY, 40219
781, N 2ND ST / W MAIN ST, LOUISVILLE, KY, 40202
782, S 27TH ST / W BROADWAY, LOUISVILLE, KY, 40211
783, S 4TH ST / W LIBERTY ST, LOUISVILLE, KY, 40202
784, 200 W OAK ST, LOUISVILLE, KY, 40203
785, 2800 W CHESTNUT ST, LOUISVILLE, KY, 40211
786, 3700 WHEELER AVE, LOUISVILLE, KY, 40215
787, 400 MOUNT HOLLY RD, LOUISVILLE, KY, 40118
788, 4300 OUTER LOOP, LOUISVILLE, KY, 40219
789, 4800 BRENDA DR, LOUISVILLE, KY, 40219
790, 500 N 26TH ST, LOUISVILLE, KY, 40212
791, 5600 BARDSTOWN RD, LOUISVILLE, KY, 40291
792, 6500 PARAMOUNT PARK DR, LOUISVILLE, KY, 40213
793, S 11TH ST / W BROADWAY, LOUISVILLE, KY, 40203
794, S 13TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203
795, 13400 DIXIE HWY, LOUISVILLE, KY, 40272
796, 1800 DATE ST, LOUISVILLE, KY, 40210
797, 3100 VERMONT AVE, LOUISVILLE, KY, 40211
798, 3600 FINCASTLE RD, LOUISVILLE, KY, 40213
799, 800 BRENTWOOD AVE, LOUISVILLE, KY, 40215
800, 800 SUTCLIFFE AVE, LOUISVILLE, KY, 40211
801, DIXIE HWY / PENDLETON RD, LOUISVILLE, KY, 40272
802, 1400 BEECH ST, LOUISVILLE, KY, 40211
803, 1500 BERRY BLVD, LOUISVILLE, KY, 40215
804, 2200 W MARKET ST, LOUISVILLE, KY, 40212
805, 2400 LINDBERGH DR, LOUISVILLE, KY, 40208
806, 4200 TAYLOR BLVD, LOUISVILLE, KY, 40215
807, 5500 INDIAN OAKS CIR, LOUISVILLE, KY, 40219
808, 700 W MAIN ST, LOUISVILLE, KY, 40202
809, 9500 LAMBORNE BLVD, LOUISVILLE, KY, 40272
810, BARDSTOWN RD / S HURSTBOURNE PKY, LOUISVILLE, KY, 40291
811, N 35TH ST / BANK ST, LOUISVILLE, KY, 40212
812, 1000 S 3RD ST, LOUISVILLE, KY, 40203
813, 1300 LEXINGTON RD, LOUISVILLE, KY, 40204
814, 2200 GOLDSMITH LN, LOUISVILLE, KY, 40218
815, 4100 HAZELWOOD AVE, LOUISVILLE, KY, 40215
816, 4100 OUTER LOOP, LOUISVILLE, KY, 40219
817, 600 ATWOOD ST, LOUISVILLE, KY, 40217
818, 900 E BROADWAY, LOUISVILLE, KY, 40204
819, N 22ND ST / BANK ST, LOUISVILLE, KY, 40203
820, 1800 GREENWOOD AVE, LOUISVILLE, KY, 40210
821, 2500 W CHESTNUT ST, LOUISVILLE, KY, 40211
822, 2900 BRINKEY WAY, LOUISVILLE, KY, 40218
823, 300 IDLEWYLDE DR, LOUISVILLE, KY, 40206
824, 4100 S 3RD ST, LOUISVILLE, KY, 40214
825, 7200 YORKTOWN RD, LOUISVILLE, KY, 40214
826, 900 CHARLES ST, LOUISVILLE, KY, 40204
827, 1300 CLARA AVE, LOUISVILLE, KY, 40215
828, 1300 S 1ST ST, LOUISVILLE, KY, 40208
829, 3200 CHINQUAPIN LN, LOUISVILLE, KY, 40219
830, 400 M ST, LOUISVILLE, KY, 40208
831, 500 W ST CATHERINE ST, LOUISVILLE, KY, 40203
832, 5000 WABASH PL, LOUISVILLE, KY, 40214
833, 7400 JEFFERSON BLVD, LOUISVILLE, KY, 40219
834, 900 BARRET AVE, LOUISVILLE, KY, 40204
835, S 13TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40203
836, 2200 GERALD CT, LOUISVILLE, KY, 40218
837, 2200 W MADISON ST, LOUISVILLE, KY, 40211
838, 2700 GRAND AVE, LOUISVILLE, KY, 40211
839, 5400 BARDSTOWN RD, LOUISVILLE, KY, 40291
840, 12600 E ORELL RD, LOUISVILLE, KY, 40272
841, 12600 TAYLORSVILLE RD, LOUISVILLE, KY, 40299
842, 1400 S FLOYD ST, LOUISVILLE, KY, 40208
843, 1500 W JEFFERSON ST, LOUISVILLE, KY, 40203
844, 4200 FLINTLOCK DR, LOUISVILLE, KY, 40216
845, 500 LILLY AVE, LOUISVILLE, KY, 40217
846, 500 PHILLIPS LN, LOUISVILLE, KY, 40209
847, S 5TH ST / W CHESTNUT ST, LOUISVILLE, KY, 40202
848, S 5TH ST / W LIBERTY ST, LOUISVILLE, KY, 40202
849, WF - GREAT LAWN, LOUISVILLE, KY, 40202
850, 11300 BOLD FORBES BLVD, LOUISVILLE, KY, 40272
851, 11300 POWHATAN CT, LOUISVILLE, KY, 40241
852, 1200 DAHL RD, LOUISVILLE, KY, 40213
853, 1500 ARLING AVE, LOUISVILLE, KY, 40215
854, 200 N 17TH ST, LOUISVILLE, KY, 40203
855, 2600 PORTLAND AVE, LOUISVILLE, KY, 40212
856, 2700 RODMAN ST, LOUISVILLE, KY, 40208
857, 3100 ST ANTHONY GARDENS DR, LOUISVILLE, KY, 40214
858, 5000 SHELBYVILLE RD, LOUISVILLE, KY, 40207
859, 5500 YUCCA LN, LOUISVILLE, KY, 40258
860, 600 LYNN ST, LOUISVILLE, KY, 40217
861, 700 S CLAY ST, LOUISVILLE, KY, 40203
862, 900 S FLOYD ST, LOUISVILLE, KY, 40203
863, 1000 BARRET AVE, LOUISVILLE, KY, 40204
864, 1000 E KENTUCKY ST, LOUISVILLE, KY, 40204
865, 1600 S 3RD ST, LOUISVILLE, KY, 40208
866, 3400 GLENDALE AVE, LOUISVILLE, KY, 40215
867, 3600 GEORGETOWN PL, LOUISVILLE, KY, 40215
868, 500 EASTERN PKY, LOUISVILLE, KY, 40217
869, 5100 QUAIL CT, LOUISVILLE, KY, 40213
870, 700 BURTON AVE, LOUISVILLE, KY, 40208
871, 700 S SHELBY ST, LOUISVILLE, KY, 40203
872, 7000 BRONNER CIR, LOUISVILLE, KY, 40218
873, 100 E MARKET ST, LOUISVILLE, KY, 40202
874, 1400 ARCADE AVE, LOUISVILLE, KY, 40215
875, 2200 W MAIN ST, LOUISVILLE, KY, 40212
