street,City,State,Latitude,Longitude,Accuracy Score,Accuracy Type,County,Zip,Country,Source
2300 EAST LOOP INTERSTATE 820 820 SOUTH,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
2800 AVE A,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
2800 AVE K,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
2800 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.715375,-97.229369,0.2,rooftop,Tarrant County,76119,US,Tarrant County
2900 EAST LOOP INTERSTATE 820 820 SOUTH,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
3000 LAS VEGAS TR,Fort Worth,TX,32.732037,-97.468352,1,rooftop,Tarrant County,76116,US,Tarrant County
3100 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.661016,-97.283084,1,range_interpolation,Tarrant County,76140,US,TIGER/Line® dataset from the US Census Bureau
3200 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3500 AVE J,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3600 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.710789,-97.231622,0.2,rooftop,Tarrant County,76119,US,Tarrant County
4000 VERNON WAY,Fort Worth,TX,32.909575,-97.29985,1,rooftop,Tarrant County,76244,US,Tarrant County
4100 AVE H,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
4100 HIGHWAY,Fort Worth,TX,32.743094,-97.426847,0.33,place,Tarrant County,76116,US,TIGER/Line® dataset from the US Census Bureau
4500 BUTTERFLY WAY,Fort Worth,TX,32.924399,-97.288926,1,rooftop,Tarrant County,76244,US,Tarrant County
4600 SOUTH RIDGE TE,Fort Worth,TX,32.681015,-97.372638,1,range_interpolation,Tarrant County,76133,US,TIGER/Line® dataset from the US Census Bureau
4700 BOOTHBAY WAY,Fort Worth,TX,32.855427,-97.392241,1,rooftop,Tarrant County,76179,US,Tarrant County
4800 MILLER AV,Fort Worth,TX,32.692044,-97.26307,1,range_interpolation,Tarrant County,76119,US,TIGER/Line® dataset from the US Census Bureau
5000 GLEN PARK DR,Fort Worth,TX,32.687511,-97.275509,1,range_interpolation,Tarrant County,76119,US,TIGER/Line® dataset from the US Census Bureau
5500 OURAY PA,Fort Worth,TX,32.965006,-97.182261,0.8,street_center,Tarrant County,76262,US,TIGER/Line® dataset from the US Census Bureau
7000 ASHBOURNE WAY,Fort Worth,TX,32.640939,-97.356521,1,rooftop,Tarrant County,76133,US,Tarrant County
7100 E SOUTH MEADOW DR,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
7200 E SOUTH MEADOW DR,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
8200 CALMONT AV,Fort Worth,TX,32.733785,-97.456406,1,range_interpolation,Tarrant County,76116,US,TIGER/Line® dataset from the US Census Bureau
8900 FORUM WAY,Fort Worth,TX,32.624188,-97.312191,1,rooftop,Tarrant County,76140,US,Tarrant County
100 ALTAMESA INTERSTATE 35W N,Fort Worth,TX,32.784066,-97.563738,1,rooftop,Parker County,76108,US,Statewide Partial
14500 JFK BL,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
1600 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
1600 WATERS ST,Fort Worth,TX,32.750872,-97.317135,1,range_interpolation,Tarrant County,76102,US,TIGER/Line® dataset from the US Census Bureau
1900 SAN RAFAEL ST,Fort Worth,TX,32.632641,-97.346099,1,range_interpolation,Tarrant County,76134,US,TIGER/Line® dataset from the US Census Bureau
200 PENNSYLVANIA AV,Fort Worth,TX,32.737799,-97.327359,1,range_interpolation,Tarrant County,76104,US,TIGER/Line® dataset from the US Census Bureau
2100 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.787452,-97.214806,0.2,rooftop,Tarrant County,76119,US,Tarrant County
2100 S INTERSTATE 820 FW,Fort Worth,TX,0,0,0,,,,,
2400 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.838788,-97.319826,1,range_interpolation,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
2500 RODEO PL,Fort Worth,TX,32.690647,-97.292112,1,range_interpolation,Tarrant County,76119,US,TIGER/Line® dataset from the US Census Bureau
2600 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
2700 AVE G,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
2800 SOUTH HILLS AV,Fort Worth,TX,32.791301,-97.306151,0.5,rooftop,Tarrant County,76111,US,Tarrant County
300 7 OLD HWY,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3000 AVE E,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3100 AVE J,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3100 AVE L,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3300 AVE K,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3300 AVE M,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3400 AVE G,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3400 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.721542,-97.483181,0.2,rooftop,Tarrant County,76126,US,Tarrant County
3700 AVE G,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3700 AVE K,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3800 AVE H,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3900 AVE J,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
4100 CUMBERLAND PA,Fort Worth,TX,32.704466,-97.413778,1,range_interpolation,Tarrant County,76116,US,TIGER/Line® dataset from the US Census Bureau
4100 E AUDRAS WAY,Fort Worth,TX,32.703757,-97.414532,0.9,range_interpolation,Tarrant County,76116,US,TIGER/Line® dataset from the US Census Bureau
4900 MELODYLANE ST,Fort Worth,TX,32.853199,-97.288144,0.33,place,Tarrant County,76137,US,TIGER/Line® dataset from the US Census Bureau
5400 RAMEY AV,Fort Worth,TX,32.720918,-97.239458,1,rooftop,Tarrant County,76105,US,Tarrant County
5500 BONNELL AVE,Fort Worth,TX,32.723831,-97.404574,1,rooftop,Tarrant County,76107,US,Tarrant County
5500 S OURAY PA,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
5700 REMINGTON CI,Fort Worth,TX,32.674835,-97.41464,0.9,range_interpolation,Tarrant County,76132,US,TIGER/Line® dataset from the US Census Bureau
600 ADMIRALTY WAY,Fort Worth,TX,32.751752,-97.495134,1,range_interpolation,Tarrant County,76108,US,TIGER/Line® dataset from the US Census Bureau
600 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.667904,-97.313273,1,range_interpolation,Tarrant County,76134,US,TIGER/Line® dataset from the US Census Bureau
6900 SPRING VALLEY WAY,Fort Worth,TX,32.65794,-97.412991,1,rooftop,Tarrant County,76132,US,Tarrant County
8000 DUSTY WAY,Fort Worth,TX,32.62652,-97.406553,1,rooftop,Tarrant County,76123,US,Tarrant County
8600 CHELAN WAY,Fort Worth,TX,32.897235,-97.299792,1,range_interpolation,Tarrant County,76244,US,TIGER/Line® dataset from the US Census Bureau
10200 WESTWARD DR,Fort Worth,TX,32.753632,-97.504781,1,range_interpolation,Tarrant County,76108,US,TIGER/Line® dataset from the US Census Bureau
10600 COPPERWOOD LN,Fort Worth,TX,32.602627,-97.299386,1,rooftop,Tarrant County,76140,US,Tarrant County
11000 FUMAR LN,Fort Worth,TX,32.935253,-97.296192,1,rooftop,Tarrant County,76244,US,Tarrant County
1200 BARREL RU,Fort Worth,TX,32.885955,-97.403891,0.8,street_center,Tarrant County,76179,US,TIGER/Line® dataset from the US Census Bureau
1300 GAINSBOROUGH WAY,Fort Worth,TX,32.626718,-97.341051,1,range_interpolation,Tarrant County,76134,US,TIGER/Line® dataset from the US Census Bureau
1400 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
1800 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.666395,-97.346756,1,range_interpolation,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
1900 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
200 NORTH SOUTH FW,Fort Worth,TX,32.764748,-97.316231,1,range_interpolation,Tarrant County,76102,US,TIGER/Line® dataset from the US Census Bureau
2000 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.839284,-97.32857,1,range_interpolation,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
2100 E INTERSTATE 820 FREEWAY S,Fort Worth,TX,0,0,0,,,,,
2200 E INTERSTATE 820 FREEWAY,Fort Worth,TX,32.828308,-97.379958,0.8,street_center,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
2300 NORTH SOUTH FW,Fort Worth,TX,32.739412,-97.352336,0.5,rooftop,Tarrant County,76102,US,Tarrant County
2400 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
2400 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.828317,-97.383383,1,range_interpolation,Tarrant County,76179,US,TIGER/Line® dataset from the US Census Bureau
2700 MEADERS AVE,Fort Worth,TX,32.74149,-97.230864,1,rooftop,Tarrant County,76112,US,Tarrant County
2800 TRAVIS AVE,Fort Worth,TX,32.711205,-97.333262,1,rooftop,Tarrant County,76110,US,Tarrant County
2900 SANTA FE TRL,Fort Worth,TX,32.733063,-97.465778,1,rooftop,Tarrant County,76116,US,Tarrant County
2900 SOUTH HILLS AV,Fort Worth,TX,32.697464,-97.358377,1,range_interpolation,Tarrant County,76109,US,TIGER/Line® dataset from the US Census Bureau
3000 AVE L,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3000 FOREST AVE,Fort Worth,TX,32.736134,-97.219893,1,rooftop,Tarrant County,76112,US,Tarrant County
3200 BONAVENTURE BL,Fort Worth,TX,32.642699,-97.272614,0.6,rooftop,Tarrant County,76140,US,Tarrant County
3300 AVE H,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3300 YUCCA AVE,Fort Worth,TX,32.78076,-97.299253,1,range_interpolation,Tarrant County,76111,US,TIGER/Line® dataset from the US Census Bureau
3400 DEEN RD,Fort Worth,TX,32.803865,-97.325758,1,range_interpolation,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
3600 AVE J,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3700 AVE M,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
400 7 OLD HIGHWAY,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
4100 DUNCAN WAY,Fort Worth,TX,32.919259,-97.297199,1,rooftop,Tarrant County,76244,US,Tarrant County
4100 STAGHORN CIR N,Fort Worth,TX,32.882825,-97.298058,1,rooftop,Tarrant County,76137,US,Tarrant County
4200 LONGMEADOW WAY,Fort Worth,TX,32.631907,-97.386138,1,range_interpolation,Tarrant County,76133,US,TIGER/Line® dataset from the US Census Bureau
4200 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.677101,-97.383849,1,range_interpolation,Tarrant County,76133,US,TIGER/Line® dataset from the US Census Bureau
4300 ROSEBRIAR WAY,Fort Worth,TX,32.920051,-97.29332,1,rooftop,Tarrant County,76244,US,Tarrant County
4300 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.698582,-97.237808,0.2,rooftop,Tarrant County,76119,US,Tarrant County
4700 WINEBERRY DR,Fort Worth,TX,32.869394,-97.283879,1,rooftop,Tarrant County,76137,US,Tarrant County
4900 EXPOSITION WAY,Fort Worth,TX,32.915936,-97.279973,1,rooftop,Tarrant County,76244,US,Tarrant County
4900 OBRIEN WAY,Fort Worth,TX,32.908829,-97.281071,1,rooftop,Tarrant County,76244,US,Tarrant County
4900 SOUTH RIDGE TE,Fort Worth,TX,32.70203,-97.46963,0.6,rooftop,Tarrant County,76126,US,Tarrant County
500 NORTH SOUTH FW,Fort Worth,TX,32.739343,-97.321234,0.6,rooftop,Tarrant County,76104,US,Tarrant County
5200 MCCART AV,Fort Worth,TX,32.670397,-97.353797,0.9,rooftop,Tarrant County,76115,US,Tarrant County
5200 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.683878,-97.243779,0.2,rooftop,Tarrant County,76119,US,Tarrant County
5500 CURZON AVE,Fort Worth,TX,32.730463,-97.404471,1,rooftop,Tarrant County,76107,US,Tarrant County
5500 DECORY RD,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
5900 DIRKS RD,Fort Worth,TX,32.645674,-97.417036,1,range_interpolation,Tarrant County,76132,US,TIGER/Line® dataset from the US Census Bureau
6600 ROXANNE WAY,Fort Worth,TX,32.826036,-97.429333,1,rooftop,Tarrant County,76135,US,Tarrant County
700 ADMIRALTY WAY,Fort Worth,TX,32.750544,-97.497067,1,rooftop,Tarrant County,76108,US,Tarrant County
7000 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.797376,-97.440208,0.9,range_interpolation,Tarrant County,76135,US,TIGER/Line® dataset from the US Census Bureau
7100 ASHBOURNE WAY,Fort Worth,TX,32.639688,-97.356535,1,rooftop,Tarrant County,76133,US,Tarrant County
800 E INTERSTATE 820 FREEWAY,Fort Worth,TX,0,0,0,,,,,
8600 CALMONT AV,Fort Worth,TX,32.735935,-97.467242,1,rooftop,Tarrant County,76116,US,Tarrant County
8700 SUMTER WAY,Fort Worth,TX,32.899088,-97.304073,1,rooftop,Tarrant County,76244,US,Tarrant County
8800 FORUM WAY,Fort Worth,TX,32.625178,-97.312181,1,rooftop,Tarrant County,76140,US,Tarrant County
900 CALHOUN ST,Fort Worth,TX,32.752642,-97.327879,1,range_interpolation,Tarrant County,76102,US,TIGER/Line® dataset from the US Census Bureau
900 WEILER BL,Fort Worth,TX,32.734859,-97.233969,1,range_interpolation,Tarrant County,76112,US,TIGER/Line® dataset from the US Census Bureau
100 ALTAMESA INTERSTATE 35W S,Fort Worth,TX,32.784066,-97.563738,1,rooftop,Parker County,76108,US,Statewide Partial
100 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.667295,-97.314749,1,range_interpolation,Tarrant County,76134,US,TIGER/Line® dataset from the US Census Bureau
100 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.666659,-97.324064,1,range_interpolation,Tarrant County,76133,US,TIGER/Line® dataset from the US Census Bureau
1000 ALCATEL LN,Fort Worth,TX,32.772958,-97.331705,1,range_interpolation,Tarrant County,76102,US,TIGER/Line® dataset from the US Census Bureau
1000 WEST FREEWAY SERVICE ROAD,Fort Worth,TX,32.734035,-97.321071,0.9,rooftop,Tarrant County,76104,US,Tarrant County
11000 VIEJO LN,Fort Worth,TX,32.935253,-97.296192,1,rooftop,Tarrant County,76244,US,Tarrant County
1200 VERBENA ST,Fort Worth,TX,32.732888,-97.311626,1,rooftop,Tarrant County,76104,US,Tarrant County
1300 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
1300 PENNSYLVANIA AV,Fort Worth,TX,32.738339,-97.339312,1,range_interpolation,Tarrant County,76104,US,TIGER/Line® dataset from the US Census Bureau
1400 S FORUM WAY,Fort Worth,TX,32.62156,-97.306927,1,range_interpolation,Tarrant County,76140,US,TIGER/Line® dataset from the US Census Bureau
14100 GOLD SEEKER WAY,Fort Worth,TX,32.985926,-97.393641,1,rooftop,Tarrant County,76052,US,Tarrant County
14300 CENTREPORT LANDING CI,Fort Worth,TX,32.818921,-97.058191,1,range_interpolation,Tarrant County,76155,US,TIGER/Line® dataset from the US Census Bureau
14600 COTTAGEVIEW LN,Fort Worth,TX,32.820852,-97.052759,1,range_interpolation,Tarrant County,76155,US,TIGER/Line® dataset from the US Census Bureau
14900 FAA BL,Fort Worth,TX,32.832214,-97.042774,1,range_interpolation,Tarrant County,76155,US,TIGER/Line® dataset from the US Census Bureau
1600 FOUR SEASONS LN,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
1900 FOXFIELD WAY,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
200 FLORENCE ST,Fort Worth,TX,32.753719,-97.337714,1,range_interpolation,Tarrant County,76102,US,TIGER/Line® dataset from the US Census Bureau
2200 JACKSBORO HW,Fort Worth,TX,32.783163,-97.377428,1,range_interpolation,Tarrant County,76114,US,TIGER/Line® dataset from the US Census Bureau
2200 WEST LOOP INTERSTATE 820 820 NORTH,Fort Worth,TX,32.726778,-97.480155,0.8,street_center,Tarrant County,76116,US,TIGER/Line® dataset from the US Census Bureau
2300 EAST LOOP INTERSTATE 820 820 NORTH,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
2500 NW JIM WRIGHT FW,Fort Worth,TX,32.837623,-97.357646,0.8,street_center,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
2600 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.797508,-97.212312,0.9,range_interpolation,Tarrant County,76118,US,TIGER/Line® dataset from the US Census Bureau
2700 EAST LOOP INTERSTATE 820 820 SOUTH,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
2700 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.664455,-97.292001,1,range_interpolation,Tarrant County,76140,US,TIGER/Line® dataset from the US Census Bureau
300 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.757279,-97.479675,0.2,rooftop,Tarrant County,76108,US,Tarrant County
3000 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.714648,-97.229307,0.2,rooftop,Tarrant County,76119,US,Tarrant County
3000 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.714648,-97.229307,0.2,rooftop,Tarrant County,76119,US,Tarrant County
3100 AVE G,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3200 SOUTH HILLS AV,Fort Worth,TX,32.696159,-97.36354,1,range_interpolation,Tarrant County,76109,US,TIGER/Line® dataset from the US Census Bureau
3200 WEST LOOP INTERSTATE 820 820 SOUTH,Fort Worth,TX,32.713742,-97.229536,0.2,rooftop,Tarrant County,76119,US,Tarrant County
3300 WEST FREEWAY SERVICE ROAD,Fort Worth,TX,32.804218,-97.316146,0.9,rooftop,Tarrant County,76111,US,Tarrant County
3400 SPYGLASS WAY,Fort Worth,TX,32.859546,-97.309401,1,range_interpolation,Tarrant County,76137,US,TIGER/Line® dataset from the US Census Bureau
3400 WALTON AVE,Fort Worth,TX,32.663177,-97.363552,1,rooftop,Tarrant County,76133,US,Tarrant County
3500 FURLONG WAY,Fort Worth,TX,32.955104,-97.284433,1,rooftop,Tarrant County,76244,US,Tarrant County
3500 SAINT VINCENT RD,Fort Worth,TX,32.60828,-97.3719,1,range_interpolation,Tarrant County,76123,US,TIGER/Line® dataset from the US Census Bureau
3500 STONE CREEK WAY,Fort Worth,TX,32.858232,-97.306601,1,rooftop,Tarrant County,76137,US,Tarrant County
3600 AVE G,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3600 AVE H,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3600 AVE K,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3700 AVE H,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3800 HUNTERS POINT WAY,Fort Worth,TX,32.614063,-97.387175,0.8,street_center,Tarrant County,76123,US,TIGER/Line® dataset from the US Census Bureau
3800 SOUTH HILLS CIR,Fort Worth,TX,32.791065,-97.292981,0.5,rooftop,Tarrant County,76111,US,Tarrant County
3900 VERNON WAY,Fort Worth,TX,32.909567,-97.301409,1,rooftop,Tarrant County,76244,US,Tarrant County
4300 LONGMEADOW WAY,Fort Worth,TX,32.630343,-97.389477,1,range_interpolation,Tarrant County,76133,US,TIGER/Line® dataset from the US Census Bureau
4300 TRAIL LAKE DR,Fort Worth,TX,32.686478,-97.373987,1,range_interpolation,Tarrant County,76109,US,TIGER/Line® dataset from the US Census Bureau
4500 WEST LOOP INTERSTATE 820 820 SOUTH,Fort Worth,TX,32.7104,-97.487544,0.2,rooftop,Tarrant County,76126,US,Tarrant County
4600 WOLF RIDGE WAY,Fort Worth,TX,32.919757,-97.287558,1,rooftop,Tarrant County,76244,US,Tarrant County
4700 SALMON RUN WAY,Fort Worth,TX,32.882959,-97.286085,1,rooftop,Tarrant County,76137,US,Tarrant County
5200 ALTAIR BL,Fort Worth,TX,32.68732,-97.382421,0.8,street_center,Tarrant County,76109,US,TIGER/Line® dataset from the US Census Bureau
5400 CAMPUS DR,Fort Worth,TX,32.679099,-97.296684,0.8,street_center,Tarrant County,76119,US,TIGER/Line® dataset from the US Census Bureau
5400 S INTERSTATE 820 FW,Fort Worth,TX,0,0,0,,,,,
6000 MELANIE DR,Fort Worth,TX,32.852026,-97.33042,1,rooftop,Tarrant County,76131,US,Tarrant County
6400 WRIGLEY WAY,Fort Worth,TX,32.652727,-97.39902,1,rooftop,Tarrant County,76133,US,Tarrant County
7100 SOUTH RIDGE TRL,Fort Worth,TX,32.637823,-97.373195,1,range_interpolation,Tarrant County,76133,US,TIGER/Line® dataset from the US Census Bureau
7300 AVINGTON WAY,Fort Worth,TX,32.637149,-97.354834,1,rooftop,Tarrant County,76133,US,Tarrant County
7300 NORTH FREEWAY SERVICE ROAD,Fort Worth,TX,32.639001,-97.322559,0.9,rooftop,Tarrant County,76134,US,Tarrant County
7300 OLD MILL RU,Fort Worth,TX,32.639091,-97.382109,1,range_interpolation,Tarrant County,76133,US,TIGER/Line® dataset from the US Census Bureau
7500 WHIRLWIND DR,Fort Worth,TX,32.633044,-97.373435,1,range_interpolation,Tarrant County,76133,US,TIGER/Line® dataset from the US Census Bureau
7500 WYCLIFF ST,Fort Worth,TX,32.701446,-97.446887,1,rooftop,Tarrant County,76116,US,Tarrant County
7700 WEST FREEWAY SERVICE ROAD,Fort Worth,TX,32.761073,-97.187868,0.9,rooftop,Tarrant County,76120,US,Tarrant County
800 N JIM WRIGHT FW,Fort Worth,TX,32.724121,-97.423728,1,rooftop,Tarrant County,76108,US,Tarrant County
800 TAYLOR ST,Fort Worth,TX,32.751375,-97.33227,1,range_interpolation,Tarrant County,76102,US,TIGER/Line® dataset from the US Census Bureau
8500 MARIETTA CT,Fort Worth,TX,32.616515,-97.369264,1,range_interpolation,Tarrant County,76123,US,TIGER/Line® dataset from the US Census Bureau
900 MOSAIC DR,Fort Worth,TX,32.838926,-97.376807,1,rooftop,Tarrant County,76179,US,Tarrant County
100 BEACH NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.88955,-97.143409,0.33,place,Tarrant County,76034,US,TIGER/Line® dataset from the US Census Bureau
100 ENERGY WAY,Fort Worth,TX,32.752995,-97.36409,1,rooftop,Tarrant County,76102,US,Tarrant County
100 SPUR 280 4TH,Fort Worth,TX,32.974342,-97.099086,0.8,street_center,Tarrant County,76051,US,TIGER/Line® dataset from the US Census Bureau
1000 HOUSTON ST,Fort Worth,TX,32.750761,-97.329893,1,rooftop,Tarrant County,76102,US,Tarrant County
10000 WEST FREEWAY SERVICE ROAD,Fort Worth,TX,32.714003,-97.320298,0.8,street_center,Tarrant County,76104,US,TIGER/Line® dataset from the US Census Bureau
11000 OLD DENTON RD,Fort Worth,TX,32.942078,-97.2979,0.8,street_center,Tarrant County,76248,US,TIGER/Line® dataset from the US Census Bureau
11800 INDIAN PONY WAY,Fort Worth,TX,32.767232,-97.521571,0.8,street_center,Tarrant County,76108,US,TIGER/Line® dataset from the US Census Bureau
1300 SAND VERBENA WAY,Fort Worth,TX,32.914825,-97.339507,1,rooftop,Tarrant County,76131,US,Tarrant County
1400 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.759753,-97.214163,0.9,range_interpolation,Tarrant County,76112,US,TIGER/Line® dataset from the US Census Bureau
1500 AVE E,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
1500 CREEKSTONE CT,Fort Worth,TX,32.757211,-97.186135,1,rooftop,Tarrant County,76112,US,Tarrant County
1500 N JIM WRIGHT FW,Fort Worth,TX,32.784245,-97.464114,1,rooftop,Tarrant County,76108,US,Tarrant County
1600 CAROLINA RIDGE WAY,Fort Worth,TX,32.617845,-97.358737,0.8,street_center,Tarrant County,76123,US,TIGER/Line® dataset from the US Census Bureau
1600 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.793287,-97.212447,1,range_interpolation,Tarrant County,76118,US,TIGER/Line® dataset from the US Census Bureau
16600 WINDTHORST WAY,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
16800 PINERY WAY,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
200 7 OLD HIGHWAY,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
200 BERKSHIRE LN,Fort Worth,TX,32.646513,-97.325507,1,rooftop,Tarrant County,76134,US,Tarrant County
200 BLEVINS ST,Fort Worth,TX,32.766152,-97.300562,1,range_interpolation,Tarrant County,76111,US,TIGER/Line® dataset from the US Census Bureau
