Block Address,Block Address Expanded,City,State,n
13700 BLOCK  RANCH HORSE RU,13700 RANCH HORSE RU,Fort Worth,TX,2
13700 BLOCK 2 PINNACLE CI W 13,13700 2 PINNACLE CI W,Fort Worth,TX,1
13800 BLOCK  AVIATOR WA,13800 AVIATOR WAY,Fort Worth,TX,1
13800 BLOCK  HIGH MESA RD,13800 HIGH MESA RD,Fort Worth,TX,1
13800 BLOCK  HUNTER JAKE DR,13800 HUNTER JAKE DR,Fort Worth,TX,1
13800 BLOCK  LOST SPURS RD,13800 LOST SPURS RD,Fort Worth,TX,1
13800 BLOCK  RANCH HORSE RU,13800 RANCH HORSE RU,Fort Worth,TX,3
13800 BLOCK  RUSTLER PASS RANCH RD,13800 RUSTLER PASS RANCH RD,Fort Worth,TX,1
13800 BLOCK  SONTERRA RANCH RD,13800 SONTERRA RANCH RD,Fort Worth,TX,1
13800 BLOCK  VALLEY RANCH RD,13800 VALLEY RANCH RD,Fort Worth,TX,1
13800 BLOCK D TRINITY BL,13800 TRINITY BL,Fort Worth,TX,4
13800 BLOCK FM,13800 FM,Fort Worth,TX,1
13900 BLOCK  AVIATOR WAY,13900 AVIATOR WAY,Fort Worth,TX,1
13900 BLOCK  LOST SPURS RD,13900 LOST SPURS RD,Fort Worth,TX,1
13900 BLOCK  NORTH FWY SR NB,13900 NORTH FREEWAY SERVICE ROAD,Fort Worth,TX,2
13900 BLOCK  RUSTLER PASS RANCH RD,13900 RUSTLER PASS RANCH RD,Fort Worth,TX,1
13900 BLOCK  VILLAGE WAY,13900 VILLAGE WAY,Fort Worth,TX,1
13900 BLOCK D HAMMER HE,13900 HAMMER HE,Fort Worth,TX,11
1400 BLOCK  5TH AVE,1400 5TH AVE,Fort Worth,TX,3
1400 BLOCK  6TH AVE,1400 6TH AVE,Fort Worth,TX,1
1400 BLOCK  8TH AV,1400 8TH AV,Fort Worth,TX,1
1400 BLOCK  ALAMO BELL WA,1400 ALAMO BELL WAY,Fort Worth,TX,4
1400 BLOCK  ALSTON AVE,1400 ALSTON AVE,Fort Worth,TX,2
1400 BLOCK  ALTMAN DR,1400 ALTMAN DR,Fort Worth,TX,1
1400 BLOCK  ANDREW AVE,1400 ANDREW AVE,Fort Worth,TX,2
1400 BLOCK  ASH CRESCENT ST,1400 ASH CRESCENT ST,Fort Worth,TX,1
1400 BLOCK  AVE E,1400 AVE E,Fort Worth,TX,27
1400 BLOCK  BARRON LN,1400 BARRON LN,Fort Worth,TX,5
1400 BLOCK  BAURLINE ST,1400 BAURLINE ST,Fort Worth,TX,1
1400 BLOCK  BEAUMONT ST,1400 BEAUMONT ST,Fort Worth,TX,2
1400 BLOCK  BELLE PL,1400 BELLE PL,Fort Worth,TX,1
1400 BLOCK  BINKLEY ST,1400 BINKLEY ST,Fort Worth,TX,1
1400 BLOCK  BLUEBONNET DR,1400 BLUEBONNET DR,Fort Worth,TX,3
1400 BLOCK  BLUFF OAK WA,1400 BLUFF OAK WAY,Fort Worth,TX,6
1400 BLOCK  BRIAR MEADOW DR,1400 BRIAR MEADOW DR,Fort Worth,TX,1
1400 BLOCK  BROWNFORD DR,1400 BROWNFORD DR,Fort Worth,TX,1
1400 BLOCK  BURMEISTER RD,1400 BURMEISTER RD,Fort Worth,TX,5
1400 BLOCK  CAIRN CI,1400 CAIRN CI,Fort Worth,TX,1
1400 BLOCK  CIRCLE DR,1400 CIRCLE DR,Fort Worth,TX,3
1400 BLOCK  CLOVER LN,1400 CLOVER LN,Fort Worth,TX,1
1400 BLOCK  CREOSOTE DR,1400 CREOSOTE DR,Fort Worth,TX,1
1400 BLOCK  EAST FWY,1400 EAST FREEWAY,Fort Worth,TX,3
1400 BLOCK  EAST LOOP 820,1400 EAST LOOP INTERSTATE 820,Fort Worth,TX,8
1400 BLOCK  ELAINE PL,1400 ELAINE PL,Fort Worth,TX,1
1400 BLOCK  ELKFORD LN,1400 ELKFORD LN,Fort Worth,TX,1
1400 BLOCK  ELLIS AV,1400 ELLIS AV,Fort Worth,TX,1
1400 BLOCK  ELMWOOD AV,1400 ELMWOOD AV,Fort Worth,TX,1
1400 BLOCK  EVANS A,1400 EVANS A,Fort Worth,TX,1
1400 BLOCK  EVANS AV,1400 EVANS AV,Fort Worth,TX,1
1400 BLOCK  EVANS AVE,1400 EVANS AVE,Fort Worth,TX,3
1400 BLOCK  FAIRMOUNT AVE,1400 FAIRMOUNT AVE,Fort Worth,TX,1
1400 BLOCK  GAINSBOROUGH WA,1400 GAINSBOROUGH WAY,Fort Worth,TX,4
1400 BLOCK  GRADY LEE ST,1400 GRADY LEE ST,Fort Worth,TX,1
1400 BLOCK  HAMSTED ST,1400 HAMSTED ST,Fort Worth,TX,1
1400 BLOCK  HANDLEY DR,1400 HANDLEY DR,Fort Worth,TX,1
1400 BLOCK  HEDGEWOOD TRL,1400 HEDGEWOOD TRL,Fort Worth,TX,2
1400 BLOCK  HILLCREST ST,1400 HILLCREST ST,Fort Worth,TX,1
1400 BLOCK  HOMAN AVE,1400 HOMAN AVE,Fort Worth,TX,2
1400 BLOCK  HURLEY AVE,1400 HURLEY AVE,Fort Worth,TX,1
1400 BLOCK  JOEL EAST RD,1400 JOEL EAST RD,Fort Worth,TX,1
1400 BLOCK  KINGFISHER DR,1400 KINGFISHER DR,Fort Worth,TX,2
1400 BLOCK  LAGONDA AVE,1400 LAGONDA AVE,Fort Worth,TX,2
1400 BLOCK  LINCOLN AVE,1400 LINCOLN AVE,Fort Worth,TX,3
1400 BLOCK  LINCOLNSHIRE WAY,1400 LINCOLNSHIRE WAY,Fort Worth,TX,2
1400 BLOCK  LUELLA ST,1400 LUELLA ST,Fort Worth,TX,1
1400 BLOCK  MARTIN LUTHER KING FWY,1400 MARTIN LUTHER KING FREEWAY,Fort Worth,TX,1
1400 BLOCK  MEADOW LANE TE,1400 MEADOW LANE TE,Fort Worth,TX,3
1400 BLOCK  MEADOWOOD VILLAGE DR,1400 MEADOWOOD VILLAGE DR,Fort Worth,TX,3
1400 BLOCK  MILL VALLEY CT,1400 MILL VALLEY CT,Fort Worth,TX,2
1400 BLOCK  MISSOURI AVE,1400 MISSOURI AVE,Fort Worth,TX,1
1400 BLOCK  MONTOYA LN,1400 MONTOYA LN,Fort Worth,TX,2
1400 BLOCK  MOUNTAIN AIR TRL,1400 MOUNTAIN AIR TRL,Fort Worth,TX,1
1400 BLOCK  NELSON PLACE,1400 NELSON PLACE,Fort Worth,TX,1
1400 BLOCK  NICOLE WA,1400 NICOLE WAY,Fort Worth,TX,1
1400 BLOCK  NORMAN ST,1400 NORMAN ST,Fort Worth,TX,1
1400 BLOCK  NORTH SOUTH FW,1400 NORTH SOUTH FW,Fort Worth,TX,25
1400 BLOCK  NORTHEAST LOOP 820,1400 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,16
1400 BLOCK  NORTHWEST LOOP 820,1400 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,1
1400 BLOCK  OAK HILL RD,1400 OAK HILL RD,Fort Worth,TX,1
1400 BLOCK  PENNSYLVANIA AVE,1400 PENNSYLVANIA AVE,Fort Worth,TX,2
1400 BLOCK  PINEHURST DR,1400 PINEHURST DR,Fort Worth,TX,2
1400 BLOCK  RIO GRANDE AVE,1400 RIO GRANDE AVE,Fort Worth,TX,1
1400 BLOCK  ROGERS RD,1400 ROGERS RD,Fort Worth,TX,1
1400 BLOCK  SHINY OAKS TR,1400 SHINY OAKS TR,Fort Worth,TX,1
1400 BLOCK  SHINY OAKS TRL,1400 SHINY OAKS TRL,Fort Worth,TX,11
1400 BLOCK  SIERRA ESTATE TR,1400 SIERRA ESTATE TR,Fort Worth,TX,1
1400 BLOCK  SOAPTREE LN,1400 SOAPTREE LN,Fort Worth,TX,1
1400 BLOCK  SOUTH FWY SR NB,1400 SOUTH FREEWAY SERVICE ROAD,Fort Worth,TX,2
1400 BLOCK  SOUTHEAST LOOP 820,1400 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,6
1400 BLOCK  STALCUP RD,1400 STALCUP RD,Fort Worth,TX,1
1400 BLOCK  TRAVIS AVE,1400 TRAVIS AVE,Fort Worth,TX,1
1400 BLOCK  VANDERBILT E,1400 VANDERBILT E,Fort Worth,TX,61
1400 BLOCK  VANDERBILT W,1400 VANDERBILT W,Fort Worth,TX,52
1400 BLOCK  WALLACE ST,1400 WALLACE ST,Fort Worth,TX,1
1400 BLOCK  WARRINGTON CT,1400 WARRINGTON CT,Fort Worth,TX,2
1400 BLOCK  WASHINGTON AVE,1400 WASHINGTON AVE,Fort Worth,TX,2
1400 BLOCK  WASHINGTON TER,1400 WASHINGTON TER,Fort Worth,TX,1
1400 BLOCK  WIND STAR WA,1400 WIND STAR WAY,Fort Worth,TX,4
1400 BLOCK  WIND STAR WAY,1400 WIND STAR WAY,Fort Worth,TX,1
1400 BLOCK D NOTTINGHAM BL,1400 NOTTINGHAM BL,Fort Worth,TX,1
1400 BLOCK E BERRY ST,1400 E BERRY ST,Fort Worth,TX,1
1400 BLOCK E IH 820 FWY,1400 E INTERSTATE 820 FREEWAY,Fort Worth,TX,1
1400 BLOCK E LANCASTER AVE,1400 E LANCASTER AVE,Fort Worth,TX,1
1400 BLOCK E ROBERT ST,1400 E ROBERT ST,Fort Worth,TX,1
1400 BLOCK I M TERRELL CIR N,1400 I M TERRELL CIR N,Fort Worth,TX,1
1400 BLOCK I M TERRELL CIR S,1400 I M TERRELL CIR S,Fort Worth,TX,1
1400 BLOCK IH,1400 INTERSTATE,Fort Worth,TX,1
1400 BLOCK L HULEN MA,1400 L HULEN MA,Fort Worth,TX,1
1400 BLOCK N JIM WRIGHT FW,1400 N JIM WRIGHT FW,Fort Worth,TX,1
1400 BLOCK N SYLVANIA AVE,1400 N SYLVANIA AVE,Fort Worth,TX,1
1400 BLOCK S FORUM WA,1400 S FORUM WAY,Fort Worth,TX,7
1400 BLOCK S IH 820 FW,1400 S INTERSTATE 820 FW,Fort Worth,TX,2
1400 BLOCK S JIM WRIGHT FW,1400 S JIM WRIGHT FW,Fort Worth,TX,3
1400 BLOCK S RIVERSIDE DR,1400 S RIVERSIDE DR,Fort Worth,TX,1
1400 BLOCK W 5TH ST,1400 W 5TH ST,Fort Worth,TX,1
1400 BLOCK W 7TH ST,1400 W 7TH ST,Fort Worth,TX,1
1400 BLOCK Y NORTHEAST PK,1400 NORTHEAST PK,Fort Worth,TX,1
14000 BLOCK  BRONC PEN LN,14000 BRONC PEN LN,Fort Worth,TX,1
14000 BLOCK  CEDAR POST DR,14000 CEDAR POST DR,Fort Worth,TX,2
14000 BLOCK  JOHN DAY RD,14000 JOHN DAY RD,Fort Worth,TX,1
14000 BLOCK  LOST SPURS RD,14000 LOST SPURS RD,Fort Worth,TX,1
14000 BLOCK  NORTH FWY SR NB,14000 NORTH FREEWAY SERVICE ROAD,Fort Worth,TX,1
14000 BLOCK  RODEO DAZE DR,14000 RODEO DAZE DR,Fort Worth,TX,1
14000 BLOCK  SAN CHRISTOVAL PA,14000 SAN CHRISTOVAL PA,Fort Worth,TX,1
14000 BLOCK  WRANGLER WA,14000 WRANGLER WAY,Fort Worth,TX,1
14000 BLOCK  WRANGLER WAY,14000 WRANGLER WAY,Fort Worth,TX,4
14000 BLOCK  ZIPPO WA,14000 ZIPPO WAY,Fort Worth,TX,3
14100 BLOCK  BLACK GOLD TR,14100 BLACK GOLD TR,Fort Worth,TX,1
14100 BLOCK  BLACK GOLD TRL,14100 BLACK GOLD TRL,Fort Worth,TX,1
14100 BLOCK  ESPERANZA DR,14100 ESPERANZA DR,Fort Worth,TX,1
14100 BLOCK  FILLY ST,14100 FILLY ST,Fort Worth,TX,2
14100 BLOCK  GOLD SEEKER WA,14100 GOLD SEEKER WAY,Fort Worth,TX,6
14100 BLOCK  GOLD SEEKER WAY,14100 GOLD SEEKER WAY,Fort Worth,TX,1
14100 BLOCK  JOHN DAY RD,14100 JOHN DAY RD,Fort Worth,TX,1
14100 BLOCK  SIERRA VISTA WA,14100 SIERRA VISTA WAY,Fort Worth,TX,2
14100 BLOCK  WILDCAT WAY S,14100 WILDCAT WAY S,Fort Worth,TX,1
14100 BLOCK D SENDERA RANCH BL,14100 SENDERA RANCH BL,Fort Worth,TX,2
14100 STONE RD ABNER LEE DR,14100 STONE RD ABNER LEE DR,Fort Worth,TX,1
14200 BLOCK  CEDAR POST DR,14200 CEDAR POST DR,Fort Worth,TX,1
14200 BLOCK  CENTRE STATION DR,14200 CENTRE STATION DR,Fort Worth,TX,1
14200 BLOCK  HOEDOWN WA,14200 HOEDOWN WAY,Fort Worth,TX,3
14200 BLOCK  SADDLEBIT TRL,14200 SADDLEBIT TRL,Fort Worth,TX,2
14200 BLOCK  TIJUANA TRL,14200 TIJUANA TRL,Fort Worth,TX,1
14200 BLOCK D FAA BL,14200 FAA BL,Fort Worth,TX,2
14300 BLOCK  ARTISAN DR,14300 ARTISAN DR,Fort Worth,TX,1
14300 BLOCK  CENTREPORT LANDING CI,14300 CENTREPORT LANDING CI,Fort Worth,TX,7
14300 BLOCK  NORTH FWY SR SB,14300 NORTH FREEWAY SERVICE ROAD,Fort Worth,TX,1
14300 BLOCK  OAKRIDGE CI,14300 OAKRIDGE CI,Fort Worth,TX,3
14300 BLOCK  SERRANO RIDGE RD,14300 SERRANO RIDGE RD,Fort Worth,TX,1
14300 BLOCK  SNAFFLE BIT TRL,14300 SNAFFLE BIT TRL,Fort Worth,TX,1
14300 BLOCK 6 STATLER BL 15,14300 6 STATLER BL,Fort Worth,TX,1
14300 BLOCK D FAA BL,14300 FAA BL,Fort Worth,TX,4
14400 BLOCK  MCCARRAN AVE,14400 MCCARRAN AVE,Fort Worth,TX,1
14400 BLOCK  STORYTELLER LN,14400 STORYTELLER LN,Fort Worth,TX,1
14400 BLOCK D FAA BL,14400 FAA BL,Fort Worth,TX,3
14400 BLOCK D JFK BL,14400 JFK BL,Fort Worth,TX,4
14400 BLOCK D SEVENTEEN LAKES BL,14400 SEVENTEEN LAKES BL,Fort Worth,TX,2
14500 BLOCK  AIRPORT FWY,14500 AIRPORT FREEWAY,Fort Worth,TX,1
14500 BLOCK  MCCARRAN AVE,14500 MCCARRAN AVE,Fort Worth,TX,1
14500 BLOCK  NORTH FWY SR NB,14500 NORTH FREEWAY SERVICE ROAD,Fort Worth,TX,1
14500 BLOCK  NORTH FWY SR SB,14500 NORTH FREEWAY SERVICE ROAD,Fort Worth,TX,1
14500 BLOCK D FAA BL,14500 FAA BL,Fort Worth,TX,1
14500 BLOCK D JFK BL,14500 JFK BL,Fort Worth,TX,9
14500 BLOCK D SEVENTEEN LAKES BL,14500 SEVENTEEN LAKES BL,Fort Worth,TX,2
14600 BLOCK  COTTAGEVIEW LN,14600 COTTAGEVIEW LN,Fort Worth,TX,7
14600 BLOCK  ELIZABETHTOWN CEMETE RD,14600 ELIZABETHTOWN CEMETE RD,Fort Worth,TX,1
14600 BLOCK  NORTH FWY SR SB,14600 NORTH FREEWAY SERVICE ROAD,Fort Worth,TX,2
14600 BLOCK D TRINITY BL,14600 TRINITY BL,Fort Worth,TX,5
14600 BLOCK P 360 NB RA,14600 360,Fort Worth,TX,1
14700 BLOCK  ELIZABETHTOWN CEMETE RD,14700 ELIZABETHTOWN CEMETE RD,Fort Worth,TX,3
14700 BLOCK D SEVENTEEN LAKES BL,14700 SEVENTEEN LAKES BL,Fort Worth,TX,2
14800 BLOCK  NORTH FWY SR NB,14800 NORTH FREEWAY SERVICE ROAD,Fort Worth,TX,4
14800 BLOCK D SEVENTEEN LAKES BL,14800 SEVENTEEN LAKES BL,Fort Worth,TX,2
14900 BLOCK  FRYE RD,14900 FRYE RD,Fort Worth,TX,1
14900 BLOCK  GRAND RIVER RD,14900 GRAND RIVER RD,Fort Worth,TX,2
14900 BLOCK  KINGSPORT RD,14900 KINGSPORT RD,Fort Worth,TX,2
14900 BLOCK  NORTH FWY SR NB,14900 NORTH FREEWAY SERVICE ROAD,Fort Worth,TX,2
14900 BLOCK D FAA BL,14900 FAA BL,Fort Worth,TX,7
14900 BLOCK D SEVENTEEN LAKES BL,14900 SEVENTEEN LAKES BL,Fort Worth,TX,2
14900 BLOCK SH,14900 SH,Fort Worth,TX,1
1500 BLOCK  8TH AVE,1500 8TH AVE,Fort Worth,TX,5
1500 BLOCK  ALAMO BELL WA,1500 ALAMO BELL WAY,Fort Worth,TX,3
1500 BLOCK  ALDRA DR,1500 ALDRA DR,Fort Worth,TX,1
1500 BLOCK  AMANDA AV,1500 AMANDA AV,Fort Worth,TX,3
1500 BLOCK  AVE D,1500 AVE D,Fort Worth,TX,3
1500 BLOCK  AVE E,1500 AVE E,Fort Worth,TX,6
1500 BLOCK  AVONDALE HASLET RD,1500 AVONDALE HASLET RD,Fort Worth,TX,1
1500 BLOCK  BARRON LN,1500 BARRON LN,Fort Worth,TX,1
1500 BLOCK  BELZISE TE,1500 BELZISE TE,Fort Worth,TX,1
1500 BLOCK  BELZISE TER,1500 BELZISE TER,Fort Worth,TX,1
1500 BLOCK  BIRDS EYE RD,1500 BIRDS EYE RD,Fort Worth,TX,1
1500 BLOCK  BLUEBONNET DR,1500 BLUEBONNET DR,Fort Worth,TX,1
1500 BLOCK  BOLTON ST,1500 BOLTON ST,Fort Worth,TX,1
1500 BLOCK  CAIRN CI,1500 CAIRN CI,Fort Worth,TX,2
1500 BLOCK  CARL ST,1500 CARL ST,Fort Worth,TX,1
1500 BLOCK  CHAMA DR,1500 CHAMA DR,Fort Worth,TX,1
1500 BLOCK  CLINTON AV,1500 CLINTON AV,Fort Worth,TX,2
1500 BLOCK  CLOVERDALE DR,1500 CLOVERDALE DR,Fort Worth,TX,2
1500 BLOCK  COLEMAN AVE,1500 COLEMAN AVE,Fort Worth,TX,4
1500 BLOCK  COOPER ST,1500 COOPER ST,Fort Worth,TX,2
1500 BLOCK  COZY DR,1500 COZY DR,Fort Worth,TX,1
1500 BLOCK  CREEKSTONE CT,1500 CREEKSTONE CT,Fort Worth,TX,6
1500 BLOCK  DENVER AVE,1500 DENVER AVE,Fort Worth,TX,1
1500 BLOCK  DIAMONDBACK LN,1500 DIAMONDBACK LN,Fort Worth,TX,1
1500 BLOCK  EAST FWY,1500 EAST FREEWAY,Fort Worth,TX,1
1500 BLOCK  EAST I30,1500 EAST I,Fort Worth,TX,1
1500 BLOCK  EAST LOOP 820,1500 EAST LOOP INTERSTATE 820,Fort Worth,TX,3
1500 BLOCK  ELAINE PL,1500 ELAINE PL,Fort Worth,TX,1
1500 BLOCK  ENGBLAD DR,1500 ENGBLAD DR,Fort Worth,TX,1
1500 BLOCK  ENON RD,1500 ENON RD,Fort Worth,TX,1
1500 BLOCK  EVANS AVE,1500 EVANS AVE,Fort Worth,TX,1
1500 BLOCK  FALLINGWATER TRL,1500 FALLINGWATER TRL,Fort Worth,TX,1
1500 BLOCK  FOUR SEASONS LN,1500 FOUR SEASONS LN,Fort Worth,TX,2
1500 BLOCK  GAINSBOROUGH WA,1500 GAINSBOROUGH WAY,Fort Worth,TX,5
1500 BLOCK  GLEN GARDEN DR,1500 GLEN GARDEN DR,Fort Worth,TX,1
1500 BLOCK  GOULD AVE,1500 GOULD AVE,Fort Worth,TX,1
1500 BLOCK  GRADY LEE ST,1500 GRADY LEE ST,Fort Worth,TX,2
1500 BLOCK  GRANTLAND CI,1500 GRANTLAND CI,Fort Worth,TX,1
1500 BLOCK  HALL ST,1500 HALL ST,Fort Worth,TX,5
1500 BLOCK  HEDGEWOOD TRL,1500 HEDGEWOOD TRL,Fort Worth,TX,1
1500 BLOCK  HOLT ST,1500 HOLT ST,Fort Worth,TX,4
1500 BLOCK  HORNCASTLE ST,1500 HORNCASTLE ST,Fort Worth,TX,1
1500 BLOCK  HURLEY AV,1500 HURLEY AV,Fort Worth,TX,1
1500 BLOCK  ILLINOIS AVE,1500 ILLINOIS AVE,Fort Worth,TX,1
1500 BLOCK  JACKSBORO HW,1500 JACKSBORO HW,Fort Worth,TX,4
1500 BLOCK  JASPER ST,1500 JASPER ST,Fort Worth,TX,1
1500 BLOCK  JOEL EAST RD,1500 JOEL EAST RD,Fort Worth,TX,1
1500 BLOCK  LAGONDA AV,1500 LAGONDA AV,Fort Worth,TX,1
1500 BLOCK  LAGONDA AVE,1500 LAGONDA AVE,Fort Worth,TX,5
1500 BLOCK  LANGSTON ST,1500 LANGSTON ST,Fort Worth,TX,3
1500 BLOCK  LEE AV,1500 LEE AV,Fort Worth,TX,1
1500 BLOCK  LINCOLN AV,1500 LINCOLN AV,Fort Worth,TX,1
1500 BLOCK  LINCOLN AVE,1500 LINCOLN AVE,Fort Worth,TX,1
1500 BLOCK  LINDSEY ST,1500 LINDSEY ST,Fort Worth,TX,2
1500 BLOCK  MALL CIR,1500 MALL CIR,Fort Worth,TX,1
1500 BLOCK  MANSFIELD AVE,1500 MANSFIELD AVE,Fort Worth,TX,2
1500 BLOCK  MICHAEL ST,1500 MICHAEL ST,Fort Worth,TX,1
1500 BLOCK  MIMS ST,1500 MIMS ST,Fort Worth,TX,3
1500 BLOCK  MISSOURI AVE,1500 MISSOURI AVE,Fort Worth,TX,1
1500 BLOCK  MITCHELL AVE,1500 MITCHELL AVE,Fort Worth,TX,1
1500 BLOCK  MONTCLAIR DR,1500 MONTCLAIR DR,Fort Worth,TX,1
1500 BLOCK  MONTGOMERY ST,1500 MONTGOMERY ST,Fort Worth,TX,2
1500 BLOCK  NATCHES DR,1500 NATCHES DR,Fort Worth,TX,2
1500 BLOCK  NEW YORK AV,1500 NEW YORK AV,Fort Worth,TX,2
1500 BLOCK  NORMAN ST,1500 NORMAN ST,Fort Worth,TX,1
1500 BLOCK  NORTH CREST CT,1500 NORTH CREST CT,Fort Worth,TX,4
1500 BLOCK  NORTH SOUTH FW,1500 NORTH SOUTH FW,Fort Worth,TX,36
1500 BLOCK  NORTHEAST LOOP 820,1500 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,4
1500 BLOCK  NORTHWEST LOOP 820,1500 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,1
1500 BLOCK  NORTHWEST LOOP 820 FWY W,1500 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY W,Fort Worth,TX,1
1500 BLOCK  OAK CLIFF RD,1500 OAK CLIFF RD,Fort Worth,TX,1
1500 BLOCK  OLD UNIVERSITY DR,1500 OLD UNIVERSITY DR,Fort Worth,TX,2
1500 BLOCK  PAMELA LN,1500 PAMELA LN,Fort Worth,TX,4
1500 BLOCK  PINE LN,1500 PINE LN,Fort Worth,TX,1
1500 BLOCK  QUAIL SPRINGS CIR,1500 QUAIL SPRINGS CIR,Fort Worth,TX,1
1500 BLOCK  REDSTONE DR,1500 REDSTONE DR,Fort Worth,TX,1
1500 BLOCK  ROCKWOOD LN,1500 ROCKWOOD LN,Fort Worth,TX,1
1500 BLOCK  SANDY LANE 105,1500 SANDY LANE,Fort Worth,TX,1
1500 BLOCK  SAXONY RD,1500 SAXONY RD,Fort Worth,TX,1
1500 BLOCK  SHILLING DR,1500 SHILLING DR,Fort Worth,TX,1
1500 BLOCK  SINGLETON CT,1500 SINGLETON CT,Fort Worth,TX,1
1500 BLOCK  SOUTH FWY,1500 SOUTH FREEWAY,Fort Worth,TX,1
1500 BLOCK  SOUTH FWY SR SB,1500 SOUTH FREEWAY SERVICE ROAD,Fort Worth,TX,1
1500 BLOCK  SOUTHEAST LOOP 820,1500 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,3
1500 BLOCK  SOUTHEAST LOOP 820 FWY,1500 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,Fort Worth,TX,1
1500 BLOCK  STEINBURG LN,1500 STEINBURG LN,Fort Worth,TX,1
1500 BLOCK  SUMMIT AV,1500 SUMMIT AV,Fort Worth,TX,2
1500 BLOCK  SUNBURST DR,1500 SUNBURST DR,Fort Worth,TX,1
1500 BLOCK  SUNNY GLEN ST,1500 SUNNY GLEN ST,Fort Worth,TX,1
1500 BLOCK  VELDA KAY LN,1500 VELDA KAY LN,Fort Worth,TX,1
1500 BLOCK  VERSAILLES RD,1500 VERSAILLES RD,Fort Worth,TX,1
1500 BLOCK  WESLEYAN ST,1500 WESLEYAN ST,Fort Worth,TX,2
1500 BLOCK  WIND DANCER TR,1500 WIND DANCER TR,Fort Worth,TX,1
1500 BLOCK  WIND STAR WA,1500 WIND STAR WAY,Fort Worth,TX,4
1500 BLOCK  WIND STAR WAY,1500 WIND STAR WAY,Fort Worth,TX,1
1500 BLOCK  WINDSONG TR,1500 WINDSONG TR,Fort Worth,TX,2
1500 BLOCK  WITHERS ST,1500 WITHERS ST,Fort Worth,TX,3
1500 BLOCK  WOODHALL WAY,1500 WOODHALL WAY,Fort Worth,TX,2
1500 BLOCK D FOREST PARK BL,1500 FOREST PARK BL,Fort Worth,TX,2
1500 BLOCK D RIDGMAR BL,1500 RIDGMAR BL,Fort Worth,TX,1
1500 BLOCK E HATTIE ST,1500 E HATTIE ST,Fort Worth,TX,1
1500 BLOCK E IH 820 FWY S,1500 E INTERSTATE 820 FREEWAY S,Fort Worth,TX,1
1500 BLOCK E PRESIDIO ST,1500 E PRESIDIO ST,Fort Worth,TX,4
1500 BLOCK L HULEN MA,1500 L HULEN MA,Fort Worth,TX,1
1500 BLOCK N BELT LINE RD,1500 N BELT LINE RD,Fort Worth,TX,2
1500 BLOCK N JIM WRIGHT FW,1500 N JIM WRIGHT FW,Fort Worth,TX,6
1500 BLOCK NE 28TH ST,1500 NE 28TH ST,Fort Worth,TX,1
1500 BLOCK NW 25TH ST,1500 NW 25TH ST,Fort Worth,TX,1
1500 BLOCK P CHISHOLM TRAIL SB EN RA,1500 CHISHOLM TRAIL EN,Fort Worth,TX,1
1500 BLOCK S JIM WRIGHT FW,1500 S JIM WRIGHT FW,Fort Worth,TX,1
1500 BLOCK T R WA,1500 T R WAY,Fort Worth,TX,1
1500 BLOCK W ROSEDALE ST,1500 W ROSEDALE ST,Fort Worth,TX,1
1500 BLOCK Y COLONIAL PK,1500 COLONIAL PK,Fort Worth,TX,1
1500 BLOCK Y WEST FR,1500 WEST FR,Fort Worth,TX,1
1500 PENNSYLVANIA AV  600 8TH AV,1500 PENNSYLVANIA AV 600 8TH AV,Fort Worth,TX,1
15000 BLOCK  STATE HWY 183,15000 STATE HWY,Fort Worth,TX,1
15000 BLOCK D SEVENTEEN LAKES BL,15000 SEVENTEEN LAKES BL,Fort Worth,TX,11
15000 BLOCK Y HERITAGE PK,15000 HERITAGE PK,Fort Worth,TX,1
15100 BLOCK  FRYE RD,15100 FRYE RD,Fort Worth,TX,1
15100 BLOCK  STATE HWY 183,15100 STATE HWY,Fort Worth,TX,1
15100 BLOCK  WILD DUCK WA,15100 WILD DUCK WAY,Fort Worth,TX,1
15100 BLOCK  WILD DUCK WAY,15100 WILD DUCK WAY,Fort Worth,TX,2
15100 BLOCK D SEVENTEEN LAKES BL,15100 SEVENTEEN LAKES BL,Fort Worth,TX,5
15200 BLOCK D SEVENTEEN LAKES BL,15200 SEVENTEEN LAKES BL,Fort Worth,TX,1
15300 BLOCK  RINGNECK ST,15300 RINGNECK ST,Fort Worth,TX,1
15300 BLOCK  TRINITY BL,15300 TRINITY BL,Fort Worth,TX,1
15400 BLOCK  ELIZABETHTOWN CEMETE RD,15400 ELIZABETHTOWN CEMETE RD,Fort Worth,TX,1
15400 BLOCK  YARBERRY DR,15400 YARBERRY DR,Fort Worth,TX,1
15500 BLOCK  SWEETPINE LN,15500 SWEETPINE LN,Fort Worth,TX,1
15500 BLOCK  YARBERRY DR,15500 YARBERRY DR,Fort Worth,TX,4
15600 BLOCK  FIRE CREEK LN,15600 FIRE CREEK LN,Fort Worth,TX,1
