block_address_expanded,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
3800 FARON ST,,,,,1,1,,,,,,,2
3800 HONEYSUCKLE AV,,,2,,,,,,,,,,2
3800 HORIZON PL,1,,,1,,,,,,,,,2
3800 KIMBERLY LN,,,,,,2,,,,,,,2
3800 LAURETTA DR,,,,,1,1,,,,,,,2
3800 MALIBU SUN DR,,,,,,2,,,,,,,2
3800 MARTIN LUTHER KING FREEWAY,,,,1,1,,,,,,,,2
3800 MILLER AV,,1,1,,,,,,,,,,2
3800 MILLET AV,1,1,,,,,,,,,,,2
3800 MILLET AVE,,,,,1,1,,,,,,,2
3800 MINOT AV,,2,,,,,,,,,,,2
3800 MURRAY CT,,,1,,1,,,,,,,,2
3800 ROCHESTER DR,,,,,1,1,,,,,,,2
3800 SHELLBROOK AVE,,,,1,,1,,,,,,,2
3800 STEEPLECHASE DR,,,1,,,1,,,,,,,2
3800 TRAILS EDGE RD,,,,1,1,,,,,,,,2
3800 TRINITY TERRACE LN,,,1,,1,,,,,,,,2
3800 VILLAGE CREEK RD,,,1,,,1,,,,,,,2
3800 WAYSIDE AVE,,,,,,2,,,,,,,2
3800 YAUPON WAY,1,,1,,,,,,,,,,2
3900 ACACIA ST,,,,,1,1,,,,,,,2
3900 AIRLINE DR,,,,,,,,,,,,2,2
3900 BELFORD AVE,,,,,,2,,,,,,,2
3900 BONNIE DR,,,,1,1,,,,,,,,2
3900 CLARIDGE CT,,,,,2,,,,,,,,2
3900 CLARKE AVE,,,,,1,1,,,,,,,2
3900 E INTERSTATE 820 FREEWAY S,,,,1,1,,,,,,,,2
3900 FARON ST,,,,,,2,,,,,,,2
3900 FOSSIL CREEK BL,,,,,,,,,,,2,,2
3900 GALVEZ AV,,,2,,,,,,,,,,2
3900 GLADNEY LN,2,,,,,,,,,,,,2
3900 GOLDEN TRIANGLE BL,,,,,,,,,,,,2,2
3900 LAFAYETTE AVE,,,,,1,1,,,,,,,2
3900 LAWNWOOD ST,,,,,2,,,,,,,,2
3900 LAZY RIVER RANCH RD,,,,,1,1,,,,,,,2
3900 LEGEND POINT DR,,,,,,,,,,,,2,2
3900 LOCKE AV,,,2,,,,,,,,,,2
3900 LONG HOLLOW RD,,,,2,,,,,,,,,2
3900 MICKI LYNN AVE,,,,,2,,,,,,,,2
3900 MURRAY CT,,,1,,1,,,,,,,,2
3900 NORTH FREEWAY SERVICE ROAD,,,,,1,1,,,,,,,2
3900 OSCAR AVE,,,,2,,,,,,,,,2
3900 RIVER BIRCH RD,1,,,,,1,,,,,,,2
3900 SARITA PA,1,,,,,1,,,,,,,2
3900 SH,1,,,1,,,,,,,,,2
3900 SHAGBARK CT,,,,,1,1,,,,,,,2
3900 SPRINGSIDE DR,,,,,1,1,,,,,,,2
3900 STANLEY AV,1,1,,,,,,,,,,,2
3900 WAYSIDE AV,2,,,,,,,,,,,,2
3900 WENDOVER DR,,,,,1,1,,,,,,,2
3900 WILLING AVE,,,,,,2,,,,,,,2
400 ALABAMA AV,1,,1,,,,,,,,,,2
400 BEN AVE,,,,,2,,,,,,,,2
400 BIRCHWOOD LN,,,,1,1,,,,,,,,2
400 CROWN OAKS DR,,,,,1,1,,,,,,,2
400 ESSEX ST,1,,,,,1,,,,,,,2
400 EVERMAN PK,,,,,,,,,,,,2,2
400 FORBY AVE,,,,1,,1,,,,,,,2
400 GALVESTON AVE,,,,,,2,,,,,,,2
400 HANCOCK CT,,,,,,2,,,,,,,2
400 HIGH DESERT DR,,,,,1,1,,,,,,,2
400 LEAD CREEK DR,,,,,,1,,,,,1,,2
400 LITTLE FOX LN,,,1,,,1,,,,,,,2
400 MONTICELLO DR,,,,,1,1,,,,,,,2
400 N JIM WRIGHT FREEWAY,,,,2,,,,,,,,,2
400 NORTH SOUTH FW,,1,1,,,,,,,,,,2
400 NORTHEAST LOOP INTERSTATE 820,,,1,,1,,,,,,,,2
400 NW JIM WRIGHT FREEWAY,,,,2,,,,,,,,,2
400 PINEVIEW LN,,,,,1,1,,,,,,,2
400 PRAIRIE GULCH DR,,1,,,,1,,,,,,,2
400 RIVERCREST DR,,,,,,2,,,,,,,2
400 ROCK PRAIRIE LN,,,,,,2,,,,,,,2
400 SHADOW GRASS AVE,,,1,1,,,,,,,,,2
400 SOUTHEAST LOOP INTERSTATE 820,,,1,1,,,,,,,,,2
400 SOUTHWEST LOOP INTERSTATE 820,,,1,1,,,,,,,,,2
400 TENNESSEE AVE,,,,1,1,,,,,,,,2
400 VERNA TRL N,,,,2,,,,,,,,,2
400 WEST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,,2,,,,,2
400 WESTMERE CT,,,,,1,1,,,,,,,2
4000 AIRPORT FW,,1,1,,,,,,,,,,2
4000 AVE L,,,,,1,,,1,,,,,2
4000 BRYCE AVE,,,,1,,1,,,,,,,2
4000 ELDRIDGE ST,,,,,1,1,,,,,,,2
4000 FORBES ST,,,,1,1,,,,,,,,2
4000 GRAY FOX DR,,,,,,2,,,,,,,2
4000 HARLANWOOD DR,,,1,1,,,,,,,,,2
4000 HERITAGE WAY DR,1,,,,,1,,,,,,,2
4000 HIGHWAY,,,,,,1,1,,,,,,2
4000 MARTINSBURG DR,,,,,,,,,,,2,,2
4000 MATTISON AVE,,,,,1,1,,,,,,,2
4000 MOUNT VERNON AVE,,,,2,,,,,,,,,2
4000 NORTHEAST LOOP INTERSTATE 820,,,,,1,1,,,,,,,2
4000 OHIO GARDEN RD,,,,1,1,,,,,,,,2
4000 SCHWARTZ AVE,,,,,1,1,,,,,,,2
4000 SHANNON DR,,,,,,2,,,,,,,2
4000 SPRUCEBARK DR,,,,1,1,,,,,,,,2
4000 STATE HWY,,,,,,2,,,,,,,2
4000 TRAIL LAKE DR,,,,,1,1,,,,,,,2
4000 ZWOLLE ST,,,,,1,1,,,,,,,2
4100 AINSLY LN,,,,,1,,,,,,1,,2
4100 BOLEN ST,,,,1,1,,,,,,,,2
4100 BROOKWAY DR,,,,,1,1,,,,,,,2
4100 E LANCASTER AVE,,,,,,,,,,,2,,2
4100 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,,2,,,,,2
4100 GARRISON AVE,,,,,1,1,,,,,,,2
4100 INTERNATIONAL PL,1,1,,,,,,,,,,,2
4100 JUNEBERRY ST,,,,,1,1,,,,,,,2
4100 MARTIN LUTHER KING FRWY SERVICE ROAD,2,,,,,,,,,,,,2
4100 MILLET AVE,,,,1,1,,,,,,,,2
4100 PETERSBURG DR,,1,,,,1,,,,,,,2
4100 SARASOTA SPRINGS CT,,,1,,,1,,,,,,,2
4100 STADIUM DR,,,,,2,,,,,,,,2
4100 SUMMERFIELDS BL,,,,1,1,,,,,,,,2
4100 SUMMERHILL LN,1,,,,,1,,,,,,,2
4100 TARRANT PK,,,,,,2,,,,,,,2
4100 WEBER ST,,,,,2,,,,,,,,2
4100 WEST FREEWAY SERVICE ROAD,,1,,1,,,,,,,,,2
4100 WILD AZALEA AV,2,,,,,,,,,,,,2
4100 WILLIAM FLEMING CT,,,,,1,1,,,,,,,2
4200 ARBOR ST,,,,,2,,,,,,,,2
4200 BAYLOR ST,,,,,2,,,,,,,,2
4200 BELMEADE DR,,,,,1,1,,,,,,,2
4200 BENBROOK HW,1,1,,,,,,,,,,,2
4200 BERTHA AV,,1,,1,,,,,,,,,2
4200 BONITA DR,,,,,1,1,,,,,,,2
4200 CALMONT AVE,,,,,1,1,,,,,,,2
4200 CAMPUS DR,,,,1,,1,,,,,,,2
4200 CAROL AVE,,,,,2,,,,,,,,2
4200 CHEROKEE TR,,,2,,,,,,,,,,2
4200 CHICKASAW AVE,,,,1,,1,,,,,,,2
4200 DONNELLY AV,2,,,,,,,,,,,,2
4200 E BERRY ST,,,,,,,,,,,2,,2
4200 E LANCASTER AVE,,,,,,,,,,,,2,2
4200 EAST FREEWAY,,,,1,,,1,,,,,,2
4200 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,2,,,,,,2
4200 FAIRLANE AV,,1,1,,,,,,,,,,2
4200 GLADNEY LN,,,,1,1,,,,,,,,2
4200 GODDARD ST,,1,,,,1,,,,,,,2
4200 HIGHGATE RD,,,,,2,,,,,,,,2
4200 HULEN PL,,,,,,2,,,,,,,2
4200 IRIS AVE,,,,,1,,,,,,1,,2
4200 JENNY LAKE TR,1,1,,,,,,,,,,,2
4200 KING OAKS LN,,,,,,,,,,,2,,2
4200 LAKE VILLAS DR,,,,,2,,,,,,,,2
4200 LAKEPOINT DR,2,,,,,,,,,,,,2
4200 LISBON ST,1,,,,,1,,,,,,,2
4200 LOCKE AVE,,,,,2,,,,,,,,2
4200 LOIS ST,,,,1,1,,,,,,,,2
4200 OLD BENBROOK RD,1,,,,,1,,,,,,,2
4200 PANOLA AVE,,,,2,,,,,,,,,2
4200 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY SERVICE ROAD,,,,,,,,,,2,,,2
4200 VISTA DEL SOL DR,,1,,1,,,,,,,,,2
4200 WILHELM ST,,,,,2,,,,,,,,2
4300 AMERICAN BL,,,,,,2,,,,,,,2
4300 AVE M,1,,,,,,,1,,,,,2
4300 BENBROOK HWY,,,,,1,1,,,,,,,2
4300 BERTHA AVE,,,,,2,,,,,,,,2
4300 CADIZ DR,,,1,1,,,,,,,,,2
4300 CARTER PARK DR,,,,1,1,,,,,,,,2
4300 CRABAPPLE CT,,,,,2,,,,,,,,2
4300 CRENSHAW AV,,1,1,,,,,,,,,,2
4300 ESTER DR,,,,,2,,,,,,,,2
4300 GEDDES AVE,,,,,2,,,,,,,,2
4300 HEADLESS HORSEMAN OH CR,,,1,1,,,,,,,,,2
4300 JANA DR,,,1,,,1,,,,,,,2
4300 LOCKE AVE,,,,1,,1,,,,,,,2
4300 MARKS PL,,,,,,2,,,,,,,2
4300 MOUNTAIN CREST DR,,1,,,,1,,,,,,,2
4300 PANOLA AV,,,2,,,,,,,,,,2
4300 SURREY ST,,,,1,,1,,,,,,,2
4300 TOWN CENTER DR,,,,,1,1,,,,,,,2
4300 TRUELAND DR,,,1,,,1,,,,,,,2
4300 TWINLEAF DR,,,,,1,1,,,,,,,2
4300 WASHINGTON IRVING RD,,,,,,2,,,,,,,2
4400 BLUE MOUND RD,,,,2,,,,,,,,,2
4400 BUCKEYE ST,,,1,,,1,,,,,,,2
4400 CHEROKEE TRL,,,,1,,,,,,,1,,2
4400 COCKRELL AV,,1,1,,,,,,,,,,2
4400 CROMWELL MARINE CREE RD,,,,,1,,,,,,,1,2
4400 DIAZ AV,,,2,,,,,,,,,,2
4400 HARDY ST,,,,,2,,,,,,,,2
4400 HUMMINGBIRD CT,,,1,,1,,,,,,,,2
4400 KINGSDALE DR,1,,,,1,,,,,,,,2
4400 KIRKLAND DR,,,,,,2,,,,,,,2
4400 MEADOWBROOK DR,,,,1,1,,,,,,,,2
4400 MORRIS CT,,,,1,,1,,,,,,,2
4400 NORTH FW,1,1,,,,,,,,,,,2
4400 OHIO GARDEN RD,,,,,1,1,,,,,,,2
4400 OVERTON CREST ST,,,,,2,,,,,,,,2
4400 PEBBLE STONE DR,,,1,1,,,,,,,,,2
4400 POINSETTA DR,,,,,2,,,,,,,,2
4400 ROCKMILL TRL,,,,,1,1,,,,,,,2
4400 SAHARA PL,,,,,,2,,,,,,,2
4400 SELKIRK DR,,,,,,2,,,,,,,2
4400 SHACKLEFORD ST,,,1,,,1,,,,,,,2
4400 SOUTH FW,,1,1,,,,,,,,,,2
4400 STADIUM DR,,,,,,1,,,,,1,,2
4400 TALL MEADOW LN,,1,,,1,,,,,,,,2
4400 VERMONT AVE,,,,1,1,,,,,,,,2
4400 WILHELM ST,,,,1,,1,,,,,,,2
4400 WILSON LN,,,,,1,1,,,,,,,2
4500 AMERICAN BL,,,,,1,,,,,,,1,2
4500 BARBARA RD,,,,,,2,,,,,,,2
4500 CHEROKEE TRL,,,,,1,1,,,,,,,2
4500 COLE ST,,,,,2,,,,,,,,2
4500 ERATH ST,1,,,,1,,,,,,,,2
4500 JAMES AVE,,,,2,,,,,,,,,2
4500 LODESTONE LN,,,,,,2,,,,,,,2
4500 MERIDA AV,1,,1,,,,,,,,,,2
4500 ODESSA AVE,,,,,2,,,,,,,,2
4500 PANOLA AVE,,,,,2,,,,,,,,2
4500 S INTERSTATE 820 FW,2,,,,,,,,,,,,2
4500 SPINNAKER CT,,,,,2,,,,,,,,2
4500 TIMOTHY RD,,,,1,,1,,,,,,,2
4500 VILLAGE CREEK RD,,,,,,2,,,,,,,2
4500 VIRGINIA LN,,,1,1,,,,,,,,,2
4500 WEST FW,1,1,,,,,,,,,,,2
4500 WICHITA ST,,,1,,1,,,,,,,,2
4600 ALLIANCE GATEWAY FREEWAY,,,,,,2,,,,,,,2
4600 BARNHILL LN,,,,,1,1,,,,,,,2
4600 BELLFLOWER WAY,,,2,,,,,,,,,,2
4600 BLACK OAK LN,,,,1,1,,,,,,,,2
4600 BOULDER RUN ST,,,,1,1,,,,,,,,2
4600 BRYANT IRVING RD,,,,,,2,,,,,,,2
4600 CINNAMON HILL DR,,,,1,1,,,,,,,,2
4600 DAVID STRICKLAND RD,,,,,2,,,,,,,,2
4600 DONNELLY AV,1,,1,,,,,,,,,,2
4600 E INTERSTATE 820 FREEWAY S,,,,1,1,,,,,,,,2
4600 FEATHERCREST DR,,,,,,2,,,,,,,2
4600 HIGHWAY,,,,,,,1,,,,1,,2
4600 IVANHOE DR,,,2,,,,,,,,,,2
4600 LONE STAR BL,,,,,2,,,,,,,,2
4600 MARKS PL,,,,1,1,,,,,,,,2
4600 NORWICH DR,,,,,,1,,,,,1,,2
4600 PLEASANT ST,,,,,1,1,,,,,,,2
4600 RICKEE DR,,,,,,2,,,,,,,2
4600 ROSE OF SHARON LN,,,,,2,,,,,,,,2
4600 SANDAGE AVE,,,,,2,,,,,,,,2
4600 SLEEPY RIDGE CIR,,,,,1,1,,,,,,,2
4600 TIMOTHY RD,,,,1,1,,,,,,,,2
4600 WATERFORD DR,1,,,,1,,,,,,,,2
4600 WATERWAY DR,1,,,,,1,,,,,,,2
4600 WEST FREEWAY,,,,,1,,,,,,1,,2
4600 WILTON DR,,,,,,2,,,,,,,2
4600 WINTERHAZEL DR,,,,,1,1,,,,,,,2
4700 ALBERMARLE DR,,,,1,1,,,,,,,,2
4700 APPLEWOOD RD,,,,,,1,,,,,1,,2
4700 B FORBES ST,,,,,2,,,,,,,,2
4700 BAYTREE DR,1,,,,,1,,,,,,,2
4700 BURGESS DR,,,1,,,1,,,,,,,2
4700 BYERS AVE,,,,,,2,,,,,,,2
4700 CAROLINA TRACE TRL,,,,1,1,,,,,,,,2
4700 CRENSHAW AV,,2,,,,,,,,,,,2
4700 DORSEY,2,,,,,,,,,,,,2
4700 EDDLEMAN DR,,,,1,,1,,,,,,,2
4700 EVANS AVE,,,,,2,,,,,,,,2
4700 GREAT DIVIDE DR,,,,1,,1,,,,,,,2
4700 HOUGHTON AV,,,2,,,,,,,,,,2
4700 JAMES AVE,,,,,1,1,,,,,,,2
4700 MILLER AV,1,1,,,,,,,,,,,2
4700 OVERTON RIDGE BL,,,,,,,,,,,2,,2
4700 RICHARDSON ST,,,,2,,,,,,,,,2
4700 SEA RIDGE CT,,,,,1,1,,,,,,,2
4700 SPOON DRIFT DR,,,,,,2,,,,,,,2
4700 SUNSHINE DR,,,,,1,1,,,,,,,2
4700 SYCAMORE SCHOOL RD,,,,1,1,,,,,,,,2
4700 TALLMAN ST,,,,,2,,,,,,,,2
4800 DAVY CROCKETT TRL,,,,,2,,,,,,,,2
4800 EDDLEMAN DR,,,,1,1,,,,,,,,2
4800 FLAGSTONE DR,,,,1,,1,,,,,,,2
4800 FLAMINGO RD,,,,2,,,,,,,,,2
4800 LOIS ST,,,,,,2,,,,,,,2
4800 MADYSON RIDGE DR,,1,,,1,,,,,,,,2
4800 MELODYLANE ST,,,,,,2,,,,,,,2
4800 MISTY RIDGE DR,,,1,,1,,,,,,,,2
4800 NORMANDY RD,,,,,,1,,,,,1,,2
4800 PARK BEND DR,,,,1,,1,,,,,,,2
4800 PARK BROOK DR,,1,,1,,,,,,,,,2
4800 S INTERSTATE 820 FW,1,,1,,,,,,,,,,2
4800 SEWELL AVE,,,,,,,,,,,2,,2
4800 WALDEMAR ST,,,2,,,,,,,,,,2
4800 WEST FREEWAY SERVICE ROAD,1,,1,,,,,,,,,,2
4800 WEST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,2,,,,,,2
4800 WOODSTOCK DR,,,1,,1,,,,,,,,2
4900 ALLIANCE GATEWAY FREEWAY,,,,,,2,,,,,,,2
4900 BARNETT ST,,,,1,,1,,,,,,,2
4900 BRIDGE ST,,,,,2,,,,,,,,2
4900 CARAWAY DR,,,,,1,1,,,,,,,2
4900 CEDAR HILL RD,,,,,1,1,,,,,,,2
4900 DREXEL DR,,,1,,,1,,,,,,,2
4900 JAMES AV,1,1,,,,,,,,,,,2
4900 MARINEWAY DR,,1,,,,1,,,,,,,2
4900 MARTIN LUTHER KING FREEWAY,,,,2,,,,,,,,,2
4900 MCCART AVE,,,,2,,,,,,,,,2
4900 OLLIE ST,,,1,,,1,,,,,,,2
4900 STIRRUP WAY,,2,,,,,,,,,,,2
4900 VINETTA DR,,1,,,1,,,,,,,,2
500 ANNAPOLIS DR,,,,,1,1,,,,,,,2
500 BRANDING IRON TRL,,,,,,2,,,,,,,2
500 BRASENOSE ST,,,,,1,1,,,,,,,2
500 COLVIN AV,,1,,1,,,,,,,,,2
500 E BOLT ST,,,,,,,,,,,2,,2
500 EAST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,2,,,,,,2
500 ELDERWOOD TRL,,,,,1,1,,,,,,,2
500 ELEKTOY WAY,1,1,,,,,,,,,,,2
500 ELM ST,,,,,,2,,,,,,,2
500 MISTY MOUNTAIN DR,,,,1,1,,,,,,,,2
500 N INTERSTATE 820 FW,1,,1,,,,,,,,,,2
500 N JIM WRIGHT FW,2,,,,,,,,,,,,2
500 NEW YORK AV,,2,,,,,,,,,,,2
500 NORTHWEST LOOP INTERSTATE 820,,1,1,,,,,,,,,,2
500 NW JIM WRIGHT FW,,2,,,,,,,,,,,2
500 OAK HOLLOW LN,,,,,,,,,,,2,,2
500 PANAY WAY DR,,,,1,1,,,,,,,,2
500 PENNSYLVANIA AV,2,,,,,,,,,,,,2
500 SAMUELS AV,,,2,,,,,,,,,,2
500 SOUTH FREEWAY SERVICE ROAD,,1,,,1,,,,,,,,2
500 TENNESSEE AV,,1,1,,,,,,,,,,2
500 WOODROW AVE,,,,1,1,,,,,,,,2
5000 ALTAMESA BL,,,,,1,,,,,,,1,2
5000 BARNETT ST,,,,,,2,,,,,,,2
5000 BOMFORD DR,,,,,1,1,,,,,,,2
5000 CASSIDY LN,,,,,,,2,,,,,,2
5000 CEDAR SPRINGS DR,1,,,,,1,,,,,,,2
5000 CROMWELL MARINE CREE RD,,,,,1,1,,,,,,,2
5000 CRYSTAL VIEW DR,,,,2,,,,,,,,,2
5000 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,,2,,,,,2
5000 LEMON GROVE DR,1,,,1,,,,,,,,,2
5000 LEWIS TRL,,,,,,,,,,,2,,2
5000 MAYFAIR ST,,,1,1,,,,,,,,,2
5000 MOUNTAIN VALLEY CT,,,1,,1,,,,,,,,2
5000 NOLAN ST,,,1,,1,,,,,,,,2
5000 RESOURCE DR,,,,,,2,,,,,,,2
5000 S INTERSTATE 820 FW,,1,,1,,,,,,,,,2
5000 SAILWIND DR,,,,,,2,,,,,,,2
5000 SAM HOUSTON AVE,,,,1,1,,,,,,,,2
5000 SOUTHFIELD PA,,,,1,,1,,,,,,,2
5000 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,,,,,,,2
5000 TRENTMAN ST,,,,,1,1,,,,,,,2
5000 WHISPER DR,,,,,,2,,,,,,,2
5100 A ROBERSON BL,,,,,,1,,,,1,,,2
5100 ALTAIR BL,,,,,2,,,,,,,,2
5100 BREEZEWIND LN,,,,,1,1,,,,,,,2
5100 BROKEN BOW DR,,,1,1,,,,,,,,,2
5100 BUTTONWILLOW DR,,,,,,2,,,,,,,2
5100 COCKRELL AVE,,,,,1,1,,,,,,,2
5100 CORDOVA AVE,,,,1,,1,,,,,,,2
5100 CORTEZ CT,,,,2,,,,,,,,,2
5100 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,1,1,,,,,2
5100 GULFWIND LN,2,,,,,,,,,,,,2
5100 MCCART AV,2,,,,,,,,,,,,2
5100 MEANDERING CREEK CT,,,,2,,,,,,,,,2
5100 NELL ST,,,,,,2,,,,,,,2
5100 NOLAN ST,1,,,,,1,,,,,,,2
5100 PECOS RIVER TR,,1,1,,,,,,,,,,2
5100 RANCHO VERDE PK,,,,1,,1,,,,,,,2
5100 ROYAL DR,2,,,,,,,,,,,,2
5100 THISTLE DR,,,,,,2,,,,,,,2
5100 VILLAGE CREEK RD,,1,,,1,,,,,,,,2
5100 WINIFRED DR,,,,,1,1,,,,,,,2
5200 AGAVE WAY,,1,1,,,,,,,,,,2
5200 ARCHER DR,,,,,,2,,,,,,,2
5200 BELLIS DR,,,,1,1,,,,,,,,2
5200 BLUE MOUND RD,1,,,,1,,,,,,,,2
5200 BONNELL AV,,2,,,,,,,,,,,2
5200 BRENTWOOD STAIR RD,,1,,,,1,,,,,,,2
5200 BRYCE AVE,,,,2,,,,,,,,,2
5200 CORDOVA AVE,,,,,,2,,,,,,,2
5200 CORNERWOOD DR,,,,1,1,,,,,,,,2
5200 DUNBAR ST,,,,,,2,,,,,,,2
5200 HEMPHILL ST,,,,,1,1,,,,,,,2
5200 KILPATRICK AVE,,,,,1,1,,,,,,,2
5200 LOVELL AVE,,,,2,,,,,,,,,2
5200 MILLER AVE,,,,2,,,,,,,,,2
5200 N BEACH ST,,,,,,,,,,,2,,2
5200 PERSHING AVE,,,,1,,1,,,,,,,2
5200 POST RIDGE DR,,,,,1,1,,,,,,,2
5200 QUAIL CREEK CT,,,,,1,,,,,,1,,2
5200 SAUNDERS RD,,,,,2,,,,,,,,2
5200 STACEY ST,1,,1,,,,,,,,,,2
5200 WHISTLER DR,,,,,,2,,,,,,,2
5300 ALTA LOMA DR,,,,1,1,,,,,,,,2
5300 AZLE AVE,,,,,2,,,,,,,,2
5300 BIG BEND DR,,,1,1,,,,,,,,,2
5300 DIAZ AVE,,,,1,1,,,,,,,,2
5300 DOVE CREEK DR,,,,,1,1,,,,,,,2
5300 ELGIN ST,,,,1,1,,,,,,,,2
5300 GOODMAN AV,2,,,,,,,,,,,,2
5300 KESWICK DR,1,,,,1,,,,,,,,2
5300 LAKE CHELEN DR,,,,,,2,,,,,,,2
5300 LAKE MEAD TRL,,1,,1,,,,,,,,,2
5300 LIBBEY AVE,,,,,1,1,,,,,,,2
5300 LUBBOCK AVE,,,,,1,1,,,,,,,2
5300 MURRIETA WAY,1,1,,,,,,,,,,,2
5300 NEW CASTLETON LN,,,,,1,1,,,,,,,2
5300 NORTH FREEWAY,,,,,1,1,,,,,,,2
5300 POST RIDGE DR,1,,,,1,,,,,,,,2
5300 S INTERSTATE 820 FW,,1,1,,,,,,,,,,2
5300 SUMMER MEADOWS DR,,,,1,1,,,,,,,,2
5300 TRENTMAN ST,,,,,,2,,,,,,,2
5300 WARM SPRINGS TRL,,,,2,,,,,,,,,2
5300 WATERBROOK ST,,,,,1,1,,,,,,,2
5400 3 PARKER HENDERSON RD M,,,,,,,,,,,,2,2
5400 AMMONS,2,,,,,,,,,,,,2
5400 BONNELL AVE,,,,,1,1,,,,,,,2
5400 BYERS AVE,,,,1,1,,,,,,,,2
5400 CHAMPLAIN DR,,1,,,,1,,,,,,,2
5400 CROWLEY RD,,,,1,1,,,,,,,,2
5400 CURZON AVE,,,,,,2,,,,,,,2
5400 EAST FREEWAY,,,,,1,,,1,,,,,2
5400 ENCLAVE CI,,,1,1,,,,,,,,,2
5400 HUMBERT AV,1,1,,,,,,,,,,,2
5400 KILPATRICK AVE,,,,1,1,,,,,,,,2
5400 LASTER RD,,,,,1,1,,,,,,,2
5400 LUBBOCK AV,1,1,,,,,,,,,,,2
5400 SOUTH FW,1,1,,,,,,,,,,,2
5400 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,,1,,,,,2
5400 TRENTMAN ST,,,,1,,1,,,,,,,2
5400 VAN NATTA LN,,,,,,2,,,,,,,2
5400 WESTCREEK DR,,,,1,,1,,,,,,,2
5500 ALTAMESA BL,,,,,1,,,,,,,1,2
5500 APPALACHIAN WAY,1,,1,,,,,,,,,,2
5500 BRUBECK LN,,,,,2,,,,,,,,2
5500 COLLINWOOD AVE,,,,1,1,,,,,,,,2
5500 COTTEY ST,,1,,,,1,,,,,,,2
5500 DIAZ AV,,2,,,,,,,,,,,2
5500 EAST FREEWAY,,,,,1,,,1,,,,,2
5500 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,,2,,,,,2
5500 EASTWEDGE DR,,,,,1,1,,,,,,,2
5500 FURSMAN AVE,,,,1,1,,,,,,,,2
5500 HOUGHTON AV,1,1,,,,,,,,,,,2
5500 LUBBOCK AV,1,,1,,,,,,,,,,2
5500 MONTHAVEN DR,,,,,,2,,,,,,,2
5500 MURTON PL,,,,,,1,,,,,1,,2
5500 NORTHEAST LOOP INTERSTATE 820,,,,,,,,2,,,,,2
5500 SEABURY DR,,,,1,1,,,,,,,,2
5500 SHADYDELL DR,,,,,,2,,,,,,,2
5500 SOUTHWEST BL,,,,1,1,,,,,,,,2
5500 STONE MEADOW LN,,,,,1,1,,,,,,,2
5500 SUMMER MEADOWS DR,,,,,1,1,,,,,,,2
5500 WILTSHIRE DR,,,,,,2,,,,,,,2
5500 ZANE CT,,,,1,,1,,,,,,,2
5600 AZLE AV,,1,1,,,,,,,,,,2
5600 BLACKMON CT,,,,1,,1,,,,,,,2
5600 BLACKMORE AV,,2,,,,,,,,,,,2
5600 BROKEN GAP DR,,,,,,2,,,,,,,2
5600 CARVER DR,1,,,,1,,,,,,,,2
5600 DESERT WILLOW CT,,,,,2,,,,,,,,2
5600 FARNSWORTH AVE,,,,1,1,,,,,,,,2
5600 FURSMAN AVE,,,,1,1,,,,,,,,2
5600 LAWNSBERRY DR,,,,,2,,,,,,,,2
5600 LOCKE AVE,,,,,,1,,,,,1,,2
5600 NORTH FREEWAY SERVICE ROAD,,1,,,1,,,,,,,,2
5600 NORTHFIELD DR,,1,,1,,,,,,,,,2
5600 OAK VIEW DR,,,,1,,1,,,,,,,2
5600 S INTERSTATE 820 FW,,2,,,,,,,,,,,2
5600 SEAWOOD DR,,,,,,2,,,,,,,2
5600 SHILOH DR,,,1,,1,,,,,,,,2
5600 TINKERBELL LN,,,,1,,,,1,,,,,2
5600 VEGA DR,1,,,1,,,,,,,,,2
5600 VICTORIA PL,,2,,,,,,,,,,,2
5600 VOLDER DR,,,,,,2,,,,,,,2
5600 WESTHAVEN DR,,,,,,2,,,,,,,2
5600 WINIFRED DR,,,,,1,1,,,,,,,2
5700 BRAEWOOD LN,,,1,,,1,,,,,,,2
5700 CRAIG ST,,,,,1,1,,,,,,,2
5700 CROWDER DR,1,,1,,,,,,,,,,2
5700 DONNELLY AVE,,,,1,1,,,,,,,,2
5700 E INTERSTATE 820 FREEWAY S,,,,2,,,,,,,,,2
5700 ELLIOT REEDER RD,,,,,2,,,,,,,,2
5700 FURSMAN AVE,,,,1,1,,,,,,,,2
5700 GEDDES AV,1,1,,,,,,,,,,,2
5700 HEMPHILL ST,,,,1,,1,,,,,,,2
5700 MARK IV PK,,,,,2,,,,,,,,2
