10001, 9500 LANE AVENUE, KANSAS CITY, MO, 64138
10332, E 10 STREET and BRIGHTON AVENUE, KANSAS CITY, MO, 64124
10333, E 10 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64127
10334, E 10 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64123
10335, E 10 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64128
10336, E 10 STREET and EWING AVENUE, KANSAS CITY, MO, 64125
10337, E 10 STREET and FOREST AVE, KANSAS CITY, MO, 64106
10338, E 10 STREET and FREMONT AVENUE, KANSAS CITY, MO, 64123
10339, E 10 STREET and HARRISON STREET, KANSAS CITY, MO,
10340, E 10 STREET and HOLMES STREET, KANSAS CITY, MO, 64106
10341, E 10 STREET and HOLMES STREET, KANSAS CITY, MO, 64108
10342, E 10 STREET and HOLMES STREET, KANSAS CITY, MO, 64109
10343, E 10 STREET and INDIANA AVENUE, KANSAS CITY, MO,
10344, E 10 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64131
10345, E 10 STREET and LOCUST STREET, KANSAS CITY, MO, 64111
10346, E 10 STREET and MAIN STREET, KANSAS CITY, MO,
10347, E 10 STREET and MAIN STREET, KANSAS CITY, MO, 64107
10348, E 10 STREET and MAIN STREET, KANSAS CITY, MO, 64110
10349, E 10 STREET and MAIN STREET, KANSAS CITY, MO, 64127
10350, E 10 STREET and OAK STREET, KANSAS CITY, MO, 64106
10351, E 10 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64124
10352, E 10 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127
10353, E 10 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64124
10354, E 10 STREET and TRACY AVENUE, KANSAS CITY, MO, 64127
10355, E 10 STREET and TROOST AVENUE, KANSAS CITY, MO, 64108
10356, E 10 STREET and TROOST AVENUE, KANSAS CITY, MO, 64109
10357, E 10 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127
10358, E 10 STREET and WALNUT STREET, KANSAS CITY, MO, 64106
10359, E 10 STREET and WALNUT STREET, KANSAS CITY, MO, 64108
10360, E 10 STREET and WINNER ROAD, KANSAS CITY, MO,
10361, E 10 STREET and WINNER ROAD, KANSAS CITY, MO, 64127
10362, E 10 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64109
10363, E 10 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64115
10364, E 100 STREET and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64134
10365, E 100 TERRACE and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64134
10366, E 101 STREET and BELMONT AVENUE, KANSAS CITY, MO, 64134
10367, E 101 STREET and FREMONT AVENUE, KANSAS CITY, MO, 64134
10368, E 101 TERRACE and VIRGINIA AVENUE, KANSAS CITY, MO, 64117
10369, E 102 STREET and WORNALL ROAD, KANSAS CITY, MO, 64114
10370, E 103 STREET and GRANDVIEW ROAD, KANSAS CITY, MO, 64134
10371, E 103 STREET and HILLCREST ROAD, KANSAS CITY, MO, 64137
10372, E 103 STREET and I 435 W TO 103 STREET RA, KANSAS CITY, MO, 64134
10373, E 103 STREET and I 435 W TO HOLMES RA, KANSAS CITY, MO, 64137
10374, E 103 TERRACE and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64134
10375, E 103 TERRACE and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64149
10376, E 104 STREET and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64137
10377, E 104 STREET and HILLCREST AVENUE, KANSAS CITY, MO, 64134
10378, E 104 STREET and HOLMES ROAD, KANSAS CITY, MO, 64131
10379, E 104 STREET and HOLMES ROAD, KANSAS CITY, MO, 64133
10380, E 104 STREET and I 435 E TO HOLMES RA, KANSAS CITY, MO, 64114
10381, E 104 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64130
10382, E 105 STREET and HOLMES ROAD, KANSAS CITY, MO, 64114
10383, E 105 STREET and HOLMES ROAD, KANSAS CITY, MO, 64145
10384, E 107 PL and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64134
10385, E 107 PL and HILLCREST ROAD, KANSAS CITY, MO,
10386, E 107 STREET and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64130
10387, E 107 STREET and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64138
10388, E 107 STREET and BRISTOL TERRACE, KANSAS CITY, MO,
10389, E 107 STREET and ELM AVENUE, KANSAS CITY, MO, 64134
10390, E 107 STREET and ELM AVENUE, KANSAS CITY, MO, 64138
10391, E 107 STREET and EWING AVENUE, KANSAS CITY, MO,
10392, E 107 STREET and GREENWOOD ROAD, KANSAS CITY, MO, 64134
10393, E 107 STREET and JAMES A REED ROAD, KANSAS CITY, MO, 64134
10394, E 107 STREET and LANE AVENUE, KANSAS CITY, MO, 64134
10395, E 107 STREET and RICHMOND AVENUE, KANSAS CITY, MO, 64134
10396, E 107 TERRACE and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64132
10397, E 107 TERRACE and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64149
10398, E 108 STREET and GREENWOOD ROAD, KANSAS CITY, MO, 64138
10399, E 109 STREET and BEACON AVENUE, KANSAS CITY, MO, 64130
10400, E 109 STREET and BENNINGTON AVENUE, KANSAS CITY, MO, 64134
10401, E 109 STREET and FOREMAN ROAD, KANSAS CITY, MO, 64134
10402, E 109 STREET and HOLMES ROAD, KANSAS CITY, MO, 64131
10403, E 109 STREET and VIEW HIGH DR, KANSAS CITY, MO, 64138
10404, E 109 TERRACE and RUSKIN WAY, KANSAS CITY, MO, 64134
10405, E 11 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64106
10406, E 11 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64109
10407, E 11 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64110
10408, E 11 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64114
10409, E 11 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 66105
10410, E 11 STREET and HARRISON STREET, KANSAS CITY, MO, 64106
10411, E 11 STREET and MONROE AVENUE, KANSAS CITY, MO, 64125
10412, E 11 STREET and PASEO, KANSAS CITY, MO, 64105
10413, E 11 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127
10414, E 11 STREET and WHITE AVENUE, KANSAS CITY, MO, 64126
10415, E 110 STREET and HARRISON STREET, KANSAS CITY, MO, 64131
10416, E 110 STREET and HOLMES ROAD, KANSAS CITY, MO, 64114
10417, E 110 TERRACE and BOOTH AVENUE, KANSAS CITY, MO, 64134
10418, E 110 TERRACE and NEWTON AVENUE, KANSAS CITY, MO, 64134
10419, E 111 STREET and WINCHESTER AVENUE, KANSAS CITY, MO, 64134
10420, E 112 STREET and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64134
10421, E 112 STREET and RUSKIN WAY, KANSAS CITY, MO, 64134
10422, E 112 STREET and RUSKIN WAY, KANSAS CITY, MO, 64138
10423, E 112 TERRACE and COLLEGE AVENUE, KANSAS CITY, MO, 64137
10424, E 113 STREET and CORRINGTON AVENUE, KANSAS CITY, MO, 64134
10425, E 113 STREET and EASTERN AVENUE, KANSAS CITY, MO, 64134
10426, E 113 TERRACE and JACKSON AVENUE, KANSAS CITY, MO, 64137
10427, E 114 STREET and GREENWOOD ROAD, KANSAS CITY, MO, 64134
10428, E 115 STREET and HOLMES ROAD, KANSAS CITY, MO, 64114
10429, E 116 STREET and BLUE RIVER ROAD, KANSAS CITY, MO, 64137
10430, E 117 TERRACE and OAK STREET, KANSAS CITY, MO, 64134
10431, E 118 TERRACE and FOOD LN, KANSAS CITY, MO, 64134
10432, E 12 STREET and ASKEW AVENUE, KANSAS CITY, MO, 64127
10433, E 12 STREET and BELLAIRE AVENUE, KANSAS CITY, MO, 64126
10434, E 12 STREET and BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64126
10435, E 12 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64126
10436, E 12 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64108
10437, E 12 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64105
10438, E 12 STREET and CHERRY STREET, KANSAS CITY, MO, 64105
10439, E 12 STREET and CHERRY STREET, KANSAS CITY, MO, 64130
10440, E 12 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64124
10441, E 12 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64126
10442, E 12 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64124
10443, E 12 STREET and CRYSTAL AVENUE, KANSAS CITY, MO, 64126
10444, E 12 STREET and CRYSTAL AVENUE, KCMO, MO, 64126
10445, E 12 STREET and DENVER AVENUE, KANSAS CITY, MO, 64123
10446, E 12 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64127
10447, E 12 STREET and EUCLID AVENUE, KANSAS CITY, MO, 64127
10448, E 12 STREET and EWING AVENUE, KANSAS CITY, MO, 64125
10449, E 12 STREET and EWING AVENUE, KANSAS CITY, MO, 64127
10450, E 12 STREET and FOREST AVENUE, KANSAS CITY, MO, 64108
10451, E 12 STREET and FREMONT AVENUE, KANSAS CITY, MO, 64108
10452, E 12 STREET and FULLER AVENUE, KANSAS CITY, MO,
10453, E 12 STREET and GRAND BOULEVARD, KANSAS CITY, MO,
10454, E 12 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64110
10455, E 12 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64105
10456, E 12 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64124
10457, E 12 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64125
10458, E 12 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64130
10459, E 12 STREET and I 435 S TO 12 STREET RA, KANSAS CITY, MO, 64127
10460, E 12 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64127
10461, E 12 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64126
10462, E 12 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64128
10463, E 12 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64130
10464, E 12 STREET and LOCUST STREET, KANSAS CITY, MO, 64108
10465, E 12 STREET and MCGEE STREET, KANSAS CITY, MO, 64108
10466, E 12 STREET and MCGEE STREET, KANSAS CITY, MO, 64109
10467, E 12 STREET and MICHIGAN AVENUE, KANSAS CITY, MO, 64106
10468, E 12 STREET and NORTON AVENUE, KANSAS CITY, MO, 64127
10469, E 12 STREET and OAK STREET, KANSAS CITY, MO, 61406
10470, E 12 STREET and OAK STREET, KANSAS CITY, MO, 64105
10471, E 12 STREET and OAK STREET, KANSAS CITY, MO, 64108
10472, E 12 STREET and OAK STREET, KANSAS CITY, MO, 64109
10473, E 12 STREET and OAKLEY AVENUE, KANSAS CITY, MO, 64128
10474, E 12 STREET and OLIVE STREET, KANSAS CITY, MO, 64127
10475, E 12 STREET and PASEO, KANSAS CITY, MO, 64127
10476, E 12 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64123
10477, E 12 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64127
10478, E 12 STREET and TRACY AVENUE, KANSAS CITY, MO, 64108
10479, E 12 STREET and TROOST AVENUE, KANSAS CITY, MO,
10480, E 12 STREET and TROOST AVENUE, KANSAS CITY, MO, 64111
10481, E 12 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64123
10482, E 12 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64126
10483, E 12 STREET and WALNUT STREET, KANSAS CITY, MO,
10484, E 12 STREET and WALNUT STREET, KANSAS CITY, MO, 64127
10485, E 12 STREET and WHITE AVENUE, KANSAS CITY, MO, 64124
10486, E 12 STREET and WINCHESTER AVENUE, KANSAS CITY, MO,
10487, E 12 STREET and WINCHESTER AVENUE, KANSAS CITY, MO, 64125
10488, E 12 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64109
10489, E 12 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64123
10490, E 122 TERRACE and HOLMES ROAD, KANSAS CITY, MO, 64146
10491, E 129 STREET and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64114
10492, E 129 STREET and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64146
10493, E 12TH and OAK STREET, KANSAS CITY, MO, 64106
10494, E 13 STREET and BALES AVENUE, KANSAS CITY, MO, 64127
10495, E 13 STREET and BELMONT AVENUE, KANSAS CITY, MO, 64126
10496, E 13 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64109
10497, E 13 STREET and EWING AVENUE, KANSAS CITY, MO, 64124
10498, E 13 STREET and EWING AVENUE, KANSAS CITY, MO, 64127
10499, E 13 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64111
10500, E 13 STREET and HOLMES STREET, KANSAS CITY, MO, 64105
10501, E 13 STREET and HOLMES STREET, KANSAS CITY, MO, 64108
10502, E 13 STREET and HOLMES STREET, KANSAS CITY, MO, 64109
10503, E 13 STREET and LYDIA AVENUE, KANSAS CITY, MO, 64106
10504, E 13 STREET and MAIN STREET, KANSAS CITY, MO,
10505, E 13 STREET and MAIN STREET, KANSAS CITY, MO, 64111
10506, E 13 STREET and MCGEE STREET, KANSAS CITY, MO, 64081
10507, E 13 STREET and MCGEE STREET, KANSAS CITY, MO, 64108
10508, E 13 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64119
10509, E 13 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64127
10510, E 13 STREET and TRACY AVENUE, KANSAS CITY, MO, 64106
10511, E 13 STREET and VINE STREET, KANSAS CITY, MO, 64106
10512, E 13 STREET and VINE STREET, KANSAS CITY, MO, 64108
10513, E 13 STREET and VIRGINIA AVENUE, KANSAS CITY, MO, 64106
10514, E 13 STREET and WALNUT STREET, KANSAS CITY, MO, 64110
10515, E 13 STREET and WINCHESTER AVENUE, KANSAS CITY, MO, 64127
10516, E 130 STREET and VIRGINIA AVENUE, KANSAS CITY, MO, 64145
10517, E 132 TERRACE and CHERRY STREET, KANSAS CITY, MO, 64114
10518, E 132 TERRACE and LOCUST STREET, KANSAS CITY, MO, 64146
10519, E 133 STREET and LOCUST STREET, KANSAS CITY, MO, 64145
10520, E 134 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64146
10521, E 135 STREET and HOLMES ROAD, KANSAS CITY, MO, 64134
10522, E 135 STREET and WORNALL ROAD, KANSAS CITY, MO, 64145
10523, E 137 STREET and HOLMES ROAD, KANSAS CITY, MO, 64106
10524, E 139 STREET and HOLMES ROAD, KANSAS CITY, MO,
10525, E 14 STREET and ASKEW AVENUE, KANSAS CITY, MO, 64123
10526, E 14 STREET and BALES AVENUE, KANSAS CITY, MO,
10527, E 14 STREET and BALES AVENUE, KANSAS CITY, MO, 64127
10528, E 14 STREET and BELMONT AVENUE, KANSAS CITY, MO, 64123
10529, E 14 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64128
10530, E 14 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64127
10531, E 14 STREET and EWING AVENUE, KANSAS CITY, MO, 64126
10532, E 14 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64109
10533, E 14 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64106
10534, E 14 STREET and KANSAS AVENUE, KANSAS CITY, MO, 64127
10535, E 14 STREET and MAIN STREET, KANSAS CITY, MO, 64111
10536, E 14 STREET and PASEO TO I 70 W RA, KANSAS CITY, MO, 64106
10537, E 14 STREET and PASEO, KANSAS CITY, MO, 64108
10538, E 14 STREET and PASEO, KANSAS CITY, MO, 64124
10539, E 14 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64109
10540, E 14 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64124
10541, E 14 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64126
10542, E 14 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64127
10543, E 14 STREET and VINE STREET, KANSAS CITY, MO, 64106
10544, E 14 STREET and VINE STREET, KANSAS CITY, MO, 64111
10545, E 14 STREET and WALNUT STREET, KANSAS CITY, MO, 64105
10546, E 14 STREET and WALNUT STREET, KANSAS CITY, MO, 64108
10547, E 14 STREET and WINCHESTER AVENUE, KANSAS CITY, MO, 64123
10548, E 14 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64106
10549, E 14 TERRACE and LOCUST STREET, KANSAS CITY, MO, 64106
10550, E 149 STREET and BOTTS ROAD, KANSAS CITY, MO, 64145
10551, E 15 TERRACE and BENNINGTON AVENUE, KANSAS CITY, MO, 64126
10552, E 15 TERRACE and BROOKLYN AVENUE, KANSAS CITY, MO, 64127
10553, E 15 TERRACE and GARFIELD AVENUE, KANSAS CITY, MO, 64127
10554, E 15 TERRACE and WHITE AVENUE, KANSAS CITY, MO, 64127
10555, E 15 TERRACE and WOODLAND AVENUE, KANSAS CITY, MO, 64106
10556, E 155 and ARNOLD, KANSAS CITY, MO, 64145
10557, E 155 STREET and N SCOTT, KANSAS CITY, MO, 64145
10558, E 155 STREET and S US HIGHWAY 71, KANSAS CITY, MO, 64133
10559, E 155 STREET and S US HIGHWAY 71, KANSAS CITY, MO, 64147
10560, E 155 STREET and US HIGHWAY 71 OFF RA, KANSAS CITY, MO, 64147
10561, E 155 STREET and US HIGHWAY 71, KANSAS CITY, MO, 64145
10562, E 16 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64106
10563, E 16 STREET and CHERRY STREET, KANSAS CITY, MO, 64108
10564, E 16 STREET and CYPRESS AVENUE, KANSAS CITY, MO, 64127
10565, E 16 STREET and EWING AVENUE, KANSAS CITY, MO, 64125
10566, E 16 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64105
10567, E 16 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64106
10568, E 16 STREET and HARDESTY AVENUE, KANSAS CITY, MO,
10569, E 16 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64127
10570, E 16 STREET and LISTER AVENUE, KANSAS CITY, MO,
10571, E 16 STREET and MAIN STREET, KANSAS CITY, MO, 64109
10572, E 16 STREET and MCGEE STREET, KANSAS CITY, MO, 64105
10573, E 16 STREET and OAK STREET, KANSAS CITY, MO, 64106
10574, E 16 STREET and OAK STREET, KANSAS CITY, MO, 64108
10575, E 16 STREET and OAKLEY AVENUE, KANSAS CITY, MO, 64127
10576, E 16 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64126
10577, E 16 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64108
10578, E 16 STREET S and S ARLINGTON AVENUE, INDEPENDENCE, MO,
10579, E 16 TERRACE and BELMONT AVENUE, KANSAS CITY, MO, 64126
10580, E 16 TERRACE and BENNINGTON AVENUE, KANSAS CITY, MO, 64127
10581, E 16 TERRACE and BRISTOL AVENUE, KANSAS CITY, MO, 64126
10582, E 16 TERRACE and TOPPING AVENUE, KANSAS CITY, MO, 64127
10583, E 17 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64127
10584, E 17 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64108
10585, E 17 STREET and CHELSEA AVENUE, KANSAS CITY, MO, 64124
10586, E 17 STREET and CHERRY STREET, KANSAS CITY, MO,
10587, E 17 STREET and CHERRY STREET, KANSAS CITY, MO, 64109
10588, E 17 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64124
10589, E 17 STREET and CORRINGTON AVENUE, KANSAS CITY, MO, 64127
10590, E 17 STREET and CRYSTAL AVENUE, KANSAS CITY, MO, 64126
10591, E 17 STREET and CRYSTAL AVENUE, KANSAS CITY, MO, 64133
10592, E 17 STREET and GRAND BOULEVARD, KANSAS CITY, MO,
10593, E 17 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64126
10594, E 17 STREET and HOLMES STREET, KANSAS CITY, MO, 64108
10595, E 17 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64127
10596, E 17 STREET and MAIN STREET, KANSAS CITY, MO, 64111
10597, E 17 STREET and MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64129
10598, E 17 STREET and MCGEE STREET, KANSAS CITY, MO, 64106
10599, E 17 STREET and MCGEE STREET, KANSAS CITY, MO, 64127
10600, E 17 STREET and NEWTON AVENUE, KANSAS CITY, MO, 64127
10601, E 17 STREET and OAK STREET, KANSAS CITY, MO, 64109
10602, E 17 STREET and TROOST AVENUE, KANSAS CITY, MO, 64106
10603, E 17 STREET and WALNUT STREET, KANSAS CITY, MO, 64106
10604, E 17 STREET and WALNUT STREET, KANSAS CITY, MO, 64109
10605, E 17 TERRACE and VINE STREET, KANSAS CITY, MO, 64108
10606, E 17 TERRACE and WOODLAND AVENUE, KANSAS CITY, MO, 64106
10607, E 18 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64123
10608, E 18 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64108
10609, E 18 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64127
10610, E 18 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64106
10611, E 18 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64108
10612, E 18 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64110
10613, E 18 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64127
10614, E 18 STREET and CORRINGTON AVENUE, KANSAS CITY, MO, 64126
10615, E 18 STREET and CORRINGTON AVENUE, KANSAS CITY, MO, 64127
10616, E 18 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64127
10617, E 18 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64109
10618, E 18 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64110
10619, E 18 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64126
10620, E 18 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64108
10621, E 18 STREET and LOCUST STREET, KANSAS CITY, MO, 64106
10622, E 18 STREET and LYDIA AVENUE, KANSAS CITY, MO, 64108
10623, E 18 STREET and MAIN STREET, KANSAS CITY, MO, 64109
10624, E 18 STREET and OLIVE STREET, KANSAS CITY, MO, 64127
10625, E 18 STREET and PASEO, KANSAS CITY, MO, 64109
10626, E 18 STREET and PASEO, KANSAS CITY, MO, 64124
10627, E 18 STREET and PASEO, KANSAS CITY, MO, 64126
10628, E 18 STREET and PASEO, KANSAS CITY, MO, 64138
10629, E 18 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64106
10630, E 18 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130
10631, E 18 STREET and TROOST AVENUE, KANSAS CITY, MO, 64127
10632, E 18 STREET and VINE STREET, KANSAS CITY, MO, 64107
10633, E 18 STREET and VINE STREET, KANSAS CITY, MO, 64110
10634, E 18 STREET and VINE STREET, KANSAS CITY, MO, 64112
10635, E 18 STREET and VINE STREET, KANSAS CITY, MO, 64130
10636, E 18 STREET and WOODLAND AVENUE, KANSAS CITY, MO,
10637, E 18 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64124
10638, E 18 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64212
10639, E 19 STREET and AGNES AVENUE, KANSAS CITY, MO, 64127
10640, E 19 STREET and CHERRY STREET, KANSAS CITY, MO,
10641, E 19 STREET and CHERRY STREET, KANSAS CITY, MO, 64109
10642, E 19 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64111
10643, E 19 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64116
10644, E 19 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64124
10645, E 19 STREET and HOLMES STREET, KANSAS CITY, MO, 64108
10646, E 19 STREET and HOLMES STREET, KANSAS CITY, MO, 64109
10647, E 19 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64127
10648, E 19 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64127
10649, E 19 STREET and MAIN STREET, KANSAS CITY, MO, 64106
10650, E 19 STREET and MCGEE STREET, KANSAS CITY, MO, 64105
10651, E 19 STREET and OAK STREET, KANSAS CITY, MO, 64111
10652, E 19 STREET and PASEO, KANSAS CITY, MO, 64106
10653, E 19 STREET and TROOST AVENUE, KANSAS CITY, MO, 64108
10654, E 19 STREET and TROOST AVENUE, KANSAS CITY, MO, 64110
10655, E 19 STREET and VINE STREET, KANSAS CITY, MO, 64106
10656, E 19 STREET and VINE STREET, KANSAS CITY, MO, 64124
10657, E 19 STREET and VINE STREET, KANSAS CITY, MO, 64127
10658, E 19 STREET and WALNUT STREET, KANSAS CITY, MO, 64106
10659, E 19 STREET and WALNUT STREET, KANSAS CITY, MO, 64108
10660, E 19 STREET and WALNUT STREET, KANSAS CITY, MO, 64109
10661, E 19 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64111
10662, E 2 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64105
10663, E 2 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64106
10664, E 2 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64108
10665, E 2 STREET and MAIN STREET, KANSAS CITY, MO, 64104
10666, E 2 STREET and MAIN STREET, KANSAS CITY, MO, 64108
10667, E 2 STREET and OAK STREET, KANSAS CITY, MO, 64106
10668, E 2 STREET and WALNUT STREET, KANSAS CITY, MO, 64102
10669, E 2 STREET and WALNUT STREET, KANSAS CITY, MO, 64103
10670, E 2 STREET and WALNUT STREET, KANSAS CITY, MO, 64105
10671, E 2 STREET and WALNUT STREET, KANSAS CITY, MO, 64116
10672, E 20 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64127
10673, E 20 STREET and CHELSEA AVENUE, KANSAS CITY, MO, 64127
10674, E 20 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64124
10675, E 20 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64124
10676, E 20 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64126
10677, E 20 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64110
10678, E 20 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64127
10679, E 20 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64126
10680, E 20 STREET and MAIN STREET, KANSAS CITY, MO,
10681, E 20 STREET and MAIN STREET, KANSAS CITY, MO, 64106
10682, E 20 STREET and MAIN STREET, KANSAS CITY, MO, 64108
10683, E 20 STREET and MAIN STREET, KANSAS CITY, MO, 64109
10684, E 20 STREET and MCGEE STREET, KANSAS CITY, MO, 64123
10685, E 20 STREET and OAK STREET, KANSAS CITY, MO, 64108
10686, E 20 STREET and OAK STREET, KANSAS CITY, MO, 64111
10687, E 20 STREET and OAK STREET, KANSAS CITY, MO, 64114
10688, E 20 STREET and QUINCY AVENUE, KANSAS CITY, MO,
10689, E 20 STREET and WABASH AVENUE, KANSAS CITY, MO, 64110
10690, E 20 STREET and WALNUT STREET, KANSAS CITY, MO, 64106
10691, E 21 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64108
10692, E 22 STREET and ASKEW AVENUE, KANSAS CITY, MO, 64127
10693, E 22 STREET and BALES AVENUE, KANSAS CITY, MO, 64128
10694, E 22 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64127
10695, E 22 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO,
10696, E 22 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64109
10697, E 22 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64114
10698, E 22 STREET and BRUCE WATKINS ACCESS RA, KANSAS CITY, MO, 64124
10699, E 22 STREET and CAMPBELL STREET, KANSAS CITY, MO,
10700, E 22 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64108
10701, E 22 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64108
