statutdesc,NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against
FOUND/ADULT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FOUND ANIMAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FOUND/PROPERTY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FOUND/JUVENILE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PUBLIC ASSIST/MOTORIST,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PUBLIC ASSIST/DELIVER EMERGENCY MESSAGE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PUBLIC ASSIST/CHECK WELFARE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PUBLIC ASSIST/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
CIVIL MATTER/COURT ORDER ENFORCE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
CIVIL MATTER/PRESERVE THE PEACE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
CIVIL MATTER/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FALSE ALARM/BUSINESS-HOLD UP,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FALSE ALARM/BUSINESS-SILENT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FALSE ALARM/BUSINESS-AUDIBLE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FALSE ALARM/RESIDENTIAL-SILENT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FALSE ALARM/RESIDENTIAL-AUDIBLE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FALSE ALARM/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FALSE ALARM/UNABLE TO LOCATE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
SUSPICIOUS ACTIVITY/VEHICLE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
SUSPICIOUS ACTIVITY/PERSON,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
SUSPICIOUS ACTIVITY/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
SUSPICIOUS ACTIVITY/UNABLE TO LOCATE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
DISTURBANCE/UNABLE TO LOCATE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
DISTURBANCE/NO COMPLAINANT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
DISTURBANCE/NO CRIMINAL VIOLATION,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
DISTURBANCE/PEACE RESTORED,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
DISTURBANCE/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
UNFOUNDED/NO BONAFIDE INCIDENT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
UNFOUNDED/NO VICTIM OR WITNESS FOUND,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
UNFOUNDED/NO SUCH ADDRESS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
ASSIST OTHER AGENCY/MUNICIPAL CRIMINAL JUSTICE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
ASSIST OTHER AGENCY/COUNTY CRIMINAL JUSTICE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
ASSIST OTHER AGENCY/STATE CRIMINAL JUSTICE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
ASSIST OTHER AGENCY/FEDERAL CRIMINAL JUSTICE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
ASSIST OTHER AGENCY/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
ASSIST OTHER AGENCY/IMMIGRATION AUTHORITY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
MISCELLANEOUS/OFFICER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
MISCELLANEOUS/PUBLIC,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
MISCELLANEOUS/PRISONER TRANSPORT - JAIL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
MISCELLANEOUS/POINT CONTROL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
MISCELLANEOUS/EXAM NO CRIMINAL PROSECUTION,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
MISCELLANEOUS/OPERATION DEEP FREEZE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
MISCELLANEOUS/PRISONER TRANSPORT - COURT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
COURT ORDER/ORDER OF PROTECTION,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
COURT ORDER/PRELIMINARY INJUNCTION,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
COURT ORDER/MENTAL HEALTH ORDER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
COURT ORDER/HARASSMENT ORDER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
COURT ORDER/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
WARRANTS/FELONY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
WARRANTS/MISDEMEANOR,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
WARRANTS/TRAFFIC,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
IMMIGRATION/LAWFUL/NON-ARREST SITUATION,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
IMMIGRATION/UNLAWFUL/NON-ARREST SITUATION,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
IMMIGRATION/BORDER PATROL CONTACTED RESPONDED,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
IMMIGRATION/BORDER PTRL CONTACTED UNABLE/FAILED TO RESPOND,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
IMMIGRATION/UNLAWFUL/NON-BOOKING ARREST SITUATION,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
IMMIGRATION/UNLAWFUL/CUSTODY XFERRED TO CBP,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
HUMAN TRAFFICKING/COMMERCIAL SEX ACTS,64A,"64A Human Trafficking, Commercial Sex Acts",Human Trafficking,Crimes against person
HUMAN TRAFFICKING/INVOLUNTARY SERVITUDE,64B,"64B Human Trafficking, Involuntary Servitude",Human Trafficking,Crimes against person
ARREST FOR OTHER JURISDICTION/FELONY WARRANT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
BURGLARY/UNLAWFUL ENTRY - NO FORCE,22U,22U Other Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
DISORDERLY CONDUCT/OTHER (TRESPASSING),90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society
LARCENY/AUTO PARTS & ACCESSORIES,23G,23G Theft of Motor Vehicle Parts or Accessories,Larceny/Theft Offenses,Crimes against property
LIQUOR LAWS/FURNISHING LIQUOR TO MINOR,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society
LOST/PROPERTY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
OTHER OFFENSES/OTHER MISDEMEANORS DV,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
"AGG SOLICIT - OBSTRUCT SAFE/FREE PASS, CAUSE EVASIVE ACTI ON",90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
GAMBLING/LOTTERY VIOLATIONS,39A,39A Betting/Wagering,Gambling Offenses,Crimes against society
TRAFFIC ACCIDENT/FATAL/HIT-AND-RUN/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
