NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,CATEGORY,OFFENSEDESCRIPTION
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,BURGLARY - UNOCCUPIED BUILDING OR OTHER STRUCTURE
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,BURGLARY -OTHER FORCED ENTRY
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,BURGLARY -SAFE/VAULT
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,OTHER BURGLARY,BURGLARY - ENTERING WITHOUT PERMISSION
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,BURGLARY,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,DAMAGE TO PROPERTY,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,DANGEROUS DRUGS,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,FRAUD,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,MISCELLANEOUS,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,OBSTRUCTING THE POLICE,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,STOLEN VEHICLE,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,WEAPONS OFFENSES,BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,BURGLARY,BURGLARY - FORCED ENTRY
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,DAMAGE TO PROPERTY,BURGLARY - FORCED ENTRY
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,DANGEROUS DRUGS,BURGLARY - FORCED ENTRY
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,FAMILY OFFENSE,BURGLARY - FORCED ENTRY
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,LARCENY,BURGLARY - FORCED ENTRY
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,MISCELLANEOUS,BURGLARY - FORCED ENTRY
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,OBSTRUCTING THE POLICE,BURGLARY - FORCED ENTRY
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,OTHER,BURGLARY - FORCED ENTRY
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,STOLEN PROPERTY,BURGLARY - FORCED ENTRY
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,STOLEN VEHICLE,BURGLARY - FORCED ENTRY
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,WEAPONS OFFENSES,BURGLARY - FORCED ENTRY
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,BURGLARY,ENTRY WITHOUT PERMISSION (NO INTENT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,DAMAGE TO PROPERTY,ENTRY WITHOUT PERMISSION (NO INTENT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,DANGEROUS DRUGS,ENTRY WITHOUT PERMISSION (NO INTENT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,FRAUD,ENTRY WITHOUT PERMISSION (NO INTENT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,LARCENY,ENTRY WITHOUT PERMISSION (NO INTENT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,MISCELLANEOUS,ENTRY WITHOUT PERMISSION (NO INTENT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,STOLEN PROPERTY,ENTRY WITHOUT PERMISSION (NO INTENT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,WEAPONS OFFENSES,ENTRY WITHOUT PERMISSION (NO INTENT)
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,BURGLARY,POSSESSION OF BURGLARY TOOLS
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,OTHER BURGLARY,POSSESSION OF BURGLARY TOOLS
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY,LARCENY - POCKET PICKING
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY,LARCENY - POCKETPICKING
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,STOLEN VEHICLE,LARCENY - POCKETPICKING
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,LARCENY,LARCENY - PURSE SNATCHING
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,LARCENY,LARCENY - PURSE SNATCHING - NO FORCE
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,DANGEROUS DRUGS,RETAIL FRAUD - THEFT
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,FRAUD,RETAIL FRAUD - THEFT
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,OTHER,RETAIL FRAUD - THEFT
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,LARCENY,RETAIL FRAUD THEFT 1ST DEGREE
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,LARCENY,RETAIL FRAUD THEFT 2ND DEGREE
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,LARCENY,"RETAIL FRAUD, THEFT 3RD DEGREE"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,LARCENY,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)"
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,DAMAGE TO PROPERTY,LARCENY - THEFT FROM BUILDING
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,DANGEROUS DRUGS,LARCENY - THEFT FROM BUILDING
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,DISORDERLY CONDUCT,LARCENY - THEFT FROM BUILDING
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,FORGERY,LARCENY - THEFT FROM BUILDING
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,FRAUD,LARCENY - THEFT FROM BUILDING
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,LARCENY,LARCENY - THEFT FROM BUILDING
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,MISCELLANEOUS,LARCENY - THEFT FROM BUILDING
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,OBSTRUCTING THE POLICE,LARCENY - THEFT FROM BUILDING
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,OTHER,LARCENY - THEFT FROM BUILDING
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,STOLEN VEHICLE,LARCENY - THEFT FROM BUILDING
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,LARCENY,LARCENY - FROM COIN MACHINES (INCLUDES TELEPHONE COIN BOX)
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),DAMAGE TO PROPERTY,LARCENY - PERSONAL PROPERTY FROM MOTOR VEHICLE
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),FRAUD,LARCENY - PERSONAL PROPERTY FROM MOTOR VEHICLE
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY,LARCENY - PERSONAL PROPERTY FROM MOTOR VEHICLE
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),MISCELLANEOUS,LARCENY - PERSONAL PROPERTY FROM MOTOR VEHICLE
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),OBSTRUCTING THE POLICE,LARCENY - PERSONAL PROPERTY FROM MOTOR VEHICLE
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),STOLEN PROPERTY,LARCENY - PERSONAL PROPERTY FROM MOTOR VEHICLE
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),STOLEN VEHICLE,LARCENY - PERSONAL PROPERTY FROM MOTOR VEHICLE
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),WEAPONS OFFENSES,LARCENY - PERSONAL PROPERTY FROM MOTOR VEHICLE
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY,LARCENY - PERSONAL PROPERTY FROM VEHICLE
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,LARCENY,LARCENY - PARTS AND ACCESSORIES FROM VEHICLE
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,LARCENY,LARCENY - STRIP STOLEN VEHICLE
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,DAMAGE TO PROPERTY,LARCENY - THEFT OF MOTOR VEHICLE PARTS / ACCESSORIES
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,LARCENY,LARCENY - THEFT OF MOTOR VEHICLE PARTS / ACCESSORIES
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,STOLEN PROPERTY,LARCENY - THEFT OF MOTOR VEHICLE PARTS / ACCESSORIES
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,STOLEN VEHICLE,LARCENY - THEFT OF MOTOR VEHICLE PARTS / ACCESSORIES
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,WEAPONS OFFENSES,LARCENY - THEFT OF MOTOR VEHICLE PARTS / ACCESSORIES
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,LARCENY - FROM BANKING TYPE INSTITUTION
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,LARCENY - FROM INTERSTATE SHIPMENT
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,LARCENY - FROM MAILS
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,LARCENY - FROM SHIPMENT
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,LARCENY - FROM YARDS (GROUNDS SURROUNDING A BUILDING)
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,LARCENY - OBSTRUCT CORRESPONDENCE (POSTAL VIOLATION)
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,DAMAGE TO PROPERTY,LARCENY - OTHER
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,DANGEROUS DRUGS,LARCENY - OTHER
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,FORGERY,LARCENY - OTHER
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,FRAUD,LARCENY - OTHER
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,LARCENY - OTHER
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,OBSTRUCTING JUDICIARY,LARCENY - OTHER
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,OBSTRUCTING THE POLICE,LARCENY - OTHER
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,OTHER,LARCENY - OTHER
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,RUNAWAY,LARCENY - OTHER
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,STOLEN PROPERTY,LARCENY - OTHER
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,STOLEN VEHICLE,LARCENY - OTHER
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,LARCENY - THEFT OF US GOVERNMENT PROPERTY
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,LARCENY (OTHER)
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,DAMAGE TO PROPERTY,LARCENY FROM GROUNDS
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,DANGEROUS DRUGS,LARCENY FROM GROUNDS
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,FRAUD,LARCENY FROM GROUNDS
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,LARCENY FROM GROUNDS
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,LARCENY FROM U S GOVERNMENT RESERVE
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,LARCENY OF GASOLINE - SELF SERVICE STATION
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,"LARCENY OF GASOLINE, SELF-SERVICE STATION"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY,RETAIL FRAUD MAN/SELL/POSS THEFT DET
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,STOLEN VEHICLE,MOTOR VEHICLE - THEFT AND SALE
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,STOLEN VEHICLE,MOTOR VEHICLE - THEFT AND STRIP
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,STOLEN VEHICLE,MOTOR VEHICLE - THEFT AND USE IN ANOTHER CRIME
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,STOLEN VEHICLE,MOTOR VEHICLE - UNAUTHORIZED USE
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,DAMAGE TO PROPERTY,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY)
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,DANGEROUS DRUGS,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY)
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,FORGERY,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY)
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,FRAUD,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY)
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,OBSTRUCTING JUDICIARY,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY)
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,OBSTRUCTING THE POLICE,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY)
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,OUIL,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY)
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,SEX OFFENSES,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY)
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,STOLEN PROPERTY,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY)
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,STOLEN VEHICLE,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY)
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,WEAPONS OFFENSES,MOTOR VEHICLE AS STOLEN PROPERTY (RECOVERED ONLY)
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,STOLEN VEHICLE,MOTOR VEHICLE FRAUD
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,DAMAGE TO PROPERTY,MOTOR VEHICLE THEFT
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,DANGEROUS DRUGS,MOTOR VEHICLE THEFT
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,FORGERY,MOTOR VEHICLE THEFT
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,FRAUD,MOTOR VEHICLE THEFT
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,OTHER,MOTOR VEHICLE THEFT
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,RUNAWAY,MOTOR VEHICLE THEFT
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,STOLEN PROPERTY,MOTOR VEHICLE THEFT
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,STOLEN VEHICLE,MOTOR VEHICLE THEFT
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,WEAPONS OFFENSES,MOTOR VEHICLE THEFT
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,STOLEN VEHICLE,STOLEN (OTHER)
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,STOLEN VEHICLE,UNAUTHOIRZED USE OF A MOTOR VEHICLE (JOY RIDING)
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,STOLEN VEHICLE,VEHICLE THEFT
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,COUNTERFEITING (OTHER)
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,COUNTERFEITING OF ANY OBJECT 
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,FORGERY (OTHER)
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,DAMAGE TO PROPERTY,FORGERY / COUNTERFEITING
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,DANGEROUS DRUGS,FORGERY / COUNTERFEITING
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,DISORDERLY CONDUCT,FORGERY / COUNTERFEITING
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,FORGERY / COUNTERFEITING
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,WEAPONS OFFENSES,FORGERY / COUNTERFEITING
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,FORGERY OF CHECKS
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,FORGERY OF OTHER OBJECT 
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,PASS COUNTERFEITED -ANY OBJECT
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,PASS FORGED -ANY OBJECT
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,POSSESS COUNTERFEITED -ANY OBJECT
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,POSSESS FORGED -ANY OBJECT
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,"POSSESS TOOLS, PLATES, ETC, FOR FORGERY OR COUNTERFEITING"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY,TRANSPORT COUNTERFEITED -ANY OBJECT
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"DEFRAUDING HOTELS, RESTAURANTS, INNKEEPER, ETC"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,FRAUD - CONFIDENCE GAME/FORTUNE TELLING
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,FRAUD - FALSE PRETENSE / SWINDLE / CONFIDENCE GAME
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,WEAPONS OFFENSES,FRAUD - FALSE PRETENSE / SWINDLE / CONFIDENCE GAME
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,FRAUD - FALSE STATEMENTS
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,FRAUD - SWINDLE
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,FRAUD (OTHER)
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,FRAUDULENTLY OBTAINING GASOLINE (ATTENDANT DELIVERED)
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,FRAUDULENTLY OBTAINING OF GOODS OFFERED FOR SALE
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,M.E.S.C.-FALSE STATEMENT
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,MAIL FRAUD
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"MOTOR VEHICLE FRAUD - OBTAINING MONEY/GOODS, FALSE PRETENSES"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,MOTOR VEHICLE FRAUD (OTHER)
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,OBTAINING MONEY UNDER FALSE PRETENSES
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,RETAIL FRAUD - MISREPRESENTATION
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,RETAIL FRAUD MISREPRESENTATION 1ST DEGREE
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,RETAIL FRAUD MISREPRESENTATION 2ND DEGREE
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,RETAIL FRAUD REFUND/EXCHANGE 1ST DEGREE
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,RETAIL FRAUD REFUND/EXCHANGE 2ND DEGREE
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"RETAIL FRAUD, MISREPRESENTATION 3RD DEGREE"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"RETAIL FRAUD, REFUND/EXCHANGE 3RD DEGREE"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,STOLEN VEHICLE,THEFT BY BAILEE -FAIL TO RETURN VEHICLE
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,UTTERING AND PUBLISHING CHECK
26B,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26B Credit Card/Automated Teller Machine Fraud,DANGEROUS DRUGS,FRAUD - CREDIT CARD/AUTOMATIC TELLER MACHINE
26B,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26B Credit Card/Automated Teller Machine Fraud,FRAUD,FRAUD - CREDIT CARD/AUTOMATIC TELLER MACHINE
26B,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26B Credit Card/Automated Teller Machine Fraud,RUNAWAY,FRAUD - CREDIT CARD/AUTOMATIC TELLER MACHINE
26B,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26B Credit Card/Automated Teller Machine Fraud,FRAUD,ILLEGAL USE OF CREDIT CARD
26C,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26C Impersonation,DAMAGE TO PROPERTY,FRAUD - IMPERSONATION
26C,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26C Impersonation,FRAUD,FRAUD - IMPERSONATION
26C,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26C Impersonation,OTHER,FRAUD - IMPERSONATION
26C,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26C Impersonation,STOLEN PROPERTY,FRAUD - IMPERSONATION
26C,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26C Impersonation,FRAUD,IDENITY THEFT
26D,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26D Welfare Fraud,FRAUD, FRAUD - OBTAIN WELFARE
26D,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26D Welfare Fraud,FRAUD,FRAUD - WELFARE
26E,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26E Wire Fraud,FRAUD,FRAUD BY WIRE
270,Crimes against property,Embezzlement,270 Embezzlement,EMBEZZLEMENT,EMBEZZLEMENT
270,Crimes against property,Embezzlement,270 Embezzlement,FAMILY OFFENSE,EMBEZZLEMENT
270,Crimes against property,Embezzlement,270 Embezzlement,MISCELLANEOUS,EMBEZZLEMENT
270,Crimes against property,Embezzlement,270 Embezzlement,EMBEZZLEMENT,EMBEZZLEMENT - BANKING TYPE INSTITUTION
270,Crimes against property,Embezzlement,270 Embezzlement,EMBEZZLEMENT,EMBEZZLEMENT - BUSINESS PROPERTY
270,Crimes against property,Embezzlement,270 Embezzlement,EMBEZZLEMENT,EMBEZZLEMENT - MISAPPROPRIATE FUNDS
270,Crimes against property,Embezzlement,270 Embezzlement,EMBEZZLEMENT,EMBEZZLEMENT - POSTAL
270,Crimes against property,Embezzlement,270 Embezzlement,EMBEZZLEMENT,"EMBEZZLEMENT - PUBLIC PROPERTY (FEDERAL, STATE, OR CITY PROPERTY)"
270,Crimes against property,Embezzlement,270 Embezzlement,EMBEZZLEMENT,EMBEZZLEMENT (OTHER)
